,账户,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,1日主力净流入-总净额(亿),5日主力净流入-总净额(亿),29日主力净流入-总净额(亿),1日涨跌幅(%),5日涨跌幅(%),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,华泰-沈海纳,物流行业,002120,韵达股份,231.0,224.0,21.85,1.15,7.97,0.4,0.3,1.1,3.5,2.3,2.8,18.78,8.88
1,华泰-沈海纳,互联网服务,300059,东方财富,4175.0,3534.0,37.5,4.88,26.42,-9.7,-88.1,-114.5,-0.7,-7.9,9.3,21.58,2.56
2,华泰-沈海纳,光伏设备,300827,上能电气,180.0,137.0,44.8,7.91,35.76,-1.0,3.7,-0.8,0.8,43.7,51.1,84.81,14.1
3,中银-杨敏靖,互联网服务,300059,东方财富,4175.0,3534.0,37.5,4.88,26.42,-9.7,-88.1,-114.5,-0.7,-7.9,9.3,21.58,2.56
4,中银-杨敏靖,船舶制造,300065,海兰信,133.0,121.0,194.35,7.6,18.42,-0.7,-4.8,-23.1,0.0,-12.7,2.3,4.96,124.63
5,中银-杨敏靖,化学制药,300255,常山药业,450.0,449.0,-773.28,29.35,48.95,0.0,0.7,-7.8,2.9,-3.7,16.5,-6.1,144.87
6,华泰-杨平旃,船舶制造,300065,海兰信,133.0,121.0,194.35,7.6,18.42,-0.7,-4.8,-23.1,0.0,-12.7,2.3,4.96,124.63
7,自选股,软件开发,920799,艾融软件,123.0,71.0,162.91,30.09,58.79,-0.2,-0.4,-1.7,-0.5,0.1,-0.9,-2.97,14.33
8,自选股,互联网服务,300166,东方国信,123.0,98.0,-77.52,2.06,10.78,0.2,-0.3,-7.2,0.7,-8.7,5.2,11.71,14.68
9,自选股,互联网服务,300846,首都在线,108.0,84.0,-75.92,12.24,21.45,-0.5,-3.8,-10.1,-0.6,-11.0,2.4,14.34,54.21
10,自选股,多元金融,603123,翠微股份,106.0,87.0,-26.17,5.48,13.28,0.0,-1.8,-2.7,0.5,-10.0,-1.2,12.35,64.97
11,自选股,软件开发,300380,安硕信息,71.0,65.0,296.9,18.29,50.97,-0.4,-1.5,-4.0,-1.0,-8.2,4.3,9.19,8.03
12,自选股,软件开发,300047,天源迪科,105.0,90.0,151.12,3.2,16.53,-0.3,-2.6,-19.0,0.1,-9.0,-0.7,11.76,40.8
13,自选股,软件开发,688590,新致软件,59.0,59.0,96.96,4.12,22.39,-0.0,-0.0,-0.5,-0.1,-7.4,2.2,10.51,39.68
14,自选股,软件开发,300525,博思软件,110.0,90.0,-131.79,4.39,14.48,-0.2,-0.5,-0.4,0.7,-6.6,-5.1,-3.14,-6.34
15,自选股,软件开发,839790,联迪信息,39.0,27.0,191.52,11.82,49.1,-0.0,-0.1,-0.3,0.4,0.6,-4.1,9.04,44.62
16,自选股,互联网服务,300250,初灵信息,37.0,27.0,535.65,7.07,17.25,0.1,-0.6,-1.4,3.0,-3.8,3.4,13.71,22.34
17,自选股,通信设备,301205,联特科技,122.0,64.0,175.95,7.99,94.4,-1.5,-2.8,-4.0,-9.5,-20.0,0.6,23.33,25.05
18,自选股,光学光电子,003015,日久光电,52.0,45.0,56.48,4.94,18.33,-0.1,-1.0,-0.9,-0.8,-8.7,9.8,19.1,29.91
19,自选股,光学光电子,300940,南极光,63.0,45.0,43.54,5.51,28.51,0.0,-0.3,-1.1,1.0,-6.6,1.6,36.41,111.19
20,自选股,光学光电子,002765,蓝黛科技,87.0,79.0,39.64,3.37,13.28,-0.4,-1.6,-6.5,1.8,-1.3,5.0,-3.35,55.32
21,自选股,家用轻工,301101,明月镜片,95.0,90.0,49.74,5.71,47.15,0.1,-0.3,-1.9,1.8,-2.1,5.6,2.41,11.26
22,自选股,光学光电子,300232,洲明科技,85.0,69.0,35.12,1.83,7.8,-0.0,-0.7,-1.3,0.4,-3.8,6.6,12.39,17.65
23,自选股,光学光电子,301421,波长光电,84.0,34.0,294.08,7.06,72.35,0.0,-1.5,-4.9,1.2,-14.0,-7.6,24.63,35.06
