,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,公用事业,-10.3,-0.2,5.68,8.54
1,汽车服务,-10.4,4.24,14.16,24.86
2,珠宝首饰,-16.9,8.42,3.81,41.52
3,保险,-21.6,-1.23,-3.32,1.75
4,燃气,-25.8,4.3,6.87,13.66
5,玻璃玻纤,-26.6,13.26,34.76,44.92
6,包装材料,-28.5,3.37,12.55,33.46
7,家用轻工,-29.2,6.91,6.04,37.88
8,房地产服务,-29.6,-1.04,5.57,12.32
9,装修装饰,-31.3,6.58,12.63,33.31
10,美容护理,-38.4,7.05,5.36,37.7
11,装修建材,-38.7,4.01,13.02,24.87
12,航空机场,-39.5,0.52,5.41,1.2
13,教育,-40.6,2.84,8.76,11.86
14,铁路公路,-40.7,-1.77,0.69,4.64
15,采掘行业,-40.8,0.21,0.78,32.98
16,医药商业,-43.2,-2.23,6.13,16.45
17,化纤行业,-43.7,7.77,12.27,34.23
18,造纸印刷,-47.6,6.02,12.81,21.82
19,银行,-48.4,-2.87,-2.05,13.71
20,专业服务,-49.3,-1.2,13.84,35.33
21,贵金属,-50.7,20.27,16.1,73.08
22,工程咨询服务,-52.7,-1.24,11.8,25.92
23,橡胶制品,-54.0,8.3,17.08,34.71
24,石油行业,-56.3,1.0,3.37,13.36
25,综合行业,-57.1,10.39,22.17,33.61
26,风电设备,-57.7,14.72,23.17,46.95
27,化肥行业,-58.7,1.35,7.52,20.88
28,航运港口,-61.3,-0.28,4.95,14.32
29,光伏设备,-62.9,14.82,33.72,24.3
30,能源金属,-66.8,12.06,39.64,39.2
31,农药兽药,-68.9,2.18,6.56,44.82
32,贸易行业,-70.9,3.81,12.5,22.29
33,纺织服装,-71.6,4.2,10.49,27.37
34,酿酒行业,-71.9,6.01,10.39,5.09
35,仪器仪表,-75.0,5.51,16.5,50.02
36,非金属材料,-77.3,11.09,28.43,48.8
37,多元金融,-77.5,-2.21,10.35,23.51
38,物流行业,-83.1,2.68,9.69,25.43
39,旅游酒店,-88.7,11.53,18.35,20.04
40,商业百货,-93.9,6.8,11.1,4.98
41,电子化学品,-96.1,7.84,22.91,34.08
42,电池,-99.2,23.72,45.08,66.18
43,煤炭行业,-101.1,-2.29,6.43,4.37
44,水泥建材,-104.0,-1.77,17.57,26.71
45,通信服务,-105.0,2.15,4.34,12.72
46,船舶制造,-105.3,0.04,16.93,40.41
47,电机,-112.4,8.2,19.38,43.62
48,游戏,-116.0,9.97,15.12,50.47
49,环保行业,-116.7,3.83,12.77,32.9
50,中药,-118.4,-0.39,7.78,12.68
51,电源设备,-118.7,18.88,34.02,59.82
52,交运设备,-129.1,6.69,16.55,34.04
53,化学原料,-131.5,4.43,10.47,34.46
54,食品饮料,-132.8,5.0,6.29,19.17
55,农牧饲渔,-136.7,2.13,6.35,22.68
56,钢铁行业,-139.2,-3.89,15.81,22.81
57,房地产开发,-169.4,2.87,11.98,11.39
58,生物制品,-178.0,3.02,19.56,53.99
59,塑料制品,-179.9,10.06,27.74,65.95
60,工程机械,-184.2,3.33,23.12,44.81
61,医疗器械,-184.7,3.92,19.26,35.52
62,家电行业,-185.1,7.04,15.23,31.77
63,工程建设,-190.5,4.55,14.56,25.69
64,医疗服务,-197.4,3.84,24.47,45.18
65,电力行业,-204.1,1.48,6.57,14.62
66,汽车整车,-226.5,5.04,12.02,15.62
67,电网设备,-242.8,5.64,15.42,31.78
68,文化传媒,-248.3,1.62,5.1,14.32
69,光学光电子,-250.3,8.56,21.34,31.02
70,有色金属,-267.8,8.63,20.46,41.83
71,化学制品,-271.9,5.17,15.91,39.6
72,计算机设备,-322.9,5.87,13.08,36.59
73,航天航空,-324.2,-5.04,9.6,27.01
74,消费电子,-358.8,15.73,30.98,38.48
75,通用设备,-389.8,11.01,22.77,59.0
76,电子元件,-408.1,10.17,31.34,57.34
77,化学制药,-443.5,1.29,19.85,51.05
78,证券,-495.1,1.84,16.62,16.7
79,汽车零部件,-500.4,8.91,18.41,52.62
80,小金属,-525.1,12.09,29.57,75.52
81,专用设备,-617.2,7.56,21.54,48.72
82,通信设备,-628.7,8.23,22.59,43.05
83,半导体,-712.2,10.9,26.57,34.59
84,互联网服务,-879.6,4.83,14.76,39.91
85,软件开发,-1037.3,3.4,16.4,36.93
