,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,10.4,3.84,8.72,7.88
1,玻璃玻纤,-5.6,20.76,39.43,47.46
2,汽车服务,-9.2,8.5,15.45,26.92
3,公用事业,-11.0,1.99,7.67,11.05
4,教育,-14.9,10.36,18.03,17.42
5,珠宝首饰,-17.9,4.16,6.67,35.98
6,美容护理,-18.9,13.1,8.76,36.45
7,燃气,-20.4,9.08,14.69,16.67
8,银行,-23.7,-4.39,4.37,16.83
9,房地产服务,-23.9,6.28,12.12,17.81
10,装修装饰,-26.9,8.09,10.9,31.11
11,包装材料,-27.2,8.41,18.47,34.59
12,专业服务,-27.2,9.57,21.75,41.75
13,家用轻工,-28.0,9.33,17.45,38.22
14,橡胶制品,-28.1,15.68,21.43,37.79
15,航空机场,-29.1,5.09,3.42,2.37
16,物流行业,-29.6,8.28,11.71,28.11
17,装修建材,-31.8,9.62,17.6,26.84
18,化纤行业,-32.2,12.25,13.0,34.24
19,铁路公路,-32.9,1.09,1.49,6.91
20,航运港口,-34.0,3.64,10.92,16.72
21,医药商业,-34.5,5.2,10.87,19.79
22,采掘行业,-37.0,7.82,24.23,37.82
23,综合行业,-38.5,11.65,23.35,32.05
24,多元金融,-40.3,6.05,29.67,31.81
25,酿酒行业,-42.0,8.56,6.02,5.19
26,造纸印刷,-44.5,8.32,16.19,22.46
27,石油行业,-46.8,4.64,13.7,15.75
28,电子化学品,-49.0,20.49,27.61,39.77
29,化肥行业,-53.5,6.24,14.31,20.85
30,仪器仪表,-55.7,13.24,22.89,53.39
31,贸易行业,-56.4,7.1,15.97,23.8
32,旅游酒店,-56.8,11.06,14.06,13.24
33,农药兽药,-60.1,11.33,15.75,48.0
34,通信服务,-60.8,10.48,17.12,20.93
35,非金属材料,-62.8,16.65,32.6,43.24
36,工程咨询服务,-63.6,7.53,19.59,31.46
37,商业百货,-66.0,8.64,6.78,2.01
38,中药,-67.4,10.32,13.92,17.36
39,纺织服装,-68.2,9.57,15.94,30.03
40,煤炭行业,-69.9,6.3,10.56,6.25
41,电源设备,-71.8,22.28,37.87,58.21
42,风电设备,-72.2,15.64,25.72,41.86
43,贵金属,-72.7,-1.86,9.86,45.3
44,能源金属,-74.0,16.44,33.35,28.3
45,钢铁行业,-89.2,8.06,18.88,25.23
46,汽车整车,-89.6,10.19,10.47,17.07
47,食品饮料,-92.5,6.58,5.09,18.5
48,家电行业,-92.5,12.22,19.33,34.89
49,船舶制造,-94.6,13.81,32.82,56.02
50,游戏,-99.5,11.52,28.21,49.94
51,电机,-102.3,16.63,24.89,49.34
52,计算机设备,-103.1,15.35,25.92,44.9
53,医疗器械,-104.9,16.32,25.1,40.88
54,房地产开发,-108.3,7.78,15.59,13.24
55,化学原料,-111.8,9.51,16.55,36.04
56,环保行业,-114.9,9.45,15.07,34.92
57,交运设备,-116.0,13.37,21.15,37.07
58,农牧饲渔,-120.8,6.39,9.68,23.76
59,光学光电子,-122.1,17.06,28.33,33.29
60,生物制品,-131.9,14.13,25.89,55.63
61,消费电子,-134.7,24.08,36.69,40.76
62,证券,-138.3,14.57,28.55,23.3
63,水泥建材,-140.2,11.11,20.47,30.81
64,半导体,-142.0,24.82,33.24,40.86
65,医疗服务,-147.6,16.31,28.51,45.25
66,工程机械,-148.6,19.08,23.56,45.96
67,电池,-155.6,14.14,31.16,42.5
68,塑料制品,-156.6,19.12,33.21,65.7
69,电力行业,-169.4,1.96,7.25,15.75
70,文化传媒,-171.0,9.48,15.1,17.86
71,光伏设备,-175.9,8.39,23.91,13.98
72,航天航空,-184.4,12.08,23.33,39.11
73,有色金属,-185.8,12.48,25.76,40.72
74,工程建设,-196.8,10.64,17.29,27.46
75,电网设备,-239.3,9.22,18.72,32.87
76,电子元件,-253.9,19.05,41.28,58.94
77,通信设备,-275.7,18.6,34.01,47.79
78,化学制品,-288.2,11.84,21.14,41.08
79,小金属,-289.9,23.2,47.58,71.46
80,汽车零部件,-322.6,15.18,20.7,55.06
81,通用设备,-326.7,17.65,25.87,60.85
82,化学制药,-372.7,14.45,27.98,52.84
83,互联网服务,-440.2,12.27,25.74,46.41
84,软件开发,-445.5,15.42,29.07,46.17
85,专用设备,-491.4,16.06,26.03,50.7
