,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,玻璃玻纤,-1.3,18.41,36.18,49.6
1,汽车服务,-11.8,3.32,13.46,25.32
2,公用事业,-11.9,-0.33,5.12,9.71
3,保险,-14.4,3.49,3.24,5.0
4,珠宝首饰,-21.0,0.5,1.25,32.48
5,燃气,-21.9,5.36,10.09,14.61
6,美容护理,-22.6,9.63,4.46,35.18
7,房地产服务,-27.2,1.79,5.57,13.35
8,包装材料,-30.3,1.45,11.28,31.29
9,装修装饰,-30.9,4.94,9.34,30.39
10,专业服务,-34.1,5.33,18.22,39.52
11,橡胶制品,-34.3,11.34,17.81,36.58
12,教育,-34.6,5.58,13.51,14.89
13,装修建材,-34.9,5.06,13.05,25.08
14,航空机场,-35.2,3.43,4.99,2.92
15,家用轻工,-35.3,5.21,8.72,35.68
16,医药商业,-36.3,-1.2,6.92,16.9
17,银行,-38.2,-4.84,0.96,14.96
18,采掘行业,-42.8,1.4,16.7,34.43
19,造纸印刷,-43.3,5.22,12.71,21.1
20,化纤行业,-43.9,8.77,13.82,35.33
21,物流行业,-45.9,4.77,10.51,26.75
22,铁路公路,-47.0,-2.83,-0.15,5.07
23,航运港口,-50.1,0.31,9.05,15.41
24,石油行业,-59.4,-0.13,9.82,14.95
25,贵金属,-59.7,1.8,6.66,50.38
26,综合行业,-61.7,8.72,20.65,32.4
27,化肥行业,-62.4,2.67,11.63,21.28
28,多元金融,-64.0,3.65,21.75,31.01
29,工程咨询服务,-64.9,1.39,13.78,29.0
30,贸易行业,-67.2,5.45,15.17,25.19
31,农药兽药,-67.5,5.67,9.51,46.06
32,电子化学品,-69.7,17.59,26.14,39.34
33,旅游酒店,-70.1,8.87,10.99,13.97
34,酿酒行业,-72.6,5.33,5.39,4.36
35,非金属材料,-73.5,11.99,29.65,44.27
36,煤炭行业,-74.0,1.18,7.71,4.76
37,仪器仪表,-74.0,7.33,17.87,50.31
38,商业百货,-75.8,5.9,6.71,2.84
39,风电设备,-76.7,14.59,25.93,44.46
40,纺织服装,-78.7,3.49,9.58,25.98
41,电源设备,-85.0,23.12,37.81,63.51
42,游戏,-85.1,13.4,24.67,52.91
43,通信服务,-92.2,8.58,9.92,20.29
44,中药,-94.9,3.16,9.0,13.72
45,能源金属,-97.7,10.71,28.78,27.76
46,钢铁行业,-108.5,1.46,16.93,23.59
47,食品饮料,-113.1,4.87,3.56,18.43
48,房地产开发,-116.0,6.06,13.13,12.2
49,环保行业,-121.9,5.13,13.03,33.45
50,船舶制造,-122.1,8.39,27.11,51.31
51,电机,-123.8,9.11,20.09,45.34
52,农牧饲渔,-125.1,3.21,7.77,23.65
53,家电行业,-126.2,10.1,16.16,34.18
54,交运设备,-131.7,8.77,16.79,34.68
55,化学原料,-138.8,4.28,11.85,34.02
56,医疗器械,-153.2,9.81,20.05,37.15
57,水泥建材,-153.6,0.7,16.68,28.23
58,光学光电子,-173.0,15.67,26.41,36.01
59,光伏设备,-173.9,7.2,21.37,13.8
60,汽车整车,-187.6,4.99,10.92,15.03
61,工程机械,-188.1,8.01,21.77,44.28
62,生物制品,-189.5,4.89,19.35,50.53
63,塑料制品,-189.7,9.41,25.58,61.17
64,医疗服务,-203.9,8.08,23.15,41.19
65,电力行业,-210.3,-0.5,6.16,14.4
66,半导体,-211.3,27.17,33.5,45.83
67,消费电子,-214.0,23.56,34.67,43.31
68,计算机设备,-217.3,12.74,20.58,44.27
69,电池,-218.9,9.1,24.98,41.24
70,文化传媒,-223.0,6.64,11.49,16.64
71,电子元件,-224.7,19.68,39.92,63.92
72,有色金属,-226.7,8.5,20.13,40.85
73,证券,-236.5,11.6,25.11,22.57
74,工程建设,-238.2,5.32,13.58,26.18
75,航天航空,-244.5,7.85,22.36,40.06
76,电网设备,-254.8,4.24,14.73,31.79
77,通信设备,-283.2,21.67,34.87,55.55
78,化学制品,-332.5,6.1,15.9,38.76
79,小金属,-339.6,24.15,47.99,81.72
80,通用设备,-387.7,12.12,22.87,59.36
81,汽车零部件,-431.3,10.31,18.76,53.53
82,化学制药,-477.9,4.24,21.42,48.35
83,专用设备,-568.1,10.62,22.16,48.9
84,互联网服务,-598.2,13.1,23.37,48.8
85,软件开发,-706.5,13.49,25.99,46.8
