,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,30.4,0.42,7.5,6.35
1,汽车服务,-10.4,6.33,10.39,20.55
2,公用事业,-14.3,0.01,7.09,10.05
3,燃气,-17.9,8.37,14.6,16.78
4,教育,-18.7,4.8,12.68,12.16
5,橡胶制品,-20.4,15.68,20.13,38.25
6,珠宝首饰,-20.9,-1.27,8.74,34.56
7,玻璃玻纤,-21.5,14.16,38.42,45.85
8,美容护理,-22.5,6.6,4.82,31.49
9,航空机场,-23.0,4.21,3.22,1.59
10,专业服务,-23.9,10.42,20.57,40.15
11,房地产服务,-24.3,4.19,12.28,14.31
12,装修装饰,-25.2,4.67,10.53,27.42
13,包装材料,-27.5,4.17,14.87,31.52
14,银行,-27.9,-6.3,5.81,16.13
15,综合行业,-28.1,9.57,20.98,28.88
16,铁路公路,-30.5,-0.05,3.35,5.94
17,石油行业,-32.6,5.08,10.54,13.91
18,装修建材,-36.7,6.79,15.65,23.74
19,化纤行业,-37.2,8.15,9.59,30.46
20,家用轻工,-37.9,4.93,14.16,34.6
21,医药商业,-39.6,4.77,11.49,18.88
22,航运港口,-41.0,3.3,9.73,15.3
23,采掘行业,-41.7,2.6,21.09,33.26
24,物流行业,-42.5,7.32,13.7,26.38
25,电子化学品,-44.4,17.84,26.99,38.43
26,化肥行业,-48.8,3.32,11.29,17.91
27,造纸印刷,-50.2,6.73,13.16,20.6
28,煤炭行业,-51.3,4.83,9.15,5.46
29,贵金属,-54.3,2.79,5.23,45.34
30,非金属材料,-54.3,17.62,30.75,42.16
31,旅游酒店,-56.1,6.62,11.18,10.61
32,中药,-56.3,9.93,16.57,16.32
33,能源金属,-56.9,16.89,30.59,27.83
34,仪器仪表,-57.3,13.26,20.81,51.9
35,工程咨询服务,-58.4,7.04,21.36,30.59
36,电源设备,-61.8,21.78,34.84,57.44
37,多元金融,-63.4,1.92,29.36,28.71
38,贸易行业,-65.3,5.98,12.58,20.52
39,电机,-67.1,18.86,21.05,49.44
40,风电设备,-67.6,14.18,25.34,41.81
41,酿酒行业,-68.4,2.49,2.9,0.34
42,纺织服装,-68.4,7.02,14.25,26.63
43,农药兽药,-68.7,8.21,17.69,44.92
44,船舶制造,-69.4,18.96,38.95,60.47
45,商业百货,-70.1,4.0,4.84,-0.84
46,家电行业,-72.4,10.22,15.61,31.74
47,医疗器械,-77.4,17.85,27.55,40.59
48,证券,-79.0,15.5,26.85,21.19
49,通信服务,-79.5,6.8,14.08,18.27
50,房地产开发,-87.0,7.41,15.05,11.12
51,食品饮料,-87.3,3.14,3.85,15.9
52,医疗服务,-89.0,19.14,33.81,46.2
53,钢铁行业,-90.1,8.33,17.44,24.34
54,消费电子,-101.7,20.06,30.82,36.93
55,化学原料,-102.2,7.52,12.09,33.37
56,交运设备,-104.7,12.76,21.56,36.05
57,生物制品,-107.3,18.37,33.3,55.84
58,环保行业,-115.7,8.14,16.05,32.87
59,工程机械,-125.0,19.71,25.34,45.46
60,农牧饲渔,-127.6,4.2,9.39,22.13
61,塑料制品,-128.2,21.04,30.99,65.85
62,水泥建材,-131.0,11.22,21.1,29.08
63,计算机设备,-131.1,11.31,25.68,39.74
64,游戏,-131.4,5.41,25.93,45.47
65,电池,-133.5,12.19,29.15,41.91
66,有色金属,-158.3,12.55,22.64,39.5
67,汽车整车,-158.4,7.03,7.67,13.71
68,光学光电子,-158.8,12.62,21.78,28.72
69,文化传媒,-162.2,5.93,14.1,16.72
70,光伏设备,-177.4,5.27,19.76,11.73
71,电力行业,-178.0,-1.67,5.02,13.37
72,航天航空,-187.2,8.75,22.83,35.76
73,工程建设,-193.6,9.09,15.51,24.38
74,电网设备,-214.7,8.2,17.84,31.83
75,小金属,-231.6,24.48,38.84,65.14
76,电子元件,-238.4,17.18,38.88,57.19
77,半导体,-246.2,18.64,24.66,33.7
78,通用设备,-253.7,18.43,23.32,59.57
79,化学制药,-274.0,19.13,35.44,54.38
80,化学制品,-276.5,11.02,18.19,39.43
81,汽车零部件,-286.2,14.07,17.27,52.0
82,通信设备,-308.2,17.77,33.32,45.84
83,互联网服务,-354.8,11.8,22.39,42.29
84,专用设备,-395.8,16.34,23.87,49.51
85,软件开发,-466.8,14.08,26.97,41.75
