,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,公用事业,-11.0,-1.31,5.13,8.05
1,汽车服务,-11.2,1.61,12.29,22.29
2,珠宝首饰,-17.9,6.03,1.17,38.86
3,保险,-19.5,-3.13,-2.1,1.8
4,银行,-25.4,-3.3,0.09,14.71
5,包装材料,-25.6,0.47,11.13,30.7
6,燃气,-26.3,2.77,6.61,12.51
7,玻璃玻纤,-26.8,10.27,32.72,41.37
8,房地产服务,-30.7,-1.07,6.26,11.19
9,家用轻工,-32.1,4.42,4.37,34.83
10,装修装饰,-34.2,3.28,10.91,30.37
11,美容护理,-39.9,5.26,4.39,36.5
12,航空机场,-42.4,-1.38,3.34,-0.27
13,装修建材,-42.7,1.58,11.96,22.92
14,采掘行业,-42.8,-1.3,2.4,30.88
15,教育,-43.1,0.58,8.26,9.88
16,医药商业,-43.7,-2.27,5.92,15.93
17,化纤行业,-46.1,4.96,10.22,31.35
18,铁路公路,-46.2,-2.72,0.07,4.07
19,专业服务,-49.0,-2.43,12.46,32.49
20,造纸印刷,-49.5,3.69,11.88,19.76
21,工程咨询服务,-53.9,-2.36,11.73,24.23
22,橡胶制品,-56.7,5.43,14.03,31.31
23,综合行业,-59.7,7.5,21.35,31.05
24,石油行业,-60.3,-1.3,3.61,11.84
25,化肥行业,-62.8,-0.9,6.2,18.79
26,贵金属,-64.0,14.4,9.07,66.13
27,航运港口,-67.7,-1.15,3.8,13.37
28,贸易行业,-72.5,2.16,11.28,20.97
29,农药兽药,-72.9,-0.2,6.26,42.74
30,酿酒行业,-73.0,5.34,10.91,4.88
31,纺织服装,-73.9,2.31,9.71,25.76
32,多元金融,-75.1,-3.49,11.58,21.96
33,商业百货,-75.4,6.23,11.4,4.91
34,风电设备,-77.2,9.09,21.02,39.1
35,仪器仪表,-81.5,2.44,14.06,45.29
36,物流行业,-87.1,1.33,9.07,24.14
37,旅游酒店,-87.8,10.71,17.2,19.13
38,非金属材料,-89.5,6.99,25.18,42.08
39,电子化学品,-98.2,4.88,18.68,29.13
40,通信服务,-106.9,0.2,4.69,10.98
41,船舶制造,-113.6,0.31,15.89,38.36
42,煤炭行业,-114.8,-3.13,5.99,3.1
43,水泥建材,-117.2,-2.55,16.5,25.22
44,中药,-120.4,0.0,6.13,11.4
45,环保行业,-121.2,1.84,11.5,30.78
46,能源金属,-121.4,4.5,29.13,29.35
47,游戏,-127.4,8.46,15.96,46.44
48,光伏设备,-128.1,9.58,27.25,17.15
49,电源设备,-130.2,13.85,29.38,51.99
50,食品饮料,-131.1,4.45,6.27,18.83
51,交运设备,-136.1,3.49,13.25,30.19
52,电机,-136.5,4.47,16.28,38.49
53,农牧饲渔,-141.5,0.57,6.29,22.07
54,化学原料,-145.1,1.26,8.71,31.01
55,钢铁行业,-149.8,-2.63,14.46,21.28
56,房地产开发,-173.1,2.04,12.3,9.99
57,生物制品,-181.3,3.45,17.33,50.88
58,医疗器械,-185.2,2.26,17.7,33.59
59,工程机械,-185.8,1.35,20.53,41.59
60,电池,-188.2,13.42,33.75,52.05
61,塑料制品,-189.0,6.26,24.3,59.96
62,家电行业,-196.8,4.91,13.72,29.64
63,工程建设,-202.8,2.77,13.25,23.27
64,医疗服务,-206.4,4.54,22.42,42.32
65,电力行业,-208.5,-0.22,5.12,12.97
66,汽车整车,-225.1,3.32,10.13,14.06
67,文化传媒,-259.7,-0.5,4.98,11.83
68,电网设备,-263.6,2.33,13.01,27.95
69,光学光电子,-264.0,5.28,19.17,26.52
70,有色金属,-294.1,5.11,16.38,37.3
71,化学制品,-296.2,2.17,12.99,35.58
72,航天航空,-314.5,-5.32,7.12,24.67
73,计算机设备,-334.6,3.16,11.96,32.85
74,消费电子,-372.4,12.34,28.11,33.83
75,通用设备,-403.4,7.11,19.55,53.65
76,电子元件,-422.3,6.38,27.38,50.32
77,化学制药,-433.3,2.09,18.44,48.4
78,证券,-486.1,1.62,17.5,16.03
79,汽车零部件,-513.1,5.67,15.53,48.33
80,小金属,-529.7,7.81,26.67,69.75
81,通信设备,-604.8,6.69,20.56,38.78
82,专用设备,-633.3,4.51,18.96,44.17
83,半导体,-738.3,9.1,22.93,30.15
84,互联网服务,-904.2,2.94,15.74,37.39
85,软件开发,-1076.0,1.66,17.34,34.12
