,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,19.4,-7.77,0.8,-0.01
1,银行,3.8,-0.4,9.16,19.22
2,汽车服务,-9.4,7.16,7.11,18.96
3,公用事业,-13.8,3.83,5.54,9.3
4,能源金属,-14.3,14.62,23.17,22.98
5,专业服务,-14.7,12.16,20.01,39.37
6,美容护理,-15.2,4.17,5.64,30.82
7,燃气,-15.7,7.82,11.81,14.42
8,教育,-17.7,3.76,11.32,10.05
9,石油行业,-18.2,4.71,10.86,12.78
10,装修装饰,-21.1,6.45,11.06,27.91
11,橡胶制品,-21.1,7.91,15.82,30.81
12,房地产服务,-21.2,2.89,9.25,11.77
13,航空机场,-22.5,3.23,4.28,0.16
14,综合行业,-23.2,6.26,16.78,23.08
15,铁路公路,-25.9,0.77,5.14,6.16
16,珠宝首饰,-26.5,1.19,20.56,35.66
17,包装材料,-27.2,4.9,18.17,30.34
18,煤炭行业,-29.1,9.43,11.13,7.05
19,玻璃玻纤,-30.0,10.33,21.37,27.83
20,化纤行业,-33.9,5.35,6.91,26.89
21,采掘行业,-36.3,2.86,22.56,33.98
22,医药商业,-37.2,7.24,15.62,19.56
23,装修建材,-37.8,7.84,15.35,22.5
24,医疗器械,-38.7,15.26,23.61,36.26
25,家用轻工,-40.8,2.37,12.68,30.33
26,物流行业,-42.5,8.61,12.57,26.34
27,贵金属,-43.4,2.96,16.79,50.5
28,航运港口,-45.1,3.06,5.81,14.3
29,工程咨询服务,-45.1,10.52,20.77,30.05
30,造纸印刷,-51.0,7.41,16.18,18.33
31,化肥行业,-51.3,4.45,10.52,18.21
32,中药,-52.3,8.96,13.57,13.89
33,房地产开发,-52.4,7.7,11.75,7.46
34,农药兽药,-53.8,7.09,17.21,42.59
35,旅游酒店,-53.9,4.81,8.8,8.44
36,风电设备,-54.1,8.1,17.69,35.32
37,仪器仪表,-56.6,9.69,16.08,47.48
38,纺织服装,-57.0,7.93,13.2,26.6
39,非金属材料,-62.4,9.48,22.39,33.43
40,电机,-62.5,5.7,6.22,34.43
41,电子化学品,-62.7,3.16,13.93,23.99
42,贸易行业,-63.9,4.58,8.79,17.51
43,酿酒行业,-68.0,2.56,4.1,-0.47
44,钢铁行业,-70.0,17.18,19.94,26.53
45,多元金融,-73.5,1.08,19.54,20.61
46,交运设备,-73.9,10.62,18.3,32.84
47,家电行业,-81.7,6.56,9.43,25.8
48,食品饮料,-82.6,2.54,4.44,14.5
49,商业百货,-83.0,3.07,2.64,-2.36
50,船舶制造,-83.4,6.32,29.2,51.3
51,电源设备,-84.3,11.99,22.19,39.41
52,通信服务,-85.0,4.39,10.07,14.18
53,生物制品,-88.1,12.13,30.45,47.89
54,消费电子,-88.8,10.71,16.83,24.81
55,工程机械,-93.1,16.57,21.54,42.07
56,医疗服务,-100.5,14.43,27.75,38.04
57,游戏,-101.7,4.63,25.56,40.18
58,农牧饲渔,-101.7,5.74,8.95,22.15
59,光伏设备,-104.6,9.11,13.45,7.3
60,水泥建材,-108.2,17.99,22.46,29.58
61,化学原料,-113.3,4.95,10.13,30.78
62,环保行业,-117.6,7.82,16.51,30.69
63,塑料制品,-118.2,14.87,23.63,56.13
64,证券,-129.0,7.45,14.05,11.23
65,计算机设备,-145.7,4.95,19.57,32.62
66,航天航空,-145.8,7.64,23.04,37.39
67,汽车整车,-145.9,4.92,6.2,10.83
68,电力行业,-162.0,3.85,5.92,13.78
69,工程建设,-163.7,9.24,15.49,22.88
70,文化传媒,-164.9,4.64,11.89,12.91
71,有色金属,-166.1,7.31,18.21,33.53
72,光学光电子,-172.4,5.44,15.54,22.04
73,电池,-174.4,3.03,19.66,32.53
74,电网设备,-197.3,8.51,16.29,27.89
75,小金属,-249.5,14.76,27.28,54.72
76,化学制药,-255.5,16.74,32.71,48.79
77,通用设备,-257.6,11.08,15.01,50.29
78,化学制品,-265.5,6.09,13.27,34.68
79,汽车零部件,-291.8,7.61,10.79,44.82
80,电子元件,-311.0,10.3,27.94,44.95
81,专用设备,-351.7,11.84,20.24,43.69
82,半导体,-371.0,6.53,13.92,23.14
83,通信设备,-372.9,9.18,25.14,37.2
84,互联网服务,-480.2,6.72,15.02,34.78
85,软件开发,-525.8,8.31,18.7,33.1
