,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,24.3,-1.73,5.62,4.24
1,汽车服务,-10.0,8.71,12.37,23.62
2,公用事业,-13.6,0.38,6.27,10.12
3,玻璃玻纤,-17.1,13.05,37.57,44.6
4,燃气,-18.5,7.81,13.91,16.71
5,银行,-19.5,-7.38,4.68,15.91
6,珠宝首饰,-21.3,-0.35,4.86,33.87
7,教育,-21.7,3.63,12.65,12.05
8,专业服务,-21.8,9.72,21.29,40.77
9,美容护理,-23.1,8.33,3.9,32.86
10,房地产服务,-23.5,3.78,13.52,16.48
11,装修装饰,-23.5,5.97,11.32,29.68
12,橡胶制品,-23.8,15.19,20.35,37.82
13,航空机场,-25.2,3.8,2.64,1.46
14,综合行业,-25.4,10.57,22.6,31.12
15,包装材料,-27.6,5.15,14.31,32.66
16,铁路公路,-31.4,-0.42,3.8,6.11
17,医药商业,-35.1,4.54,11.73,20.3
18,装修建材,-35.9,7.2,16.43,25.37
19,家用轻工,-36.2,6.01,13.8,35.61
20,化纤行业,-37.3,7.05,6.59,29.72
21,石油行业,-37.6,4.56,10.29,14.44
22,航运港口,-38.5,2.76,9.21,15.23
23,物流行业,-39.9,6.34,12.88,26.6
24,采掘行业,-40.6,1.97,21.41,33.31
25,家电行业,-46.1,11.43,16.93,33.34
26,造纸印刷,-47.9,7.4,13.37,21.11
27,化肥行业,-48.0,3.01,9.29,18.16
28,电子化学品,-48.3,15.84,24.75,36.44
29,多元金融,-51.3,1.21,30.58,29.98
30,非金属材料,-51.7,16.41,29.72,41.5
31,煤炭行业,-53.5,2.71,9.83,5.49
32,仪器仪表,-54.1,14.16,22.65,53.33
33,贵金属,-54.6,1.11,7.34,44.18
34,酿酒行业,-55.0,4.01,2.79,2.34
35,中药,-56.4,10.2,16.56,17.92
36,旅游酒店,-58.8,6.65,11.04,10.91
37,能源金属,-58.9,16.32,29.76,27.08
38,工程咨询服务,-61.0,4.57,21.34,30.7
39,电机,-66.7,21.96,24.34,52.2
40,电源设备,-66.9,22.92,36.76,58.25
41,纺织服装,-67.4,7.99,14.49,28.38
42,农药兽药,-68.3,8.86,13.48,46.32
43,风电设备,-69.0,14.12,25.96,41.05
44,商业百货,-70.3,4.93,5.59,0.54
45,贸易行业,-71.8,5.8,13.42,21.65
46,医疗器械,-78.6,18.16,27.61,41.52
47,食品饮料,-81.2,4.58,2.84,17.37
48,船舶制造,-84.1,19.01,38.14,58.3
49,钢铁行业,-85.1,6.53,17.54,24.37
50,通信服务,-87.2,7.43,14.76,18.62
51,房地产开发,-89.3,5.4,15.2,12.35
52,消费电子,-97.5,22.17,33.89,38.35
53,化学原料,-99.4,6.9,11.6,33.7
54,生物制品,-106.3,18.03,31.58,56.42
55,环保行业,-108.2,8.8,15.74,33.94
56,交运设备,-113.7,13.13,21.47,36.31
57,医疗服务,-124.1,18.05,32.18,45.57
58,证券,-124.4,12.56,25.37,19.84
59,农牧饲渔,-125.1,4.75,9.04,22.96
60,塑料制品,-132.7,21.13,31.41,65.81
61,工程机械,-133.6,19.85,26.57,46.17
62,电池,-134.3,13.43,29.23,43.19
63,水泥建材,-137.7,8.79,20.87,28.84
64,游戏,-141.8,5.27,24.78,44.13
65,计算机设备,-143.2,12.23,26.19,39.98
66,汽车整车,-155.0,6.92,8.22,13.93
67,光伏设备,-159.7,4.11,20.54,11.98
68,光学光电子,-160.0,13.5,23.63,29.66
69,有色金属,-161.4,12.08,24.04,39.48
70,电力行业,-174.2,-0.85,5.08,13.76
71,文化传媒,-195.0,5.7,14.32,16.7
72,工程建设,-199.4,8.59,16.16,25.24
73,航天航空,-203.4,7.99,21.64,34.45
74,电网设备,-211.3,9.31,17.83,32.66
75,小金属,-238.7,23.96,43.28,67.75
76,电子元件,-250.0,18.8,40.65,57.89
77,通用设备,-257.8,20.1,25.24,61.45
78,半导体,-274.4,18.42,25.35,33.1
79,汽车零部件,-275.1,16.12,19.22,54.08
80,化学制品,-277.0,10.2,17.64,39.73
81,化学制药,-285.5,18.24,34.09,55.36
82,通信设备,-310.4,18.97,34.41,46.76
83,互联网服务,-394.2,12.68,23.97,43.22
84,专用设备,-419.3,17.07,24.89,50.49
85,软件开发,-480.7,14.77,27.98,42.06
