,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,20.9,-7.2,1.34,0.2
1,能源金属,-0.4,18.77,29.73,29.18
2,银行,-3.1,-1.98,8.23,18.07
3,汽车服务,-9.7,7.53,6.83,19.95
4,公用事业,-14.3,4.23,4.58,9.83
5,专业服务,-15.6,14.32,19.23,40.67
6,燃气,-16.7,7.26,11.09,14.3
7,教育,-18.2,5.91,10.04,11.02
8,美容护理,-18.9,5.82,3.33,31.25
9,橡胶制品,-20.2,10.17,15.93,32.77
10,装修装饰,-20.6,7.61,10.77,28.98
11,航空机场,-21.3,3.75,4.18,0.24
12,房地产服务,-22.0,5.55,8.71,13.89
13,石油行业,-22.0,5.84,10.62,13.63
14,包装材料,-22.9,6.9,17.27,32.01
15,珠宝首饰,-23.5,2.18,19.19,36.03
16,综合行业,-24.1,8.21,16.32,25.22
17,铁路公路,-26.7,0.92,3.45,5.88
18,煤炭行业,-27.9,7.48,10.42,7.3
19,玻璃玻纤,-31.1,10.54,21.46,30.19
20,化纤行业,-34.0,6.24,5.32,28.59
21,装修建材,-35.9,9.01,14.45,23.89
22,采掘行业,-36.2,1.48,22.0,34.23
23,酿酒行业,-38.4,3.32,4.43,0.72
24,医药商业,-39.0,8.11,16.25,20.59
25,家用轻工,-39.3,4.3,13.07,32.55
26,物流行业,-41.2,8.84,12.86,27.07
27,医疗器械,-45.0,18.18,25.13,38.5
28,航运港口,-46.7,2.91,2.08,14.88
29,工程咨询服务,-47.7,12.91,20.64,32.01
30,化肥行业,-48.0,4.88,10.33,19.15
31,造纸印刷,-49.9,7.98,15.06,19.2
32,房地产开发,-50.8,8.98,10.7,9.27
33,风电设备,-53.2,10.33,19.77,38.5
34,非金属材料,-53.2,13.1,23.89,36.26
35,纺织服装,-54.6,9.25,12.86,27.37
36,贵金属,-55.2,0.83,12.49,46.0
37,中药,-55.3,10.96,15.36,15.65
38,旅游酒店,-55.9,5.1,7.26,8.64
39,仪器仪表,-56.1,11.63,16.91,49.26
40,多元金融,-56.4,4.73,19.92,22.68
41,农药兽药,-57.9,8.52,17.18,43.83
42,电源设备,-60.2,17.62,26.75,45.61
43,贸易行业,-61.8,5.81,8.43,18.68
44,电机,-64.8,9.23,9.12,37.35
45,电子化学品,-65.9,6.97,15.41,26.14
46,交运设备,-66.2,13.13,18.78,35.0
47,消费电子,-69.5,15.93,20.23,28.34
48,钢铁行业,-69.9,13.04,18.86,27.2
49,商业百货,-73.5,4.3,2.2,-1.03
50,家电行业,-73.8,8.15,10.59,27.74
51,食品饮料,-81.5,2.9,2.87,15.53
52,通信服务,-82.5,6.43,10.66,15.6
53,光伏设备,-91.4,7.03,14.28,9.15
54,医疗服务,-93.1,18.9,30.83,41.36
55,生物制品,-95.7,15.75,32.03,50.08
56,船舶制造,-98.2,5.5,27.88,50.42
57,工程机械,-98.5,16.67,21.02,42.48
58,塑料制品,-99.1,18.15,26.01,59.85
59,游戏,-103.4,6.15,25.38,41.2
60,化学原料,-104.0,6.05,10.43,32.75
61,农牧饲渔,-104.2,4.99,7.88,22.74
62,证券,-113.3,9.32,15.19,12.62
63,水泥建材,-116.9,17.48,21.99,31.85
64,环保行业,-117.3,8.8,15.58,32.28
65,电池,-128.8,7.84,23.26,37.07
66,计算机设备,-132.0,8.29,19.7,34.79
67,航天航空,-136.4,10.79,22.64,38.14
68,汽车整车,-143.6,6.32,7.12,12.09
69,光学光电子,-157.7,9.65,17.03,24.94
70,文化传媒,-159.1,6.39,11.3,13.89
71,工程建设,-161.7,10.85,15.01,24.68
72,有色金属,-167.3,7.54,18.3,34.84
73,电力行业,-183.4,3.84,4.91,13.6
74,电网设备,-194.4,9.15,16.12,29.31
75,通用设备,-254.4,12.97,16.21,52.38
76,小金属,-256.5,16.1,29.36,55.37
77,化学制药,-258.9,20.03,35.92,51.72
78,化学制品,-267.2,7.93,14.71,36.66
79,电子元件,-269.9,15.52,30.61,48.84
80,汽车零部件,-271.8,10.74,12.58,47.44
81,通信设备,-339.3,13.2,25.18,38.89
82,专用设备,-350.4,14.17,21.0,45.93
83,半导体,-383.4,10.52,14.94,24.97
84,互联网服务,-413.9,10.04,15.96,37.04
85,软件开发,-462.5,11.92,19.68,35.6
