,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,9.4,6.08,8.31,8.49
1,酿酒行业,-0.9,10.35,9.23,8.27
2,玻璃玻纤,-4.0,21.13,37.98,48.12
3,汽车服务,-8.0,7.89,16.76,28.33
4,公用事业,-11.0,1.83,7.5,11.11
5,银行,-14.4,-2.98,2.9,17.69
6,教育,-15.3,9.87,18.06,18.79
7,珠宝首饰,-15.6,5.25,2.59,37.59
8,美容护理,-18.7,11.89,4.28,36.27
9,燃气,-20.1,8.66,14.02,16.83
10,房地产服务,-22.6,6.39,11.76,18.76
11,专业服务,-24.1,11.28,22.88,43.74
12,包装材料,-24.6,7.81,18.0,35.04
13,装修装饰,-25.5,8.63,12.46,32.82
14,橡胶制品,-26.6,15.7,21.15,38.48
15,家用轻工,-26.9,8.74,14.3,39.1
16,航空机场,-27.3,6.08,5.06,3.56
17,装修建材,-28.6,10.32,18.27,28.38
18,医药商业,-29.1,4.67,9.52,20.68
19,物流行业,-30.3,7.63,10.2,28.33
20,化纤行业,-33.2,11.9,12.95,34.59
21,铁路公路,-34.8,0.84,1.79,7.24
22,采掘行业,-35.8,8.1,23.61,38.47
23,航运港口,-38.4,4.17,11.59,17.54
24,多元金融,-40.5,5.3,27.25,32.94
25,综合行业,-41.0,11.47,23.24,33.31
26,造纸印刷,-41.6,7.84,16.14,22.98
27,商业百货,-50.0,9.13,7.61,3.31
28,石油行业,-50.8,3.58,13.99,16.58
29,化肥行业,-51.9,7.61,14.96,22.02
30,旅游酒店,-52.8,11.67,13.6,14.38
31,贸易行业,-56.9,7.46,16.81,25.48
32,电子化学品,-58.3,20.51,26.82,39.32
33,仪器仪表,-58.4,13.18,22.45,54.35
34,中药,-60.2,9.54,12.48,18.23
35,农药兽药,-60.6,10.42,14.83,48.58
36,非金属材料,-60.7,17.54,33.41,45.41
37,煤炭行业,-61.1,7.99,12.58,7.62
38,工程咨询服务,-61.4,9.46,20.11,32.9
39,贵金属,-62.8,2.16,9.83,50.71
40,风电设备,-66.0,17.88,27.51,45.06
41,能源金属,-66.3,19.84,35.33,30.88
42,钢铁行业,-67.6,11.42,22.3,27.39
43,纺织服装,-68.7,8.37,14.19,30.07
44,电源设备,-69.1,23.93,41.28,61.42
45,通信服务,-71.7,11.31,17.45,22.04
46,食品饮料,-78.6,7.59,4.47,20.41
47,房地产开发,-85.0,10.16,18.44,15.61
48,家电行业,-93.0,12.28,20.06,36.0
49,电机,-98.3,16.52,25.11,50.47
50,船舶制造,-99.1,14.84,32.19,56.94
51,游戏,-106.9,12.98,26.42,52.02
52,环保行业,-110.4,10.4,16.36,36.42
53,汽车整车,-112.4,8.73,11.67,16.85
54,医疗器械,-112.4,16.63,24.52,42.53
55,农牧饲渔,-113.2,6.67,9.24,24.92
56,交运设备,-115.3,13.91,21.19,37.94
57,化学原料,-115.7,10.42,16.36,37.1
58,生物制品,-130.3,15.47,24.66,58.47
59,光学光电子,-131.8,16.63,27.94,33.47
60,水泥建材,-138.2,12.9,22.2,32.38
61,电力行业,-138.8,2.5,8.18,16.47
62,电池,-143.4,15.52,32.42,44.78
63,计算机设备,-143.5,16.3,26.63,46.32
64,医疗服务,-144.3,17.81,28.09,48.05
65,光伏设备,-156.0,9.12,25.03,14.89
66,文化传媒,-157.0,9.2,14.7,18.55
67,工程机械,-158.0,18.96,24.84,46.82
68,塑料制品,-158.6,18.05,31.8,65.99
69,消费电子,-161.2,24.74,37.54,41.67
70,有色金属,-161.7,15.48,26.97,43.69
71,证券,-165.7,15.9,28.75,24.58
72,航天航空,-168.2,14.74,24.02,41.98
73,工程建设,-190.8,12.56,18.46,29.12
74,电网设备,-228.3,9.64,19.27,33.75
75,小金属,-241.3,29.51,51.95,79.93
76,半导体,-255.1,24.98,33.06,41.67
77,电子元件,-262.9,22.04,43.04,62.02
78,通信设备,-271.6,21.88,37.2,52.44
79,化学制品,-286.1,12.27,20.46,41.81
80,通用设备,-315.2,17.75,27.03,62.82
81,汽车零部件,-338.0,13.65,21.1,55.87
82,化学制药,-358.2,13.53,25.71,55.19
83,专用设备,-466.4,15.83,26.42,51.92
84,软件开发,-526.1,15.35,29.17,46.9
85,互联网服务,-527.3,13.64,26.82,48.2
