,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,19.2,0.05,7.37,6.27
1,汽车服务,-9.9,9.02,14.53,25.71
2,公用事业,-13.2,1.61,7.21,10.72
3,珠宝首饰,-15.2,1.76,2.02,35.93
4,玻璃玻纤,-16.6,16.19,38.71,45.17
5,美容护理,-18.6,10.0,5.06,34.89
6,燃气,-20.8,7.93,13.88,16.51
7,银行,-24.6,-4.89,5.14,16.75
8,教育,-24.7,5.81,15.75,13.88
9,装修装饰,-24.8,6.48,12.21,30.26
10,橡胶制品,-26.0,15.69,22.07,38.31
11,房地产服务,-26.1,5.33,15.12,18.25
12,专业服务,-26.8,9.35,22.53,41.35
13,航空机场,-27.4,4.27,2.8,2.37
14,包装材料,-27.9,6.77,17.39,34.84
15,家用轻工,-28.8,7.77,15.86,37.75
16,化纤行业,-29.0,10.63,10.41,34.05
17,综合行业,-29.4,10.76,23.69,32.11
18,铁路公路,-32.7,-0.19,3.16,6.23
19,酿酒行业,-34.6,6.91,5.62,5.64
20,装修建材,-36.1,8.59,17.92,26.86
21,航运港口,-36.9,3.18,10.35,15.79
22,物流行业,-37.1,7.53,12.96,28.04
23,医药商业,-38.7,4.42,12.43,20.11
24,采掘行业,-39.0,3.07,21.39,34.99
25,石油行业,-40.5,5.2,12.82,15.93
26,造纸印刷,-40.9,8.98,15.18,22.37
27,化肥行业,-49.1,4.15,12.83,19.88
28,仪器仪表,-51.0,14.22,23.66,54.03
29,电子化学品,-53.3,17.97,28.32,38.46
30,旅游酒店,-53.4,8.07,13.42,12.64
31,贵金属,-57.1,0.84,8.42,45.74
32,中药,-57.8,10.18,17.18,18.35
33,非金属材料,-59.0,15.25,31.16,42.02
34,能源金属,-59.9,15.7,32.04,27.6
35,农药兽药,-62.7,9.92,15.07,48.06
36,煤炭行业,-62.8,3.18,10.02,5.94
37,工程咨询服务,-66.0,6.82,22.66,30.77
38,商业百货,-66.1,6.19,5.86,1.79
39,贸易行业,-66.3,5.71,15.5,23.42
40,电机,-67.6,20.7,25.13,52.53
41,风电设备,-69.8,14.72,26.3,41.83
42,纺织服装,-71.0,9.41,15.11,29.6
43,多元金融,-71.2,-1.83,30.91,29.22
44,食品饮料,-72.8,5.88,3.46,19.1
45,电源设备,-73.5,22.71,34.49,56.59
46,家电行业,-75.3,12.57,18.6,34.71
47,通信服务,-83.4,7.76,15.74,19.24
48,船舶制造,-83.5,12.4,36.34,57.44
49,消费电子,-87.4,25.14,36.76,41.12
50,钢铁行业,-90.8,6.63,19.3,25.6
51,医疗器械,-98.6,17.03,27.65,40.75
52,化学原料,-101.4,8.31,14.9,35.58
53,环保行业,-113.4,8.84,14.89,34.36
54,交运设备,-113.9,13.67,21.58,37.07
55,房地产开发,-117.9,5.62,17.01,13.28
56,生物制品,-119.9,15.4,31.99,55.16
57,计算机设备,-120.6,12.71,27.26,41.69
58,农牧饲渔,-120.9,5.03,11.06,23.83
59,光学光电子,-124.4,15.95,27.28,32.66
60,游戏,-128.9,7.65,26.16,46.23
61,汽车整车,-131.5,9.64,10.75,16.54
62,工程机械,-136.6,20.24,26.97,47.39
63,塑料制品,-138.9,21.41,33.11,66.44
64,水泥建材,-140.0,9.49,22.15,29.83
65,电池,-141.5,13.52,31.02,43.2
66,医疗服务,-142.9,15.94,33.98,45.09
67,证券,-152.4,10.81,27.5,21.25
68,有色金属,-156.2,12.29,26.11,41.82
69,电力行业,-169.1,-0.36,5.99,14.19
70,航天航空,-182.8,9.22,25.56,36.78
71,光伏设备,-190.2,5.62,23.34,13.36
72,文化传媒,-195.8,5.37,14.84,16.64
73,半导体,-208.0,20.43,29.61,36.74
74,工程建设,-208.9,8.8,17.01,25.87
75,电网设备,-215.3,10.41,18.54,33.6
76,电子元件,-245.2,19.73,41.51,58.49
77,通用设备,-252.8,20.09,25.73,62.43
78,汽车零部件,-260.7,16.93,20.81,55.89
79,通信设备,-276.1,19.17,34.81,47.65
80,小金属,-279.6,22.11,47.37,71.99
81,化学制品,-284.1,11.43,20.27,40.98
82,化学制药,-336.8,16.01,33.92,54.0
83,专用设备,-428.1,16.88,25.79,51.16
84,互联网服务,-463.5,11.28,25.19,43.62
85,软件开发,-526.3,11.85,28.66,41.7
