,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,32.4,-2.14,7.85,6.13
1,证券,-6.3,14.09,25.59,19.88
2,汽车服务,-9.5,4.46,8.38,18.24
3,玻璃玻纤,-13.7,10.52,34.98,40.97
4,公用事业,-14.9,0.23,7.1,9.64
5,燃气,-17.7,8.11,14.77,16.41
6,橡胶制品,-18.8,11.26,17.88,34.21
7,教育,-20.3,3.98,12.41,10.53
8,美容护理,-21.7,5.4,3.74,30.09
9,专业服务,-22.4,10.48,20.96,38.51
10,房地产服务,-22.6,4.01,12.57,14.11
11,航空机场,-22.8,4.45,4.69,1.0
12,装修装饰,-24.8,4.3,10.79,27.17
13,铁路公路,-26.0,0.08,4.09,5.74
14,珠宝首饰,-26.4,-1.04,10.83,34.48
15,包装材料,-28.6,2.51,15.43,30.2
16,综合行业,-28.7,8.18,19.2,26.95
17,石油行业,-31.2,4.75,10.47,12.85
18,装修建材,-37.1,6.82,16.25,23.32
19,化纤行业,-37.6,5.76,9.24,28.79
20,采掘行业,-38.2,1.84,21.78,33.08
21,家用轻工,-40.9,3.88,14.43,33.33
22,航运港口,-41.5,2.16,8.97,14.86
23,电子化学品,-42.4,13.0,24.35,34.42
24,物流行业,-42.9,6.06,14.47,25.27
25,医药商业,-43.1,3.99,10.95,18.1
26,煤炭行业,-44.4,5.8,9.48,6.02
27,多元金融,-45.1,4.69,30.35,28.67
28,造纸印刷,-46.6,4.96,13.51,19.08
29,化肥行业,-46.9,2.81,11.6,18.08
30,非金属材料,-47.3,13.61,29.32,39.07
31,银行,-48.6,-5.87,4.44,15.53
32,电机,-49.1,15.09,17.59,44.88
33,能源金属,-49.9,14.9,28.34,26.73
34,贵金属,-51.0,1.26,6.28,46.0
35,中药,-54.3,8.65,13.79,14.76
36,工程咨询服务,-56.9,8.26,22.24,29.6
37,仪器仪表,-57.6,10.6,19.75,48.23
38,风电设备,-58.1,12.1,25.62,41.11
39,旅游酒店,-59.9,4.69,10.38,8.92
40,家电行业,-62.0,8.24,14.36,29.8
41,电源设备,-62.4,18.55,34.43,52.34
42,纺织服装,-62.9,6.53,13.64,25.86
43,贸易行业,-63.7,4.93,13.12,19.03
44,酿酒行业,-68.0,2.27,3.12,-0.22
45,房地产开发,-70.1,7.65,15.65,10.94
46,农药兽药,-71.3,6.38,16.99,43.39
47,医疗器械,-72.3,16.09,25.74,38.59
48,医疗服务,-73.5,19.12,31.35,44.38
49,商业百货,-74.6,3.37,4.48,-1.85
50,船舶制造,-75.9,10.91,33.03,52.41
51,钢铁行业,-83.9,8.07,17.96,24.25
52,通信服务,-88.9,4.98,14.2,16.02
53,食品饮料,-91.1,1.97,4.42,14.54
54,化学原料,-99.4,5.72,12.07,32.06
55,消费电子,-102.3,14.98,27.24,31.62
56,交运设备,-106.8,10.95,20.69,34.07
57,生物制品,-107.7,16.06,29.85,52.96
58,环保行业,-113.3,6.93,16.92,31.7
59,塑料制品,-114.0,17.81,30.04,61.96
60,计算机设备,-116.8,7.92,25.12,36.61
61,电池,-121.1,9.02,26.96,39.04
62,工程机械,-121.7,16.99,24.21,43.25
63,游戏,-121.8,4.45,28.31,43.24
64,光伏设备,-127.7,3.2,18.46,9.78
65,农牧饲渔,-130.9,3.18,9.32,20.98
66,水泥建材,-136.2,11.06,20.52,27.86
67,有色金属,-142.7,10.84,23.28,39.06
68,光学光电子,-159.6,9.61,20.43,25.64
69,汽车整车,-160.5,5.35,5.13,12.54
70,文化传媒,-182.0,4.04,12.79,13.08
71,工程建设,-190.6,8.74,16.17,23.88
72,航天航空,-193.2,6.6,21.76,33.05
73,电力行业,-202.8,-2.11,5.47,12.67
74,电网设备,-219.6,6.57,18.26,29.6
75,电子元件,-232.2,13.44,37.14,52.43
76,半导体,-238.9,13.97,22.83,29.9
77,通用设备,-245.2,14.91,22.07,55.27
78,小金属,-248.5,17.91,35.61,59.59
79,化学制品,-266.5,8.34,17.42,37.16
80,化学制药,-269.4,16.87,31.56,52.32
81,汽车零部件,-277.1,11.95,15.9,49.56
82,通信设备,-319.3,13.78,31.24,41.32
83,互联网服务,-357.5,9.18,21.87,39.13
84,专用设备,-380.0,14.04,23.86,46.69
85,软件开发,-451.2,10.17,25.17,37.27
