,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,26.2,-7.98,5.66,-0.22
1,教育,-7.5,9.66,11.99,11.31
2,汽车服务,-9.0,6.94,7.72,17.76
3,专业服务,-11.8,14.42,16.98,36.14
4,公用事业,-14.2,4.75,3.22,7.71
5,美容护理,-14.3,1.61,7.18,26.31
6,房地产服务,-17.4,6.25,7.08,10.58
7,航空机场,-17.9,2.22,4.62,-1.22
8,煤炭行业,-18.2,6.83,10.1,3.7
9,中药,-19.2,14.35,19.68,17.58
10,玻璃玻纤,-20.1,16.2,21.73,27.04
11,装修装饰,-20.8,5.65,9.11,24.03
12,包装材料,-21.0,6.54,19.35,29.53
13,燃气,-21.6,1.63,7.47,8.54
14,铁路公路,-21.7,0.29,3.47,5.23
15,医药商业,-22.1,11.93,16.99,20.59
16,综合行业,-22.7,5.51,15.44,19.68
17,橡胶制品,-23.9,5.68,10.55,23.94
18,石油行业,-32.1,2.42,9.6,10.75
19,珠宝首饰,-33.1,0.99,15.9,28.66
20,能源金属,-34.7,12.31,19.91,18.78
21,装修建材,-34.9,7.12,12.48,18.93
22,化纤行业,-35.7,4.32,8.9,22.79
23,工程咨询服务,-38.1,13.71,20.08,27.96
24,家用轻工,-38.4,3.01,13.88,27.36
25,旅游酒店,-38.6,6.16,8.9,7.54
26,医疗器械,-39.0,15.57,20.81,31.28
27,银行,-40.9,-2.14,8.38,16.63
28,物流行业,-43.1,6.78,13.36,22.91
29,采掘行业,-49.0,-0.24,20.9,30.55
30,非金属材料,-49.3,11.2,20.46,31.06
31,房地产开发,-50.3,6.56,8.91,4.82
32,生物制品,-51.1,18.59,34.49,49.88
33,贸易行业,-52.0,5.76,8.41,15.57
34,多元金融,-54.6,9.92,21.54,20.83
35,钢铁行业,-54.6,17.37,17.36,24.04
36,风电设备,-56.0,6.19,11.04,27.75
37,电机,-57.4,4.08,3.72,28.94
38,造纸印刷,-57.9,5.2,12.02,14.03
39,化肥行业,-58.0,4.68,11.55,16.99
40,贵金属,-59.7,0.25,6.01,40.89
41,纺织服装,-61.0,7.43,11.4,21.75
42,农药兽药,-62.1,6.55,19.89,41.33
43,航运港口,-63.4,1.88,14.37,12.23
44,食品饮料,-64.4,2.77,4.33,12.85
45,电子化学品,-65.4,5.66,9.35,21.09
46,医疗服务,-66.8,21.49,30.11,38.8
47,证券,-67.1,8.95,14.63,9.89
48,交运设备,-73.6,5.79,10.46,23.33
49,船舶制造,-74.7,12.23,17.37,37.32
50,光伏设备,-74.8,10.84,14.48,6.28
51,家电行业,-75.6,5.63,6.89,21.69
52,商业百货,-78.5,4.66,3.66,-2.73
53,电源设备,-84.1,10.75,16.16,33.11
54,通信服务,-85.5,2.14,5.64,9.55
55,酿酒行业,-86.0,1.53,1.35,-2.21
56,工程机械,-86.6,13.19,16.01,35.38
57,农牧饲渔,-96.4,4.19,7.4,19.04
58,水泥建材,-98.4,16.15,19.01,25.54
59,消费电子,-98.5,7.8,12.09,18.44
60,文化传媒,-111.1,6.64,11.76,13.49
61,塑料制品,-111.6,13.61,19.77,48.16
62,游戏,-113.8,4.94,20.72,34.56
63,计算机设备,-118.0,3.08,13.7,27.4
64,环保行业,-119.1,7.15,13.39,26.69
65,航天航空,-133.5,11.46,14.22,29.12
66,化学原料,-141.8,3.67,10.32,26.65
67,汽车整车,-142.8,4.35,5.03,8.68
68,工程建设,-161.8,8.55,12.14,18.89
69,电力行业,-162.4,4.5,2.15,11.15
70,有色金属,-169.5,7.66,14.1,27.04
71,化学制药,-171.6,22.68,39.05,50.97
72,光学光电子,-178.3,5.54,12.69,18.85
73,电网设备,-202.9,7.61,12.17,23.18
74,电池,-210.3,1.59,17.89,29.39
75,电子元件,-233.5,12.74,24.53,40.84
76,小金属,-245.0,14.18,25.66,47.43
77,化学制品,-260.4,6.48,13.2,30.77
78,通用设备,-274.7,8.23,10.85,41.56
79,汽车零部件,-296.6,4.65,8.16,37.56
80,通信设备,-297.5,9.16,18.42,30.42
81,专用设备,-308.7,10.51,16.2,37.5
82,互联网服务,-337.6,9.51,14.95,34.02
83,半导体,-338.1,7.4,8.91,19.3
84,软件开发,-415.3,12.32,17.05,32.73
