,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,19.4,-8.33,6.11,1.13
1,银行,3.2,-1.81,9.26,19.45
2,汽车服务,-8.3,8.85,8.55,19.28
3,公用事业,-12.7,5.48,4.21,9.3
4,教育,-13.0,8.54,11.43,11.27
5,煤炭行业,-13.3,9.5,11.53,5.95
6,专业服务,-14.2,14.48,17.69,37.45
7,美容护理,-14.7,5.53,7.85,29.03
8,燃气,-18.1,3.8,9.22,10.72
9,航空机场,-18.7,3.26,4.07,0.42
10,石油行业,-20.0,3.62,9.43,11.48
11,装修装饰,-21.6,7.03,9.57,26.12
12,房地产服务,-22.2,5.11,8.27,11.1
13,综合行业,-22.6,5.49,16.36,21.22
14,橡胶制品,-22.7,7.89,12.52,27.52
15,铁路公路,-23.4,2.16,4.89,6.4
16,包装材料,-24.1,5.0,19.65,30.47
17,玻璃玻纤,-26.0,15.58,21.09,26.76
18,医药商业,-26.4,12.17,16.51,20.88
19,珠宝首饰,-27.9,2.85,17.98,31.2
20,化纤行业,-33.5,5.99,8.68,25.59
21,装修建材,-34.9,8.59,13.76,21.33
22,中药,-35.2,13.97,18.32,16.66
23,能源金属,-37.5,12.58,17.72,18.59
24,家用轻工,-38.3,5.35,13.47,29.59
25,医疗器械,-40.2,17.76,20.56,33.66
26,采掘行业,-41.5,1.29,20.4,32.12
27,工程咨询服务,-42.9,12.63,20.08,28.95
28,贵金属,-43.9,3.15,11.24,46.67
29,物流行业,-44.9,8.7,13.2,24.89
30,旅游酒店,-47.4,3.8,8.16,8.22
31,房地产开发,-47.5,7.02,10.14,6.21
32,航运港口,-49.5,3.7,10.12,13.45
33,农药兽药,-51.4,9.75,20.61,42.82
34,仪器仪表,-52.0,11.31,14.18,45.2
35,造纸印刷,-52.3,7.54,14.31,16.43
36,化肥行业,-52.9,6.65,11.84,18.48
37,风电设备,-55.2,7.8,12.8,31.13
38,非金属材料,-56.6,11.17,21.31,32.32
39,贸易行业,-57.2,5.5,8.36,17.02
40,电机,-59.0,8.06,5.0,33.78
41,钢铁行业,-59.6,18.64,18.12,25.35
42,电子化学品,-60.1,8.0,11.53,23.4
43,纺织服装,-61.7,8.76,12.27,24.39
44,生物制品,-63.6,20.98,35.99,51.57
45,酿酒行业,-71.7,3.15,2.81,-0.9
46,医疗服务,-73.3,23.0,28.47,40.18
47,交运设备,-74.3,8.69,12.63,27.42
48,船舶制造,-74.5,5.86,20.4,42.24
49,食品饮料,-74.6,3.13,5.5,13.85
50,多元金融,-79.3,2.72,21.23,21.78
51,电源设备,-81.7,12.29,17.11,36.14
52,通信服务,-82.2,4.39,7.35,12.86
53,家电行业,-83.1,7.69,7.69,24.8
54,商业百货,-86.5,3.06,3.65,-2.59
55,光伏设备,-86.8,12.09,9.97,6.97
56,消费电子,-90.4,11.55,13.54,22.81
57,工程机械,-91.7,15.54,16.79,38.34
58,游戏,-98.7,8.38,23.57,38.7
59,农牧饲渔,-102.3,5.63,8.63,20.27
60,水泥建材,-109.4,15.92,18.46,25.97
61,塑料制品,-118.2,16.57,22.7,54.62
62,环保行业,-118.9,9.13,15.67,29.54
63,化学原料,-125.2,5.27,10.14,28.89
64,文化传媒,-127.5,5.96,11.9,13.88
65,航天航空,-139.2,12.09,18.24,35.63
66,计算机设备,-144.0,3.66,16.58,30.7
67,证券,-152.2,6.48,14.51,11.36
68,有色金属,-159.0,10.12,15.9,30.78
69,汽车整车,-162.9,6.13,5.8,10.6
70,工程建设,-170.0,9.16,12.11,20.42
71,光学光电子,-172.9,7.52,14.57,21.79
72,电力行业,-173.3,4.98,3.3,12.29
73,化学制药,-187.2,25.76,39.46,51.97
74,电网设备,-201.3,10.13,13.79,26.32
75,电池,-221.4,2.78,18.05,32.42
76,小金属,-237.6,15.55,26.34,49.38
77,通信设备,-252.9,11.79,21.86,36.07
78,电子元件,-260.7,14.35,26.0,44.48
79,化学制品,-267.9,8.04,13.24,33.06
80,通用设备,-268.9,11.28,12.55,46.83
81,汽车零部件,-293.1,8.35,10.83,43.26
82,专用设备,-323.0,12.92,18.0,41.48
83,半导体,-363.6,8.52,10.25,21.67
84,互联网服务,-441.5,7.8,13.85,35.39
85,软件开发,-514.5,8.58,17.16,34.24
