,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,19.6,-6.75,1.92,1.65
1,银行,-7.0,-4.23,6.27,17.34
2,汽车服务,-10.1,8.0,6.31,20.2
3,公用事业,-13.3,3.44,4.43,10.85
4,专业服务,-17.3,13.24,17.54,39.62
5,燃气,-17.8,10.07,13.43,16.64
6,教育,-19.6,6.72,10.75,12.22
7,橡胶制品,-21.0,11.7,15.1,33.35
8,装修装饰,-21.1,8.43,10.74,29.56
9,美容护理,-21.4,8.01,0.38,31.7
10,房地产服务,-22.1,6.66,9.33,14.1
11,航空机场,-23.0,4.79,2.87,0.72
12,包装材料,-23.0,6.4,14.33,31.03
13,综合行业,-23.0,10.05,16.78,26.98
14,玻璃玻纤,-23.7,9.61,22.57,31.77
15,石油行业,-25.9,7.23,9.57,13.9
16,珠宝首饰,-26.2,3.05,11.3,36.62
17,铁路公路,-26.9,1.07,2.67,6.18
18,煤炭行业,-35.5,8.26,8.45,7.29
19,装修建材,-36.3,10.0,15.0,24.71
20,化纤行业,-37.2,7.72,7.24,28.29
21,能源金属,-37.3,18.66,26.65,27.46
22,家用轻工,-37.5,5.72,11.2,32.87
23,采掘行业,-38.5,4.6,20.46,34.7
24,医药商业,-39.5,6.18,12.12,19.84
25,航运港口,-40.0,3.29,5.49,15.75
26,非金属材料,-43.8,16.06,23.41,38.1
27,物流行业,-44.4,8.26,12.01,25.93
28,多元金融,-44.4,8.29,23.89,27.03
29,电子化学品,-44.4,14.04,20.24,32.84
30,造纸印刷,-45.2,7.95,12.75,18.96
31,化肥行业,-50.5,5.43,9.04,18.68
32,医疗器械,-52.2,18.89,25.55,40.17
33,贵金属,-52.4,3.13,8.27,47.91
34,工程咨询服务,-53.2,11.49,17.42,30.49
35,旅游酒店,-55.2,5.68,6.89,8.81
36,仪器仪表,-56.8,12.32,15.63,48.42
37,纺织服装,-57.4,9.23,11.81,26.77
38,电机,-57.8,13.42,11.28,40.44
39,房地产开发,-59.5,10.19,11.73,10.25
40,中药,-60.6,8.64,13.02,14.75
41,电源设备,-61.1,19.37,28.66,47.47
42,贸易行业,-61.3,6.92,9.46,19.2
43,风电设备,-61.6,13.19,19.93,38.96
44,农药兽药,-67.0,7.67,14.37,42.66
45,医疗服务,-68.9,20.42,30.9,44.06
46,交运设备,-70.1,13.79,19.52,36.2
47,酿酒行业,-70.4,2.92,2.18,0.05
48,商业百货,-72.8,6.36,2.69,0.1
49,家电行业,-73.2,9.42,10.87,29.01
50,钢铁行业,-77.7,11.77,18.08,26.46
51,船舶制造,-79.2,11.49,30.28,52.29
52,证券,-79.4,12.0,18.66,15.89
53,通信服务,-88.7,6.61,10.89,16.3
54,计算机设备,-91.9,9.84,20.68,36.11
55,食品饮料,-93.8,3.74,1.33,15.39
56,游戏,-102.6,6.17,24.32,42.44
57,消费电子,-104.6,16.94,22.87,30.5
58,化学原料,-106.4,7.24,10.09,32.04
59,塑料制品,-109.4,20.11,26.56,60.86
60,生物制品,-109.8,13.74,27.19,51.77
61,工程机械,-110.5,19.36,21.1,43.64
62,环保行业,-122.4,10.05,15.31,32.81
63,农牧饲渔,-123.5,4.36,6.32,21.88
64,水泥建材,-131.6,14.91,18.29,28.96
65,光伏设备,-135.3,8.3,13.98,9.05
66,电池,-150.3,9.73,20.46,38.23
67,汽车整车,-154.8,6.68,5.27,12.83
68,光学光电子,-159.6,11.24,17.98,25.66
69,航天航空,-160.2,9.09,22.17,35.84
70,文化传媒,-160.4,6.77,10.43,14.07
71,有色金属,-163.4,11.78,19.55,37.68
72,工程建设,-177.3,11.08,13.67,24.65
73,电力行业,-182.4,1.48,2.2,13.21
74,电网设备,-193.4,10.43,15.83,29.58
75,电子元件,-235.3,15.68,32.7,51.54
76,汽车零部件,-241.5,13.68,13.6,49.73
77,化学制品,-253.5,10.52,15.02,37.25
78,通用设备,-253.8,15.55,17.93,53.64
79,半导体,-267.6,14.27,18.53,28.48
80,化学制药,-271.3,16.86,32.37,52.02
81,通信设备,-278.4,16.51,29.75,42.4
82,小金属,-278.5,19.88,30.94,57.36
83,专用设备,-323.6,16.35,21.62,47.29
84,互联网服务,-381.2,10.91,17.68,38.42
85,软件开发,-450.3,11.35,20.0,35.73
