,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,21.8,-6.36,1.97,1.3
1,银行,5.0,-1.76,8.42,18.41
2,汽车服务,-9.7,7.59,6.08,20.31
3,专业服务,-13.2,12.76,16.91,39.78
4,公用事业,-13.6,4.64,4.29,10.53
5,燃气,-17.3,9.37,12.98,16.57
6,美容护理,-18.2,4.92,-0.08,30.84
7,教育,-18.9,5.84,9.33,11.57
8,装修装饰,-20.8,7.19,9.98,29.32
9,珠宝首饰,-21.4,2.66,15.87,37.94
10,橡胶制品,-22.3,9.02,13.93,32.18
11,航空机场,-22.6,4.06,3.63,0.23
12,房地产服务,-23.0,4.65,7.7,13.26
13,石油行业,-23.2,6.32,10.05,14.12
14,综合行业,-23.2,9.03,16.81,26.39
15,能源金属,-23.6,15.98,27.0,27.58
16,包装材料,-24.5,5.0,14.04,31.3
17,铁路公路,-27.7,1.04,3.36,6.1
18,玻璃玻纤,-29.3,9.54,21.2,30.59
19,煤炭行业,-31.4,9.19,11.99,8.51
20,装修建材,-35.7,8.77,14.06,24.4
21,化纤行业,-37.0,5.5,5.26,27.92
22,采掘行业,-39.0,2.62,20.71,34.44
23,家用轻工,-39.3,3.88,9.38,32.61
24,航运港口,-39.9,4.63,6.96,16.61
25,医药商业,-41.3,6.44,13.64,20.05
26,物流行业,-43.2,8.42,12.28,26.7
27,消费电子,-43.4,13.65,19.95,29.14
28,造纸印刷,-44.9,7.75,12.15,19.09
29,化肥行业,-47.9,4.46,9.81,19.0
30,医疗器械,-48.4,19.04,24.73,40.04
31,酿酒行业,-48.8,2.8,3.2,0.37
32,电子化学品,-49.2,9.16,17.3,28.83
33,多元金融,-49.5,7.91,22.11,25.49
34,工程咨询服务,-49.6,11.68,17.84,31.19
35,非金属材料,-51.2,11.75,21.04,34.96
36,中药,-52.2,8.53,13.44,15.07
37,纺织服装,-52.6,8.4,11.37,27.27
38,房地产开发,-53.7,9.7,12.06,10.38
39,仪器仪表,-55.0,10.13,14.24,48.41
40,旅游酒店,-56.4,5.31,5.98,8.75
41,贵金属,-56.5,0.12,11.9,45.68
42,贸易行业,-59.1,5.67,8.26,19.06
43,风电设备,-61.9,9.84,18.78,38.35
44,农药兽药,-63.3,6.67,14.41,42.79
45,电机,-64.3,9.51,7.87,37.68
46,电源设备,-70.3,17.13,24.85,44.83
47,交运设备,-72.3,11.68,17.63,34.99
48,商业百货,-73.3,4.99,1.63,-0.55
49,家电行业,-75.6,7.69,9.47,28.32
50,通信服务,-80.8,6.01,9.74,16.3
51,医疗服务,-84.3,18.12,28.95,41.45
52,钢铁行业,-88.5,12.58,18.0,26.52
53,船舶制造,-88.6,8.18,27.59,50.87
54,食品饮料,-96.4,2.7,0.43,15.26
55,证券,-100.4,9.64,15.93,13.5
56,生物制品,-102.0,11.41,26.17,48.13
57,游戏,-104.4,6.79,22.49,41.14
58,化学原料,-106.7,6.0,10.1,32.33
59,计算机设备,-108.5,7.87,19.09,34.96
60,塑料制品,-108.9,16.7,23.83,58.81
61,工程机械,-109.7,17.75,19.42,42.92
62,农牧饲渔,-117.7,4.62,5.62,22.54
63,环保行业,-120.8,8.47,14.36,32.5
64,水泥建材,-130.4,15.36,19.47,30.0
65,电池,-139.0,5.7,21.85,36.9
66,汽车整车,-139.4,6.02,6.27,12.7
67,光伏设备,-151.1,6.12,12.68,8.13
68,航天航空,-151.6,8.02,20.87,35.31
69,光学光电子,-153.3,8.7,15.86,25.05
70,文化传媒,-163.9,5.69,8.76,13.57
71,工程建设,-169.8,10.58,13.54,24.71
72,电力行业,-174.6,2.98,2.79,13.32
73,有色金属,-181.7,7.05,16.98,34.42
74,电网设备,-200.1,8.85,14.14,29.03
75,电子元件,-242.7,12.64,29.13,48.85
76,半导体,-254.1,12.12,16.03,27.24
77,化学制品,-260.8,8.1,14.06,36.69
78,通用设备,-268.8,12.51,15.15,52.08
79,化学制药,-269.0,16.06,32.07,50.33
80,汽车零部件,-283.1,10.25,11.5,47.31
81,通信设备,-284.7,12.35,25.56,39.48
82,小金属,-296.5,13.95,25.99,53.0
83,专用设备,-355.0,13.36,19.37,45.71
84,互联网服务,-379.8,9.98,15.34,37.37
85,软件开发,-431.1,11.07,18.35,35.22
