,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,25.4,-6.92,0.22,0.72
1,银行,13.7,1.73,8.63,19.57
2,汽车服务,-8.6,8.07,9.14,19.57
3,公用事业,-13.2,3.97,4.8,8.73
4,教育,-13.5,6.97,12.96,11.53
5,美容护理,-15.8,6.07,4.2,30.96
6,专业服务,-16.1,12.12,20.28,39.22
7,燃气,-16.4,5.33,10.65,12.11
8,石油行业,-20.1,4.23,9.26,12.01
9,综合行业,-20.4,6.12,16.26,22.19
10,装修装饰,-20.7,6.44,9.96,27.32
11,房地产服务,-20.8,3.7,8.86,11.5
12,橡胶制品,-21.3,8.4,16.37,30.71
13,铁路公路,-23.0,1.68,4.5,6.21
14,航空机场,-23.1,2.47,3.93,-0.06
15,煤炭行业,-25.9,9.45,11.22,7.32
16,珠宝首饰,-26.2,2.24,23.25,35.92
17,包装材料,-26.9,4.38,18.9,30.43
18,玻璃玻纤,-27.2,14.18,21.83,27.6
19,能源金属,-31.4,13.33,20.85,20.65
20,医疗器械,-32.9,15.97,23.13,35.0
21,化纤行业,-34.5,5.71,4.94,26.56
22,家用轻工,-35.0,3.59,13.33,30.98
23,采掘行业,-35.5,1.82,22.16,33.11
24,医药商业,-35.8,7.78,15.77,18.9
25,装修建材,-38.4,7.18,14.99,21.7
26,物流行业,-41.8,8.42,10.88,26.21
27,贵金属,-42.9,4.9,16.78,50.13
28,航运港口,-45.1,4.37,5.22,14.07
29,工程咨询服务,-46.3,9.66,20.01,28.97
30,房地产开发,-48.4,7.0,11.03,7.06
31,仪器仪表,-49.1,10.48,17.34,47.96
32,造纸印刷,-50.4,7.31,15.99,18.13
33,电机,-51.3,7.77,9.6,36.11
34,化肥行业,-51.6,5.03,10.93,17.82
35,农药兽药,-53.4,7.6,18.31,41.82
36,纺织服装,-55.4,7.89,12.89,26.19
37,旅游酒店,-57.2,3.66,7.83,7.17
38,中药,-57.2,10.19,14.96,13.44
39,贸易行业,-58.7,4.69,8.65,17.81
40,风电设备,-59.3,5.73,14.91,31.72
41,非金属材料,-60.1,10.77,24.24,34.77
42,酿酒行业,-67.5,2.2,3.24,-0.5
43,钢铁行业,-71.7,16.6,17.55,24.5
44,家电行业,-72.0,7.12,10.17,25.88
45,多元金融,-72.1,-0.92,18.37,20.62
46,船舶制造,-77.8,8.76,30.91,51.75
47,交运设备,-77.9,8.2,15.6,29.21
48,食品饮料,-78.1,3.17,4.36,14.65
49,商业百货,-78.6,2.85,3.0,-2.64
50,电源设备,-79.7,10.45,21.54,38.06
51,消费电子,-80.2,10.98,18.31,25.24
52,游戏,-86.6,6.26,27.76,41.71
53,生物制品,-87.9,15.2,32.26,47.8
54,医疗服务,-89.4,16.72,28.14,38.39
55,通信服务,-91.1,4.1,10.44,14.82
56,光伏设备,-102.4,7.8,13.22,6.66
57,农牧饲渔,-102.5,5.75,7.35,21.27
58,工程机械,-103.2,14.44,19.32,39.1
59,塑料制品,-116.6,15.29,25.27,56.53
60,水泥建材,-116.7,14.58,18.58,26.01
61,化学原料,-117.3,5.76,11.02,30.61
62,航天航空,-117.5,7.59,23.03,38.21
63,环保行业,-119.6,8.07,16.43,30.19
64,证券,-125.1,7.98,13.89,12.17
65,计算机设备,-126.6,4.14,20.24,32.97
66,汽车整车,-138.5,5.44,7.75,11.03
67,文化传媒,-141.4,4.76,13.09,13.95
68,有色金属,-169.8,8.12,18.0,32.48
69,工程建设,-170.9,7.32,13.22,20.83
70,电力行业,-173.0,4.61,3.99,12.36
71,电池,-182.6,2.33,21.24,33.32
72,电网设备,-209.1,8.08,16.43,27.05
73,小金属,-230.1,14.72,28.48,54.81
74,通用设备,-244.8,10.82,15.9,49.59
75,化学制药,-256.2,20.05,34.71,48.11
76,化学制品,-256.3,7.34,14.11,34.58
77,汽车零部件,-268.2,7.7,14.11,45.24
78,半导体,-300.1,9.24,16.77,25.86
79,电子元件,-303.1,11.13,29.19,45.66
80,专用设备,-313.6,12.17,21.29,43.53
81,通信设备,-345.2,9.12,26.52,37.88
82,互联网服务,-404.4,7.93,17.37,37.63
