,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,-11.9,5.61,5.85,7.68
1,公用事业,-12.0,-0.92,4.01,8.99
2,汽车服务,-12.5,2.72,11.65,24.12
3,玻璃玻纤,-16.1,17.27,35.5,49.16
4,珠宝首饰,-19.8,2.37,1.81,34.4
5,美容护理,-21.1,10.26,5.25,37.38
6,燃气,-23.9,3.6,8.84,13.81
7,房地产服务,-25.7,2.04,4.84,13.36
8,包装材料,-27.7,2.99,9.07,31.5
9,装修装饰,-30.5,4.47,8.63,30.16
10,家用轻工,-35.5,5.49,5.44,35.54
11,教育,-37.2,3.99,8.73,12.3
12,专业服务,-38.6,3.02,17.25,39.06
13,医药商业,-38.7,-0.16,5.9,17.18
14,装修建材,-39.8,3.38,10.44,24.08
15,航空机场,-40.4,2.93,4.36,3.03
16,橡胶制品,-41.7,8.96,16.04,36.06
17,采掘行业,-43.5,0.47,14.56,34.21
18,化纤行业,-44.9,7.96,11.66,35.08
19,铁路公路,-46.5,-3.59,0.51,5.13
20,造纸印刷,-47.9,5.1,10.7,20.25
21,酿酒行业,-48.8,5.33,6.87,6.37
22,物流行业,-56.3,3.36,8.73,25.57
23,综合行业,-56.6,10.32,21.4,34.02
24,贵金属,-57.5,1.44,8.95,53.25
25,多元金融,-61.9,3.48,18.02,30.11
26,化肥行业,-62.5,2.17,12.14,22.2
27,航运港口,-62.7,-0.86,7.94,14.76
28,石油行业,-64.9,-1.08,8.76,14.58
29,农药兽药,-67.4,5.64,7.19,46.1
30,贸易行业,-67.9,4.3,12.06,24.06
31,工程咨询服务,-70.8,-2.72,11.57,27.52
32,非金属材料,-72.1,11.27,29.48,45.71
33,旅游酒店,-73.0,9.52,11.2,15.61
34,电子化学品,-73.3,16.6,23.84,38.11
35,风电设备,-78.2,12.62,23.2,43.27
36,仪器仪表,-78.3,5.63,15.6,49.43
37,商业百货,-80.3,6.14,6.33,3.02
38,银行,-80.6,-4.08,0.52,14.71
39,纺织服装,-81.4,3.25,6.68,25.16
40,煤炭行业,-87.9,-4.87,6.52,4.19
41,能源金属,-88.6,11.08,31.26,31.18
42,电源设备,-91.6,23.0,34.86,62.77
43,游戏,-97.2,14.33,23.27,52.42
44,通信服务,-97.4,8.06,7.18,18.59
45,中药,-101.5,2.99,6.6,13.49
46,食品饮料,-117.4,5.05,3.16,19.05
47,环保行业,-120.8,4.48,10.98,32.61
48,船舶制造,-122.2,8.67,26.97,52.09
49,钢铁行业,-123.2,-1.2,16.36,24.06
50,交运设备,-134.6,8.44,15.03,34.43
51,电机,-135.9,8.6,18.33,44.45
52,农牧饲渔,-138.3,2.14,7.03,23.87
53,房地产开发,-143.0,4.74,12.33,11.6
54,化学原料,-143.4,3.27,10.69,34.32
55,家电行业,-149.4,9.34,14.0,33.08
56,光伏设备,-161.6,6.03,19.83,14.18
57,医疗器械,-162.6,9.42,17.64,36.83
58,水泥建材,-168.6,-5.21,15.64,27.51
59,电池,-173.7,12.13,27.13,47.39
60,汽车整车,-180.4,5.23,10.23,15.65
61,医疗服务,-181.4,10.27,21.34,43.72
62,生物制品,-183.5,6.35,16.69,52.42
63,塑料制品,-193.3,9.8,23.77,61.61
64,光学光电子,-194.2,15.66,24.1,34.68
65,工程机械,-209.8,2.83,22.15,45.7
66,消费电子,-220.1,23.38,32.29,42.45
67,文化传媒,-227.1,5.72,7.83,15.41
68,电子元件,-235.8,19.8,37.75,62.88
69,计算机设备,-236.6,12.87,18.65,43.3
70,航天航空,-237.4,9.93,22.86,42.51
71,有色金属,-244.6,8.06,20.44,41.94
72,电力行业,-249.2,-1.47,5.3,13.79
73,工程建设,-278.4,1.76,12.11,25.37
74,电网设备,-294.7,2.43,13.04,31.19
75,证券,-300.0,10.78,22.46,21.84
76,半导体,-300.5,24.22,29.7,42.48
77,通信设备,-340.2,20.42,31.72,53.93
78,小金属,-343.1,25.31,46.2,84.82
79,化学制品,-345.7,4.75,13.71,38.7
80,通用设备,-403.6,11.12,21.01,58.86
81,汽车零部件,-451.4,11.1,18.64,53.92
82,化学制药,-465.4,5.53,17.82,49.42
83,专用设备,-599.2,9.25,20.31,48.5
84,互联网服务,-599.5,13.12,20.36,47.35
85,软件开发,-729.8,13.19,23.25,45.12
