,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,21.4,-5.8,-0.21,1.69
1,汽车服务,-7.9,9.51,9.09,20.44
2,银行,-9.6,0.67,7.88,19.19
3,专业服务,-12.3,13.53,19.02,38.9
4,公用事业,-13.2,4.9,4.21,8.94
5,教育,-14.1,8.36,12.2,11.8
6,煤炭行业,-14.9,9.98,12.13,7.71
7,美容护理,-15.1,5.65,9.05,29.76
8,燃气,-17.4,5.22,10.05,11.35
9,橡胶制品,-17.8,10.21,15.98,31.37
10,航空机场,-20.3,2.28,3.67,-0.09
11,石油行业,-20.3,4.39,8.82,11.71
12,装修装饰,-20.5,7.65,10.08,27.61
13,房地产服务,-21.6,4.55,7.72,11.21
14,综合行业,-22.6,5.21,14.75,21.32
15,铁路公路,-22.9,1.98,4.24,6.0
16,包装材料,-24.2,4.99,18.42,30.66
17,玻璃玻纤,-25.4,16.46,21.64,27.83
18,珠宝首饰,-28.2,2.22,19.16,32.25
19,医药商业,-31.0,9.35,15.56,19.36
20,化纤行业,-34.6,7.42,6.55,27.36
21,能源金属,-36.1,11.69,16.69,18.87
22,装修建材,-36.8,8.8,15.16,22.14
23,家用轻工,-39.1,5.13,12.96,30.2
24,采掘行业,-39.5,3.28,20.82,32.84
25,工程咨询服务,-45.1,11.42,19.44,28.73
26,航运港口,-46.7,4.66,5.66,13.83
27,房地产开发,-47.2,6.76,9.57,6.42
28,电机,-47.2,10.58,8.7,37.16
29,物流行业,-47.5,7.08,8.12,24.51
30,仪器仪表,-48.9,11.75,15.92,47.11
31,医疗器械,-49.1,16.26,20.16,32.58
32,农药兽药,-50.2,9.06,20.04,42.74
33,造纸印刷,-51.3,8.29,15.08,17.62
34,中药,-51.3,11.49,16.44,14.42
35,贵金属,-51.7,4.46,13.72,47.72
36,化肥行业,-52.4,5.84,11.03,18.55
37,纺织服装,-56.3,9.06,13.48,26.13
38,贸易行业,-57.1,4.65,6.85,17.15
39,电子化学品,-57.3,9.2,12.95,25.14
40,风电设备,-58.6,7.65,13.6,31.79
41,船舶制造,-58.6,13.85,28.66,51.77
42,非金属材料,-59.2,11.55,22.0,33.65
43,旅游酒店,-59.8,4.11,7.74,7.36
44,钢铁行业,-62.4,18.13,17.75,25.64
45,交运设备,-67.0,9.95,15.07,29.43
46,消费电子,-69.3,12.09,15.87,24.88
47,多元金融,-69.5,0.34,16.72,21.54
48,生物制品,-70.9,18.84,35.16,50.06
49,家电行业,-71.1,8.72,9.54,26.14
50,医疗服务,-75.3,20.69,27.51,38.96
51,酿酒行业,-75.8,3.5,2.4,-0.7
52,电源设备,-77.4,11.35,18.14,37.16
53,食品饮料,-79.9,2.97,5.41,13.89
54,光伏设备,-83.2,11.93,12.26,7.56
55,通信服务,-84.7,4.23,8.36,14.42
56,游戏,-88.7,11.59,25.8,41.88
57,商业百货,-88.8,2.92,2.61,-2.93
58,工程机械,-95.9,16.13,18.55,39.91
59,农牧饲渔,-106.1,5.36,8.04,20.22
60,证券,-111.9,6.84,11.33,11.85
61,航天航空,-113.5,13.35,22.36,38.71
62,塑料制品,-117.6,17.37,24.64,56.72
63,化学原料,-117.9,6.51,10.15,30.51
64,水泥建材,-118.5,13.77,17.72,25.39
65,环保行业,-119.0,9.25,16.23,30.35
66,计算机设备,-141.6,5.56,17.38,32.3
67,汽车整车,-143.2,5.56,6.38,11.14
68,文化传媒,-144.8,6.15,11.8,14.07
69,有色金属,-157.7,8.41,16.75,32.39
70,光学光电子,-172.2,7.47,15.3,22.59
71,工程建设,-174.6,7.83,12.03,20.24
72,电力行业,-177.0,5.11,3.11,12.29
73,电网设备,-194.2,10.09,15.59,27.59
74,电池,-195.3,4.32,20.28,34.35
75,化学制药,-217.2,23.1,38.0,50.19
76,通用设备,-222.3,13.23,15.05,50.15
77,小金属,-231.4,14.17,25.0,50.39
78,汽车零部件,-244.1,10.07,13.69,46.06
79,化学制品,-255.7,8.5,13.49,34.01
80,电子元件,-258.7,13.88,27.76,46.33
81,专用设备,-291.9,14.53,20.28,43.87
82,通信设备,-298.0,11.61,23.83,37.69
83,半导体,-340.4,8.99,12.11,23.52
84,互联网服务,-409.5,9.62,14.22,37.53
85,软件开发,-487.3,10.99,18.12,36.6
