,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,公用事业,-10.3,-0.39,4.54,9.08
1,保险,-10.3,1.77,3.52,4.9
2,汽车服务,-11.1,4.2,12.61,24.3
3,玻璃玻纤,-16.1,17.82,37.31,48.69
4,珠宝首饰,-16.5,6.14,5.71,38.93
5,包装材料,-23.2,4.52,11.5,33.23
6,燃气,-24.5,4.89,10.34,14.32
7,美容护理,-24.9,8.45,2.64,37.61
8,房地产服务,-25.9,3.4,7.5,14.48
9,装修装饰,-29.6,6.27,11.5,32.63
10,家用轻工,-33.3,6.79,5.26,36.41
11,医药商业,-38.1,0.82,6.23,18.09
12,教育,-38.6,5.84,10.59,13.05
13,装修建材,-38.8,4.56,11.79,24.93
14,化纤行业,-39.9,10.18,13.82,36.59
15,采掘行业,-41.6,3.53,17.67,36.72
16,航空机场,-42.0,1.86,3.5,2.17
17,造纸印刷,-42.5,7.61,13.96,22.16
18,专业服务,-45.5,4.44,17.92,38.58
19,橡胶制品,-46.3,10.36,16.82,36.1
20,铁路公路,-47.8,-2.78,1.06,5.74
21,贵金属,-49.3,10.86,18.82,66.76
22,多元金融,-53.3,4.4,18.86,29.87
23,综合行业,-56.7,12.54,23.86,35.64
24,化肥行业,-61.2,3.91,13.12,23.31
25,农药兽药,-61.5,7.67,8.85,48.29
26,航运港口,-63.5,0.2,4.11,15.01
27,贸易行业,-64.1,6.12,13.76,24.79
28,物流行业,-68.3,4.35,9.36,26.7
29,石油行业,-68.4,0.06,9.57,15.01
30,工程咨询服务,-70.5,-0.7,14.03,28.11
31,电子化学品,-71.8,18.46,27.48,40.17
32,商业百货,-75.5,7.12,8.42,4.25
33,旅游酒店,-77.2,12.48,13.07,17.82
34,纺织服装,-77.5,4.19,8.03,25.98
35,酿酒行业,-80.1,6.8,8.76,6.83
36,风电设备,-81.9,13.26,25.1,42.71
37,仪器仪表,-83.2,8.06,18.0,51.11
38,非金属材料,-84.1,13.27,31.3,46.54
39,银行,-90.4,-5.09,-0.78,13.86
40,通信服务,-96.1,10.53,9.08,19.9
41,能源金属,-96.8,15.94,36.3,35.18
42,电源设备,-98.4,23.43,36.9,62.8
43,游戏,-101.7,14.32,21.75,52.34
44,中药,-104.2,4.53,7.31,14.65
45,环保行业,-113.5,5.92,13.21,34.39
46,煤炭行业,-115.4,-3.5,7.61,4.94
47,船舶制造,-115.5,12.45,30.06,52.84
48,食品饮料,-124.2,6.37,4.04,19.86
49,交运设备,-130.6,9.21,15.74,35.0
50,钢铁行业,-130.9,-1.14,17.16,24.91
51,电机,-132.1,10.72,20.23,44.95
52,化学原料,-137.7,6.13,12.79,36.13
53,房地产开发,-138.6,5.97,13.36,12.25
54,农牧饲渔,-145.5,3.24,6.77,24.21
55,水泥建材,-154.0,-1.97,17.56,27.89
56,家电行业,-161.7,9.06,14.42,32.74
57,医疗器械,-162.1,10.73,19.59,38.45
58,医疗服务,-163.0,11.77,24.4,47.56
59,生物制品,-168.0,10.0,19.3,57.01
60,光学光电子,-186.7,18.13,27.76,36.71
61,塑料制品,-187.8,12.27,26.56,63.26
62,光伏设备,-190.9,9.08,22.93,15.51
63,汽车整车,-192.7,7.04,12.65,16.89
64,文化传媒,-204.1,7.84,9.09,16.98
65,电子元件,-206.1,22.42,40.97,65.06
66,电池,-206.7,16.65,29.21,50.41
67,工程机械,-221.5,6.08,24.58,46.92
68,计算机设备,-230.1,14.68,20.97,44.58
69,有色金属,-235.5,11.24,23.7,44.77
70,消费电子,-235.8,25.52,35.85,43.94
71,航天航空,-241.8,10.83,24.41,40.96
72,电力行业,-249.9,0.23,5.31,14.43
73,电网设备,-293.6,5.88,14.15,32.35
74,工程建设,-297.4,4.6,14.69,26.8
75,半导体,-315.7,26.19,35.34,45.21
76,通信设备,-319.6,22.93,35.63,55.84
77,证券,-342.1,9.29,22.97,20.81
78,化学制品,-345.8,7.09,15.88,40.42
79,小金属,-359.2,26.97,47.75,87.77
80,通用设备,-398.9,13.59,23.12,59.94
81,化学制药,-434.5,8.51,20.07,53.16
82,汽车零部件,-456.1,11.97,20.27,53.99
83,互联网服务,-576.9,14.16,23.62,48.85
84,专用设备,-619.7,11.39,22.93,49.88
85,软件开发,-753.9,13.37,26.11,45.46
