,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,公用事业,-10.8,-1.5,3.82,8.6
1,汽车服务,-11.2,3.3,11.64,24.69
2,保险,-12.6,1.32,0.98,4.79
3,珠宝首饰,-15.2,6.84,5.94,41.21
4,玻璃玻纤,-19.7,12.38,33.11,45.23
5,燃气,-24.5,3.8,9.6,13.98
6,包装材料,-24.6,3.04,10.43,32.42
7,房地产服务,-29.6,0.36,5.18,12.83
8,装修装饰,-32.2,5.53,10.97,32.82
9,美容护理,-33.3,5.15,1.91,35.97
10,家用轻工,-34.4,4.9,3.06,34.9
11,教育,-39.4,2.61,6.94,10.72
12,装修建材,-40.3,2.91,10.25,24.12
13,航空机场,-40.8,-2.09,2.17,1.12
14,化纤行业,-41.6,6.92,11.42,34.15
15,采掘行业,-42.3,0.96,15.26,35.16
16,医药商业,-43.2,-0.87,5.77,17.38
17,铁路公路,-45.2,-4.04,-0.53,5.27
18,造纸印刷,-45.4,5.86,12.15,21.2
19,专业服务,-45.7,1.93,15.47,36.71
20,橡胶制品,-48.4,8.12,16.28,35.26
21,综合行业,-57.8,10.4,22.29,34.36
22,贵金属,-59.0,13.62,19.96,68.28
23,航运港口,-59.8,-1.07,5.11,15.4
24,石油行业,-60.2,0.02,9.68,15.38
25,化肥行业,-60.8,1.35,10.04,21.58
26,工程咨询服务,-61.1,-2.76,11.82,26.47
27,银行,-63.9,-2.13,0.91,15.78
28,农药兽药,-64.8,4.4,6.94,45.53
29,多元金融,-68.4,-1.35,13.9,25.78
30,贸易行业,-72.1,2.95,9.93,22.5
31,物流行业,-76.5,1.25,8.14,25.19
32,酿酒行业,-76.9,5.13,7.73,5.97
33,纺织服装,-77.3,3.05,6.85,25.96
34,旅游酒店,-79.7,9.62,12.03,17.7
35,仪器仪表,-80.8,5.88,16.11,49.45
36,风电设备,-82.4,10.72,21.79,40.46
37,电子化学品,-84.4,12.05,21.12,34.53
38,商业百货,-85.3,4.43,7.41,3.59
39,非金属材料,-97.1,8.46,26.42,43.2
40,通信服务,-105.5,5.82,6.29,16.01
41,中药,-108.4,1.89,5.76,13.47
42,煤炭行业,-110.3,-5.6,6.5,4.57
43,能源金属,-111.8,5.06,28.97,31.61
44,船舶制造,-113.4,7.79,26.25,48.51
45,电源设备,-113.6,17.66,32.09,55.96
46,游戏,-121.9,10.49,14.83,48.73
47,环保行业,-125.7,3.76,11.78,32.97
48,农牧饲渔,-128.6,1.41,5.13,23.69
49,食品饮料,-129.3,4.49,3.41,19.09
50,交运设备,-133.8,7.26,14.19,34.02
51,电机,-135.7,9.7,18.53,44.26
52,化学原料,-136.2,3.6,10.87,34.3
53,水泥建材,-136.8,-4.32,16.04,27.14
54,钢铁行业,-143.9,-3.82,15.16,23.96
55,房地产开发,-144.3,4.05,11.59,11.62
56,生物制品,-169.8,6.22,18.72,55.06
57,光伏设备,-171.5,6.56,21.37,14.95
58,医疗器械,-172.6,6.45,17.53,36.01
59,家电行业,-175.4,7.9,13.24,32.13
60,塑料制品,-180.3,10.85,25.01,62.8
61,医疗服务,-186.2,6.9,22.39,44.34
62,汽车整车,-193.5,5.79,11.06,16.61
63,工程机械,-205.3,3.75,23.33,46.06
64,电力行业,-222.5,0.06,5.83,14.64
65,电池,-223.0,14.03,29.25,50.29
66,光学光电子,-227.9,12.75,22.7,32.09
67,文化传媒,-234.1,3.58,5.45,14.23
68,航天航空,-236.2,7.18,21.98,38.25
69,有色金属,-248.3,8.81,21.14,43.8
70,工程建设,-269.0,1.99,13.05,25.36
71,电网设备,-274.5,3.7,12.76,30.32
72,计算机设备,-276.0,9.21,15.71,39.6
73,电子元件,-305.3,16.21,33.56,58.27
74,消费电子,-315.8,19.31,30.05,38.5
75,化学制品,-333.7,4.6,13.67,38.31
76,通用设备,-362.7,12.28,22.16,59.74
77,证券,-392.3,5.3,19.69,19.84
78,小金属,-420.5,17.16,37.14,82.66
79,化学制药,-442.8,5.32,18.74,50.77
80,汽车零部件,-444.3,11.61,18.17,54.8
81,半导体,-472.0,18.81,28.75,38.72
82,通信设备,-491.8,16.03,28.55,48.03
83,专用设备,-604.4,9.33,21.1,48.63
84,互联网服务,-751.0,8.82,17.91,43.26
85,软件开发,-892.2,8.16,21.08,40.53
