,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,医疗器械,300298,三诺生物,117.0,95.0,32.49,3.64,20.95,1.6,-5.8,0.14,-18.13
1,银行,600908,无锡银行,132.0,120.0,4.78,0.59,6.01,1.7,-3.8,1.18,5.62
2,银行,601528,瑞丰银行,110.0,97.0,6.2,0.58,5.62,1.7,-3.6,-3.1,3.5
3,商业百货,000785,居然智家,192.0,182.0,22.66,0.94,3.08,1.1,-0.3,-4.05,-13.73
4,航空机场,000089,深圳机场,148.0,148.0,23.68,1.3,7.21,1.6,1.3,3.59,6.5
5,汽车零部件,603730,岱美股份,130.0,130.0,15.55,2.98,6.05,1.1,4.3,5.4,-9.02
6,燃气,002267,陕天然气,93.0,93.0,9.08,1.4,8.32,1.1,5.2,8.05,2.72
7,中药,600557,康缘药业,97.0,97.0,34.24,2.09,17.22,2.0,5.9,21.87,26.43
8,电网设备,002270,华明装备,170.0,170.0,23.08,5.38,18.98,1.1,6.8,22.69,14.2
9,包装材料,600210,紫江企业,107.0,107.0,11.34,1.74,7.07,2.0,7.4,13.3,12.04
10,农药兽药,002004,华邦健康,96.0,92.0,12.41,0.99,4.87,1.6,8.9,16.79,7.74
