,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,医疗器械,300298,三诺生物,118.0,95.0,32.61,3.66,21.03,1.5,-5.8,-0.47,-17.82
1,银行,601528,瑞丰银行,110.0,97.0,6.2,0.58,5.62,1.6,-4.7,-4.75,3.5
2,银行,600908,无锡银行,132.0,121.0,5.36,0.63,6.03,1.8,-4.3,0.33,5.98
3,商业百货,000785,居然智家,191.0,180.0,22.51,0.93,3.06,1.6,1.3,-4.67,-14.29
4,航空机场,000089,深圳机场,147.0,147.0,23.58,1.29,7.18,1.2,1.8,2.87,6.06
5,汽车零部件,603730,岱美股份,131.0,131.0,15.63,3.0,6.08,1.1,5.4,4.47,-8.57
6,光伏设备,688503,聚和材料,121.0,90.0,33.49,2.54,49.99,1.3,5.8,59.05,13.92
7,燃气,002267,陕天然气,93.0,93.0,9.15,1.41,8.38,1.1,7.4,8.41,3.46
8,电子元件,002913,奥士康,121.0,115.0,30.89,2.76,38.13,2.0,8.1,47.56,62.19
