,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,汽车服务,837242,建邦科技,27.0,15.0,27.55,4.21,41.36,0.6,29.9,18.61,74.29
1,汽车服务,600335,国机汽车,98.0,98.0,18.31,0.86,6.55,-1.1,1.2,2.34,6.5
2,汽车服务,601965,中国汽研,192.0,190.0,26.92,2.74,19.12,-0.2,-2.1,8.27,10.65
3,酿酒行业,600702,舍得酒业,193.0,192.0,13.92,2.77,57.84,0.2,10.9,9.48,-11.71
4,酿酒行业,603919,金徽酒,99.0,99.0,10.64,3.01,19.61,0.1,7.9,8.16,2.62
5,酿酒行业,600197,伊力特,74.0,74.0,12.88,1.94,15.7,-0.3,7.1,11.19,-6.55
6,酿酒行业,600059,古越龙山,91.0,91.0,38.69,1.55,10.02,0.2,-3.8,-5.38,13.86
7,酿酒行业,600559,老白干酒,159.0,158.0,26.12,3.21,17.41,-1.3,3.8,4.75,-14.82
8,酿酒行业,601579,会稽山,95.0,95.0,25.22,2.62,19.72,-0.8,1.6,-5.83,84.82
9,酿酒行业,002646,天佑德酒,49.0,49.0,48.05,1.71,10.26,-0.5,8.0,12.38,-4.47
10,酿酒行业,000860,顺鑫农业,120.0,120.0,10.59,1.67,16.13,-1.5,2.0,4.33,-16.51
11,酿酒行业,000869,张  裕Ａ,146.0,99.0,22.97,1.39,21.78,-0.2,0.8,-2.2,-4.43
12,酿酒行业,600573,惠泉啤酒,30.0,30.0,38.41,2.27,12.16,-0.5,-1.5,3.31,8.77
13,房地产服务,603506,南都物业,27.0,27.0,22.66,2.38,14.23,-1.1,6.0,28.31,67.22
14,房地产服务,002188,中天服务,19.0,15.0,49.96,6.12,5.83,-0.3,2.1,13.87,29.27
15,房地产服务,002968,新大正,25.0,24.0,18.8,2.12,11.24,-0.1,2.8,18.44,25.87
16,房地产服务,603682,锦和商管,29.0,29.0,13.68,3.04,6.24,-0.3,2.8,13.45,-14.05
17,房地产服务,001914,招商积余,134.0,134.0,15.27,1.29,12.64,0.0,3.9,13.36,22.36
18,电机,603344,星德胜,53.0,15.0,32.2,2.67,27.5,-0.8,10.2,3.7,14.01
19,电机,603320,迪贝电气,32.0,32.0,37.49,2.79,21.35,-0.0,13.7,29.0,52.72
20,电机,002576,通达动力,32.0,31.0,37.04,2.46,19.13,-0.9,16.4,18.82,12.13
21,电机,002801,微光股份,89.0,45.0,25.69,5.05,38.58,-0.5,16.6,21.78,60.02
22,电机,000922,佳电股份,86.0,72.0,38.81,1.93,12.3,-3.9,10.6,12.23,10.02
23,电机,002823,凯中精密,56.0,38.0,28.75,2.91,17.18,0.5,23.6,26.42,22.54
24,电机,603350,安乃达,49.0,19.0,39.29,3.86,42.51,-0.5,17.3,9.2,19.58
25,电机,002249,大洋电机,198.0,149.0,17.43,2.14,8.12,0.0,24.0,23.59,41.46
