,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,中药,300519,新光药业,32.0,23.0,32.45,3.95,17.56,-0.0,23.7,41.21,53.51
1,中药,002287,奇正藏药,184.0,184.0,25.73,4.45,31.54,0.4,44.3,43.35,66.78
2,中药,300534,陇神戎发,34.0,34.0,35.58,4.97,10.83,-0.7,14.6,20.85,30.88
3,中药,002107,沃华医药,42.0,41.0,46.96,5.66,6.89,1.4,23.3,41.72,52.09
4,中药,600129,太极集团,141.0,141.0,47.29,3.95,24.19,-0.1,13.6,19.15,2.43
5,中药,002728,特一药业,49.0,36.0,38.85,2.77,9.26,0.1,10.9,19.18,7.53
6,中药,603896,寿仙谷,44.0,44.0,18.95,1.98,21.58,-0.5,1.8,8.4,6.59
7,中药,600351,亚宝药业,55.0,55.0,12.76,2.0,7.5,-0.4,25.4,34.83,35.06
8,中药,603439,贵州三力,57.0,56.0,33.97,3.97,13.49,-0.1,18.0,18.79,9.87
9,中药,300181,佐力药业,134.0,116.0,18.55,4.97,18.73,-1.7,11.6,25.8,29.72
10,中药,002349,精华制药,66.0,65.0,26.67,2.52,7.81,-0.6,9.7,14.29,5.68
11,中药,000989,九芝堂,100.0,81.0,21.44,2.76,11.42,1.0,28.0,38.39,52.48
12,中药,600976,健民集团,65.0,65.0,14.78,2.71,41.65,-0.4,7.4,0.85,4.14
13,中药,600993,马应龙,126.0,125.0,15.44,3.14,28.47,-0.2,1.8,9.54,11.68
14,中药,603567,珍宝岛,125.0,124.0,41.37,1.58,13.02,-2.0,15.4,20.58,14.14
15,中药,600285,羚锐制药,132.0,132.0,15.22,4.71,22.8,-0.3,1.7,5.72,9.5
16,中药,600479,千金药业,47.0,47.0,22.28,2.0,11.1,0.0,12.6,13.2,9.69
17,中药,600557,康缘药业,102.0,102.0,30.7,2.23,17.66,2.8,16.6,40.12,32.82
18,中药,002864,盘龙药业,34.0,23.0,26.84,2.05,31.13,-0.0,11.7,15.85,4.85
19,中药,002275,桂林三金,90.0,86.0,21.54,3.09,15.09,-0.2,6.3,13.52,4.27
20,中药,603998,方盛制药,51.0,51.0,14.39,3.22,11.37,0.2,16.1,21.15,13.88
21,中药,002390,信邦制药,74.0,71.0,45.01,1.11,3.75,-0.8,10.0,8.83,-15.49
22,中药,600422,昆药集团,113.0,113.0,31.1,2.2,14.64,-1.3,4.4,-3.19,-4.37
23,中药,000650,仁和药业,84.0,80.0,12.74,1.37,5.88,0.3,9.5,13.47,6.6
24,中药,600750,江中药业,141.0,139.0,12.36,3.72,21.85,-0.7,0.5,1.0,0.82
25,中药,300039,上海凯宝,72.0,63.0,21.41,1.76,6.8,-2.1,14.1,15.77,13.49
26,中药,600572,康恩贝,119.0,118.0,15.68,1.79,4.65,-0.4,8.1,10.82,4.43
27,中药,002737,葵花药业,98.0,98.0,42.72,2.35,16.45,-0.6,10.3,7.6,-16.41
28,中药,605199,ST葫芦娃,37.0,37.0,37.72,5.07,9.11,-0.6,7.4,-13.8,-42.37
29,光伏设备,688516,奥特维,111.0,102.0,19.58,3.08,33.0,-1.7,1.5,5.89,-15.97
30,光伏设备,688726,拉普拉斯,190.0,17.0,18.81,5.2,44.63,-1.2,6.0,12.93,4.86
31,光伏设备,300776,帝尔激光,175.0,107.0,26.8,5.14,61.85,-0.9,22.7,9.53,1.16
32,光伏设备,000821,京山轻机,73.0,71.0,19.22,1.79,11.52,-1.8,0.5,4.43,-4.85
33,光伏设备,300827,上能电气,116.0,89.0,33.23,5.27,22.81,-2.3,7.4,8.67,-26.01
34,光伏设备,603628,清源股份,36.0,36.0,28.11,2.8,12.9,-0.6,9.3,10.77,6.12
35,光伏设备,603396,金辰股份,39.0,39.0,41.62,1.53,27.8,0.0,13.2,14.02,5.5
36,光伏设备,300842,帝科股份,62.0,55.0,44.64,3.57,42.94,-0.7,3.6,9.05,7.12
37,光伏设备,603105,芯能科技,42.0,42.0,38.26,2.14,8.3,-0.3,4.8,3.05,-4.2
38,光伏设备,301266,宇邦新材,38.0,36.0,28.14,2.12,34.0,-0.3,6.1,7.92,3.17
39,光伏设备,688503,聚和材料,118.0,88.0,33.04,2.55,48.2,2.4,25.0,44.81,11.58
40,光伏设备,301636,泽润新能,36.0,8.0,27.0,3.27,54.79,-1.2,2.4,68.33,68.33
41,光伏设备,603381,永臻股份,50.0,30.0,46.49,1.37,20.79,-0.4,-4.9,-1.13,-1.45
42,光伏设备,002617,露笑科技,145.0,143.0,37.01,2.33,7.49,-4.8,3.5,-3.21,-1.31
43,光伏设备,002897,意华股份,76.0,71.0,29.29,3.06,38.94,-2.0,4.6,-5.98,-5.41
44,光伏设备,688408,中信博,108.0,108.0,24.46,2.5,49.53,-2.4,15.1,4.1,-30.7
45,物流行业,001331,胜通能源,39.0,10.0,33.39,2.63,12.72,-0.1,20.2,42.17,77.99
46,物流行业,001228,永泰运,27.0,27.0,17.75,1.61,24.57,-0.6,-3.8,15.26,25.55
47,物流行业,603648,畅联股份,42.0,42.0,33.3,2.25,11.32,-0.5,6.5,13.44,13.55
48,物流行业,600179,安通控股,134.0,118.0,13.85,1.21,3.08,-2.8,11.2,7.12,11.66
49,物流行业,605050,福然德,86.0,86.0,23.78,2.04,17.19,0.6,29.4,42.29,87.49
50,物流行业,603967,中创物流,40.0,40.0,14.63,1.82,11.52,-0.3,4.2,4.29,26.71
51,物流行业,603066,音飞储存,35.0,35.0,26.93,2.49,11.74,-0.5,2.4,3.84,12.57
52,物流行业,000906,浙商中拓,46.0,46.0,5.98,0.96,6.4,-1.9,3.1,4.51,1.41
53,物流行业,600180,瑞茂通,49.0,49.0,36.22,0.63,4.49,-0.1,2.0,2.48,6.31
54,物流行业,603713,密尔克卫,85.0,85.0,12.38,1.98,53.51,0.5,2.3,11.88,6.87
55,物流行业,600794,保税科技,54.0,54.0,43.83,2.07,4.46,-5.0,-14.9,7.93,24.72
56,物流行业,000557,西部创业,78.0,78.0,29.83,1.28,5.34,-1.7,6.0,-0.19,4.67
57,物流行业,603535,嘉诚国际,57.0,53.0,22.84,2.24,11.13,-0.4,6.4,30.03,38.93
58,物流行业,002492,恒基达鑫,28.0,27.0,33.55,1.65,6.84,-0.7,8.9,27.36,43.84
59,物流行业,600787,中储股份,129.0,128.0,49.89,0.94,5.89,-2.0,2.4,-0.51,-6.34
60,物流行业,600603,ST广物,91.0,91.0,11.02,1.27,7.6,-0.3,1.2,4.51,-20.48
61,物流行业,600125,铁龙物流,75.0,75.0,9.24,1.02,5.71,-1.2,2.7,-0.69,-1.88
62,物流行业,603223,恒通股份,70.0,54.0,41.08,1.84,9.75,-0.1,1.6,10.12,-6.14
63,物流行业,000927,中国铁物,162.0,162.0,22.94,1.74,2.67,-1.1,6.4,5.1,3.08
64,物流行业,002889,东方嘉盛,60.0,40.0,34.47,2.48,15.86,0.1,11.3,6.88,10.77
65,物流行业,603871,嘉友国际,152.0,152.0,14.52,2.78,11.1,-0.7,12.9,12.11,-17.95
66,物流行业,001213,中铁特货,190.0,190.0,27.65,1.0,4.29,0.4,7.5,6.48,3.89
67,物流行业,002010,传化智联,168.0,168.0,21.37,0.96,6.11,-3.0,15.7,14.83,36.34
68,医药商业,603368,柳药集团,74.0,74.0,6.68,0.99,18.06,-0.7,9.1,13.17,9.0
69,医药商业,002788,鹭燕医药,34.0,33.0,11.85,1.09,8.54,-0.3,6.7,11.54,10.69
70,医药商业,000705,浙江震元,32.0,27.0,22.23,1.61,9.41,-2.8,15.5,19.82,21.66
71,医药商业,002462,嘉事堂,43.0,43.0,23.17,0.99,14.44,-0.1,12.4,10.06,14.98
72,医药商业,000411,英特集团,59.0,36.0,14.54,1.31,11.09,-0.4,8.6,10.31,9.35
73,医药商业,600713,南京医药,69.0,68.0,9.74,1.02,5.2,-0.7,5.7,5.6,10.23
74,医药商业,605266,健之佳,34.0,34.0,25.22,1.31,21.61,-0.4,4.7,10.06,-0.64
75,医药商业,002727,一心堂,89.0,60.0,13.87,1.21,14.98,-2.0,-5.7,11.63,19.09
76,医药商业,000028,国药一致,143.0,123.0,10.93,0.81,25.47,-0.2,4.2,5.14,-10.8
77,医药商业,600829,人民同泰,48.0,48.0,26.31,1.65,8.28,-2.0,14.7,12.89,10.93
78,医药商业,600056,中国医药,166.0,166.0,24.97,1.4,11.04,-0.1,8.8,9.57,0.91
79,医药商业,000950,重药控股,92.0,92.0,18.39,0.81,5.29,-1.6,7.3,9.22,-0.37
80,医药商业,603233,大参林,198.0,198.0,10.78,2.91,17.31,-0.8,9.6,-1.92,18.03
81,医药商业,301408,华人健康,59.0,22.0,24.24,2.93,14.88,0.4,27.7,27.27,35.77
82,医药商业,301015,百洋医药,116.0,116.0,34.02,5.9,22.07,-1.0,10.6,25.84,-6.14
83,医药商业,603883,老百姓,146.0,146.0,14.59,2.16,19.5,-11.6,-6.0,0.89,18.17
84,风电设备,605305,中际联合,81.0,81.0,20.53,3.12,35.75,-0.8,35.5,47.16,36.55
85,风电设备,300690,双一科技,41.0,27.0,33.75,2.79,24.4,-0.4,9.5,3.47,10.36
86,风电设备,603218,日月股份,126.0,126.0,26.09,1.27,12.12,-0.2,1.4,1.75,4.53
87,风电设备,300443,金雷股份,69.0,52.0,30.78,1.14,21.29,-1.1,1.0,5.86,8.31
88,风电设备,603063,禾望电气,175.0,175.0,41.63,3.77,37.9,-2.3,16.3,22.81,94.56
89,风电设备,601218,吉鑫科技,40.0,40.0,23.87,1.39,4.11,-3.6,14.8,14.05,26.99
90,风电设备,300772,运达股份,100.0,89.0,42.66,1.57,12.67,-0.4,0.4,15.7,-3.26
91,风电设备,688186,广大特材,65.0,65.0,21.91,1.48,24.58,-10.2,-4.9,-5.97,65.04
92,风电设备,300569,天能重工,55.0,55.0,30.27,1.07,5.39,-2.2,-3.8,7.34,8.63
93,风电设备,600458,时代新材,119.0,104.0,19.68,1.61,12.78,-0.9,-0.5,10.53,1.75
94,风电设备,300129,泰胜风能,67.0,48.0,37.36,1.51,7.2,-0.6,5.3,8.58,2.27
95,风电设备,301063,海锅股份,29.0,28.0,35.52,1.9,28.06,-0.9,2.7,7.58,77.81
96,风电设备,300850,新强联,126.0,88.0,18.46,2.26,33.11,-2.9,-1.1,12.34,73.71
97,农药兽药,600731,湖南海利,44.0,44.0,19.39,1.41,7.65,-0.2,17.3,24.17,42.91
98,农药兽药,002688,金河生物,55.0,53.0,19.92,2.37,6.93,-1.3,11.8,14.1,62.93
99,农药兽药,001231,农心科技,21.0,7.0,28.61,2.18,20.58,-0.0,8.0,10.85,27.21
100,农药兽药,300871,回盛生物,49.0,49.0,27.33,2.51,23.54,-0.3,14.6,6.0,141.61
101,农药兽药,870656,海昇药业,20.0,5.0,36.82,3.02,19.15,-0.1,2.8,6.66,59.04
102,农药兽药,603585,苏利股份,36.0,35.0,26.4,1.48,18.83,-1.2,-1.1,24.21,61.15
103,农药兽药,002215,诺 普 信,115.0,90.0,4.6,2.8,11.33,-1.5,9.8,25.08,5.42
104,农药兽药,603810,丰山集团,27.0,27.0,41.02,1.78,16.09,-0.7,1.3,13.63,79.87
105,农药兽药,300804,广康生化,31.0,12.0,45.87,2.34,41.8,-3.9,-37.0,45.47,88.03
106,农药兽药,002734,利民股份,89.0,81.0,20.55,2.8,19.94,-4.3,5.8,48.6,161.01
107,农药兽药,603639,海利尔,50.0,50.0,11.87,1.48,14.58,0.4,7.9,16.16,23.19
108,农药兽药,002749,国光股份,71.0,64.0,22.49,3.71,15.01,-0.1,3.6,1.34,11.31
109,农药兽药,603086,先达股份,41.0,41.0,47.1,2.05,9.35,-6.5,-0.4,-3.89,119.63
110,农药兽药,002004,华邦健康,88.0,83.0,11.9,0.92,4.38,-0.4,6.8,7.79,-1.99
111,农药兽药,300119,瑞普生物,99.0,71.0,21.27,2.23,21.13,0.1,9.8,7.17,17.42
112,农药兽药,603970,中农立华,38.0,38.0,17.8,2.64,14.24,-0.7,4.2,9.42,3.93
113,农药兽药,301035,润丰股份,178.0,178.0,17.34,2.61,63.35,-0.1,10.2,20.35,31.26
114,农药兽药,688526,科前生物,78.0,78.0,18.12,2.03,16.81,-0.4,9.7,5.06,21.43
115,农药兽药,300796,贝斯美,39.0,39.0,37.08,2.22,10.68,-1.3,3.6,9.89,4.51
116,农药兽药,605033,美邦股份,29.0,29.0,23.99,2.52,21.26,-1.2,3.4,24.55,78.21
117,农药兽药,603566,普莱柯,51.0,51.0,24.28,2.02,14.81,-0.8,11.1,11.99,20.15
118,农药兽药,002942,新农股份,29.0,25.0,17.13,2.46,18.34,-0.2,7.9,12.03,32.71
119,农药兽药,600195,中牧股份,78.0,78.0,30.39,1.4,7.64,-0.6,5.8,11.4,13.9
120,农药兽药,600226,亨通股份,82.0,82.0,29.28,2.35,2.77,-3.8,5.3,-4.83,8.24
121,农药兽药,002496,*ST辉丰,25.0,19.0,39.48,1.84,1.63,-0.4,1.9,13.89,-11.83
122,农药兽药,301665,泰禾股份,132.0,11.0,42.16,4.0,29.49,-1.4,-1.8,5.64,198.18
123,农药兽药,600201,生物股份,95.0,95.0,30.96,1.8,8.57,-1.4,8.3,20.68,24.74
124,农药兽药,603599,广信股份,109.0,109.0,16.88,1.13,11.98,-0.9,11.2,12.75,1.36
125,农药兽药,000553,安道麦A,163.0,152.0,26.98,0.85,7.12,-0.1,0.0,10.41,4.79
126,农药兽药,002258,利尔化学,100.0,100.0,16.38,1.3,12.78,-0.9,19.6,23.08,55.27
127,农药兽药,600389,江山股份,94.0,94.0,15.13,2.46,22.45,1.0,21.4,31.71,52.26
128,造纸印刷,600966,博汇纸业,67.0,67.0,31.43,0.98,4.88,-0.1,13.0,14.09,-2.14
129,造纸印刷,002836,新宏泽,22.0,22.0,35.05,6.75,9.59,-0.2,7.5,11.44,36.8
