,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,文化传媒,601900,南方传媒,126.0,126.0,9.85,1.56,14.31,1.1,-5.6,-13.27,-1.72
1,有色金属,002171,楚江新材,148.0,147.0,28.14,1.8,9.28,1.1,-4.5,8.92,13.17
2,化学制药,000915,华特达因,81.0,81.0,12.05,2.93,34.72,1.6,0.3,21.23,32.62
3,化学原料,603067,振华股份,117.0,117.0,24.84,3.67,16.41,1.7,0.5,8.17,84.18
4,煤炭行业,601918,新集能源,171.0,171.0,8.02,1.06,6.59,1.5,2.2,-3.23,-8.22
5,美容护理,600315,上海家化,150.0,150.0,17.26,2.19,22.3,1.4,6.8,-13.77,31.87
6,光伏设备,688503,聚和材料,115.0,86.0,32.11,2.48,47.58,1.9,7.9,42.84,8.43
7,装修建材,603137,恒尚节能,29.0,12.0,15.21,2.33,15.82,1.2,8.2,20.86,50.38
