,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,贵金属,002237,恒邦股份,152.0,121.0,24.6,1.59,13.24,-3.2,8.1,16.65,32.93
1,贵金属,001337,四川黄金,108.0,74.0,25.98,6.89,25.81,-3.3,8.1,8.67,25.11
2,光伏设备,300827,上能电气,151.0,115.0,37.72,6.66,30.11,-1.7,25.4,52.07,-3.92
3,光伏设备,688717,艾罗能源,126.0,76.0,44.27,2.76,78.46,-1.5,33.3,44.87,67.97
4,光伏设备,002150,通润装备,52.0,52.0,26.88,2.64,14.4,0.4,20.6,32.6,17.07
5,光伏设备,688503,聚和材料,136.0,102.0,37.65,2.86,56.2,2.0,13.3,52.34,28.08
6,光伏设备,000821,京山轻机,83.0,80.0,20.1,1.97,13.3,-1.5,9.3,21.57,7.43
7,光伏设备,688408,中信博,101.0,101.0,31.96,2.33,46.04,-1.3,-11.1,9.13,-35.16
8,光伏设备,603628,清源股份,36.0,36.0,20.85,2.72,13.25,-1.3,-1.2,11.53,6.77
9,光伏设备,688516,奥特维,131.0,131.0,21.35,3.53,41.68,-0.4,20.8,29.24,-0.07
10,光伏设备,002897,意华股份,85.0,80.0,26.39,3.23,43.97,-1.1,9.3,15.47,6.59
11,光伏设备,603105,芯能科技,46.0,46.0,21.69,2.23,9.14,-0.4,6.9,11.87,3.75
12,光伏设备,688726,拉普拉斯,195.0,17.0,24.52,5.11,48.05,-0.8,3.4,17.54,7.66
13,光伏设备,301636,泽润新能,35.0,8.0,31.03,3.17,55.2,-1.3,-1.9,1.28,66.97
14,游戏,002605,姚记科技,116.0,93.0,22.62,3.27,27.71,-3.9,2.7,-15.03,5.93
15,游戏,300533,冰川网络,93.0,66.0,13.88,5.81,39.77,-6.6,12.4,39.06,101.27
16,游戏,600633,浙数文化,180.0,180.0,23.86,1.77,14.2,-5.4,1.1,5.03,37.86
17,游戏,300031,宝通科技,105.0,88.0,37.46,2.62,25.0,-8.3,1.1,-0.56,37.21
18,游戏,300043,星辉娱乐,64.0,64.0,20.62,3.85,5.14,-1.9,11.5,-6.2,41.6
19,游戏,002919,名臣健康,41.0,40.0,49.52,4.89,15.26,-1.4,-7.2,-9.86,-6.95
20,电池,833523,德瑞锂电,34.0,28.0,23.28,5.4,34.0,1.3,30.5,30.27,72.68
21,电池,002580,圣阳股份,69.0,68.0,26.48,2.99,15.11,-2.4,10.5,8.71,79.03
22,电池,603031,安孚科技,91.0,76.0,42.85,3.2,36.22,-6.4,30.1,29.63,27.72
23,电池,300457,赢合科技,178.0,175.0,32.86,2.72,27.44,-4.0,31.5,56.71,44.27
24,电池,002733,雄韬股份,77.0,74.0,42.7,2.81,20.02,1.7,20.9,24.19,45.71
25,电池,688345,博力威,31.0,31.0,43.29,2.89,30.83,-0.1,13.4,27.34,69.68
26,电池,601311,骆驼股份,116.0,116.0,10.96,1.19,9.93,-1.7,5.5,22.14,24.13
27,电池,001283,豪鹏科技,71.0,55.0,36.86,2.21,72.3,-3.6,-7.4,44.25,25.85
28,电池,836239,长虹能源,69.0,26.0,30.83,7.18,37.64,-0.4,7.4,14.23,87.73
29,电池,000049,德赛电池,92.0,92.0,47.3,1.41,23.99,-0.8,3.4,11.58,3.49
30,电池,688155,先惠技术,80.0,80.0,26.28,3.8,63.74,-1.7,14.7,38.57,69.34
31,电池,301222,浙江恒威,29.0,8.0,39.72,2.01,28.23,-0.5,-4.9,3.44,12.25
32,电池,688006,杭可科技,176.0,176.0,30.65,3.28,29.23,-1.6,43.2,63.57,64.77
33,医疗服务,688621,阳光诺和,86.0,86.0,33.13,7.7,76.8,-1.3,38.7,47.1,104.58
34,医疗服务,301333,诺思格,53.0,31.0,43.53,2.82,55.09,-1.2,-0.8,8.04,10.56
35,医疗服务,688315,诺禾致源,63.0,63.0,40.15,2.46,15.19,-1.1,-5.7,8.42,22.01
36,医疗服务,301257,普蕊斯,36.0,35.0,33.46,2.97,45.87,-0.6,11.4,41.4,70.77
37,医疗服务,301267,华厦眼科,169.0,66.0,29.97,2.89,20.12,-1.3,-1.1,6.51,6.91
38,医疗服务,301103,何氏眼科,34.0,18.0,38.29,1.79,21.48,-0.6,-7.7,-5.5,7.56
39,医疗服务,002172,澳洋健康,32.0,32.0,49.99,19.0,4.12,-0.6,2.5,-9.45,31.63
40,医疗服务,600327,大东方,43.0,43.0,36.49,1.27,4.87,-1.5,-3.6,2.1,-8.11
41,电子化学品,300398,飞凯材料,134.0,133.0,30.93,2.75,23.66,-10.7,19.6,24.72,50.7
42,电子化学品,603931,格林达,53.0,53.0,42.94,3.33,26.42,-0.7,-2.4,5.55,15.02
