,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,有色金属,002171,楚江新材,147.0,146.0,27.87,1.78,9.24,1.4,-5.0,7.86,12.07
1,文化传媒,601900,南方传媒,126.0,126.0,9.84,1.55,14.34,1.3,-5.0,-13.39,-1.85
2,商业百货,000785,居然智家,182.0,173.0,21.56,0.89,2.96,1.3,-3.0,-12.8,-17.93
3,化学制药,000915,华特达因,81.0,81.0,11.99,2.91,35.19,3.1,-0.5,20.6,31.93
4,煤炭行业,601918,新集能源,170.0,170.0,8.01,1.06,6.61,2.1,2.3,-3.38,-8.36
5,化学原料,603067,振华股份,113.0,113.0,24.13,3.57,16.11,1.5,5.7,5.08,78.9
6,美容护理,600315,上海家化,150.0,150.0,17.31,2.19,22.42,1.7,6.4,-13.53,32.23
7,装修建材,603137,恒尚节能,29.0,12.0,15.05,2.3,15.69,1.3,8.1,19.56,48.76
