,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,贵金属,001337,四川黄金,109.0,75.0,26.07,6.91,25.9,-2.4,7.0,9.19,25.55
1,贵金属,002237,恒邦股份,153.0,122.0,24.8,1.61,13.35,-2.9,9.3,17.83,34.04
2,珠宝首饰,300945,曼卡龙,53.0,48.0,34.29,3.18,20.07,-2.0,4.1,-16.38,76.83
3,珠宝首饰,002345,潮宏基,140.0,137.0,21.18,3.85,15.79,-0.5,16.5,9.5,183.99
4,珠宝首饰,603900,莱绅通灵,39.0,39.0,32.4,1.99,11.45,0.1,15.3,-2.39,107.05
5,珠宝首饰,605599,菜百股份,113.0,113.0,12.37,2.89,14.59,-0.3,-6.2,-12.69,37.25
6,珠宝首饰,002731,萃华珠宝,35.0,31.0,15.6,1.89,13.49,-0.9,4.3,0.9,45.05
7,珠宝首饰,002867,周大生,150.0,150.0,12.67,2.41,13.86,-0.8,3.9,2.29,-0.22
8,珠宝首饰,600916,中国黄金,141.0,141.0,22.11,1.96,8.39,-1.4,1.7,1.33,1.45
9,珠宝首饰,000025,特  力Ａ,78.0,71.0,46.56,4.43,18.15,-1.4,5.0,-0.44,10.54
10,珠宝首饰,000026,飞亚达,71.0,64.0,43.16,2.13,17.54,-5.7,1.0,33.79,75.93
11,生物制品,300357,我武生物,175.0,162.0,49.4,7.09,33.4,-1.7,34.8,60.12,66.17
12,生物制品,300009,安科生物,200.0,146.0,27.22,5.03,11.93,-5.7,27.6,31.97,42.19
13,生物制品,301393,昊帆生物,63.0,24.0,41.27,2.7,57.99,-1.5,4.8,-0.28,46.25
14,生物制品,600211,XD西藏药,156.0,156.0,13.75,3.75,48.39,-1.3,23.9,31.14,37.98
15,生物制品,002038,双鹭药业,81.0,67.0,33.27,1.41,7.84,-3.7,-1.0,1.55,5.23
16,生物制品,301509,金凯生科,49.0,23.0,34.45,2.27,41.05,-1.5,5.7,7.24,61.11
17,生物制品,600867,通化东宝,169.0,169.0,38.9,2.77,8.65,-2.1,5.7,10.47,10.76
18,生物制品,688073,毕得医药,62.0,29.0,42.01,3.17,67.87,-0.4,14.6,46.43,40.52
19,生物制品,688163,赛伦生物,27.0,11.0,40.81,2.43,24.87,-0.8,2.1,18.48,43.26
20,生物制品,300239,东宝生物,34.0,34.0,46.17,2.03,5.75,-0.6,-2.2,1.41,-7.85
21,生物制品,300841,康华生物,99.0,90.0,43.02,2.87,75.83,-3.0,15.1,26.22,41.63
22,生物制品,688253,英诺特,43.0,22.0,17.18,2.13,31.5,-1.4,-0.3,-2.93,-11.79
23,生物制品,002880,卫光生物,65.0,65.0,30.1,2.85,28.57,-0.5,-2.5,-1.79,6.56
24,生物制品,000403,派林生物,169.0,167.0,35.75,2.13,17.74,-2.4,-0.2,4.6,11.01
25,生物制品,600223,福瑞达,82.0,82.0,37.9,1.97,8.05,-2.7,-3.5,-4.73,7.33
26,生物制品,688739,成大生物,116.0,116.0,47.45,1.24,27.87,-1.1,-0.1,7.44,11.52
27,生物制品,300294,博雅生物,133.0,133.0,29.53,1.74,26.39,0.2,-2.1,-4.63,-12.38
28,生物制品,000534,万泽股份,89.0,87.0,37.13,5.85,17.39,-0.2,23.6,25.38,35.65
29,医疗服务,301257,普蕊斯,37.0,36.0,34.49,3.06,47.28,0.0,16.7,44.72,76.02
30,医疗服务,688621,阳光诺和,86.0,86.0,33.17,7.71,76.9,-1.7,39.6,38.41,104.85
31,医疗服务,301333,诺思格,53.0,31.0,43.26,2.8,54.75,-1.3,1.3,7.16,9.87
32,医疗服务,301103,何氏眼科,36.0,19.0,40.27,1.88,22.59,-0.5,-2.0,-3.38,13.12
33,医疗服务,688315,诺禾致源,66.0,66.0,41.82,2.56,15.82,-1.1,1.5,9.94,27.07
34,医疗服务,301267,华厦眼科,176.0,69.0,31.28,3.02,21.0,-0.9,5.4,10.41,11.58
35,医疗服务,600327,大东方,44.0,44.0,37.17,1.29,4.96,-1.4,-0.4,3.12,-6.42
36,化学制药,300573,兴齐眼药,190.0,146.0,28.41,10.82,77.54,-8.0,37.5,39.49,57.83
37,化学制药,003020,立方制药,69.0,50.0,38.39,3.92,36.43,0.4,50.2,51.48,107.7
38,化学制药,688566,吉贝尔,81.0,81.0,27.05,3.43,40.5,-1.5,19.8,45.21,82.93
39,化学制药,300702,天宇股份,99.0,60.0,33.1,2.72,28.44,-0.9,13.2,17.23,71.22
40,化学制药,603456,九洲药业,170.0,170.0,16.18,1.95,19.13,-4.0,14.6,26.69,42.97
41,化学制药,688513,苑东生物,122.0,122.0,44.7,4.39,69.16,1.3,34.3,59.5,132.78
42,化学制药,002020,京新药业,171.0,144.0,22.08,3.13,19.89,-2.0,28.2,43.4,59.5
