,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,中药,300519,新光药业,32.0,23.0,32.27,3.93,19.8,0.0,35.8,40.43,52.66
1,中药,002287,奇正藏药,186.0,186.0,26.01,4.49,34.69,-0.5,56.8,43.35,66.78
2,中药,600351,亚宝药业,56.0,56.0,12.97,2.04,7.95,0.2,31.0,37.07,37.31
3,中药,002107,沃华医药,42.0,42.0,47.09,5.67,7.29,1.8,25.7,42.11,52.51
4,中药,300534,陇神戎发,34.0,34.0,35.33,4.93,11.28,-0.4,17.0,20.0,29.95
5,中药,600129,太极集团,140.0,140.0,47.03,3.93,25.18,0.9,16.9,18.49,1.86
6,中药,603896,寿仙谷,44.0,44.0,18.94,1.98,22.31,-0.4,4.2,8.35,6.54
7,中药,600285,羚锐制药,133.0,133.0,15.34,4.75,23.46,-0.3,3.8,6.54,10.35
8,中药,600976,健民集团,65.0,65.0,14.85,2.72,42.66,-0.2,9.2,1.31,4.61
9,中药,002728,特一药业,49.0,36.0,38.49,2.74,9.48,0.2,11.4,18.06,6.52
10,中药,600993,马应龙,125.0,125.0,15.41,3.14,29.11,-0.2,3.6,9.35,11.49
11,中药,002275,桂林三金,91.0,86.0,21.61,3.1,15.42,-0.2,7.7,13.88,4.61
12,中药,002349,精华制药,66.0,65.0,26.57,2.51,7.97,-0.3,10.7,13.86,5.28
13,中药,000989,九芝堂,100.0,81.0,21.35,2.75,11.63,0.9,29.5,37.8,51.83
14,中药,002737,葵花药业,98.0,98.0,42.79,2.36,16.74,-0.4,10.8,7.79,-16.26
15,中药,603998,方盛制药,51.0,51.0,14.39,3.22,11.57,0.5,16.8,21.15,13.88
16,中药,603439,贵州三力,56.0,55.0,33.46,3.91,13.7,0.2,17.9,16.99,8.21
17,中药,600479,千金药业,47.0,47.0,22.16,1.99,11.26,0.1,12.8,12.6,9.11
18,中药,600422,昆药集团,112.0,112.0,31.06,2.2,14.85,-1.2,5.7,-3.32,-4.5
19,中药,300181,佐力药业,133.0,114.0,18.33,4.91,18.94,-1.4,11.3,24.36,28.23
20,中药,600750,江中药业,140.0,139.0,12.31,3.7,22.09,-0.7,1.2,0.59,0.41
21,中药,002864,盘龙药业,33.0,23.0,26.76,2.05,31.47,0.2,12.0,15.49,4.52
22,中药,002390,信邦制药,74.0,70.0,44.66,1.1,3.79,-0.8,9.5,7.98,-16.15
23,中药,000650,仁和药业,83.0,79.0,12.65,1.36,5.94,0.4,9.4,12.71,5.88
24,中药,603567,珍宝岛,124.0,124.0,41.09,1.57,13.15,-2.0,11.8,19.76,13.36
25,中药,605199,ST葫芦娃,37.0,37.0,37.8,5.08,9.2,-0.5,6.0,-13.62,-42.25
26,中药,300039,上海凯宝,72.0,63.0,21.28,1.75,6.86,-2.2,13.2,15.1,12.83
27,中药,600572,康恩贝,118.0,118.0,15.61,1.78,4.69,-0.4,8.1,10.35,3.99
28,中药,600557,康缘药业,101.0,101.0,30.2,2.19,17.8,2.8,18.1,37.88,30.69
29,中药,600771,广誉远,105.0,105.0,41.32,6.43,21.47,-1.0,6.4,10.84,13.84
30,教育,000526,学大教育,66.0,65.0,22.42,7.75,54.28,-0.4,15.1,1.08,29.05
31,教育,605098,行动教育,44.0,44.0,38.5,4.83,36.49,0.2,3.5,-0.98,5.8
32,教育,300192,科德教育,53.0,52.0,34.67,5.79,16.0,-0.8,12.1,-0.74,1.91
33,光伏设备,688516,奥特维,110.0,102.0,19.5,3.07,34.9,-1.3,5.8,5.44,-16.33
34,光伏设备,688726,拉普拉斯,190.0,17.0,18.85,5.21,46.91,-0.9,10.6,13.2,5.11
35,光伏设备,300776,帝尔激光,177.0,109.0,27.15,5.21,64.75,-0.7,25.3,10.95,2.47
36,光伏设备,603381,永臻股份,51.0,30.0,47.19,1.39,21.37,-0.3,-3.3,0.38,0.05
37,光伏设备,688503,聚和材料,120.0,89.0,33.42,2.58,49.52,2.3,26.4,46.47,12.85
38,光伏设备,000821,京山轻机,74.0,72.0,19.31,1.8,11.83,-2.0,2.2,4.88,-4.44
39,光伏设备,603628,清源股份,36.0,36.0,28.09,2.8,13.16,-0.5,10.0,10.68,6.04
40,光伏设备,300827,上能电气,117.0,89.0,33.31,5.29,23.25,-2.7,6.5,8.95,-25.81
41,光伏设备,301636,泽润新能,36.0,8.0,27.09,3.28,55.84,-1.1,2.3,68.91,68.91
42,光伏设备,603105,芯能科技,42.0,42.0,38.3,2.14,8.45,-0.2,5.2,3.17,-4.09
43,光伏设备,300842,帝科股份,62.0,55.0,44.64,3.57,43.62,-0.9,0.2,9.05,7.12
44,光伏设备,301266,宇邦新材,38.0,36.0,28.19,2.13,34.52,-0.4,4.8,8.11,3.35
45,光伏设备,603396,金辰股份,39.0,39.0,41.4,1.52,28.07,0.1,11.6,13.41,4.93
46,光伏设备,002897,意华股份,76.0,71.0,29.39,3.07,39.15,-1.9,3.2,-5.66,-5.09
47,光伏设备,002617,露笑科技,145.0,142.0,36.92,2.32,7.53,-4.7,1.8,-3.46,-1.57
48,光伏设备,688408,中信博,106.0,106.0,24.16,2.47,48.6,-2.4,6.8,2.81,-31.56
49,医药商业,603368,柳药集团,74.0,74.0,6.69,1.0,18.69,-0.3,11.6,13.41,9.23
50,医药商业,600713,南京医药,69.0,68.0,9.76,1.02,5.29,-0.9,5.8,5.8,10.44
51,医药商业,000705,浙江震元,32.0,27.0,22.28,1.61,9.57,-2.8,14.6,20.08,21.91
52,医药商业,605266,健之佳,34.0,34.0,25.32,1.32,21.97,-0.4,5.1,10.51,-0.23
53,医药商业,002788,鹭燕医药,34.0,33.0,11.82,1.09,8.68,-0.4,6.5,11.28,10.43
54,医药商业,000411,英特集团,59.0,36.0,14.56,1.31,11.25,-0.5,8.7,10.51,9.54
55,医药商业,000028,国药一致,143.0,123.0,10.93,0.81,25.77,-0.2,4.7,5.18,-10.77
56,医药商业,002462,嘉事堂,43.0,43.0,23.07,0.99,14.6,-0.1,11.4,9.61,14.51
57,医药商业,002727,一心堂,89.0,60.0,13.84,1.21,15.13,-2.1,-4.5,11.41,18.85
58,医药商业,301408,华人健康,60.0,22.0,24.53,2.96,15.02,0.6,26.9,28.82,37.42
59,医药商业,603233,大参林,198.0,198.0,10.78,2.91,17.42,-0.9,8.7,-1.86,18.1
60,医药商业,000950,重药控股,92.0,92.0,18.35,0.81,5.32,-1.7,6.6,9.02,-0.56
61,医药商业,600056,中国医药,166.0,166.0,24.9,1.4,11.08,0.1,8.0,9.27,0.64
62,医药商业,600829,人民同泰,48.0,48.0,26.25,1.64,8.3,-2.1,13.5,12.62,10.67
63,医药商业,301015,百洋医药,115.0,115.0,33.96,5.89,21.97,-0.8,10.0,25.61,-6.31
64,医药商业,603883,老百姓,146.0,146.0,14.56,2.16,19.21,-12.1,-9.9,0.68,17.93
65,物流行业,001331,胜通能源,39.0,10.0,33.39,2.63,13.99,0.3,39.8,42.17,77.99
66,物流行业,001228,永泰运,26.0,26.0,17.68,1.6,25.5,-0.6,2.2,14.81,25.06
67,物流行业,603648,畅联股份,42.0,42.0,33.45,2.26,11.7,-0.6,9.6,13.92,14.04
68,物流行业,300873,海晨股份,52.0,38.0,22.61,1.69,22.64,-0.4,15.0,6.89,33.89
69,物流行业,600179,安通控股,134.0,118.0,13.85,1.21,3.16,-2.6,14.1,7.12,11.66
70,物流行业,605050,福然德,87.0,87.0,23.86,2.05,17.59,0.6,30.6,42.78,88.13
71,物流行业,603967,中创物流,41.0,41.0,14.72,1.83,11.74,-0.2,6.1,4.92,27.47
72,物流行业,000557,西部创业,79.0,79.0,30.16,1.3,5.44,-1.5,6.9,0.93,5.84
73,物流行业,002492,恒基达鑫,28.0,28.0,33.89,1.66,6.96,-0.5,17.6,28.65,45.3
74,物流行业,603066,音飞储存,35.0,35.0,26.91,2.49,11.9,-0.5,1.1,3.75,12.48
75,物流行业,600794,保税科技,54.0,54.0,44.13,2.09,4.52,-4.5,-12.2,8.65,25.56
76,物流行业,600180,瑞茂通,49.0,49.0,36.22,0.63,4.55,-0.2,3.2,2.48,6.31
77,物流行业,000906,浙商中拓,46.0,45.0,5.97,0.96,6.48,-2.0,2.5,4.35,1.25
78,物流行业,603535,嘉诚国际,57.0,54.0,23.0,2.26,11.25,-0.4,7.9,30.97,39.93
79,物流行业,603223,恒通股份,70.0,54.0,41.29,1.85,9.84,-0.2,2.4,10.69,-5.66
80,物流行业,002769,普路通,32.0,28.0,25.98,2.72,8.58,-2.0,-10.4,12.45,23.1
81,物流行业,603128,华贸物流,83.0,83.0,17.6,1.41,6.32,-2.3,5.3,2.93,0.96
82,物流行业,600603,ST广物,91.0,91.0,11.0,1.27,7.64,-0.4,0.5,4.37,-20.58
