,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,玻璃玻纤,603601,再升科技,54.0,54.0,39.88,2.54,5.24,-0.4,-4.9,47.61,56.42
1,玻璃玻纤,300196,长海股份,68.0,41.0,20.63,1.5,16.59,-2.3,8.2,42.89,55.19
2,玻璃玻纤,601636,旗滨集团,170.0,170.0,9.03,1.26,6.33,-1.4,11.4,20.11,13.64
3,玻璃玻纤,301188,力诺药包,60.0,60.0,37.25,3.93,25.26,1.9,22.1,25.67,69.3
4,玻璃玻纤,600819,耀皮玻璃,59.0,48.0,34.84,1.7,6.36,-1.3,-10.3,15.85,18.66
5,电源设备,002518,科士达,168.0,163.0,37.77,3.88,28.82,2.1,25.9,28.49,29.24
6,电源设备,300693,盛弘股份,127.0,108.0,43.45,7.3,40.5,1.2,31.3,30.06,53.06
7,电源设备,688551,科威尔,36.0,36.0,44.49,2.83,43.17,0.4,45.6,57.1,56.47
8,电源设备,301590,优优绿能,69.0,13.0,28.16,3.68,164.58,-0.6,6.1,86.18,86.18
9,电源设备,301327,华宝新能,111.0,31.0,32.7,1.81,63.81,-0.4,19.3,31.76,17.99
10,电源设备,688411,海博思创,180.0,38.0,47.96,4.69,99.98,0.3,11.2,46.88,446.94
11,电源设备,301386,未来电器,33.0,10.0,41.84,2.32,23.72,-0.6,4.8,15.65,15.2
12,电源设备,002255,海陆重工,72.0,56.0,24.56,1.72,8.72,-3.7,-0.1,-3.96,56.83
13,电源设备,002630,ST华西,29.0,26.0,43.26,17.94,2.47,-2.1,-8.5,-5.0,-29.02
14,电子化学品,300398,飞凯材料,134.0,134.0,28.04,2.95,23.69,-5.6,16.5,23.19,50.89
15,电子化学品,002643,万润股份,120.0,118.0,37.64,1.72,13.03,-1.3,14.1,22.81,9.5
16,电子化学品,688268,华特气体,73.0,73.0,40.97,4.13,60.47,-0.6,19.5,22.19,33.43
17,电子化学品,603931,格林达,55.0,55.0,43.43,3.56,27.7,-0.6,6.6,1.54,20.59
18,电子化学品,688550,瑞联新材,73.0,73.0,39.94,2.44,42.0,-5.4,4.5,3.91,36.81
19,电子化学品,300481,濮阳惠成,45.0,45.0,31.29,1.9,15.53,-0.1,6.1,17.03,6.22
20,证券,600864,哈投股份,153.0,153.0,20.17,1.16,7.37,-0.6,22.4,28.4,0.96
21,证券,600621,华鑫股份,176.0,176.0,32.01,2.08,16.58,-2.5,9.2,20.49,1.1
22,风电设备,300690,双一科技,64.0,43.0,32.02,4.16,38.68,0.5,57.1,66.51,72.68
23,风电设备,605305,中际联合,87.0,87.0,21.97,3.34,40.75,-1.5,44.0,63.46,46.16
24,风电设备,600458,时代新材,135.0,117.0,22.29,1.82,14.51,-0.1,6.1,28.18,15.25
25,风电设备,300443,金雷股份,80.0,61.0,35.87,1.32,25.06,-0.4,10.9,30.52,26.25
26,风电设备,300850,新强联,150.0,105.0,18.73,2.57,39.3,-3.2,4.9,28.81,106.62
27,风电设备,603063,禾望电气,172.0,172.0,35.42,3.59,37.82,-7.7,17.0,17.53,90.63
28,风电设备,300129,泰胜风能,72.0,51.0,39.8,1.63,7.68,-0.6,5.3,19.81,8.94
29,风电设备,688186,广大特材,72.0,72.0,24.24,1.56,26.28,-5.7,-3.1,2.1,75.32
30,风电设备,603218,日月股份,137.0,136.0,28.28,1.38,13.26,-0.4,6.8,14.9,13.33
31,风电设备,300569,天能重工,57.0,57.0,31.11,1.1,5.56,-1.6,-3.0,15.11,11.65
32,风电设备,601218,吉鑫科技,42.0,42.0,24.8,1.44,4.3,-3.8,-4.4,18.78,31.9
33,风电设备,301232,飞沃科技,29.0,17.0,45.79,2.06,38.43,-0.1,24.6,39.85,55.59
34,风电设备,301063,海锅股份,30.0,28.0,35.9,1.92,28.27,-1.1,-2.7,19.13,79.72
35,电子元件,002782,可立克,89.0,88.0,29.66,4.3,18.0,4.6,33.3,49.01,44.0
36,电子元件,301132,满坤科技,63.0,63.0,49.87,3.55,42.6,-3.1,15.7,56.85,57.31
