,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,有色金属,002171,楚江新材,151.0,150.0,28.65,1.82,9.33,1.4,-2.2,10.68,13.78
1,美容护理,003006,百亚股份,117.0,117.0,22.36,8.65,27.19,1.1,-0.8,-14.63,16.0
2,煤炭行业,601918,新集能源,171.0,171.0,8.02,1.06,6.59,1.6,0.9,-2.08,-8.22
3,家电行业,000016,深康佳Ａ,131.0,87.0,34.41,5.51,5.42,2.6,6.5,4.23,-1.81
4,美容护理,600315,上海家化,150.0,150.0,17.24,2.19,22.28,1.3,6.7,-10.2,31.76
5,光伏设备,688503,聚和材料,115.0,86.0,32.13,2.48,47.61,1.3,6.9,42.67,8.5
6,珠宝首饰,000026,飞亚达,79.0,71.0,43.64,2.4,19.49,1.6,7.3,66.87,95.49
