,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
79,汽车零部件,300652,雷迪克,75.0,68.0,42.75,5.15,56.5,-3.7,-10.6,-15.73,148.35
80,汽车零部件,300643,万通智控,53.0,53.0,28.19,4.35,23.11,-2.1,-7.2,5.05,95.85
81,汽车零部件,300611,美力科技,52.0,36.0,32.13,4.35,24.48,-2.5,-1.5,12.4,134.26
82,汽车零部件,300580,贝斯特,135.0,127.0,45.5,4.25,26.99,-4.4,6.5,14.22,18.33
83,汽车零部件,300446,航天智造,146.0,65.0,18.7,2.71,17.32,-4.9,-2.4,4.91,6.72
84,汽车零部件,300428,立中集团,134.0,117.0,16.74,1.79,21.01,-2.7,12.0,18.97,31.64
85,汽车零部件,300304,云意电气,118.0,115.0,26.7,3.63,13.48,-1.5,39.5,84.91,69.77
86,汽车零部件,003033,征和工业,39.0,39.0,22.04,3.0,48.0,0.4,8.7,15.19,82.16
87,汽车零部件,002997,瑞鹄模具,84.0,84.0,18.4,3.58,39.91,-3.3,2.3,13.06,16.19
88,汽车零部件,002906,华阳集团,168.0,168.0,24.63,2.57,32.03,-4.9,4.2,0.16,5.81
89,汽车零部件,002870,香山股份,46.0,45.0,43.38,2.77,34.8,-0.2,2.7,13.61,11.54
90,汽车零部件,002863,今飞凯达,32.0,32.0,34.99,1.13,5.29,-0.2,0.0,9.3,14.5
91,汽车零部件,002662,峰璟股份,57.0,57.0,25.45,1.32,3.8,-0.6,6.7,14.46,0.0
92,汽车零部件,002592,ST八菱,19.0,18.0,16.82,2.03,6.74,-0.7,-6.3,9.24,40.12
93,汽车零部件,002590,万安科技,74.0,71.0,43.69,2.54,14.34,-4.0,1.3,6.7,17.93
94,汽车零部件,002553,南方精工,107.0,77.0,23.26,8.05,30.67,-10.6,23.5,40.49,140.36
95,汽车零部件,002537,海联金汇,113.0,113.0,45.67,2.73,9.63,-7.5,-6.5,12.5,67.48
96,汽车零部件,002536,飞龙股份,141.0,134.0,33.51,4.18,24.54,-27.1,48.8,71.49,117.55
97,汽车零部件,002454,松芝股份,54.0,54.0,18.99,1.35,8.57,-1.7,4.8,16.12,30.84
98,汽车零部件,002448,中原内配,61.0,47.0,12.98,1.67,10.31,-1.2,16.9,23.62,68.19
99,汽车零部件,002434,万里扬,110.0,110.0,19.91,1.87,8.39,-1.6,8.4,23.38,37.54
100,汽车零部件,002328,新朋股份,50.0,37.0,30.03,1.51,6.44,-2.5,9.2,17.09,7.15
101,汽车零部件,002284,亚太股份,88.0,87.0,21.89,2.86,11.88,-3.9,5.9,11.13,54.49
102,汽车零部件,002283,天润工业,78.0,69.0,19.82,1.3,6.85,-2.0,7.5,20.18,33.79
103,汽车零部件,002101,广东鸿图,85.0,85.0,37.26,1.1,12.8,-1.4,1.2,7.11,9.68
104,汽车零部件,001319,铭科精技,39.0,23.0,34.33,3.0,27.56,-1.0,2.1,8.85,11.31
105,汽车零部件,001311,多利科技,70.0,18.0,22.12,1.53,22.43,-0.9,-0.8,11.59,16.1
106,汽车零部件,001282,三联锻造,45.0,16.0,31.71,2.83,20.36,-1.2,2.2,3.56,36.37
107,汽车零部件,000700,模塑科技,85.0,85.0,14.57,2.19,9.31,-3.0,24.5,31.5,36.91
108,汽车零部件,000570,苏常柴Ａ,41.0,32.0,27.58,1.16,5.74,-0.4,-3.0,3.61,12.99
109,汽车零部件,000030,富奥股份,97.0,94.0,15.99,1.21,5.65,-0.9,-6.5,-1.05,13.45
110,造纸印刷,605377,华旺科技,52.0,52.0,16.59,1.32,9.28,1.3,0.3,7.41,-13.67
111,造纸印刷,605007,五洲特纸,58.0,49.0,23.79,1.71,12.14,-0.2,-0.7,3.32,-3.19
112,造纸印刷,603733,仙鹤股份,176.0,176.0,18.52,2.2,24.89,0.1,17.0,25.33,23.65
113,造纸印刷,603607,京华激光,43.0,43.0,45.42,4.39,24.21,0.2,2.8,-10.76,53.42
114,造纸印刷,603499,翔港科技,57.0,57.0,36.34,6.64,18.81,-0.3,17.8,22.14,2.67
115,造纸印刷,603165,荣晟环保,36.0,36.0,15.44,1.66,13.03,-0.1,5.3,18.89,10.8
116,造纸印刷,603058,永吉股份,40.0,40.0,35.12,3.29,9.47,0.3,4.4,19.72,8.73
117,造纸印刷,600966,博汇纸业,69.0,69.0,38.31,1.0,5.16,-0.4,2.8,20.0,0.58
118,造纸印刷,600963,岳阳林纸,82.0,82.0,29.08,1.03,4.67,-1.8,-3.9,5.66,-7.52
119,造纸印刷,600356,恒丰纸业,31.0,31.0,16.08,1.14,10.22,0.3,13.3,29.37,36.09
120,造纸印刷,600308,华泰股份,56.0,56.0,41.49,0.61,3.7,-0.5,3.1,8.19,1.93
121,造纸印刷,301469,恒达新材,25.0,13.0,37.21,1.87,28.47,-0.2,2.1,9.21,22.98
122,造纸印刷,002836,新宏泽,22.0,22.0,34.49,6.24,9.42,-0.1,-4.0,3.86,32.3
123,造纸印刷,002521,齐峰新材,55.0,41.0,43.68,1.41,9.84,-0.9,8.5,10.81,1.23
124,造纸印刷,002511,中顺洁柔,108.0,107.0,36.07,1.97,8.42,-0.6,9.9,24.01,23.64
125,造纸印刷,002117,东港股份,62.0,62.0,39.46,4.53,11.83,-2.4,-2.4,0.42,3.14
126,化纤行业,688722,同益中,42.0,42.0,31.79,3.05,18.81,-0.9,-11.3,-7.61,48.34
127,化纤行业,603382,海阳科技,68.0,13.0,43.32,3.89,37.69,-0.6,19.8,2.89,227.74
128,化纤行业,603332,苏州龙杰,31.0,31.0,47.33,2.51,14.55,-1.5,-0.1,-17.52,73.42
129,化纤行业,601113,华鼎股份,42.0,42.0,13.84,1.07,3.83,-1.4,-7.0,-4.01,-1.79
130,化纤行业,600063,皖维高新,106.0,99.0,20.7,1.25,5.12,-0.5,-0.6,13.02,29.95
131,化纤行业,300777,中简科技,155.0,149.0,37.22,3.53,35.29,-3.8,-1.8,2.65,25.72
132,化纤行业,002998,优彩资源,26.0,19.0,32.23,1.69,8.0,-0.1,5.3,4.58,38.65
133,化纤行业,002206,海 利 得,73.0,54.0,12.24,1.9,6.24,-2.9,11.4,25.55,51.46
134,化纤行业,000936,华西股份,70.0,70.0,21.21,1.32,7.95,-0.6,9.1,15.22,-2.45
135,证券,600864,哈投股份,156.0,156.0,20.48,1.18,7.48,-8.1,7.0,30.77,2.47
136,证券,600621,华鑫股份,176.0,176.0,39.31,2.02,16.61,-4.7,3.1,8.49,1.28
137,证券,000686,东北证券,198.0,198.0,23.02,1.03,8.47,-1.6,0.5,12.93,8.31
