,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,医疗器械,300298,三诺生物,114.0,92.0,31.6,3.55,20.38,1.5,-11.2,-8.94,-20.36
1,银行,601528,瑞丰银行,109.0,96.0,6.1,0.57,5.53,1.5,-4.3,-6.75,1.84
2,银行,600908,无锡银行,131.0,119.0,4.75,0.58,5.97,1.7,-3.1,-1.49,4.92
3,造纸印刷,605377,华旺科技,52.0,52.0,16.55,1.32,9.26,1.6,-2.0,5.47,-13.86
4,航空机场,000089,深圳机场,146.0,146.0,23.32,1.28,7.1,1.3,-0.6,1.87,4.87
5,化学制品,002637,赞宇科技,55.0,52.0,28.38,1.45,11.73,1.3,-0.4,21.05,20.55
6,中药,600285,羚锐制药,130.0,130.0,13.75,4.26,23.01,1.3,0.0,-2.17,8.23
7,消费电子,300679,电连技术,200.0,169.0,41.14,4.01,47.0,1.4,1.5,4.31,-20.65
8,电子元件,002913,奥士康,117.0,111.0,29.89,2.67,36.89,1.8,3.4,33.66,56.91
9,商业百货,000785,居然智家,193.0,183.0,29.39,0.94,3.1,1.3,5.4,-0.32,-13.17
10,光伏设备,688503,聚和材料,132.0,98.0,36.51,2.77,54.5,2.3,6.0,49.23,24.2
11,中药,600557,康缘药业,95.0,95.0,33.3,2.04,16.75,2.2,6.7,-2.84,22.98
12,光学光电子,603297,永新光学,108.0,108.0,49.91,5.53,97.45,1.1,9.3,18.15,4.82
13,农药兽药,002004,华邦健康,97.0,92.0,12.46,0.99,4.89,1.5,9.9,14.52,8.19
14,非金属材料,001301,尚太科技,152.0,94.0,15.91,2.34,58.45,1.5,9.9,21.52,-13.73
