,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,1日主力净流入-总净额(亿),5日主力净流入-总净额(亿),29日主力净流入-总净额(亿),1日涨跌幅(%),5日涨跌幅(%),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,银行,601528,瑞丰银行,108.0,95.0,6.04,0.56,5.48,0.1,-0.0,1.4,-0.4,-2.0,-4.0,-7.12,0.92
1,银行,600908,无锡银行,130.0,119.0,4.73,0.58,5.94,0.1,0.0,1.9,0.3,-1.0,-2.5,-2.14,4.39
2,造纸印刷,605377,华旺科技,52.0,52.0,16.7,1.33,9.34,0.0,0.4,1.4,0.6,-1.2,1.0,8.1,-13.12
3,航空机场,000089,深圳机场,148.0,148.0,23.68,1.3,7.21,-0.1,-0.4,1.2,0.7,-0.1,1.3,5.26,6.5
4,中药,600285,羚锐制药,133.0,132.0,13.98,4.32,23.38,0.0,-0.1,1.4,0.8,0.3,1.5,2.68,9.97
5,中药,600557,康缘药业,98.0,98.0,34.4,2.1,17.3,0.0,0.0,1.7,1.2,-0.4,4.3,7.99,27.02
6,商业百货,000785,居然智家,196.0,185.0,29.77,0.95,3.14,0.1,1.0,2.3,0.0,1.6,9.0,4.67,-12.04
