,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,电子元件,301132,满坤科技,56.0,17.0,49.83,3.23,38.78,-2.2,24.1,54.54,40.1
1,电子元件,833914,远航精密,30.0,30.0,45.48,3.24,29.69,0.7,40.2,57.88,86.93
2,电子元件,300852,四会富仕,46.0,44.0,40.29,3.07,32.81,-0.7,4.4,20.45,24.46
3,电子元件,000823,超声电子,68.0,68.0,40.78,1.45,12.84,-1.8,16.2,30.15,25.4
4,电子元件,002815,崇达技术,132.0,78.0,28.69,1.89,12.37,-1.9,15.1,24.42,21.33
5,电子元件,301319,唯特偶,37.0,16.0,42.02,3.33,30.38,-0.7,26.4,27.2,51.58
6,电子元件,605058,澳弘电子,41.0,41.0,28.03,2.46,29.13,-0.9,16.1,33.19,49.4
7,电子元件,603328,依顿电子,103.0,103.0,22.09,2.6,10.49,-0.5,15.4,22.65,6.52
8,电子元件,603678,火炬电子,179.0,179.0,41.85,3.02,37.37,-1.6,9.0,-4.09,23.36
9,电子元件,834950,迅安科技,17.0,8.0,33.6,5.76,22.65,0.4,18.8,32.05,78.67
10,电子元件,300319,麦捷科技,98.0,93.0,39.44,2.17,11.24,-1.6,7.3,11.79,-9.54
11,电子元件,002729,好利科技,27.0,26.0,39.41,5.13,15.03,-0.7,11.3,21.88,19.15
12,电子元件,301566,达利凯普,68.0,36.0,33.24,4.98,17.38,-2.5,-3.1,11.02,4.52
13,电子元件,301328,维峰电子,48.0,15.0,47.57,2.55,44.44,-0.2,11.9,17.87,4.98
14,电子元件,870357,雅葆轩,20.0,11.0,42.37,5.85,25.89,-0.1,-3.4,16.51,39.95
15,电子元件,002782,可立克,69.0,67.0,24.6,3.45,13.92,-0.9,13.2,17.54,10.96
16,电子元件,002913,奥士康,111.0,93.0,24.78,2.59,35.66,0.4,23.4,49.68,49.17
17,电子元件,301280,珠城科技,56.0,16.0,26.03,3.21,41.25,-0.2,10.5,-0.8,41.99
18,电子元件,832110,雷特科技,15.0,6.0,35.93,4.54,39.27,-0.0,-3.6,6.21,23.03
19,电子元件,603124,江南新材,73.0,14.0,49.95,4.38,50.89,-3.4,5.2,25.41,392.53
20,电子元件,002484,江海股份,185.0,179.0,30.46,3.19,21.93,3.2,17.3,22.09,25.75
21,电子元件,430718,合肥高科,17.0,8.0,24.04,3.02,19.08,-0.2,8.8,16.31,54.73
