,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,文化传媒,601900,南方传媒,126.0,126.0,9.85,1.56,14.31,1.5,-5.0,-13.11,-1.72
1,商业百货,000785,居然智家,183.0,173.0,21.63,0.9,2.94,1.2,-3.0,-13.27,-17.65
2,美容护理,003006,百亚股份,112.0,112.0,21.42,8.29,26.04,1.1,-1.5,-18.34,11.09
3,煤炭行业,601918,新集能源,168.0,168.0,7.88,1.04,6.47,2.5,0.2,-3.43,-9.89
4,专用设备,603855,华荣股份,72.0,71.0,15.48,3.78,21.3,1.3,0.3,5.45,10.42
5,商业百货,600827,百联股份,174.0,156.0,22.54,0.9,9.74,1.3,5.3,4.39,-10.89
6,化学原料,603067,振华股份,112.0,112.0,23.95,3.54,15.82,1.2,5.5,-0.69,77.55
7,医疗服务,600327,大东方,44.0,44.0,27.59,1.31,4.98,1.1,6.6,2.89,-6.04
8,汽车零部件,603809,豪能股份,136.0,136.0,32.58,4.38,15.77,1.1,7.6,2.34,79.41
9,汽车零部件,603166,福达股份,111.0,109.0,42.43,4.61,17.1,1.2,8.3,3.57,138.49
10,装修建材,603137,恒尚节能,28.0,11.0,14.56,2.23,15.14,1.3,8.3,15.13,43.92
11,美容护理,600315,上海家化,151.0,151.0,17.44,2.21,22.53,1.5,9.5,-11.99,33.23
