,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,橡胶制品,832225,利通科技,28.0,18.0,19.43,4.05,21.83,-0.2,8.7,19.95,118.3
1,橡胶制品,301459,丰茂股份,52.0,13.0,45.19,4.36,49.87,-0.6,18.5,23.11,62.02
2,橡胶制品,300547,川环科技,83.0,68.0,44.64,6.98,38.23,-1.4,30.7,20.9,40.24
3,橡胶制品,301233,盛帮股份,30.0,12.0,30.55,3.29,59.01,-0.9,9.3,15.52,31.31
4,橡胶制品,300121,阳谷华泰,62.0,60.0,24.89,1.79,13.88,-3.3,-6.7,18.33,16.15
5,橡胶制品,871694,中裕科技,28.0,13.0,22.73,3.43,21.4,-0.2,11.9,13.95,90.73
6,橡胶制品,603650,彤程新材,200.0,199.0,31.2,6.49,33.37,-1.2,6.4,5.7,-3.19
7,橡胶制品,873665,科强股份,20.0,10.0,49.48,2.84,15.27,0.2,-3.0,6.04,50.44
8,橡胶制品,300320,海达股份,61.0,49.0,28.92,2.58,10.13,-1.5,4.0,-4.7,5.74
9,橡胶制品,001207,联科科技,54.0,52.0,16.19,2.83,26.59,-0.1,6.8,24.66,39.29
10,橡胶制品,002381,双箭股份,29.0,23.0,28.47,1.35,7.14,-0.4,5.6,10.36,10.53
11,橡胶制品,601163,三角轮胎,113.0,113.0,16.96,0.85,14.08,-0.4,4.1,4.61,-3.16
12,橡胶制品,002753,永东股份,28.0,18.0,23.49,1.22,7.42,-0.8,3.6,12.77,21.24
13,橡胶制品,601500,通用股份,74.0,74.0,18.11,1.24,4.68,-1.6,0.9,-0.64,-12.2
14,橡胶制品,600469,风神股份,44.0,44.0,39.22,1.34,6.07,0.0,8.4,10.77,-0.82
15,橡胶制品,000589,贵州轮胎,71.0,70.0,26.87,0.82,4.57,-1.3,3.2,2.47,-6.73
16,橡胶制品,605183,确成股份,85.0,84.0,15.46,2.54,20.48,0.4,20.0,30.86,23.75
17,橡胶制品,002442,龙星科技,33.0,32.0,28.75,1.83,6.53,-0.7,5.2,5.49,10.87
18,电机,002249,大洋电机,170.0,128.0,14.98,1.84,6.98,-4.0,6.9,0.58,21.6
19,电机,002801,微光股份,84.0,42.0,24.27,4.77,36.44,0.5,16.9,6.92,51.14
20,电机,603350,安乃达,45.0,17.0,35.63,3.5,38.55,-0.8,11.8,-1.15,8.44
21,电机,002576,通达动力,29.0,29.0,38.46,2.31,17.7,-0.9,9.3,11.46,3.75
22,电机,300907,康平科技,33.0,33.0,43.06,4.22,33.94,0.1,25.5,21.34,61.31
23,电机,603320,迪贝电气,31.0,31.0,35.68,2.76,20.73,-0.4,19.0,20.38,48.28
24,电机,000922,佳电股份,81.0,68.0,36.79,1.83,11.66,-4.2,7.3,10.1,4.29
25,电机,002823,凯中精密,50.0,33.0,25.41,2.57,15.18,-0.5,9.8,8.51,8.27
26,电机,603344,星德胜,52.0,14.0,31.24,2.59,26.68,-0.9,6.5,1.14,10.61
27,游戏,300113,顺网科技,139.0,106.0,47.45,6.2,20.4,-1.8,10.0,7.26,22.01
28,游戏,300533,冰川网络,89.0,63.0,11.77,6.1,37.91,-6.8,21.7,58.62,91.85
29,游戏,002605,姚记科技,113.0,91.0,20.01,3.33,26.97,-3.6,0.1,3.65,3.1
30,游戏,600633,浙数文化,180.0,180.0,31.36,1.81,14.22,-3.6,6.0,3.72,38.06
31,航天航空,688685,迈信林,80.0,80.0,49.17,10.29,54.77,-1.2,0.3,-17.66,65.82
32,航天航空,002985,北摩高科,104.0,62.0,48.29,4.09,31.31,-0.8,7.1,13.11,33.35
33,航天航空,300900,广联航空,63.0,47.0,34.24,4.89,21.18,-3.7,-9.3,-6.9,-3.73
34,航天航空,300775,三角防务,155.0,151.0,30.19,2.71,28.36,-5.0,10.4,9.92,14.68
35,航天航空,688239,航宇科技,73.0,73.0,42.62,3.92,38.06,-1.7,11.1,18.75,33.26
36,通用设备,688697,纽威数控,74.0,74.0,30.35,4.65,16.29,-0.7,25.0,21.12,42.15
37,通用设备,001380,华纬科技,62.0,20.0,24.22,3.64,22.84,-0.2,13.0,-0.31,56.55
38,通用设备,601177,杭齿前进,81.0,79.0,37.63,3.04,19.79,-0.6,6.3,-2.13,140.75
39,通用设备,002046,国机精工,138.0,135.0,38.88,3.3,25.66,0.8,56.8,61.08,86.08
