,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,1日主力净流入-总净额(亿),5日主力净流入-总净额(亿),29日主力净流入-总净额(亿),1日涨跌幅(%),5日涨跌幅(%),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
1286,软件开发,688588,凌志软件,74.0,74.0,33.26,5.99,18.62,-0.1,-1.3,-2.4,0.8,-7.0,19.9,37.82,36.81
1287,软件开发,301330,熵基科技,78.0,38.0,41.97,2.33,33.25,-0.0,-0.8,-2.8,0.3,-4.1,16.3,35.88,51.07
1288,软件开发,301339,通行宝,94.0,27.0,43.97,3.47,16.21,-0.0,-0.1,-2.3,0.2,-7.3,-10.4,-1.1,13.36
1289,水泥建材,002541,鸿路钢构,128.0,92.0,22.29,1.37,18.6,-0.1,0.0,0.1,4.5,8.2,-1.1,12.45,5.86
1290,水泥建材,002743,富煌钢构,26.0,26.0,42.85,0.81,6.03,0.0,-0.0,-0.8,2.4,0.3,-2.7,-13.36,-8.22
1291,水泥建材,000672,上峰水泥,85.0,85.0,17.28,0.99,8.8,0.1,-0.1,-0.6,2.0,0.2,-2.8,15.03,25.18
1292,水泥建材,002671,龙泉股份,28.0,27.0,37.42,1.65,4.96,-0.1,-0.2,-0.7,1.2,0.0,-1.2,10.22,9.49
1293,水泥建材,003037,三和管桩,52.0,52.0,38.77,1.85,8.6,0.1,-0.2,-1.4,1.2,-1.7,-8.2,26.28,17.49
1294,水泥建材,600477,杭萧钢构,64.0,64.0,25.06,1.25,2.7,-0.0,0.0,-0.1,0.7,0.0,-0.7,7.14,6.3
1295,水泥建材,002233,塔牌集团,108.0,107.0,12.35,0.9,9.02,-0.0,-0.0,-0.5,0.2,-1.6,8.4,22.39,24.76
1296,水泥建材,600668,尖峰集团,49.0,49.0,3.97,0.86,11.87,-0.1,-0.6,-1.9,0.1,-3.7,-3.4,2.68,41.65
1297,水泥建材,600449,宁夏建材,64.0,64.0,30.48,0.88,13.47,-0.1,-0.4,-1.8,0.1,-2.5,-3.2,2.67,-9.05
1298,水泥建材,600496,精工钢构,71.0,71.0,10.22,0.8,3.59,-0.2,-0.4,-0.6,0.0,-0.6,6.8,19.67,22.11
1299,水泥建材,600425,青松建化,76.0,65.0,34.49,1.2,4.72,-0.3,-0.1,0.5,-1.9,1.7,11.3,27.91,23.56
1300,通信服务,002093,国脉科技,118.0,118.0,39.07,3.17,11.74,-0.2,-2.0,-6.1,-0.3,-8.6,-4.6,0.77,52.07
1301,通信服务,603322,超讯通信,62.0,62.0,42.93,20.61,39.28,-0.0,-1.2,-3.1,-0.5,-10.7,3.2,-13.46,3.37
1302,贸易行业,001316,润贝航科,40.0,38.0,25.83,3.22,34.66,0.1,-0.1,-1.2,4.5,1.4,1.3,7.71,72.35
1303,贸易行业,000061,农 产 品,141.0,141.0,36.97,2.21,8.3,0.1,0.2,1.1,3.2,-0.6,26.7,27.3,19.6
1304,贸易行业,002091,江苏国泰,140.0,138.0,12.88,0.92,8.62,0.2,0.8,1.0,1.5,5.8,15.4,19.89,22.79
1305,贸易行业,000019,深粮控股,79.0,29.0,22.52,1.61,6.88,-0.0,-0.1,-0.5,1.0,-0.7,0.1,2.53,7.17
1306,贸易行业,600755,厦门国贸,131.0,131.0,12.57,0.67,6.15,0.1,-0.0,-0.9,0.8,0.5,-4.1,1.49,-2.54
1307,贸易行业,600278,东方创业,66.0,66.0,28.56,0.88,7.58,0.0,-0.2,-0.6,0.7,-3.2,-0.1,4.55,9.54
1308,贸易行业,001287,中电港,158.0,91.0,43.61,2.97,20.76,-0.2,-1.1,-6.8,0.3,-6.8,-0.4,19.79,2.77
1309,贸易行业,600710,苏美达,133.0,133.0,10.31,1.71,10.19,0.1,0.0,-2.2,0.0,-1.2,-4.3,9.69,14.11
1310,贸易行业,300975,商络电子,82.0,59.0,48.55,3.69,11.99,-0.2,-0.8,-4.8,-0.2,-6.3,-0.5,4.17,6.67
1311,贸易行业,600058,五矿发展,101.0,101.0,47.01,2.02,9.45,-0.2,-0.9,-0.3,-0.3,-5.0,13.6,24.02,32.72
1312,贸易行业,600739,辽宁成大,189.0,189.0,13.17,0.63,12.36,-0.0,-1.1,-2.3,-0.3,-4.3,1.3,14.55,19.65
1313,贸易行业,603071,物产环能,77.0,77.0,12.75,1.41,13.82,0.0,-0.0,-0.5,-0.9,1.2,3.4,12.18,12.18
1314,贸易行业,600981,汇鸿集团,70.0,70.0,31.64,1.36,3.12,0.0,-0.3,-0.9,-1.0,-1.6,3.7,16.42,21.4
1315,消费电子,300684,中石科技,107.0,72.0,43.85,5.44,35.57,0.8,-2.3,-6.3,5.8,-0.6,17.3,59.58,63.31
1316,消费电子,002981,朝阳科技,47.0,42.0,45.02,4.51,34.91,-0.0,0.0,0.1,3.3,-0.0,28.1,39.14,51.39
1317,消费电子,002139,拓邦股份,186.0,160.0,28.22,2.67,14.94,0.3,-1.2,-8.6,3.0,0.1,4.5,15.72,10.34
1318,消费电子,002937,兴瑞科技,59.0,58.0,35.18,3.85,19.65,-0.1,0.3,-1.6,2.6,1.5,14.7,22.51,18.37
1319,消费电子,301318,维海德,43.0,24.0,32.45,2.31,31.68,0.0,-0.1,-0.9,2.0,-3.0,-9.9,0.25,8.68
1320,消费电子,002947,恒铭达,113.0,84.0,24.01,3.65,43.91,0.0,-0.8,1.2,1.6,0.5,28.4,28.35,34.12
1321,消费电子,300976,达瑞电子,85.0,55.0,32.29,2.48,64.08,0.1,-0.4,-2.0,1.6,-1.9,14.8,45.27,32.67
1322,消费电子,300279,和晶科技,38.0,36.0,43.76,3.78,7.85,0.0,-0.5,-3.6,1.4,-3.1,5.5,19.3,29.54
1323,消费电子,301486,致尚科技,118.0,67.0,32.5,4.51,91.83,0.1,-1.0,-7.8,1.1,-11.8,31.4,25.28,93.53
1324,消费电子,301503,智迪科技,33.0,13.0,32.19,3.09,41.19,-0.0,-0.1,-0.3,1.1,-3.7,1.8,12.57,22.33
1325,消费电子,300847,中船汉光,54.0,54.0,47.05,3.75,18.15,-0.1,-0.7,-3.1,0.9,-5.0,-10.6,9.27,6.76
1326,消费电子,300951,博硕科技,68.0,61.0,34.82,2.99,40.15,-0.0,-0.6,-0.3,0.9,-7.0,16.3,32.12,37.17
1327,消费电子,300787,海能实业,47.0,28.0,30.15,3.09,14.85,0.0,-0.2,-2.0,0.7,-4.1,1.3,21.42,34.75
1328,消费电子,003028,振邦智能,47.0,23.0,44.01,2.65,32.22,-0.0,-0.2,-0.7,0.7,-0.1,2.5,8.41,18.33
1329,消费电子,603890,春秋电子,59.0,59.0,31.55,2.08,13.41,-0.0,-0.8,-2.9,0.3,-4.0,8.2,19.52,15.6
1330,消费电子,002351,漫步者,120.0,70.0,29.96,4.32,13.48,-0.1,-0.8,-3.8,0.0,-3.7,-2.0,6.39,-17.05
1331,消费电子,001308,康冠科技,164.0,56.0,21.3,2.05,23.29,-0.1,-0.1,-0.6,-0.1,-4.0,-1.3,7.53,-14.75
1332,消费电子,002993,奥海科技,125.0,108.0,26.48,2.58,45.32,-0.1,-0.4,-0.6,-0.7,-9.5,14.6,19.23,12.99
1333,消费电子,605277,新亚电子,77.0,75.0,38.74,5.0,23.69,-0.2,-1.1,-11.9,-0.9,-4.6,-18.0,53.33,69.7
1334,消费电子,002055,得润电子,46.0,45.0,44.01,3.25,7.58,-0.4,-1.7,-4.6,-1.0,-7.8,-0.3,16.8,5.28
1335,消费电子,603380,易德龙,68.0,68.0,29.65,4.63,42.33,-0.1,-0.1,0.3,-4.9,-3.3,43.7,81.05,76.45
1336,计算机设备,002970,锐明技术,88.0,60.0,21.67,4.73,48.85,-0.1,-0.2,-0.3,1.6,-2.4,5.6,4.18,4.09
1337,计算机设备,300130,新国都,166.0,127.0,30.19,3.81,29.32,0.1,-1.2,-7.6,1.5,-7.3,-6.6,7.79,38.56
1338,计算机设备,002835,同为股份,40.0,23.0,23.75,3.3,18.01,0.0,-0.2,-1.0,0.6,-4.7,-2.8,1.81,-4.61
1339,计算机设备,301589,诺瓦星云,162.0,60.0,27.55,4.37,175.3,-0.0,-0.2,0.8,0.1,-1.3,13.9,25.25,1.68
1340,计算机设备,688288,鸿泉物联,30.0,30.0,44.36,3.88,29.36,-0.0,-0.2,-1.2,-0.0,-6.5,-1.6,3.64,82.36
1341,计算机设备,301608,博实结,90.0,40.0,41.64,4.3,100.86,-0.0,0.1,-0.3,-1.2,3.6,27.6,16.83,49.33
1342,计算机设备,870976,视声智能,21.0,12.0,38.56,7.98,29.27,-0.1,0.2,0.4,-3.0,8.1,6.1,9.63,59.42
1343,半导体,603061,金海通,64.0,45.0,42.06,4.51,106.55,0.0,-0.5,-0.8,3.6,-4.8,17.1,42.81,48.17
1344,半导体,688401,路维光电,80.0,80.0,37.7,5.56,41.51,-0.1,-1.0,-2.5,2.5,-7.3,15.6,34.77,59.1
1345,半导体,603933,睿能科技,33.0,33.0,46.69,2.52,16.01,-0.0,0.0,-0.6,1.8,-3.0,-3.5,9.51,3.42
1346,半导体,603324,盛剑科技,39.0,39.0,45.63,2.27,25.92,-0.0,0.0,-0.4,1.7,-2.7,-3.9,9.69,0.58
1347,半导体,688252,天德钰,110.0,49.0,36.08,4.76,26.88,0.2,-1.3,-1.5,1.5,-7.9,7.7,24.56,12.56
1348,半导体,688138,清溢光电,92.0,78.0,49.99,3.4,29.23,0.0,-0.4,-2.1,1.2,-8.1,-3.8,17.3,28.6
1349,半导体,688391,钜泉科技,36.0,18.0,47.82,1.94,31.14,-0.1,-0.2,-0.5,0.8,-3.6,1.8,13.53,4.67
1350,半导体,688508,芯朋微,84.0,84.0,46.65,3.27,64.3,-0.2,-1.5,-3.9,0.4,-9.1,6.3,27.38,51.01
1351,半导体,605111,新洁能,143.0,143.0,30.41,3.44,34.43,-0.2,-2.0,-4.8,0.1,-2.4,5.0,15.27,1.71
1352,半导体,688123,聚辰股份,131.0,131.0,31.86,5.5,82.68,-0.1,-2.7,-5.0,0.0,-8.1,8.8,11.93,42.01
1353,半导体,600360,*ST华微,84.0,84.0,39.27,2.46,8.75,-0.2,-1.2,-9.6,-0.3,-2.2,7.5,18.56,92.73
1354,汽车整车,301039,中集车辆,177.0,137.0,22.0,1.23,9.45,0.1,0.0,-1.0,2.7,3.2,7.1,18.13,7.75
1355,汽车整车,000957,中通客车,69.0,69.0,18.09,2.27,11.62,-0.1,-0.8,-2.6,1.6,0.7,4.3,8.9,6.41
1356,汽车整车,600686,金龙汽车,87.0,87.0,37.32,2.75,12.1,-0.5,-1.3,-3.6,0.0,-2.6,-3.8,-1.39,-13.45
1357,汽车整车,000550,江铃汽车,183.0,110.0,12.52,1.63,21.25,0.0,-0.3,-1.2,-0.5,-1.9,1.2,8.64,-6.55
1358,汽车服务,000757,浩物股份,29.0,29.0,47.0,1.81,5.37,-0.1,-0.4,-0.4,8.0,11.0,9.6,18.54,43.97
1359,汽车服务,837242,建邦科技,26.0,14.0,26.25,4.01,39.4,0.1,0.1,0.3,1.5,3.4,13.8,16.57,66.03
1360,汽车服务,301215,中汽股份,84.0,84.0,49.46,2.93,6.35,-0.0,-0.3,-0.6,1.0,-0.8,1.8,8.18,7.63
1361,汽车服务,600335,国机汽车,93.0,93.0,21.97,0.81,6.25,0.1,0.1,-0.4,0.3,-1.1,-4.6,0.81,1.63
1362,汽车服务,601965,中国汽研,176.0,175.0,21.59,2.44,17.59,-0.1,-0.0,-0.4,-0.3,-2.8,-12.4,-1.46,1.79
1363,工程建设,002140,东华科技,74.0,57.0,15.4,1.65,10.45,-0.0,-0.0,-0.7,4.6,4.1,3.5,16.11,7.4
1364,工程建设,600284,浦东建设,88.0,88.0,19.34,1.12,9.06,0.5,-0.4,2.4,4.5,-1.9,32.1,33.83,46.84
1365,工程建设,600667,太极实业,149.0,149.0,22.76,1.72,7.07,0.4,-1.1,-2.7,2.8,-1.4,4.7,15.15,3.51
1366,工程建设,002941,新疆交建,111.0,111.0,21.76,2.57,15.6,0.3,-1.7,-7.5,2.2,-1.4,29.5,37.44,41.56
1367,工程建设,301058,中粮科工,60.0,60.0,35.75,2.8,11.77,0.0,-0.4,-1.3,2.2,-0.8,3.2,6.23,13.17
1368,工程建设,601133,柏诚股份,69.0,19.0,41.26,2.38,13.05,0.1,-0.1,-0.0,1.8,-0.4,5.6,16.0,17.99
1369,工程建设,600491,龙元建设,52.0,52.0,37.17,0.52,3.42,0.0,-0.2,-1.3,1.5,-2.0,-2.6,-11.4,-8.56
1370,工程建设,002060,广东建工,138.0,58.0,19.72,1.02,3.68,0.0,0.1,0.1,1.4,0.5,-1.6,6.05,4.55
1371,工程建设,000498,山东路桥,97.0,90.0,4.69,0.61,6.22,0.0,-0.1,0.2,1.1,-1.4,4.7,9.12,7.61
1372,工程建设,601789,宁波建工,59.0,59.0,22.52,1.3,5.4,0.1,0.1,-2.1,0.9,-2.5,-1.6,0.75,24.42
1373,工程建设,002051,中工国际,106.0,106.0,29.88,0.91,8.55,-0.1,-0.0,-1.7,0.6,-1.3,-1.8,5.82,6.34
1374,工程建设,600248,陕建股份,143.0,142.0,6.81,0.52,3.83,0.0,0.0,-1.0,0.5,-0.8,-3.0,3.51,-12.76
1375,工程建设,600846,同济科技,64.0,64.0,21.88,1.56,10.25,-0.1,0.0,-1.1,0.3,-6.5,-1.8,-5.18,21.73
1376,工程建设,002761,浙江建投,100.0,100.0,30.04,1.5,9.28,-0.0,-0.6,-2.8,0.1,-1.8,-6.0,6.42,6.3
1377,工程建设,600502,安徽建工,79.0,79.0,7.17,0.72,4.62,-0.0,-0.0,-1.7,0.0,-0.2,-6.9,0.87,2.44
1378,工程建设,002061,浙江交科,109.0,106.0,10.02,0.7,4.09,-0.1,-0.1,-0.0,0.0,0.0,-0.2,5.96,3.28
1379,工程建设,000065,北方国际,122.0,111.0,19.7,1.21,11.36,0.0,-0.1,-2.4,-0.4,-1.2,1.0,13.15,17.96
1380,工程建设,600512,腾达建设,39.0,39.0,17.99,0.62,2.44,0.0,0.0,0.7,-0.4,0.4,3.4,9.91,3.83
1381,工程建设,605598,上海港湾,64.0,64.0,47.8,3.48,26.15,-0.1,-0.3,-0.3,-0.5,1.8,12.9,25.18,17.26
1382,工程建设,600853,龙建股份,42.0,41.0,29.72,1.27,4.1,-0.2,-0.3,-0.1,-1.2,-1.4,8.2,19.88,3.54
1383,工程建设,603815,交建股份,75.0,75.0,33.44,3.15,12.16,-0.0,1.4,0.9,-1.3,21.4,51.4,76.49,118.31
1384,工程建设,002062,宏润建设,116.0,105.0,40.43,2.33,9.36,0.5,2.8,6.0,-3.1,9.3,81.4,112.73,86.83
1385,工程建设,603163,圣晖集成,42.0,15.0,33.62,3.84,42.0,-0.2,0.1,0.3,-4.9,4.8,43.2,55.44,63.62
1386,电子元件,430718,合肥高科,20.0,10.0,33.49,3.49,22.43,0.1,0.2,0.2,9.1,20.0,19.7,26.22,82.95
1387,电子元件,301328,维峰电子,54.0,25.0,49.02,2.78,49.01,0.1,-0.2,-1.0,6.1,1.1,3.9,24.11,16.77
1388,电子元件,603328,依顿电子,112.0,112.0,21.41,2.6,11.18,0.4,-0.8,-2.3,3.1,-2.4,5.8,27.33,15.73
1389,电子元件,301280,珠城科技,73.0,20.0,41.19,4.07,53.31,-0.1,-0.1,0.3,2.1,-2.4,22.8,42.2,84.4
1390,电子元件,688093,世华科技,104.0,104.0,26.92,4.92,39.58,0.1,-0.0,-2.3,2.1,-2.3,19.6,42.99,97.6
1391,电子元件,688511,*ST天微,23.0,23.0,37.39,2.74,22.41,-0.0,-0.2,-0.3,1.9,-5.9,20.1,33.23,43.93
1392,电子元件,836395,朗鸿科技,25.0,17.0,39.3,11.52,16.55,-0.0,-0.0,0.4,1.8,1.2,14.5,12.05,60.06
1393,电子元件,603115,海星股份,48.0,48.0,36.24,2.42,19.87,0.1,0.1,0.7,1.6,-7.3,27.0,44.61,61.41
1394,电子元件,301319,唯特偶,35.0,17.0,41.92,3.13,28.47,-0.0,-0.1,-1.2,1.4,-3.3,-5.5,16.82,45.55
1395,电子元件,002782,可立克,82.0,80.0,27.05,3.92,16.44,-0.1,-0.8,0.4,1.4,-3.4,17.4,36.09,31.52
1396,电子元件,600237,铜峰电子,49.0,48.0,41.97,2.58,7.78,0.0,-0.6,-3.0,1.3,-3.8,0.4,12.59,18.78
1397,电子元件,605058,澳弘电子,40.0,40.0,24.65,2.32,27.85,0.0,-0.1,-0.6,1.2,-4.7,-5.4,13.58,44.83
1398,电子元件,300726,宏达电子,145.0,75.0,35.77,2.96,35.19,-0.1,-0.8,-5.5,1.2,-9.4,-5.4,6.57,15.38
1399,电子元件,002729,好利科技,27.0,26.0,42.69,5.02,15.02,-0.0,-0.2,-1.2,1.1,-1.8,-0.1,13.27,19.87
1400,电子元件,603678,火炬电子,179.0,179.0,34.19,2.91,37.56,-0.1,-0.6,-3.8,1.0,-7.3,-3.6,9.7,23.39
1401,电子元件,301132,满坤科技,54.0,54.0,42.33,3.02,36.16,-0.0,-0.6,-3.5,1.0,-5.4,-8.2,30.21,33.53
1402,电子元件,301566,达利凯普,70.0,36.0,39.05,4.92,17.4,-0.1,-0.6,-1.2,0.5,-6.3,-1.2,-3.12,6.23
1403,电子元件,300852,四会富仕,52.0,50.0,34.2,3.29,36.5,-0.1,-0.3,-0.8,0.2,-6.4,10.5,21.83,39.95
1404,电子元件,300319,麦捷科技,108.0,102.0,36.3,2.35,12.33,-0.2,-2.1,-2.3,0.2,-4.9,10.2,21.0,-0.32
1405,电子元件,301282,金禄电子,41.0,22.0,39.2,2.41,27.16,-0.0,-0.6,-1.3,0.0,-6.2,3.2,25.28,30.26
1406,电子元件,920060,万源通,58.0,27.0,44.95,5.73,38.3,-0.2,-0.6,-2.3,-0.0,-2.2,0.4,24.51,26.86
1407,电子元件,002161,远 望 谷,59.0,57.0,41.3,3.71,8.03,-0.1,-0.7,-6.2,-0.1,-5.0,2.6,13.42,44.42
1408,电子元件,002724,海洋王,62.0,46.0,34.09,2.27,7.98,-0.0,-0.0,-0.7,-0.1,-3.7,2.3,15.65,51.42
1409,电子元件,603267,鸿远电子,124.0,124.0,33.76,2.84,53.74,-0.2,-1.4,-3.3,-0.2,-9.1,-3.3,18.42,49.03
1410,电子元件,000823,超声电子,71.0,71.0,30.94,1.52,13.23,-0.0,-1.6,-3.5,-0.8,-5.8,1.8,24.34,30.73
1411,电子元件,002815,崇达技术,175.0,109.0,39.6,2.11,15.0,-0.1,-3.3,0.3,-0.9,-13.0,15.2,42.86,48.81
