,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,1日主力净流入-总净额(亿),5日主力净流入-总净额(亿),29日主力净流入-总净额(亿),1日涨跌幅(%),5日涨跌幅(%),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
1427,化学制药,605507,国邦医药,135.0,73.0,14.84,1.68,24.19,-0.2,-0.5,-0.1,2.6,4.8,12.4,19.28,19.57
1428,化学制药,688076,ST诺泰,133.0,133.0,21.42,4.47,42.03,-0.1,-1.6,-9.7,2.5,-3.2,-13.5,8.27,15.12
1429,化学制药,000915,华特达因,79.0,79.0,11.72,2.85,33.76,0.0,-0.2,-1.0,2.3,0.9,2.0,16.49,28.95
1430,化学制药,600420,国药现代,155.0,155.0,11.56,1.14,11.59,0.2,-0.5,-0.7,2.3,3.1,2.0,9.34,-1.28
1431,化学制药,605116,奥锐特,96.0,94.0,20.45,3.99,23.65,0.1,0.1,-0.1,2.2,1.8,-0.3,9.8,13.54
1432,化学制药,603456,XD九洲药,172.0,172.0,16.34,1.97,19.32,0.4,0.6,-7.7,2.0,2.1,-0.8,31.7,46.47
1433,化学制药,301281,科源制药,39.0,25.0,45.21,2.79,35.64,-0.1,-0.3,-2.0,1.9,-1.2,-10.2,6.01,19.96
1434,化学制药,001367,海森药业,38.0,10.0,31.46,2.74,25.18,-0.0,-0.1,-0.5,1.7,-1.7,0.0,11.61,37.67
1435,化学制药,300573,兴齐眼药,180.0,138.0,26.86,10.23,73.3,0.1,-3.1,-11.7,1.7,-5.5,10.6,40.42,49.2
1436,化学制药,000153,丰原药业,32.0,31.0,20.93,1.52,6.87,0.0,-0.1,-1.5,1.6,0.9,-8.4,9.05,13.93
1437,化学制药,603707,健友股份,189.0,189.0,33.04,2.89,11.71,-0.0,-0.2,-2.4,1.5,-0.4,0.5,3.08,-11.09
1438,化学制药,000597,东北制药,82.0,81.0,31.71,1.54,5.74,0.1,0.1,-1.3,1.4,0.3,-10.3,9.33,11.03
1439,化学制药,300452,山河药辅,32.0,26.0,17.3,3.6,13.73,-0.0,-0.1,-1.9,1.4,0.4,-3.4,12.45,16.26
1440,化学制药,301258,富士莱,33.0,12.0,37.83,1.7,35.55,-0.0,-0.2,-1.3,1.4,-0.3,-2.2,16.75,51.08
1441,化学制药,600216,浙江医药,149.0,149.0,11.03,1.32,15.45,0.2,-0.4,-3.1,1.2,-2.1,-0.1,4.25,-0.26
1442,化学制药,301507,民生健康,52.0,16.0,31.43,3.28,14.53,0.0,-0.0,-1.9,1.2,-0.2,-8.0,3.49,15.41
1443,化学制药,300434,金石亚药,41.0,35.0,31.38,1.66,10.27,-0.0,-0.2,-2.1,1.2,-1.9,-5.8,3.63,25.55
1444,化学制药,000739,普洛药业,188.0,188.0,16.69,2.78,16.22,-0.2,-0.8,-2.4,1.1,1.0,-3.0,12.95,1.95
1445,化学制药,603351,威尔药业,39.0,39.0,26.99,2.28,29.0,0.0,-0.1,-0.6,1.1,-0.8,-3.0,8.21,20.03
1446,化学制药,600488,津药药业,47.0,47.0,47.5,1.56,4.29,-0.0,0.1,0.5,0.9,0.5,-6.3,1.18,3.62
1447,化学制药,830946,森萱医药,52.0,52.0,38.59,4.36,12.28,-0.0,-0.1,-0.7,0.9,0.7,-1.5,3.72,41.64
1448,化学制药,600851,海欣股份,82.0,50.0,38.29,1.87,6.82,-0.0,-0.1,-0.6,0.9,-1.7,-4.5,-3.4,18.4
1449,化学制药,002019,亿帆医药,191.0,132.0,31.45,2.18,15.7,0.1,-0.7,-3.4,0.8,-2.7,6.5,8.95,47.83
1450,化学制药,301277,新天地,55.0,14.0,35.07,3.63,13.96,-0.0,-0.3,-2.7,0.7,-2.9,-10.4,-9.59,45.57
1451,化学制药,300194,福安药业,55.0,45.0,24.19,1.23,4.6,-0.1,-0.3,-1.9,0.7,-1.9,-1.9,5.5,4.31
1452,化学制药,002437,誉衡药业,78.0,73.0,29.15,3.83,3.49,-0.2,-0.5,-2.8,0.6,-0.9,-1.1,15.56,40.16
1453,化学制药,600664,哈药股份,94.0,94.0,18.09,1.67,3.73,0.1,0.2,-2.2,0.5,-0.3,-7.9,-1.84,-9.69
1454,化学制药,301130,西点药业,24.0,19.0,48.93,2.68,31.91,0.0,0.1,-0.9,0.5,1.7,-3.0,10.84,22.78
1455,化学制药,300705,九典制药,91.0,67.0,15.61,3.58,18.19,-0.1,-1.0,-5.6,0.5,-3.8,0.3,12.91,3.12
1456,化学制药,600267,海正药业,128.0,128.0,21.41,1.53,10.68,0.0,-0.2,-1.0,0.5,-2.2,-10.6,11.37,31.85
1457,化学制药,000788,北大医药,38.0,38.0,19.13,2.4,6.44,-0.0,-0.1,-1.6,0.5,0.0,-7.3,-1.68,7.87
1458,化学制药,002399,海普瑞,193.0,164.0,22.83,1.58,13.13,-0.0,-0.2,-1.0,0.5,-0.4,-3.5,8.42,25.77
1459,化学制药,832735,德源药业,48.0,42.0,24.54,4.11,40.91,-0.1,-0.4,-0.4,0.4,0.0,5.1,2.71,98.59
1460,化学制药,603207,小方制药,56.0,19.0,23.14,5.01,34.82,-0.1,-0.0,-2.0,0.4,-0.4,4.8,18.72,30.95
1461,化学制药,000756,新华制药,114.0,81.0,25.49,2.23,16.54,-0.3,-0.1,-3.6,0.3,1.5,-4.0,10.19,6.99
1462,化学制药,300401,花园生物,80.0,78.0,24.61,2.58,14.63,-0.2,-0.7,-4.5,0.3,-1.5,-10.7,6.79,0.55
1463,化学制药,300636,同和药业,39.0,34.0,33.39,1.66,9.3,-0.2,-0.4,-1.1,0.2,1.1,8.5,18.17,17.28
1464,化学制药,002550,千红制药,130.0,95.0,25.12,4.94,10.13,-0.0,-0.8,-5.8,0.2,-4.8,-11.8,7.42,66.61
1465,化学制药,430017,星昊医药,26.0,26.0,31.42,1.66,21.11,-0.0,-0.1,-2.4,0.1,1.6,-7.5,-12.3,54.65
1466,化学制药,688131,皓元医药,148.0,148.0,48.83,5.06,69.88,-0.1,0.5,-1.5,-0.0,0.5,14.3,50.05,96.57
1467,化学制药,832566,梓橦宫,20.0,16.0,28.51,2.48,13.88,-0.0,0.2,-0.9,-0.4,2.7,-6.6,2.06,55.08
1468,化学制药,600789,鲁抗医药,89.0,89.0,41.68,2.26,9.91,-0.3,-0.7,-7.3,-0.4,-1.0,-7.6,-6.16,4.98
1469,化学制药,002393,力生制药,63.0,62.0,9.25,1.27,24.61,-0.2,-0.5,-2.2,-0.5,-2.7,1.1,9.57,42.34
1470,化学制药,600812,华北制药,105.0,105.0,42.65,1.93,6.14,0.0,-0.5,-3.1,-0.6,-2.5,-12.3,1.66,19.46
1471,化学制药,002370,亚太药业,48.0,48.0,22.62,4.21,6.38,-0.2,0.4,-10.0,-1.1,-2.4,-6.3,64.86,109.18
1472,化学制药,002020,京新药业,175.0,147.0,22.61,3.21,20.37,-0.1,-0.3,-2.5,-1.4,2.4,24.7,48.69,63.35
1473,化学制药,688513,苑东生物,104.0,104.0,38.2,3.75,59.1,-0.0,-0.8,-0.4,-2.1,-14.5,-10.3,36.58,98.92
1474,化学制药,430478,峆一药业,20.0,12.0,24.9,3.99,25.58,-0.2,0.0,-0.7,-2.1,3.9,11.3,17.23,118.82
1475,化学制药,836547,无锡晶海,23.0,11.0,31.47,3.43,30.22,-0.1,-0.3,-0.5,-2.2,9.1,16.1,16.68,95.73
1476,化学制药,603811,诚意药业,46.0,46.0,20.54,3.6,14.11,-0.2,-0.1,-0.4,-2.2,-3.2,16.9,51.56,88.64
1477,化学制药,003020,立方制药,60.0,43.0,33.11,3.38,31.42,-0.2,-0.8,-1.6,-3.1,-13.8,15.3,31.8,79.13
1478,化学制药,601089,福元医药,111.0,111.0,20.8,3.11,23.21,-0.6,0.0,-2.3,-5.3,-6.7,1.4,33.01,49.65
1479,化学制药,688566,吉贝尔,75.0,75.0,25.22,3.2,37.77,-0.4,-0.9,-1.7,-6.1,-6.7,9.2,30.42,70.6
1480,化学制药,603367,辰欣药业,104.0,104.0,22.76,1.71,23.04,-1.6,-0.3,-5.5,-8.6,-9.2,-11.1,57.16,70.41
1481,光伏设备,000821,京山轻机,89.0,87.0,21.63,2.12,14.31,1.1,2.8,-0.0,5.6,18.9,19.4,34.24,15.59
1482,光伏设备,688503,聚和材料,148.0,110.0,40.97,3.11,61.16,0.6,2.8,2.6,5.4,11.3,19.8,62.36,39.38
1483,光伏设备,688516,奥特维,141.0,140.0,22.85,3.78,44.6,0.9,0.2,-0.1,3.7,5.7,28.1,42.9,6.93
1484,光伏设备,688408,中信博,111.0,111.0,35.05,2.55,50.49,0.5,0.6,-0.2,1.5,6.8,-1.2,21.75,-28.9
1485,光伏设备,300776,帝尔激光,199.0,122.0,30.52,5.59,72.9,0.2,-0.2,-3.2,1.2,-5.7,19.5,41.06,15.37
1486,光伏设备,300827,上能电气,180.0,137.0,44.8,7.91,35.76,-1.0,3.7,-0.8,0.8,43.7,51.1,84.81,14.1
1487,光伏设备,603628,清源股份,39.0,38.0,22.25,2.91,14.14,-0.3,0.4,-0.6,0.6,6.8,5.6,20.96,13.94
1488,光伏设备,002150,通润装备,63.0,63.0,32.55,3.2,17.44,-2.6,0.2,-0.6,0.1,34.3,46.7,63.14,41.79
1489,光伏设备,002897,意华股份,86.0,81.0,26.64,3.26,44.4,-0.1,-0.9,-1.3,-0.0,-3.6,10.8,19.42,7.64
1490,光伏设备,301636,泽润新能,37.0,9.0,32.49,3.32,57.8,-0.0,0.2,-0.7,-0.5,2.4,2.4,3.58,74.83
1491,光伏设备,688717,艾罗能源,132.0,80.0,46.66,2.91,82.69,0.0,2.3,0.5,-0.7,21.4,40.5,45.07,77.03
1492,光伏设备,603105,芯能科技,47.0,47.0,22.09,2.27,9.31,-0.3,-0.5,-0.8,-1.7,0.1,8.6,15.51,5.68
1493,珠宝首饰,002867,周大生,155.0,154.0,13.04,2.48,14.27,0.1,-0.2,-0.8,2.5,3.0,8.8,4.31,2.74
1494,珠宝首饰,000025,特  力Ａ,80.0,73.0,47.82,4.55,18.64,-0.2,-0.3,-1.7,1.3,2.7,8.4,1.97,13.52
1495,珠宝首饰,000026,飞亚达,68.0,61.0,41.39,2.05,16.82,0.0,-0.4,-5.5,0.7,-4.1,-5.9,41.46,68.71
1496,珠宝首饰,600916,中国黄金,141.0,141.0,22.19,1.97,8.42,-0.3,-1.3,-2.3,0.6,0.4,2.6,0.48,1.81
1497,珠宝首饰,605599,菜百股份,113.0,113.0,12.36,2.89,14.58,-0.1,-0.2,-0.4,-0.5,-0.1,-4.0,-15.23,37.16
1498,珠宝首饰,002345,潮宏基,138.0,135.0,20.83,3.79,15.53,-0.0,0.1,-0.9,-0.9,-1.6,10.2,2.31,179.32
1499,珠宝首饰,002731,萃华珠宝,35.0,31.0,15.77,1.91,13.64,-0.1,-0.3,-1.4,-1.6,1.1,5.9,-20.65,46.67
1500,珠宝首饰,300945,曼卡龙,60.0,55.0,39.4,3.65,23.06,-0.6,-0.3,-1.9,-3.1,14.9,20.2,-10.38,103.17
1501,珠宝首饰,603900,莱绅通灵,41.0,41.0,33.76,2.08,11.93,-0.3,0.8,1.1,-3.9,4.2,22.7,-7.3,115.73
1502,生物制品,600211,西藏药业,179.0,179.0,15.77,4.3,55.53,2.5,2.9,1.8,10.0,14.8,40.2,55.5,58.34
1503,生物制品,300841,康华生物,99.0,91.0,43.33,2.89,76.38,0.5,0.1,-1.8,5.4,0.7,12.0,30.79,42.66
1504,生物制品,688163,赛伦生物,27.0,11.0,41.6,2.48,25.35,0.0,-0.1,-0.8,4.7,1.9,2.0,26.75,46.03
1505,生物制品,301393,昊帆生物,60.0,23.0,39.64,2.59,55.7,0.0,-0.1,-2.0,2.9,-3.9,-5.5,-1.07,40.48
1506,生物制品,000403,派林生物,175.0,173.0,37.08,2.21,18.4,0.3,0.4,-1.7,2.2,3.7,1.5,-1.87,15.14
1507,生物制品,600867,通化东宝,171.0,171.0,39.17,2.79,8.71,-0.2,-0.9,-3.1,1.8,0.7,3.8,14.3,11.52
1508,生物制品,300239,东宝生物,34.0,34.0,45.84,2.02,5.71,0.0,-0.1,-0.7,1.6,-0.7,-4.2,1.6,-8.49
1509,生物制品,688073,毕得医药,60.0,28.0,40.76,3.07,65.84,-0.0,0.0,-0.5,1.3,-3.0,7.1,34.59,36.31
1510,生物制品,002038,双鹭药业,80.0,66.0,32.89,1.4,7.75,0.1,-0.1,-4.1,1.2,-1.1,-10.0,4.17,4.03
1511,生物制品,002880,卫光生物,64.0,64.0,29.95,2.84,28.43,-0.0,-0.1,-0.5,1.2,-0.5,-3.7,0.04,6.04
1512,生物制品,000534,万泽股份,85.0,83.0,35.4,5.58,16.58,-0.1,-0.0,-0.3,1.0,-4.7,13.6,23.82,29.33
1513,生物制品,300294,博雅生物,133.0,133.0,29.47,1.74,26.34,-0.1,-0.8,-0.3,0.9,-0.2,-2.8,-0.38,-12.55
1514,生物制品,301509,金凯生科,48.0,23.0,33.33,2.2,39.72,0.1,-0.2,-1.7,0.8,-3.2,-0.6,5.22,55.89
1515,生物制品,688739,成大生物,115.0,115.0,47.16,1.23,27.7,-0.0,-0.2,-1.2,0.7,-0.6,-3.0,7.95,10.84
1516,生物制品,688253,英诺特,42.0,21.0,16.86,2.09,30.9,-0.1,-0.4,-1.6,0.5,-1.9,-4.5,1.98,-13.47
1517,生物制品,600223,福瑞达,81.0,81.0,37.62,1.96,7.99,-0.1,-0.4,-2.5,0.1,-0.7,-4.8,-7.84,6.53
1518,生物制品,603590,康辰药业,91.0,90.0,49.8,2.91,56.9,-0.1,-0.6,-2.5,-0.1,-7.9,-5.4,79.5,148.25
1519,生物制品,300357,我武生物,170.0,157.0,47.99,6.88,32.45,-0.4,-1.5,-3.8,-0.1,-2.8,24.2,58.22,61.44
1520,生物制品,300009,安科生物,184.0,135.0,25.12,4.64,11.01,-0.6,-1.9,-7.1,-1.2,-7.7,15.3,26.12,31.23
1521,教育,605098,行动教育,44.0,44.0,16.84,4.42,37.11,-0.0,0.1,0.4,0.3,3.1,7.1,6.88,10.81
1522,教育,000526,学大教育,58.0,57.0,12.55,5.94,47.29,-0.1,-0.2,-0.4,-1.0,-1.8,-7.3,-1.0,12.43
1523,光学光电子,300303,聚飞光电,105.0,99.0,42.41,2.87,7.44,1.1,1.2,0.2,4.5,6.4,16.1,25.25,11.21
1524,光学光电子,300389,艾比森,61.0,39.0,26.27,3.91,16.53,0.1,0.2,-0.0,4.3,-8.4,37.6,46.28,40.56
1525,光学光电子,301106,骏成科技,31.0,31.0,28.54,2.48,30.42,-0.0,-0.1,-0.4,1.8,-3.7,-4.6,7.76,9.58
1526,光学光电子,002765,蓝黛科技,87.0,79.0,39.64,3.37,13.28,-0.4,-1.6,-6.5,1.8,-1.3,5.0,-3.35,55.32
1527,光学光电子,300708,聚灿光电,89.0,68.0,38.05,3.23,9.16,-0.0,-1.0,-3.7,1.7,-3.0,1.9,17.29,6.02
1528,光学光电子,688150,莱特光电,103.0,46.0,40.7,5.59,25.58,0.0,-0.1,-1.6,1.3,-3.1,-7.3,11.22,14.25
1529,光学光电子,300545,联得装备,66.0,43.0,45.27,3.2,35.69,0.2,-0.7,-2.4,1.3,-0.9,13.3,26.52,14.65
1530,光学光电子,300566,激智科技,50.0,43.0,21.48,2.43,18.98,0.0,-0.1,-2.9,1.2,-3.2,-2.8,5.04,-2.77
1531,光学光电子,300940,南极光,63.0,45.0,43.54,5.51,28.51,0.0,-0.3,-1.1,1.0,-6.6,1.6,36.41,111.19
1532,光学光电子,301379,天山电子,47.0,30.0,31.38,3.43,23.8,-0.0,-0.6,-0.9,0.9,-10.0,-7.4,6.82,67.37
1533,光学光电子,300939,秋田微,42.0,42.0,40.85,3.05,34.9,-0.1,-1.1,-1.0,0.5,-9.1,8.7,21.9,7.72
1534,光学光电子,300232,洲明科技,85.0,69.0,35.12,1.83,7.8,-0.0,-0.7,-1.3,0.4,-3.8,6.6,12.39,17.65
1535,光学光电子,002106,莱宝高科,85.0,85.0,23.41,1.54,12.06,-0.7,0.1,-2.6,0.2,3.3,12.5,21.45,11.56
1536,光学光电子,605118,力鼎光电,127.0,125.0,49.05,8.36,30.81,0.0,-0.0,-2.1,0.2,-8.3,-10.2,30.55,76.06
1537,光学光电子,003019,宸展光电,71.0,69.0,31.59,4.43,40.25,0.1,-0.4,-1.9,0.1,-3.9,29.9,37.18,60.49
1538,光学光电子,300088,长信科技,169.0,168.0,38.87,1.95,6.77,0.0,-1.4,-4.7,-0.4,-1.6,9.2,20.25,4.48
1539,光学光电子,002983,芯瑞达,47.0,27.0,35.1,3.34,20.9,-0.0,-0.4,-0.5,-0.5,-6.4,-3.2,7.84,7.79
1540,光学光电子,002745,木林森,129.0,92.0,41.89,0.96,8.67,-0.0,-0.1,-2.1,-0.8,-4.2,1.4,15.6,0.0
1541,铁路公路,000548,湖南投资,27.0,27.0,38.03,1.34,5.48,0.0,-0.0,-0.2,1.9,0.2,-2.3,3.59,7.45
1542,铁路公路,000828,东莞控股,122.0,122.0,11.43,1.21,11.71,-0.0,-0.1,-0.9,1.7,-2.1,5.0,13.03,12.92
1543,铁路公路,601107,四川成渝,173.0,122.0,10.34,1.06,5.66,0.0,0.2,0.6,0.9,0.9,-0.4,-9.87,14.57
1544,铁路公路,002357,富临运业,35.0,35.0,15.35,2.1,11.27,-0.0,-0.1,-1.4,0.7,-4.3,6.2,35.95,61.0
1545,铁路公路,000755,山西高速,72.0,72.0,14.98,1.36,4.92,-0.0,0.1,0.1,0.6,1.0,-2.0,-1.2,1.23
1546,铁路公路,000900,现代投资,64.0,64.0,10.75,0.58,4.23,0.0,-0.1,-0.3,0.5,-0.9,-3.2,-1.17,-0.7
1547,铁路公路,600020,中原高速,99.0,99.0,7.47,0.85,4.41,0.0,-0.2,0.6,0.5,-1.1,-3.1,-6.96,8.89
1548,铁路公路,600035,楚天高速,66.0,66.0,8.19,0.76,4.1,-0.0,0.0,0.2,0.0,-0.7,-5.3,-4.65,-7.45
1549,铁路公路,600368,五洲交通,69.0,69.0,10.84,0.98,4.26,-0.0,-0.2,-1.1,0.0,-0.5,-2.5,0.24,-8.19
1550,铁路公路,600269,赣粤高速,117.0,117.0,7.66,0.62,5.01,0.0,-0.0,0.2,-0.2,-0.8,-2.1,-4.02,-7.9
1551,铁路公路,600033,福建高速,96.0,96.0,8.78,0.78,3.49,-0.0,-0.2,-0.9,-0.3,0.0,-0.3,-1.69,-8.88
1552,铁路公路,601518,吉林高速,52.0,52.0,11.43,0.96,2.76,-0.1,-0.1,0.1,-0.4,-0.7,0.7,4.15,2.6
1553,铁路公路,601188,龙江交通,48.0,48.0,25.14,1.02,3.62,-0.2,-0.3,-0.6,-1.1,2.0,3.1,8.38,2.55
1554,铁路公路,600106,重庆路桥,91.0,91.0,34.37,1.7,6.87,-0.2,-1.1,-5.1,-1.3,-3.8,11.2,7.01,23.78
1555,通信设备,600105,永鼎股份,159.0,159.0,24.99,4.77,10.89,1.5,-3.8,-12.8,6.9,-3.5,16.6,24.32,121.79
1556,通信设备,688100,威胜信息,181.0,181.0,29.64,5.66,36.79,0.1,-0.1,-0.4,3.0,-2.8,6.6,11.96,3.11
1557,通信设备,688080,映翰通,41.0,41.0,30.38,3.7,55.41,0.0,-0.9,-1.7,2.5,-4.2,13.9,17.72,69.35
1558,通信设备,002296,辉煌科技,45.0,40.0,16.68,1.89,11.52,0.1,-0.1,-1.5,1.6,-4.4,-1.3,4.82,19.88
1559,通信设备,002396,星网锐捷,174.0,173.0,40.97,2.57,29.65,-0.7,-5.0,-4.7,-2.5,-17.0,10.7,47.73,58.22
1560,风电设备,601218,吉鑫科技,47.0,47.0,28.93,1.61,4.87,-0.8,0.7,-0.7,4.1,12.2,14.9,34.9,49.39
1561,风电设备,300690,双一科技,63.0,42.0,31.48,4.09,38.03,0.5,0.0,-3.0,4.0,6.4,51.3,66.07,69.78
1562,风电设备,605305,中际联合,85.0,85.0,16.26,3.09,40.1,0.3,0.7,-3.6,3.6,7.3,9.8,49.07,43.83
1563,风电设备,301063,海锅股份,29.0,28.0,42.57,1.84,27.63,0.1,0.1,-0.8,2.5,0.5,-3.1,-1.0,75.65
1564,风电设备,301155,海力风电,181.0,103.0,44.19,3.23,83.4,0.4,0.8,-2.8,2.5,10.6,24.2,17.32,56.71
1565,风电设备,301232,飞沃科技,30.0,18.0,47.61,2.14,39.95,0.0,0.0,-0.5,2.1,0.9,24.0,38.19,61.74
1566,风电设备,300443,金雷股份,90.0,68.0,23.98,1.45,28.1,0.1,-0.3,0.5,1.6,7.3,29.3,32.55,41.56
1567,风电设备,688186,广大特材,77.0,77.0,20.79,1.65,27.44,-0.2,-0.1,-1.9,1.0,-0.5,10.0,1.25,83.06
1568,风电设备,603218,日月股份,137.0,137.0,24.15,1.31,13.29,0.1,0.1,-0.6,0.3,4.1,6.7,10.02,13.59
1569,风电设备,300569,天能重工,59.0,59.0,42.46,1.14,5.75,-0.2,-0.5,-1.4,0.2,3.4,3.8,6.28,15.46
1570,风电设备,301557,常友科技,33.0,8.0,47.26,3.3,73.58,-0.1,-0.1,-0.4,-0.2,1.0,1.3,3.24,164.87
1571,风电设备,300129,泰胜风能,74.0,51.0,30.93,1.66,7.88,-0.4,-0.1,-1.6,-0.4,6.2,9.4,12.73,12.73
1572,风电设备,300850,新强联,150.0,106.0,18.72,2.46,38.93,-1.2,-1.5,-4.9,-1.1,8.9,16.6,9.72,104.68
1573,风电设备,600458,时代新材,141.0,123.0,23.29,1.84,15.17,-0.1,0.3,-1.2,-1.2,5.4,17.1,17.41,20.49
1574,风电设备,603063,禾望电气,152.0,152.0,31.41,3.18,33.54,-1.0,-4.5,-16.8,-1.5,-8.1,3.1,8.19,69.05
1575,风电设备,301163,宏德股份,24.0,16.0,47.02,2.1,29.06,-0.1,-0.1,-0.3,-1.7,-2.5,7.1,18.81,38.32
1576,多元金融,002647,*ST仁东,65.0,39.0,9.41,10.17,5.77,0.0,-0.4,-1.7,1.2,-2.5,0.7,-7.09,10.33
1577,多元金融,000563,陕国投Ａ,183.0,183.0,12.62,1.0,3.58,-0.0,-0.3,-2.5,0.3,-2.5,-3.0,3.77,1.99
1578,多元金融,002961,瑞达期货,95.0,95.0,20.88,3.26,21.38,-0.0,-0.4,-1.7,0.1,-5.2,-5.4,12.76,50.88
1579,多元金融,600643,爱建集团,93.0,92.0,32.98,0.78,5.81,-0.1,-0.6,-1.5,0.0,-4.1,-7.0,9.42,12.38
1580,多元金融,600830,香溢融通,46.0,46.0,47.38,2.08,10.11,-0.1,-0.6,-3.5,-0.2,-6.0,-10.6,2.54,-13.44
1581,多元金融,603093,南华期货,129.0,129.0,27.95,3.02,21.19,-0.1,-1.0,-5.0,-0.4,-7.0,-15.1,-3.68,79.27
1582,多元金融,000567,海德股份,125.0,124.0,42.34,2.32,6.37,-0.1,-0.4,-2.7,-0.5,-1.4,-6.9,10.21,-6.73
1583,非金属材料,603612,索通发展,144.0,144.0,13.79,2.58,28.96,0.6,2.3,-2.4,6.5,11.6,30.9,65.01,114.36
1584,非金属材料,688357,建龙微纳,35.0,35.0,36.08,2.05,35.11,-0.0,-0.2,-0.9,3.8,1.5,9.7,30.09,61.57
1585,非金属材料,300743,天地数码,29.0,25.0,23.32,4.92,19.31,0.0,-0.1,-0.4,1.1,-1.6,-4.9,-14.63,31.0
1586,非金属材料,001301,尚太科技,170.0,105.0,17.69,2.6,64.99,0.4,2.7,4.3,1.1,9.7,21.0,38.63,-4.07
1587,非金属材料,836675,秉扬科技,23.0,10.0,32.23,3.7,13.11,-0.0,0.0,0.0,0.1,2.9,1.9,-6.36,61.25
1588,非金属材料,300409,道氏技术,190.0,167.0,41.27,2.42,24.31,1.0,1.0,-5.8,-0.1,7.5,36.9,70.96,81.01
1589,非金属材料,600783,鲁信创投,95.0,95.0,21.9,2.09,12.79,0.0,0.1,-0.3,-0.4,-1.2,-0.5,2.81,1.51
1590,非金属材料,688300,联瑞新材,127.0,127.0,45.74,8.17,52.53,-0.1,-0.7,0.1,-0.7,-8.2,-11.9,25.13,6.88
1591,非金属材料,001359,平安电工,93.0,23.0,34.58,4.89,50.36,-0.1,-0.5,0.5,-0.7,-9.3,-2.0,77.39,97.1
1592,非金属材料,001296,长江材料,39.0,20.0,26.85,2.27,26.34,-0.3,0.3,1.3,-1.1,6.1,31.3,30.91,55.58
1593,非金属材料,002057,中钢天源,86.0,86.0,29.21,2.63,11.38,-1.8,-2.0,-4.3,-1.1,-1.2,11.0,30.96,58.94
1594,非金属材料,839792,东和新材,23.0,14.0,36.64,2.35,14.16,-0.0,0.1,0.2,-2.5,2.2,5.1,12.65,61.46
1595,非金属材料,300035,中科电气,161.0,137.0,29.57,3.37,23.49,-1.4,0.7,-6.3,-4.0,9.8,37.0,56.18,59.8
1596,银行,600928,西安银行,186.0,185.0,6.4,0.54,4.18,-0.1,-0.1,0.8,2.5,-1.2,7.7,8.29,19.09
1597,银行,600908,无锡银行,130.0,119.0,4.73,0.58,5.94,0.1,0.0,1.9,0.3,-1.0,-2.5,-2.14,4.39
1598,银行,603323,苏农银行,106.0,106.0,4.48,0.57,5.23,0.0,-0.3,-0.3,0.2,-0.6,-3.5,-8.57,12.47
1599,银行,002936,郑州银行,185.0,136.0,5.67,0.41,2.03,0.1,-0.4,-0.3,0.0,-1.5,-4.7,0.5,-2.4
1600,银行,001227,兰州银行,138.0,102.0,7.24,0.45,2.42,0.0,-0.2,-0.0,0.0,-1.6,-2.8,-1.63,2.54
1601,银行,002839,张家港行,108.0,108.0,5.42,0.6,4.41,0.1,-0.1,0.6,-0.2,-1.8,-2.6,-3.71,5.76
1602,银行,601860,紫金银行,107.0,103.0,5.84,0.53,2.91,0.1,-0.1,0.6,-0.3,-1.0,-4.0,-2.02,5.82
1603,银行,601528,瑞丰银行,108.0,95.0,6.04,0.56,5.48,0.1,-0.0,1.4,-0.4,-2.0,-4.0,-7.12,0.92
1604,银行,002807,江阴银行,118.0,117.0,6.95,0.62,4.78,0.0,-0.2,-0.9,-0.4,-0.4,1.5,0.84,15.18
1605,银行,002958,青农商行,181.0,161.0,4.23,0.5,3.25,-0.0,-0.5,0.0,-0.6,-3.3,-7.7,-9.22,11.3
1606,银行,601187,厦门银行,169.0,82.0,7.32,0.65,6.42,-0.3,-0.7,-0.7,-1.1,-2.4,-8.3,3.05,17.15
1607,贵金属,001337,四川黄金,112.0,77.0,26.87,7.12,26.69,-0.4,-2.1,-3.3,1.3,3.1,12.8,5.45,29.37
1608,贵金属,002237,恒邦股份,153.0,122.0,24.84,1.61,13.37,-0.1,-1.2,-3.0,-0.1,0.1,12.6,8.35,34.24
1609,船舶制造,601890,亚星锚链,93.0,93.0,40.75,2.56,9.73,0.2,-1.1,-7.1,1.4,-5.4,-6.4,9.94,26.53
1610,船舶制造,300008,天海防务,113.0,108.0,45.15,5.09,6.56,-0.6,-3.8,-11.8,-0.3,-11.5,-8.5,3.47,40.17
1611,证券,600621,华鑫股份,175.0,175.0,39.12,2.01,16.53,-0.1,-3.6,-4.9,-0.5,-7.4,2.6,7.97,0.79
1612,证券,600864,哈投股份,155.0,155.0,20.37,1.17,7.44,-0.2,-1.2,-7.7,-0.5,-3.6,6.4,30.07,1.92
1613,证券,000686,东北证券,197.0,197.0,22.88,1.02,8.42,0.2,0.4,-1.0,-0.6,-2.8,-0.1,12.27,7.67
1614,商业百货,002251,步步高,175.0,139.0,43.61,2.15,6.51,-0.2,0.9,-9.9,2.2,11.3,25.0,30.46,64.81
1615,商业百货,600682,南京新百,108.0,94.0,32.55,0.61,8.05,0.1,-0.4,-1.7,1.5,-2.8,8.3,16.67,18.04
