,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,银行,002807,江阴银行,121.0,120.0,7.13,0.64,4.9,-0.8,3.4,4.93,18.07
1,银行,601860,紫金银行,109.0,106.0,6.0,0.55,2.99,0.9,-2.9,2.4,8.73
2,银行,002936,郑州银行,190.0,140.0,5.84,0.42,2.09,0.5,-3.7,3.47,0.48
3,银行,601187,厦门银行,176.0,86.0,7.6,0.68,6.67,-0.7,-7.6,6.04,21.72
4,银行,002839,张家港行,111.0,111.0,5.59,0.62,4.55,0.8,-0.2,0.44,9.11
5,银行,600908,无锡银行,133.0,121.0,4.83,0.59,6.07,2.1,-1.5,1.34,6.68
6,银行,603323,苏农银行,107.0,107.0,4.56,0.58,5.32,-0.3,-3.1,-2.56,14.41
7,银行,601528,瑞丰银行,110.0,98.0,6.21,0.58,5.63,1.8,-2.1,-3.26,3.68
8,银行,002958,青农商行,188.0,167.0,4.4,0.52,3.38,0.9,-5.3,-1.74,15.75
9,银行,001227,兰州银行,141.0,104.0,7.39,0.46,2.47,-0.0,-3.5,2.49,4.66
10,银行,600928,西安银行,187.0,186.0,6.44,0.54,4.21,0.3,7.1,10.21,19.94
11,珠宝首饰,300945,曼卡龙,59.0,54.0,38.37,3.56,22.46,-1.0,15.8,-14.41,97.89
12,珠宝首饰,603900,莱绅通灵,41.0,41.0,34.1,2.1,12.05,1.0,22.8,1.69,117.9
13,珠宝首饰,002345,潮宏基,147.0,143.0,22.13,4.02,16.5,-0.3,15.5,13.71,196.76
14,珠宝首饰,002731,萃华珠宝,36.0,32.0,16.13,1.95,13.95,-0.7,5.8,5.52,50.0
15,珠宝首饰,000026,飞亚达,74.0,66.0,44.59,2.21,18.12,-5.2,3.7,45.54,81.75
16,珠宝首饰,002867,周大生,151.0,150.0,12.72,2.42,13.92,-0.9,3.8,3.34,0.22
17,珠宝首饰,605599,菜百股份,113.0,113.0,12.31,2.87,14.52,-0.3,-5.8,-10.09,36.59
18,珠宝首饰,000025,特  力Ａ,78.0,71.0,46.18,4.39,18.0,-1.4,3.0,0.22,9.62
19,珠宝首饰,600916,中国黄金,140.0,140.0,21.92,1.95,8.32,-1.7,0.2,0.85,0.6
20,贵金属,001337,四川黄金,109.0,75.0,26.21,6.95,26.04,-2.8,8.2,9.69,26.22
21,贵金属,002237,恒邦股份,151.0,120.0,24.49,1.59,13.18,-3.6,6.8,16.64,32.33
22,汽车零部件,831906,舜宇精工,26.0,13.0,41.11,4.5,40.0,2.7,59.7,60.9,136.97
23,汽车零部件,836221,易实精密,29.0,15.0,43.59,7.3,24.75,0.5,15.8,42.0,106.59
24,汽车零部件,603239,浙江仙通,45.0,45.0,21.04,3.72,16.64,-0.8,4.0,13.58,25.68
25,汽车零部件,838837,华原股份,28.0,25.0,36.67,5.16,18.13,0.2,5.0,12.19,90.04
26,汽车零部件,300580,贝斯特,143.0,134.0,47.99,4.49,28.47,-3.7,11.0,18.18,24.81
27,汽车零部件,603809,豪能股份,134.0,134.0,36.37,4.18,15.55,-5.9,-1.3,11.95,76.91
28,汽车零部件,832000,安徽凤凰,20.0,11.0,30.77,3.18,21.95,-0.2,4.4,3.68,22.9
29,汽车零部件,838171,邦德股份,24.0,11.0,25.69,4.16,18.5,-0.1,2.8,4.17,45.33
30,汽车零部件,002283,天润工业,81.0,71.0,20.48,1.35,7.08,-1.5,10.8,23.34,38.28
31,汽车零部件,603926,铁流股份,37.0,37.0,38.38,2.21,15.96,0.5,32.2,33.44,85.8
32,汽车零部件,832978,开特股份,62.0,35.0,36.38,8.79,34.6,0.1,45.0,53.17,162.72
33,汽车零部件,301160,翔楼新材,76.0,50.0,37.53,4.53,66.02,-1.0,12.7,18.59,72.69
34,汽车零部件,831195,三祥科技,20.0,15.0,25.92,2.69,20.78,-0.5,7.3,24.8,92.76
35,汽车零部件,603305,旭升集团,140.0,140.0,35.0,2.16,14.73,-3.5,6.5,13.66,15.35
36,汽车零部件,603166,福达股份,120.0,119.0,41.06,4.84,18.58,-1.0,7.2,14.98,159.14
37,汽车零部件,603006,联明股份,35.0,35.0,49.56,2.52,13.66,-0.6,1.3,6.47,35.92
38,汽车零部件,002101,广东鸿图,87.0,87.0,38.28,1.13,13.15,-1.1,4.0,10.13,12.68
39,汽车零部件,002997,瑞鹄模具,85.0,85.0,18.82,3.66,40.81,-3.1,3.7,15.77,18.81
40,汽车零部件,001282,三联锻造,46.0,16.0,32.08,2.86,20.6,-1.2,2.0,2.33,37.98
