序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,830879,基康技术,27.18,29.99,6.27,161930.0,438857473.09,7.7,27.18,25.57,27.18,20.91,3.06,12.01,58.0,7.8,4538144877.0,3665005506.0,0.0,0.0,62.46,183.13
2,835174,五新隧装,63.29,29.99,14.6,34682.0,219501808.39,0.0,63.29,63.29,63.29,48.69,0.49,4.0,43.76,7.15,5696651762.0,5490519144.0,0.0,0.0,100.16,119.07
3,873706,铁拓机械,24.01,29.99,5.54,177114.0,386954879.93,21.66,24.01,20.01,20.01,18.47,11.87,41.82,50.15,4.03,2218649932.0,1016748349.0,0.0,0.0,29.85,98.76
4,836942,恒立钻具,25.59,29.96,5.9,136334.0,337359458.86,13.2,25.59,22.99,22.99,19.69,20.78,33.05,31.1,3.2,1569360489.0,1055651833.0,0.0,0.0,40.76,87.61
5,833873,中设咨询,9.64,25.19,1.94,499464.0,460987898.57,22.08,9.98,8.28,8.29,7.7,2.24,45.32,-33.88,4.86,1478650699.0,1062361904.0,-0.1,-0.41,58.29,118.1
6,300564,筑博设计,17.38,20.03,2.9,46910.0,81529892.84,0.0,17.38,17.38,17.38,14.48,0.96,4.14,-25.32,2.2,2803658176.0,1967335183.0,0.0,0.0,52.46,46.54
7,300723,一品红,80.53,20.0,13.42,193197.0,1456719479.32,20.37,80.53,66.86,67.12,67.11,1.25,4.63,160.7,18.8,36374818446.0,33633345642.0,0.0,0.0,107.55,372.04
8,301151,冠龙节能,21.3,20.0,3.55,55885.0,119035199.1,0.0,21.3,21.3,21.3,17.75,1.25,10.03,109.48,1.76,3599787330.0,1187196907.0,0.0,0.0,50.21,42.19
9,301038,深水规院,19.32,20.0,3.22,205688.0,388819856.85,8.2,19.32,18.0,18.0,16.1,2.75,9.22,-36.57,5.08,4309905600.0,4309905600.0,0.0,0.0,38.79,34.07
10,300683,海特生物,37.92,20.0,6.32,202031.0,727068072.45,18.77,37.92,31.99,32.34,31.6,2.88,16.55,-89.08,2.09,4963515307.0,4628691187.0,0.0,0.0,70.73,59.93
11,688356,键凯科技,110.16,20.0,18.36,48291.0,487207531.0,16.9,110.16,94.65,94.99,91.8,2.43,7.96,140.59,5.26,6681281112.0,6681281112.0,0.0,0.0,88.5,93.98
12,300808,久量股份,35.94,20.0,5.99,78752.0,266380006.0,19.83,35.94,30.0,30.04,29.95,3.42,7.49,-118.8,5.76,5750400000.0,3780867802.0,0.0,0.0,44.28,56.46
13,300718,长盛轴承,95.28,20.0,15.88,458213.0,4217407172.18,14.71,95.28,83.6,88.0,79.4,1.56,23.64,134.19,17.91,28467665978.0,18469268904.0,0.0,0.0,29.97,212.8
14,300865,大宏立,36.54,20.0,6.09,120453.0,426140969.12,10.54,36.54,33.33,36.25,30.45,3.04,17.78,854.16,4.06,3496147200.0,2475513820.0,0.0,0.0,73.34,56.56
15,688585,上纬新材,40.16,19.99,6.69,77898.0,312840095.0,0.0,40.16,40.16,40.16,33.47,3.01,1.93,179.59,12.74,16199006996.0,16199006996.0,0.0,0.0,441.24,505.73
16,300722,新余国科,41.05,19.99,6.84,367429.0,1431054484.86,15.93,41.05,35.6,35.6,34.21,4.47,13.28,696.2,19.19,11360853504.0,11360853504.0,0.0,0.0,39.58,52.94
17,301161,唯万密封,29.59,19.99,4.93,212803.0,579979917.41,21.94,29.59,24.18,24.66,24.66,4.03,39.9,35.83,3.64,3550800000.0,1577975520.0,0.0,0.0,49.75,38.99
18,300617,安靠智电,36.73,19.99,6.12,189381.0,671956121.71,13.1,36.73,32.72,32.88,30.61,8.71,13.47,35.15,2.13,6147138530.0,5163930790.0,0.0,0.0,39.87,28.56
19,688425,铁建重工,4.94,19.9,0.82,852015.0,420895484.0,0.0,4.94,4.94,4.94,4.12,4.44,1.6,19.83,1.47,26347475180.0,26347475180.0,0.0,0.0,19.61,12.27
20,834599,同力股份,24.98,18.22,3.85,273681.0,654153701.49,13.16,25.32,22.54,22.54,21.13,10.52,7.87,15.38,3.94,11528894500.0,8682407163.0,0.04,0.32,22.21,107.13
21,871245,威博液压,35.85,18.01,5.47,60927.0,208776637.79,19.91,36.98,30.93,30.93,30.38,14.87,16.04,77.99,5.28,1781565750.0,1362155238.0,-0.03,0.17,6.07,-5.78
22,301626,苏州天脉,127.92,17.89,19.41,55820.0,666108926.24,18.87,127.98,107.5,109.0,108.51,2.39,21.45,68.01,9.94,14797785600.0,3329501760.0,-0.01,0.12,84.46,37.58
23,688257,新锐股份,17.02,16.5,2.41,221055.0,358251512.0,15.81,17.49,15.18,15.18,14.61,5.44,8.76,23.25,1.96,4295992738.0,4295992738.0,-0.18,0.18,11.39,32.55
24,688011,新光光电,29.31,16.08,4.06,77192.0,212721331.0,19.56,30.2,25.26,25.43,25.25,4.68,7.72,-61.1,2.71,2931000000.0,2931000000.0,-0.14,-0.51,83.65,91.32
25,300490,华自科技,10.17,15.57,1.37,887451.0,880568038.37,14.77,10.4,9.1,9.34,8.8,5.19,22.57,-14.14,1.75,4054480755.0,3999460424.0,0.0,-0.29,41.45,29.06
26,301633,港迪技术,86.2,15.35,11.47,46752.0,385686823.03,17.89,87.88,74.51,76.88,74.73,7.11,33.59,-231.11,5.55,4799616000.0,1199904000.0,0.0,-0.13,17.31,4.51
27,831834,三维股份,14.7,14.22,1.83,96482.0,132551234.37,12.2,14.8,13.23,13.83,12.87,4.76,15.36,58.33,6.42,1764000074.0,923107653.0,-0.14,1.73,38.94,106.46
28,301538,骏鼎达,64.62,14.17,8.02,57578.0,349899793.52,18.59,66.0,55.48,56.3,56.6,1.88,18.44,26.9,3.95,5066208000.0,2017415140.0,0.25,-1.58,35.9,18.31
29,300405,科隆股份,6.61,13.97,0.81,651799.0,416377608.89,16.03,6.89,5.96,6.2,5.8,7.4,29.79,-30.36,4.35,1879703355.0,1446220732.0,0.15,0.15,41.85,36.57
30,600930,C华新,7.56,13.68,0.91,12291357.0,8853885885.0,18.05,7.8,6.6,6.81,6.65,1.0,49.06,26.5,3.0,309725218258.0,18939124905.0,-0.13,0.93,137.74,137.74
31,300789,唐源电气,30.07,13.47,3.57,86048.0,248121637.88,14.6,30.75,26.88,26.97,26.5,5.71,8.7,146.46,4.23,4325541144.0,2975447880.0,0.03,0.23,15.39,103.31
32,300665,飞鹿股份,10.38,13.32,1.22,669714.0,686080832.38,15.28,10.9,9.5,10.15,9.16,3.29,44.49,-33.97,4.76,2074571484.0,1562487231.0,0.0,-0.95,50.65,67.42
33,301511,德福科技,28.8,13.16,3.35,605960.0,1648277085.58,16.74,29.36,25.1,25.51,25.45,1.67,16.18,249.35,4.53,18153273600.0,10786911869.0,0.88,-0.21,108.7,129.3
34,920002,万达轴承,142.0,12.91,16.24,60134.0,840720197.88,16.06,148.88,128.68,128.72,125.76,1.99,18.88,87.17,9.35,6461421456.0,4523831314.0,-0.07,-0.08,-8.72,196.57
