序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300528,幸福蓝海,17.58,20.0,2.93,194306.0,341507474.32,0.27,17.58,17.54,17.56,14.65,0.88,5.21,23.22,10.86,6550449589.0,6550449589.0,0.0,0.0,94.9,102.07
2,688020,方邦股份,47.07,19.83,7.79,65215.0,290300362.0,19.76,47.14,39.38,39.38,39.28,10.3,8.07,662.56,2.8,3804750378.0,3804750378.0,-0.15,-0.15,47.93,33.87
3,300322,硕贝德,18.69,18.67,2.94,1271469.0,2249725699.7,19.37,18.9,15.85,15.95,15.75,8.91,28.82,148.23,8.77,8612565907.0,8246103788.0,2.47,1.74,28.81,42.56
4,688660,电气风电,14.88,15.53,2.0,722544.0,996859312.0,19.33,15.3,12.81,12.89,12.88,1.42,5.42,-26.48,4.02,19840000992.0,19840000992.0,-0.47,-0.73,93.5,65.33
5,300267,尔康制药,4.32,14.89,0.56,2919347.0,1258180061.28,21.54,4.51,3.7,3.71,3.76,5.79,20.52,79.24,2.0,8910453038.0,6144732969.0,-0.23,0.0,48.45,55.4
6,837663,明阳科技,24.93,14.62,3.18,93405.0,225428619.55,18.48,25.88,21.86,21.86,21.75,5.28,14.76,42.06,9.33,3337034817.0,1577142526.0,0.04,0.12,18.66,131.05
7,301580,爱迪特,55.8,14.41,7.03,116973.0,624860361.86,19.79,58.52,48.87,48.9,48.77,4.77,16.24,47.54,3.02,5946301165.0,4018548154.0,-0.73,-0.02,55.91,35.96
8,301005,超捷股份,42.7,14.17,5.3,220477.0,923685461.84,14.73,44.5,38.99,38.99,37.4,4.9,16.66,89.65,7.58,5733211618.0,5652275262.0,-0.7,-0.44,42.86,46.23
9,688519,南亚新材,48.01,13.9,5.86,80463.0,369454207.0,16.11,49.49,42.7,42.95,42.15,4.71,3.46,135.53,4.71,11449600037.0,11152418137.0,0.08,-0.39,30.78,126.78
10,688011,新光光电,37.91,13.27,4.44,78414.0,284092417.0,17.84,38.83,32.86,33.14,33.47,2.24,7.84,-79.03,3.51,3791000000.0,3791000000.0,-0.79,-0.94,136.94,147.45
11,688585,上纬新材,74.73,13.12,8.67,161931.0,1123898524.0,21.86,77.44,63.0,64.0,66.06,1.34,4.01,334.17,23.7,30143221933.0,30143221933.0,-0.01,0.71,899.06,1027.15
12,300436,广生堂,84.3,12.41,9.31,131290.0,1057134536.1,11.55,85.55,76.89,77.5,74.99,1.57,9.6,-117.82,40.48,13426208100.0,11525480742.0,0.74,0.29,186.83,158.03
13,300476,胜宏科技,174.25,12.04,18.72,501878.0,8451992229.13,10.99,177.34,160.24,162.0,155.53,2.67,5.87,40.82,15.54,150323495694.0,149020118240.0,0.14,-0.36,135.73,316.97
14,300747,锐科激光,29.52,11.99,3.16,505264.0,1470385154.56,14.87,30.29,26.37,26.38,26.36,3.75,9.92,246.13,5.11,16672969534.0,15033757912.0,-0.14,-0.44,71.83,54.47
