序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301609,N山大,66.85,356.0,52.19,288041.0,2222428573.69,148.5,88.44,66.67,87.7,14.66,,82.89,157.21,9.38,10888528000.0,2323053811.0,0.03,-0.04,356.0,356.0
2,603262,N技源,40.75,274.54,29.87,313322.0,1371926404.0,103.95,51.8,40.49,51.0,10.88,,80.75,95.66,11.17,16300407500.0,1581207784.0,0.12,0.59,274.54,274.54
3,836942,恒立钻具,43.23,29.98,9.97,12456.0,53847720.3,0.0,43.23,43.23,43.23,33.26,0.37,3.02,52.55,5.41,2651170533.0,1783346180.0,0.0,0.0,149.16,216.94
4,688425,铁建重工,7.12,20.07,1.19,493366.0,351276827.0,0.0,7.12,7.12,7.12,5.93,1.29,0.93,28.58,2.12,37974498640.0,37974498640.0,0.0,0.0,72.82,61.82
5,300344,ST立方,5.75,20.04,0.96,1174053.0,625641299.52,20.67,5.75,4.76,4.76,4.79,1.19,18.36,-53.22,14.93,3689811892.0,3676684642.0,0.0,0.0,-28.21,29.21
6,301038,深水规院,27.82,20.02,4.64,168384.0,453038292.37,12.12,27.82,25.01,25.5,23.18,1.15,7.55,-52.66,7.31,6206085600.0,6206085600.0,0.0,0.0,100.14,93.06
7,300955,嘉亨家化,22.85,20.01,3.81,154465.0,326903777.63,20.22,22.85,19.0,19.01,19.04,7.51,26.25,-28.9,2.6,2303280000.0,1344638892.0,0.0,0.0,40.36,47.23
8,300877,金春股份,20.93,20.01,3.49,124871.0,244960732.51,19.04,20.93,17.61,17.65,17.44,5.46,10.41,179.74,1.6,2511600000.0,2511578024.0,0.0,0.0,46.88,50.04
9,300564,筑博设计,25.03,19.99,4.17,441009.0,1054780288.47,13.57,25.03,22.2,22.95,20.86,9.84,38.96,-36.46,3.17,4037719456.0,2833279611.0,0.0,0.0,114.48,111.05
10,300158,振东制药,5.89,19.96,0.98,1671869.0,911412858.96,20.57,5.89,4.88,4.89,4.91,4.32,16.68,1279.26,1.62,5921333363.0,5904943890.0,0.0,0.0,49.11,36.34
11,688660,电气风电,13.15,19.87,2.18,1198419.0,1467466738.0,19.51,13.16,11.02,11.18,10.97,2.18,8.99,-23.4,3.56,17533334210.0,17533334210.0,1.23,0.77,64.99,46.11
12,688585,上纬新材,57.7,19.73,9.51,383203.0,2005186845.0,25.01,57.83,45.78,47.5,48.19,3.93,9.5,258.02,18.3,23273971706.0,23273971706.0,-0.17,0.35,668.31,770.29
13,835857,百甲科技,9.56,17.16,1.4,550848.0,547774463.27,30.88,10.6,8.08,8.2,8.16,4.33,47.74,-330.47,2.45,1732877119.0,1103086135.0,0.84,-0.93,47.76,67.72
14,688316,青云科技-U,82.2,15.09,10.78,117211.0,924310209.0,23.1,85.7,69.2,69.65,71.42,1.81,24.52,-42.89,61.28,3929134354.0,3929134354.0,-0.11,-0.16,57.2,145.37
15,300595,欧普康视,18.26,14.13,2.26,759601.0,1372226496.62,20.13,19.2,15.98,16.0,16.0,10.21,11.36,25.52,3.52,16363742568.0,12206714318.0,0.0,0.05,26.28,-2.51
16,300021,大禹节水,6.61,13.38,0.78,2962134.0,1938536567.03,14.58,6.93,6.08,6.22,5.83,4.93,39.65,178.95,2.91,5927303984.0,4938261198.0,0.0,-0.3,43.07,64.84
17,688210,统联精密,27.91,12.54,3.11,197204.0,531258245.0,14.15,28.19,24.68,24.8,24.8,4.15,12.31,407.65,3.58,4472334934.0,4472334934.0,0.04,0.0,59.03,40.89
18,300732,设研院,9.17,11.97,0.98,732226.0,660091997.06,14.65,9.61,8.41,8.81,8.19,5.27,22.61,-71.58,1.17,2973971925.0,2970207795.0,0.0,0.22,48.62,37.28
19,300885,海昌新材,17.76,11.0,1.76,331697.0,554723443.94,20.88,18.56,15.22,15.79,16.0,2.11,19.86,62.53,5.16,4407175968.0,2966235684.0,-0.22,0.45,36.3,63.24
