序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,839680,*ST广道,7.25,29.93,1.67,195591.0,130253257.75,34.95,7.25,5.3,5.58,5.58,1.32,41.71,-19.94,7.42,485749275.0,339976744.0,0.0,0.0,-41.06,-50.95
2,688585,上纬新材,19.37,20.01,3.23,11480.0,22236799.0,0.0,19.37,19.37,19.37,16.14,0.76,0.28,86.62,6.14,7813116671.0,7813116671.0,0.0,0.0,173.59,192.16
3,300378,鼎捷数智,46.02,20.0,7.67,443195.0,1886227873.38,20.65,46.02,38.1,38.19,38.35,2.98,16.45,-374.7,5.73,12489498037.0,12396894292.0,0.0,0.0,39.45,78.1
4,300502,新易盛,157.08,20.0,26.18,525323.0,8097611416.44,6.72,157.08,148.28,149.02,130.9,1.32,5.93,24.82,16.21,156092735235.0,139039603903.0,0.0,0.0,194.65,91.0
5,300839,博汇股份,13.82,19.97,2.3,150943.0,197357852.32,20.57,13.82,11.45,11.45,11.52,2.76,6.25,-17.91,9.31,3411891481.0,3338997643.0,0.0,0.0,81.13,91.68
6,300308,中际旭创,174.81,16.68,24.99,924064.0,15619206714.12,13.14,174.99,155.3,155.3,149.82,2.22,8.36,30.68,9.56,194234595967.0,193281540237.0,0.01,0.02,125.59,42.11
7,688137,近岸蛋白,48.6,14.65,6.21,74443.0,363471440.0,17.01,50.87,43.66,44.53,42.39,5.99,22.78,-72.21,1.63,3410526335.0,1588026335.0,-0.82,-1.4,52.07,46.39
8,301183,东田微,69.0,13.92,8.43,256127.0,1742871154.12,20.11,72.68,60.5,61.66,60.57,2.29,43.69,68.66,6.36,5520000000.0,4045261344.0,0.0,-1.43,63.9,28.54
9,835305,*ST云创,15.92,13.71,1.92,167211.0,261715248.5,20.43,16.6,13.74,14.0,14.0,1.06,20.62,-69.41,3.38,2107427910.0,1291125930.0,-0.13,0.7,-42.07,-21.61
10,300476,胜宏科技,164.06,13.65,19.71,634121.0,10054215934.69,12.15,165.56,148.02,148.02,144.35,1.42,7.41,38.43,14.63,141532698442.0,140305541455.0,-0.5,-0.73,125.11,292.58
11,688313,仕佳光子,48.68,13.55,5.81,448245.0,2139437366.0,13.16,49.6,43.96,43.96,42.87,1.22,9.77,59.91,17.65,22334497327.0,22334497327.0,0.06,0.27,224.32,198.1
12,300522,世名科技,16.57,13.34,1.95,725300.0,1162038510.6,23.53,17.54,14.1,14.5,14.62,1.95,29.74,245.38,6.76,5343021471.0,4040542570.0,0.42,0.49,30.99,34.17
13,300723,一品红,60.86,13.19,7.09,205797.0,1173551061.44,12.13,60.89,54.37,55.27,53.77,1.81,4.93,121.45,14.21,27490021739.0,25418172305.0,-0.02,0.93,58.28,256.74
14,300394,天孚通信,95.16,11.97,10.17,554034.0,5171177454.33,10.54,96.51,87.55,89.02,84.99,1.22,7.14,54.78,18.06,73978896188.0,73830112957.0,-0.03,-0.05,103.81,46.63
15,836892,广咨国际,22.39,11.95,2.39,150633.0,316218850.28,34.7,25.44,18.5,19.65,20.0,1.39,10.3,143.33,11.27,3814166794.0,3273777785.0,-0.44,0.09,68.98,137.43
16,301377,鼎泰高科,40.87,11.61,4.25,163274.0,653127937.82,15.62,41.9,36.18,36.5,36.62,2.19,22.99,57.71,6.87,16756700000.0,2902750880.0,-0.02,0.17,73.32,95.83
17,301265,华新环保,12.97,11.43,1.33,433781.0,585365607.12,21.22,13.97,11.5,11.5,11.64,3.57,25.55,89.93,1.89,3929562171.0,2202269074.0,-0.08,0.31,54.77,44.75
18,688369,致远互联,28.0,10.85,2.74,106663.0,282011134.0,14.65,28.1,24.4,25.29,25.26,4.2,9.26,-12.04,3.28,3226105988.0,3226105988.0,-0.36,-0.07,0.32,39.51
19,300996,普联软件,21.61,10.82,2.11,758909.0,1543094234.92,21.49,22.99,18.8,18.91,19.5,1.31,32.04,-109.51,4.94,6110790397.0,5119081587.0,0.14,0.51,40.87,67.91
20,688091,上海谊众,67.18,10.78,6.54,93180.0,598060009.0,11.87,67.25,60.05,60.2,60.64,1.22,4.51,244.72,9.76,13886350535.0,13886350535.0,0.0,0.03,52.3,68.29
21,300950,德固特,29.5,10.4,2.78,303386.0,866461440.25,23.43,32.06,25.8,26.43,26.72,2.82,33.57,47.5,5.99,4498160000.0,2666055863.0,0.0,0.14,92.31,84.95
22,300620,光库科技,50.56,10.39,4.76,344240.0,1702371376.29,11.92,51.57,46.11,46.2,45.8,4.37,13.95,290.43,6.53,12598568355.0,12480912252.0,0.02,-0.04,32.67,4.25
23,832662,方盛股份,28.13,10.31,2.63,126287.0,363356205.4,23.61,31.4,25.38,25.72,25.5,5.16,51.38,87.77,5.52,2462781556.0,691454725.0,0.07,0.46,23.43,41.86
24,000545,金浦钛业,3.05,10.11,0.28,171282.0,52241107.6,0.0,3.05,3.05,3.05,2.77,0.29,1.74,-48.91,2.67,3009840943.0,3005479443.0,0.0,0.0,53.27,39.91
25,603176,汇通集团,6.77,10.08,0.62,69503.0,47053193.0,0.0,6.77,6.77,6.77,6.15,0.65,1.51,-19.05,3.03,3211154571.0,3126292621.0,0.0,0.0,53.86,52.82
26,601003,柳钢股份,5.57,10.08,0.51,1802878.0,992408824.0,11.26,5.57,5.0,5.06,5.06,0.84,7.03,13.7,1.65,14274758124.0,14274758124.0,0.0,0.0,99.64,101.81
