序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
58,000678,襄阳轴承,16.72,10.0,1.52,1271554.0,2075732976.66,10.46,16.72,15.13,15.2,15.2,3.57,27.67,-140.97,9.83,7684709246.0,7684709246.0,0.0,0.0,40.5,156.84
59,605500,森林包装,13.2,10.0,1.2,658556.0,802112639.0,17.5,13.2,11.1,11.5,12.0,1.5,15.89,40.36,2.14,5470080000.0,5470080000.0,0.0,0.0,103.08,93.83
60,002028,思源电气,76.99,10.0,7.0,256938.0,1965344160.82,3.56,76.99,74.5,75.08,69.99,4.35,4.23,23.18,4.48,59929422661.0,46716566622.0,0.0,0.0,7.36,6.63
61,002940,昂利康,42.13,10.0,3.83,109482.0,442943729.82,9.87,42.13,38.35,38.94,38.3,1.13,5.91,133.58,5.58,8498808476.0,7805655425.0,0.0,0.0,228.12,222.59
62,003037,三和管桩,8.59,9.99,0.78,362247.0,307198607.11,4.48,8.59,8.24,8.54,7.81,2.6,6.12,37.18,1.86,5146051484.0,5085921484.0,0.0,0.0,41.98,17.35
63,001387,雪祺电气,15.53,9.99,1.41,94610.0,144582335.02,10.34,15.53,14.07,14.07,14.12,0.72,8.31,37.33,2.35,2842586352.0,1769027471.0,0.0,0.0,29.42,13.61
64,600793,宜宾纸业,30.28,9.99,2.75,179645.0,521368865.0,10.57,30.28,27.37,27.37,27.53,0.92,10.15,83.56,22.52,5356653181.0,5356653181.0,0.0,0.0,74.22,30.35
65,603399,永杉锂业,10.35,9.99,0.94,180923.0,186670745.0,6.48,10.35,9.74,9.74,9.41,1.7,3.53,-44.94,3.05,5302208217.0,5302208217.0,0.0,0.0,24.25,15.0
66,603001,奥康国际,7.71,9.99,0.7,41861.0,32115504.0,5.28,7.71,7.34,7.34,7.01,0.79,1.04,-17.54,1.22,3091555800.0,3091555800.0,0.0,0.0,50.0,11.26
67,002896,中大力德,67.58,9.99,6.14,280459.0,1840033500.68,7.16,67.58,63.18,63.83,61.44,1.6,14.27,190.84,11.53,13281002039.0,13281002039.0,0.0,0.0,3.25,130.26
68,603767,中马传动,18.85,9.98,1.71,450512.0,828727400.0,12.37,18.85,16.73,17.06,17.14,2.12,14.6,240.58,4.24,5817703775.0,5817703775.0,0.0,0.0,37.69,62.78
