,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,40.7,0.55,7.28,2.26
1,银行,6.7,6.53,15.84,21.3
2,教育,-4.5,6.81,10.99,8.11
3,汽车服务,-6.1,7.69,12.93,18.94
4,铁路公路,-9.7,1.07,7.75,6.35
5,航空机场,-10.0,-0.42,3.02,-2.38
6,公用事业,-10.8,4.54,7.53,9.11
7,房地产服务,-12.8,3.96,10.47,11.62
8,玻璃玻纤,-13.6,11.32,21.39,22.29
9,综合行业,-14.4,8.98,21.68,19.6
10,能源金属,-15.4,10.09,13.05,9.21
11,工程咨询服务,-16.0,7.1,19.58,21.42
12,石油行业,-16.4,7.53,14.92,12.55
13,水泥建材,-16.6,6.68,14.61,17.25
14,煤炭行业,-17.0,2.47,5.46,-0.34
15,非金属材料,-18.3,11.18,18.46,23.72
16,燃气,-18.5,3.28,13.06,7.53
17,钢铁行业,-18.9,8.18,12.28,14.34
18,光伏设备,-19.1,12.29,17.76,5.29
19,装修装饰,-19.6,2.53,15.4,22.27
20,医药商业,-20.0,5.45,16.17,15.29
21,专业服务,-20.2,9.45,14.28,29.17
22,橡胶制品,-23.7,3.25,13.82,19.69
23,装修建材,-24.3,5.18,15.27,16.38
24,包装材料,-25.5,6.16,24.18,25.25
25,美容护理,-26.4,-5.88,12.76,21.8
26,贸易行业,-26.9,7.42,13.78,16.77
27,多元金融,-29.0,17.32,29.48,26.25
28,电机,-29.5,6.7,17.5,29.13
29,工程机械,-30.4,4.17,11.29,23.42
30,化纤行业,-31.6,1.16,13.57,20.27
31,造纸印刷,-34.6,6.13,18.16,14.03
32,航运港口,-34.8,6.62,13.06,12.84
33,证券,-35.7,9.72,13.15,7.49
34,家电行业,-37.0,4.86,17.09,21.13
35,旅游酒店,-37.2,-0.24,-2.61,2.43
36,珠宝首饰,-38.4,-0.09,23.23,30.73
37,风电设备,-39.0,7.27,17.2,23.05
38,仪器仪表,-40.0,6.93,17.28,36.37
39,化肥行业,-40.2,4.37,11.26,13.39
40,房地产开发,-44.1,5.81,8.24,4.94
41,贵金属,-44.3,4.64,10.52,47.53
42,工程建设,-45.1,3.26,11.81,14.71
43,医疗器械,-49.7,6.97,17.97,22.21
44,家用轻工,-51.6,2.5,23.12,27.92
45,电子化学品,-54.4,4.66,7.98,15.61
46,采掘行业,-56.7,11.2,23.61,28.09
47,交运设备,-57.5,5.0,16.42,21.09
48,物流行业,-58.5,3.95,11.99,19.22
49,消费电子,-59.1,6.73,19.33,13.58
50,医疗服务,-62.5,9.61,22.61,25.67
51,生物制品,-62.8,8.81,25.35,37.24
52,中药,-65.0,3.45,10.94,7.93
53,电源设备,-65.5,9.77,21.69,30.25
54,农牧饲渔,-66.9,2.08,7.09,17.11
55,船舶制造,-69.0,14.81,25.26,36.66
56,纺织服装,-69.9,4.4,19.2,20.03
57,电力行业,-75.0,5.44,8.88,13.63
58,塑料制品,-87.4,9.56,24.79,40.61
59,食品饮料,-89.4,-2.14,3.1,11.92
60,通信服务,-89.9,0.19,8.06,9.64
61,农药兽药,-97.0,0.89,24.08,34.56
62,环保行业,-102.1,4.66,18.68,23.58
63,商业百货,-104.3,-1.76,-2.08,-5.33
64,化学原料,-104.9,3.63,15.04,24.17
65,游戏,-111.0,9.7,29.31,34.55
66,有色金属,-115.3,6.13,18.22,24.43
67,航天航空,-129.2,8.11,19.94,23.75
68,酿酒行业,-130.4,-0.91,2.11,-1.88
69,文化传媒,-131.3,3.77,10.49,8.56
70,计算机设备,-137.8,5.15,21.46,25.81
71,汽车整车,-140.0,3.62,6.9,7.46
72,光学光电子,-150.8,6.37,18.48,14.44
73,小金属,-151.1,13.14,27.58,38.93
74,电池,-165.4,10.9,22.07,25.32
75,化学制品,-167.9,5.5,15.35,26.32
76,电网设备,-175.9,6.19,17.13,21.98
77,化学制药,-178.0,11.87,30.78,36.69
78,电子元件,-209.8,13.33,26.33,32.76
79,通用设备,-235.0,6.61,20.52,38.28
80,汽车零部件,-260.3,6.09,23.12,37.15
81,通信设备,-270.7,8.45,24.27,25.08
82,专用设备,-278.3,7.6,21.09,31.15
83,半导体,-283.2,3.76,4.58,13.35
84,互联网服务,-301.2,8.13,20.07,30.42
85,软件开发,-389.2,9.3,18.39,27.35
