,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,煤炭行业,601918,新集能源,172.0,172.0,8.1,1.07,6.65,1.9,-0.3,-6.99,-7.38
1,食品饮料,600073,光明肉业,71.0,71.0,10.73,1.42,7.58,1.5,-7.1,-9.98,10.33
2,家电行业,002705,新宝股份,122.0,121.0,12.36,1.52,15.03,1.6,7.1,19.95,3.3
3,医疗器械,600587,新华医疗,96.0,95.0,14.92,1.24,15.78,1.5,3.0,4.64,-3.78
4,汽车零部件,300926,博俊科技,122.0,79.0,20.37,4.36,28.01,1.1,7.7,11.24,28.13
5,钢铁行业,002756,永兴材料,187.0,134.0,24.36,1.52,34.6,1.9,9.9,16.66,-7.06
6,医疗服务,600327,大东方,45.0,45.0,28.19,1.34,5.09,1.6,6.7,-0.59,-3.96
7,化学制药,002019,亿帆医药,175.0,121.0,28.61,2.04,14.41,1.8,7.9,26.29,35.69
8,玻璃玻纤,301188,力诺药包,50.0,50.0,30.7,3.24,20.82,1.2,-11.8,18.43,39.54
9,装修建材,002372,伟星新材,171.0,158.0,37.67,3.87,10.76,1.1,-2.9,-10.71,-11.37
10,消费电子,300679,电连技术,189.0,160.0,38.41,3.91,44.59,1.4,-2.3,-2.83,-24.72
11,汽车零部件,603166,福达股份,116.0,114.0,44.39,4.82,17.89,1.2,6.8,29.26,149.51
12,生物制品,000403,派林生物,169.0,168.0,47.55,2.18,17.83,1.1,5.3,4.51,11.58
