,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
58,汽车零部件,603166,福达股份,112.0,110.0,42.83,4.65,17.26,1.8,8.4,25.62,140.73
59,汽车零部件,603809,豪能股份,140.0,140.0,33.63,4.52,16.28,2.5,13.1,43.82,85.21
60,汽车零部件,300258,精锻科技,78.0,76.0,48.5,1.73,13.98,-2.6,3.3,24.93,57.61
61,汽车零部件,688612,威迈斯,137.0,82.0,33.85,4.28,32.44,-1.9,32.5,39.71,39.95
62,汽车零部件,301529,福赛科技,36.0,19.0,32.06,2.9,42.27,0.5,30.5,66.22,48.47
63,汽车零部件,300680,隆盛科技,90.0,70.0,38.34,4.72,38.95,-1.5,-4.2,13.79,63.93
64,汽车零部件,300611,美力科技,54.0,38.0,39.58,4.88,25.49,-0.4,13.5,2.58,143.92
65,汽车零部件,603089,正裕工业,36.0,36.0,29.92,2.65,15.06,0.9,20.2,69.79,69.79
66,汽车零部件,603926,铁流股份,28.0,27.0,26.34,1.69,11.91,0.0,-5.2,32.19,38.65
67,汽车零部件,002553,南方精工,88.0,63.0,23.92,7.15,25.16,-2.4,16.2,17.85,97.18
68,汽车零部件,837663,明阳科技,28.0,13.0,34.84,7.73,20.65,-0.1,2.5,10.13,91.38
69,汽车零部件,603319,美湖股份,89.0,89.0,40.96,3.72,26.28,-2.0,2.7,24.49,88.79
70,汽车零部件,001319,铭科精技,39.0,33.0,39.29,3.06,27.4,-0.2,6.2,13.65,10.66
71,汽车零部件,603201,常润股份,31.0,13.0,14.85,1.91,16.28,-0.2,10.7,26.79,18.4
72,汽车零部件,300893,松原安全,79.0,40.0,26.92,5.97,24.98,-0.1,0.8,11.12,20.68
73,汽车零部件,600742,富维股份,75.0,75.0,18.95,0.9,10.1,-0.4,2.1,15.56,18.82
74,汽车零部件,002870,香山股份,44.0,42.0,48.32,2.69,33.13,-0.0,5.3,14.64,6.19
75,汽车零部件,000570,苏常柴Ａ,43.0,34.0,24.66,1.27,6.11,-0.5,8.5,19.8,20.28
76,汽车零部件,600480,凌云股份,146.0,144.0,16.99,1.95,11.96,-1.4,5.7,5.75,48.02
77,汽车零部件,605088,冠盛股份,70.0,69.0,20.8,2.67,36.54,-0.2,2.0,18.33,49.26
78,汽车零部件,603758,秦安股份,62.0,62.0,47.3,2.56,14.14,0.8,9.6,39.17,77.42
79,汽车零部件,301181,标榜股份,30.0,10.0,23.9,2.14,25.87,-0.4,2.9,23.66,26.26
80,汽车零部件,300643,万通智控,53.0,53.0,35.94,4.58,22.96,-0.7,-0.7,74.34,94.58
81,汽车零部件,603305,旭升集团,130.0,130.0,33.99,2.03,13.64,-1.4,0.9,19.02,6.81
82,汽车零部件,832978,开特股份,44.0,24.0,27.17,6.63,24.33,-0.1,6.3,9.5,84.74
83,汽车零部件,605333,沪光股份,130.0,130.0,34.8,5.85,29.67,-0.1,8.2,-0.9,-8.43
84,汽车零部件,003033,征和工业,35.0,35.0,16.46,2.79,43.37,-0.0,1.0,20.57,64.59
85,汽车零部件,300816,艾可蓝,27.0,15.0,36.47,3.2,33.81,-0.4,4.2,25.08,32.38
86,汽车零部件,301613,新铝时代,78.0,20.0,37.22,5.39,54.49,-1.2,8.7,24.98,44.27
87,汽车零部件,603586,金麒麟,36.0,36.0,12.12,1.61,18.56,-0.7,5.3,46.95,31.91
88,汽车零部件,300304,云意电气,77.0,75.0,19.69,2.51,8.72,-0.4,17.8,24.93,9.82
89,汽车零部件,001282,三联锻造,46.0,16.0,38.52,2.97,20.79,-1.1,4.3,31.67,39.25
90,汽车零部件,300375,鹏翎股份,38.0,25.0,40.92,1.68,5.02,-1.4,3.9,16.2,9.85
91,汽车零部件,600609,金杯汽车,69.0,69.0,22.55,4.7,5.3,-0.6,1.3,6.0,-26.39
92,汽车零部件,300580,贝斯特,126.0,118.0,45.24,4.06,25.09,-2.4,3.5,-2.6,10.0
93,汽车零部件,831195,三祥科技,17.0,13.0,18.36,2.35,17.74,0.0,4.0,22.51,64.56
94,汽车零部件,603730,岱美股份,124.0,124.0,14.78,2.83,5.75,-0.4,0.7,4.74,-13.53
95,汽车零部件,002434,万里扬,101.0,101.0,23.48,1.77,7.71,-0.8,10.5,18.07,26.39
96,汽车零部件,002863,今飞凯达,32.0,32.0,31.09,1.13,5.26,-0.2,8.7,20.92,13.85
97,汽车零部件,300978,东箭科技,48.0,22.0,24.28,3.04,11.41,0.1,8.8,22.42,7.74
98,汽车零部件,688533,上声电子,43.0,43.0,39.27,2.82,26.36,-0.2,7.4,-3.94,-23.31
99,汽车零部件,301298,东利机械,25.0,18.0,27.61,2.78,16.93,0.4,10.4,24.49,25.5
100,汽车零部件,002283,天润工业,71.0,63.0,18.14,1.21,6.27,0.1,7.5,15.68,22.46
101,汽车零部件,605005,合兴股份,73.0,73.0,35.09,3.78,18.2,-1.8,-10.4,23.64,13.04
102,汽车零部件,603190,亚通精工,28.0,9.0,19.8,1.33,23.42,-0.4,6.7,19.25,5.4
103,汽车零部件,001311,多利科技,66.0,17.0,17.34,1.47,21.28,-0.3,5.1,14.66,10.14
104,汽车零部件,836221,易实精密,25.0,11.0,41.47,6.64,21.5,0.0,22.9,43.72,79.47
105,汽车零部件,000030,富奥股份,102.0,99.0,15.67,1.3,5.95,0.1,-1.8,14.86,19.48
106,汽车零部件,603107,上海汽配,54.0,35.0,29.39,2.65,15.9,-0.1,3.9,8.02,-3.28
107,汽车零部件,920106,林泰新材,57.0,27.0,36.89,12.01,101.4,-0.3,15.1,4.85,138.98
108,汽车零部件,603013,亚普股份,113.0,113.0,21.95,2.68,22.12,-0.2,22.4,49.36,51.2
109,汽车零部件,002448,中原内配,53.0,44.0,11.85,1.5,8.94,-1.2,7.5,33.43,45.84
110,汽车零部件,002406,远东传动,54.0,45.0,47.7,1.37,7.42,-2.5,-1.6,13.63,17.78
111,汽车零部件,000700,模塑科技,69.0,69.0,11.59,1.89,7.49,-1.3,4.0,15.23,10.15
112,汽车零部件,603158,腾龙股份,41.0,41.0,22.46,1.84,8.29,-1.0,3.0,2.98,4.67
113,汽车零部件,603997,继峰股份,158.0,158.0,37.88,3.27,12.48,-0.5,-8.7,10.44,9.0
114,汽车零部件,300863,卡倍亿,67.0,64.0,31.3,4.34,35.29,-1.1,4.7,13.51,11.01
115,汽车零部件,002662,峰璟股份,53.0,53.0,30.85,1.25,3.53,-0.5,3.5,2.92,-7.11
116,汽车零部件,002536,飞龙股份,90.0,85.0,18.29,2.73,15.61,0.2,10.7,7.73,38.39
117,汽车零部件,688280,精进电动-UW,44.0,39.0,22.72,7.01,7.47,-1.1,2.8,63.82,70.16
118,汽车零部件,002284,亚太股份,83.0,82.0,20.77,2.8,11.26,-1.0,2.1,15.61,46.42
119,汽车零部件,600933,爱柯迪,158.0,157.0,15.35,1.95,16.03,0.4,7.5,17.09,0.19
120,汽车零部件,603210,泰鸿万立,71.0,15.0,40.02,4.09,20.75,-0.9,2.3,-3.35,141.28
121,汽车零部件,002997,瑞鹄模具,81.0,81.0,20.66,3.66,38.47,-0.7,7.0,9.13,11.99
122,汽车零部件,603035,常熟汽饰,51.0,51.0,14.62,1.01,13.49,-0.5,2.2,3.69,-3.99
123,汽车零部件,002906,华阳集团,164.0,164.0,26.44,2.58,31.33,-0.8,-1.8,7.29,3.5
124,汽车零部件,002516,旷达科技,77.0,76.0,43.73,2.13,5.23,-0.4,1.4,18.86,4.81
125,汽车零部件,301173,毓恬冠佳,40.0,8.0,49.0,2.89,45.09,-0.5,3.1,-6.78,60.46
126,汽车零部件,301020,密封科技,33.0,33.0,30.72,3.51,22.5,-0.4,6.9,25.21,21.03
127,汽车零部件,603788,宁波高发,36.0,36.0,19.54,1.85,16.2,-0.1,6.7,18.08,23.38
128,汽车零部件,301160,翔楼新材,69.0,46.0,33.14,4.23,59.78,-0.6,5.5,-5.41,56.37
129,汽车零部件,603409,汇通控股,43.0,11.0,37.24,3.08,34.35,-0.4,0.7,-6.99,45.06
130,汽车零部件,002363,隆基机械,34.0,34.0,45.19,1.61,8.13,0.8,12.4,29.25,24.88
131,汽车零部件,002328,新朋股份,46.0,34.0,28.1,1.41,5.9,0.2,6.5,17.53,-1.83
132,汽车零部件,688667,菱电电控,28.0,28.0,40.55,1.72,54.71,-0.3,0.4,24.74,36.13
133,汽车零部件,603040,新坐标,60.0,59.0,22.29,4.42,43.65,1.8,7.8,80.67,96.44
134,汽车零部件,301170,锡南科技,28.0,9.0,26.47,1.62,27.62,-0.1,9.3,26.18,22.1
135,汽车零部件,836270,天铭科技,18.0,14.0,47.73,4.68,17.09,0.2,-2.7,4.98,72.1
136,汽车零部件,301186,超达装备,35.0,33.0,35.0,2.36,43.65,-0.9,-1.0,21.12,10.81
137,汽车零部件,000581,威孚高科,186.0,153.0,13.13,0.96,19.26,-1.5,1.2,8.32,6.94
138,汽车零部件,301552,科力装备,36.0,8.0,24.19,3.23,37.81,-0.3,3.9,15.06,-8.16
139,汽车零部件,838837,华原股份,27.0,24.0,39.23,5.21,17.58,0.1,6.1,8.72,84.28
140,汽车零部件,603197,保隆科技,84.0,83.0,21.93,2.49,38.94,-1.1,3.6,15.41,4.56
141,汽车零部件,838171,邦德股份,23.0,10.0,19.41,4.0,17.25,-0.1,-2.9,16.08,35.51
142,汽车零部件,300428,立中集团,116.0,101.0,17.9,1.62,18.13,-1.0,5.5,19.91,13.6
143,汽车零部件,300446,航天智造,144.0,53.0,19.31,2.76,16.99,-1.7,1.7,-0.35,4.68
144,汽车零部件,002592,ST八菱,18.0,17.0,9.84,1.98,6.52,-0.6,2.5,34.99,35.55
145,汽车零部件,600218,全柴动力,41.0,41.0,34.05,1.26,9.33,-1.0,3.9,20.39,19.01
146,汽车零部件,002101,广东鸿图,84.0,84.0,46.6,1.1,12.66,-0.4,6.4,16.25,8.48
147,汽车零部件,873690,捷众科技,17.0,11.0,30.65,3.06,25.0,-0.2,0.4,6.56,42.69
148,汽车零部件,301581,黄山谷捷,42.0,11.0,47.24,4.31,52.65,-0.8,6.3,6.62,96.46
149,汽车零部件,603306,华懋科技,139.0,139.0,40.14,4.84,42.17,-2.0,2.3,36.16,33.79
150,汽车零部件,002048,宁波华翔,151.0,132.0,14.75,1.31,18.55,1.7,23.2,46.29,52.67
151,汽车零部件,832000,安徽凤凰,20.0,10.0,40.42,3.19,21.32,0.1,-0.9,-2.25,19.37
152,汽车零部件,600523,贵航股份,59.0,59.0,38.5,1.94,14.64,-2.6,-0.1,31.89,24.17
153,汽车零部件,603202,天有为,166.0,34.0,17.23,2.64,103.5,-2.2,8.0,13.72,13.72
154,汽车零部件,002454,松芝股份,52.0,52.0,13.99,1.32,8.3,0.3,10.7,38.1,26.72
155,汽车零部件,603161,科华控股,24.0,24.0,23.5,1.66,12.38,-0.4,3.9,19.85,21.02
156,汽车零部件,301397,溯联股份,43.0,20.0,32.04,2.28,27.59,-0.5,5.4,22.62,43.47
157,汽车零部件,603633,徕木股份,37.0,37.0,49.75,1.91,8.78,0.3,9.2,22.63,7.47
158,汽车零部件,603239,浙江仙通,44.0,44.0,16.45,3.75,16.21,-0.1,16.0,30.1,22.43
159,汽车零部件,300926,博俊科技,118.0,77.0,19.8,4.23,27.23,0.4,14.2,10.15,24.57
160,汽车零部件,605319,无锡振华,78.0,67.0,20.69,3.21,31.29,-1.0,1.7,10.02,51.45
161,汽车零部件,002355,兴民智通,40.0,40.0,7.42,2.91,6.47,-4.7,-16.2,14.31,1.57
162,石油行业,603798,康普顿,31.0,31.0,14.29,2.67,12.1,0.2,10.9,39.56,38.76
163,石油行业,000698,沈阳化工,33.0,31.0,25.33,2.32,4.0,-0.2,3.6,25.0,18.69
164,石油行业,600506,统一股份,38.0,29.0,23.03,7.85,19.84,-0.9,5.3,3.01,-3.69
165,石油行业,000554,泰山石油,33.0,25.0,15.45,3.11,6.81,-3.5,8.3,15.82,16.21
166,石油行业,002778,中晟高科,24.0,24.0,11.16,7.79,19.14,-0.7,-0.2,17.86,9.62
167,汽车服务,837242,建邦科技,22.0,12.0,29.23,3.57,33.19,-0.1,-4.3,4.5,39.87
168,汽车服务,600335,国机汽车,96.0,96.0,18.03,0.85,6.45,-1.1,1.3,8.22,4.88
169,汽车服务,601965,中国汽研,197.0,195.0,27.6,2.81,19.6,-1.2,7.2,5.49,13.43
170,教育,000526,学大教育,64.0,62.0,21.71,7.51,52.58,0.2,6.8,3.61,25.01
171,教育,300192,科德教育,49.0,48.0,32.11,5.37,14.82,-2.1,-2.4,-0.6,-5.61
172,教育,605098,行动教育,43.0,43.0,37.74,4.74,35.77,-0.1,0.3,-6.92,3.71
173,多元金融,603093,南华期货,159.0,159.0,46.39,3.88,26.08,2.4,39.5,112.55,120.64
174,多元金融,000567,海德股份,125.0,125.0,32.23,2.35,6.4,0.9,12.1,11.5,-6.3
175,多元金融,002961,瑞达期货,111.0,111.0,34.1,3.86,24.84,1.9,40.5,76.17,75.3
176,多元金融,000563,陕国投Ａ,190.0,190.0,12.29,1.06,3.72,-1.4,8.8,14.81,5.98
177,多元金融,600643,爱建集团,100.0,100.0,27.04,0.85,6.3,-5.6,22.8,36.07,21.86
178,多元金融,002647,*ST仁东,68.0,41.0,3.53,7.79,6.05,-2.2,17.2,8.42,15.68
179,中药,002728,特一药业,47.0,35.0,37.43,2.63,9.22,0.2,4.8,23.1,3.02
180,中药,603998,方盛制药,46.0,46.0,13.15,2.94,10.57,-0.8,2.8,9.88,4.04
181,中药,600993,马应龙,123.0,123.0,15.09,2.88,28.51,-0.5,-3.0,7.34,9.19
182,中药,002907,华森制药,72.0,53.0,44.5,4.28,17.2,-3.6,-4.9,32.41,32.82
183,中药,002317,众生药业,141.0,126.0,42.65,3.69,16.55,-5.1,18.9,61.46,38.49
184,中药,000989,九芝堂,98.0,79.0,20.95,2.7,11.41,1.2,17.9,34.87,48.96
185,中药,002737,葵花药业,95.0,95.0,41.41,2.28,16.2,-0.3,3.0,-4.31,-20.94
186,中药,605199,ST葫芦娃,36.0,36.0,36.77,4.94,8.95,-0.9,-6.7,-41.47,-43.82
187,中药,600129,太极集团,121.0,121.0,40.64,3.4,21.76,-1.3,4.4,-0.14,-11.97
188,中药,603896,寿仙谷,43.0,43.0,18.61,1.95,21.92,-0.6,-1.7,14.46,4.68
189,中药,300039,上海凯宝,67.0,58.0,19.79,1.63,6.38,-1.9,2.9,7.41,4.93
190,中药,000919,金陵药业,44.0,42.0,47.76,1.17,7.04,-1.4,4.0,10.17,8.64
191,中药,002349,精华制药,62.0,61.0,25.07,2.36,7.52,-1.2,-1.8,8.99,-0.66
192,中药,300519,新光药业,25.0,18.0,25.61,3.11,15.71,-0.4,4.0,23.7,21.13
193,中药,600351,亚宝药业,45.0,45.0,10.42,1.64,6.39,-1.1,2.2,15.76,10.36
194,中药,600557,康缘药业,90.0,90.0,26.96,1.96,15.89,-0.4,15.3,23.47,16.67
195,中药,600479,千金药业,46.0,46.0,21.49,1.82,10.92,-0.3,2.1,9.31,2.25
196,中药,300534,陇神戎发,31.0,31.0,31.73,4.43,10.13,-2.3,-1.4,9.04,16.71
197,中药,002390,信邦制药,71.0,68.0,43.12,1.06,3.66,-0.6,3.1,8.61,-19.03
198,中药,000650,仁和药业,79.0,75.0,12.03,1.29,5.65,-0.9,2.7,9.28,0.71
199,中药,600572,康恩贝,115.0,115.0,15.21,1.73,4.57,-0.3,4.8,8.04,1.33
200,中药,600771,广誉远,99.0,99.0,38.95,6.07,20.24,-2.6,-7.5,17.06,7.32
201,中药,002826,易明医药,34.0,31.0,45.73,4.63,18.03,0.6,11.9,78.69,75.73
202,中药,002275,桂林三金,88.0,84.0,20.94,3.0,14.94,-0.9,-1.2,12.5,1.36
203,中药,002864,盘龙药业,31.0,22.0,25.1,1.92,29.52,-0.6,2.0,11.86,-1.96
204,中药,002287,奇正藏药,120.0,120.0,39.77,3.26,22.66,-1.9,-6.1,-4.67,8.94
205,中药,600750,江中药业,141.0,139.0,12.34,3.71,22.14,-0.1,-1.5,-1.77,0.64
206,中药,600422,昆药集团,108.0,108.0,29.93,2.03,14.31,-0.9,-7.5,-21.8,-9.72
207,中药,002166,莱茵生物,61.0,37.0,49.61,2.01,8.24,-0.2,4.0,13.19,11.8
208,中药,600976,健民集团,61.0,61.0,13.89,2.54,39.9,-0.6,-2.0,-10.05,-2.16
209,中药,300181,佐力药业,130.0,112.0,17.97,4.81,18.56,-0.5,8.9,15.78,25.66
210,中药,600285,羚锐制药,129.0,129.0,14.89,4.61,22.77,1.0,-1.7,3.22,7.1
211,中药,603439,贵州三力,52.0,51.0,30.92,3.61,12.66,-0.0,7.1,3.6,0.0
212,中药,603858,步长制药,197.0,197.0,16.03,1.88,17.81,-0.5,7.9,22.57,12.72
213,中药,603567,珍宝岛,105.0,105.0,34.78,1.33,11.13,-0.9,-1.1,5.9,-4.05
214,中药,002107,沃华医药,39.0,38.0,42.23,5.36,6.69,1.1,12.2,50.68,39.96
215,酿酒行业,600702,舍得酒业,174.0,174.0,12.55,2.5,52.17,-3.1,1.2,-10.85,-20.36
216,酿酒行业,002646,天佑德酒,46.0,46.0,17.08,1.6,9.57,-0.6,0.8,6.1,-10.89
217,酿酒行业,603919,金徽酒,93.0,93.0,9.98,2.82,18.39,-1.0,-4.2,-6.22,-3.77
218,酿酒行业,601579,会稽山,93.0,93.0,24.82,2.57,19.41,-2.9,-12.2,56.41,81.91
219,酿酒行业,600059,古越龙山,96.0,96.0,40.58,1.63,10.51,1.0,6.3,20.53,19.43
220,酿酒行业,000869,张  裕Ａ,146.0,99.0,22.87,1.39,21.69,0.1,-4.7,-3.34,-4.83
221,酿酒行业,600559,老白干酒,153.0,152.0,25.12,3.09,16.74,-2.7,1.5,-3.63,-18.1
222,酿酒行业,000860,顺鑫农业,116.0,116.0,10.24,1.61,15.59,-1.7,-0.3,-5.69,-19.31
223,酿酒行业,600197,伊力特,69.0,69.0,11.98,1.81,14.6,-0.7,1.6,0.9,-13.1
224,医药商业,000705,浙江震元,32.0,27.0,22.32,1.62,9.59,-0.0,13.8,26.02,22.17
225,医药商业,000411,英特集团,58.0,36.0,14.5,1.31,11.2,-0.6,6.1,13.59,9.06
226,医药商业,301015,百洋医药,111.0,111.0,32.75,5.68,21.19,-0.3,12.1,12.83,-9.64
227,医药商业,600829,人民同泰,44.0,44.0,24.16,1.51,7.64,-1.0,-13.4,4.66,1.87
228,医药商业,600713,南京医药,69.0,68.0,9.78,1.02,5.3,-0.5,5.6,10.88,10.65
229,医药商业,002788,鹭燕医药,33.0,33.0,11.67,1.07,8.57,-0.4,5.3,14.73,9.03
230,医药商业,002462,嘉事堂,40.0,40.0,21.73,0.93,13.75,-0.5,3.3,14.3,7.84
231,医药商业,603233,大参林,197.0,197.0,10.71,2.89,17.31,-0.4,2.0,-0.17,17.36
232,医药商业,000950,重药控股,91.0,91.0,18.08,0.79,5.24,-1.3,3.1,8.71,-2.06
233,医药商业,301017,漱玉平民,51.0,30.0,49.44,2.63,12.5,-0.3,0.6,15.74,4.6
234,医药商业,600056,中国医药,159.0,159.0,23.85,1.34,10.61,-1.1,1.8,5.99,-3.63
235,医药商业,000028,国药一致,140.0,120.0,10.69,0.79,25.2,-0.5,0.8,4.61,-12.74
236,医药商业,603368,柳药集团,69.0,68.0,6.2,0.92,17.23,-0.9,2.0,7.35,0.7
237,医药商业,605266,健之佳,33.0,33.0,24.45,1.27,21.22,-0.3,0.3,10.01,-3.63
238,医药商业,301408,华人健康,56.0,21.0,22.82,2.76,13.97,0.3,14.1,26.65,27.81
239,医药商业,603883,老百姓,143.0,143.0,14.28,2.11,18.83,-9.0,-11.8,-0.42,15.59
240,医药商业,002727,一心堂,92.0,63.0,14.44,1.26,15.79,-0.1,-2.4,23.36,24.04
241,农药兽药,600201,生物股份,97.0,97.0,31.72,1.84,8.66,1.1,18.0,26.42,26.79
242,农药兽药,300119,瑞普生物,100.0,72.0,21.53,2.25,21.49,0.5,2.1,29.38,18.86
243,农药兽药,300871,回盛生物,44.0,44.0,24.47,2.24,21.53,-2.1,-1.5,-10.25,116.38
244,农药兽药,600195,中牧股份,80.0,80.0,31.31,1.45,7.85,0.5,13.4,14.1,17.34
245,农药兽药,603566,普莱柯,51.0,51.0,24.18,2.01,14.79,-1.1,3.2,18.23,19.66
246,农药兽药,002688,金河生物,53.0,51.0,26.04,2.39,6.9,0.4,10.0,13.49,57.89
247,农药兽药,301035,润丰股份,170.0,169.0,16.52,2.48,60.43,0.2,3.4,9.22,25.09
248,农药兽药,688526,科前生物,77.0,77.0,17.85,2.0,16.58,-0.2,0.1,10.02,19.62
249,农药兽药,605033,美邦股份,26.0,26.0,21.79,2.29,19.31,-0.8,-10.1,14.74,61.86
250,农药兽药,001231,农心科技,21.0,7.0,27.92,2.1,20.53,-0.0,3.7,21.55,23.01
251,农药兽药,600389,江山股份,87.0,87.0,13.97,2.27,20.18,0.5,5.4,34.44,40.63
252,农药兽药,603810,丰山集团,27.0,27.0,41.8,1.82,16.57,-0.3,-1.1,32.03,83.3
253,农药兽药,603970,中农立华,38.0,38.0,17.47,2.59,14.02,-0.7,-3.7,11.36,1.96
254,农药兽药,002749,国光股份,72.0,65.0,22.81,3.77,15.38,-0.2,0.8,-2.04,12.92
255,农药兽药,002004,华邦健康,87.0,83.0,11.84,0.92,4.41,-0.4,4.5,11.93,-2.43
