,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,证券,31.9,13.22,20.15,13.73
1,保险,25.7,-2.32,11.03,2.55
2,能源金属,16.9,24.59,31.8,26.04
3,煤炭行业,1.0,11.67,18.63,9.6
4,汽车服务,-8.0,10.97,13.05,20.3
5,铁路公路,-10.2,3.89,8.91,8.33
6,教育,-10.4,7.4,15.32,9.86
7,房地产服务,-11.1,5.96,13.16,12.36
8,公用事业,-11.7,6.61,7.83,9.58
9,玻璃玻纤,-12.2,18.9,26.95,27.79
10,美容护理,-12.3,0.62,13.54,29.26
11,航空机场,-13.6,6.72,9.93,2.6
12,综合行业,-13.8,10.09,23.81,21.66
13,专业服务,-14.8,13.62,20.81,34.63
14,橡胶制品,-15.1,7.86,17.31,24.77
15,装修装饰,-17.4,7.12,19.27,26.38
16,燃气,-19.3,1.41,12.7,9.67
17,医药商业,-21.6,8.17,18.13,18.3
18,旅游酒店,-22.8,5.53,7.62,7.15
19,包装材料,-22.9,9.58,22.08,28.81
20,钢铁行业,-23.0,19.46,22.27,27.1
21,装修建材,-27.2,8.71,20.23,20.78
22,石油行业,-31.0,3.71,15.79,14.01
23,医疗器械,-31.5,13.53,25.07,30.02
24,化纤行业,-34.6,5.48,16.01,25.27
25,工程咨询服务,-34.9,13.58,26.06,27.5
26,房地产开发,-35.2,7.88,14.66,7.35
27,非金属材料,-35.6,13.78,27.24,31.66
28,电机,-35.8,10.2,13.76,32.04
29,珠宝首饰,-38.4,-0.97,23.14,31.93
30,物流行业,-40.2,6.78,16.74,23.77
31,光伏设备,-42.7,14.87,22.03,7.07
32,仪器仪表,-43.4,9.79,18.93,41.23
33,电子化学品,-43.5,11.92,13.95,21.64
34,贸易行业,-44.5,9.17,16.68,18.37
35,医疗服务,-45.4,16.84,31.09,35.52
36,酿酒行业,-46.0,4.39,5.73,-0.48
37,航运港口,-46.8,4.4,18.15,15.69
38,化肥行业,-47.2,5.38,16.39,19.57
39,家电行业,-48.3,7.64,15.54,23.2
40,多元金融,-50.3,11.78,30.32,25.47
41,中药,-50.6,6.92,15.75,11.02
42,造纸印刷,-51.2,7.17,17.03,14.8
43,家用轻工,-53.4,0.31,20.9,28.88
44,工程机械,-53.4,17.92,24.34,38.75
45,银行,-54.7,1.94,11.72,18.19
46,贵金属,-55.4,-0.27,13.0,47.16
47,采掘行业,-58.4,-3.42,27.22,33.53
48,风电设备,-58.4,6.12,16.02,26.4
49,食品饮料,-58.7,1.54,7.99,13.54
50,消费电子,-61.5,9.95,19.07,17.3
51,交运设备,-64.2,8.81,17.68,25.15
52,水泥建材,-65.4,18.58,24.64,28.57
53,商业百货,-66.0,4.37,5.28,-1.43
54,纺织服装,-66.5,7.61,20.78,23.36
55,船舶制造,-68.9,14.53,24.97,37.73
56,生物制品,-71.2,14.57,32.38,45.02
57,农牧饲渔,-73.9,5.26,13.15,21.56
58,农药兽药,-85.3,2.94,22.82,41.22
59,电源设备,-88.7,10.9,23.84,32.56
60,通信服务,-89.3,2.76,12.34,10.34
61,塑料制品,-102.2,14.89,23.67,48.05
62,环保行业,-104.4,8.93,20.34,28.2
63,计算机设备,-115.4,5.51,22.16,28.27
64,汽车整车,-118.1,6.93,9.54,10.38
65,化学原料,-118.5,6.9,15.49,29.47
66,游戏,-129.7,5.02,26.33,34.74
67,有色金属,-129.7,11.5,21.46,31.3
68,工程建设,-131.7,10.33,19.03,20.81
69,航天航空,-133.0,10.89,27.74,29.07
70,电池,-133.9,12.58,27.34,31.69
71,电力行业,-138.2,4.93,5.98,13.52
72,小金属,-143.3,16.93,41.01,56.56
73,光学光电子,-152.6,9.48,19.13,18.73
74,文化传媒,-161.3,4.36,13.27,11.71
75,电网设备,-184.1,9.62,19.26,24.71
76,半导体,-202.7,11.4,10.22,18.98
77,化学制药,-213.7,14.91,34.25,42.75
78,化学制品,-224.5,10.33,18.36,32.3
79,电子元件,-233.1,14.86,28.39,37.02
80,通用设备,-243.9,10.28,20.74,42.57
81,汽车零部件,-270.5,8.69,17.88,39.21
82,专用设备,-302.9,11.51,23.96,36.25
83,互联网服务,-303.7,9.67,19.78,33.68
84,通信设备,-310.6,9.26,26.55,27.87
85,软件开发,-387.9,12.61,22.7,31.76
