,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,钢铁行业,300881,盛德鑫泰,46.0,24.0,23.42,4.67,38.2,-0.1,20.8,49.54,41.45
1,钢铁行业,600507,方大特钢,149.0,149.0,14.92,1.58,6.01,0.1,37.8,46.15,60.7
2,钢铁行业,601686,友发集团,94.0,94.0,17.76,1.5,6.29,-0.6,8.3,20.63,26.69
3,钢铁行业,002110,三钢闽光,116.0,116.0,38.38,0.6,4.69,1.4,32.5,25.53,43.67
4,钢铁行业,002756,永兴材料,195.0,141.0,25.53,1.59,35.81,2.2,15.6,21.51,-2.61
5,钢铁行业,000778,新兴铸管,159.0,156.0,29.0,0.62,3.99,-0.1,14.3,20.06,4.97
6,钢铁行业,002075,沙钢股份,137.0,137.0,49.85,2.13,6.22,-3.7,7.8,3.65,0.0
7,钢铁行业,002443,金洲管道,36.0,36.0,34.35,1.06,6.91,-0.0,11.3,22.22,22.01
8,钢铁行业,002478,常宝股份,51.0,41.0,11.46,0.92,5.66,-0.7,6.4,6.19,11.64
9,钢铁行业,603878,武进不锈,32.0,32.0,26.51,1.26,5.74,-0.0,7.5,10.83,1.78
10,钢铁行业,000923,河钢资源,97.0,94.0,19.32,1.01,14.94,-1.3,15.0,13.39,11.19
11,钢铁行业,603995,甬金股份,67.0,67.0,16.14,1.22,18.33,-0.9,2.3,4.39,2.81
12,钢铁行业,600382,广东明珠,39.0,39.0,18.04,1.45,5.63,-0.6,2.0,30.54,29.93
13,钢铁行业,605158,华达新材,44.0,44.0,28.39,1.79,8.7,-1.0,-0.7,13.5,-31.27
14,钢铁行业,000655,金岭矿业,51.0,51.0,25.92,1.52,8.62,-2.6,24.2,30.93,41.56
15,钢铁行业,601969,海南矿业,162.0,160.0,25.24,2.33,8.24,-1.9,16.5,12.97,15.55
16,钢铁行业,001203,大中矿业,178.0,153.0,19.82,2.87,12.08,2.2,23.8,44.68,39.72
17,钢铁行业,833751,惠同新材,17.0,16.0,39.64,4.65,19.8,0.2,8.4,25.22,65.49
18,航空机场,002928,华夏航空,114.0,114.0,34.89,3.32,8.53,-0.6,1.4,19.81,15.34
19,航空机场,600897,厦门空港,63.0,63.0,12.43,1.41,14.97,-0.4,3.3,7.26,1.01
20,航空机场,000089,深圳机场,148.0,148.0,22.67,1.31,7.16,0.0,2.7,7.78,6.35
21,航空机场,000099,中信海直,174.0,174.0,47.76,3.28,22.53,-2.0,3.6,0.9,-14.41
22,化肥行业,002539,云图控股,133.0,97.0,13.08,1.5,10.61,-2.0,20.0,41.26,44.23
23,化肥行业,002170,芭田股份,103.0,84.0,15.05,3.29,10.33,-2.8,3.5,11.74,26.15
24,化肥行业,300505,川金诺,56.0,45.0,19.61,2.23,20.33,-5.2,14.0,23.94,45.74
25,化肥行业,002556,辉隆股份,58.0,57.0,17.69,1.64,6.04,-5.5,-19.1,9.87,13.75
26,化肥行业,002545,东方铁塔,127.0,115.0,15.41,1.45,10.14,-1.3,20.4,36.91,51.56
27,化肥行业,002588,史丹利,106.0,79.0,9.16,1.55,9.13,-0.0,-2.7,13.49,28.79
28,化肥行业,000902,新洋丰,181.0,165.0,8.81,1.7,14.39,-1.0,5.3,4.03,13.42
29,化肥行业,002538,司尔特,48.0,48.0,31.43,0.91,5.56,-0.6,8.0,-4.62,1.45
30,化肥行业,002999,天禾股份,25.0,25.0,43.62,2.11,7.18,0.0,3.3,21.36,23.45
31,化肥行业,300387,富邦科技,27.0,27.0,29.38,1.98,9.38,-0.9,6.2,13.94,18.54
32,铁路公路,002357,富临运业,34.0,34.0,12.89,2.09,9.89,-0.2,18.6,48.84,55.43
33,铁路公路,600106,重庆路桥,87.0,87.0,39.28,1.7,6.34,-1.9,-0.6,29.45,18.02
34,铁路公路,601188,龙江交通,49.0,49.0,19.43,1.07,3.68,-0.5,6.7,-0.8,3.33
35,铁路公路,000755,山西高速,77.0,77.0,17.93,1.49,5.21,-0.4,5.9,10.06,8.02
36,铁路公路,000548,湖南投资,28.0,28.0,35.63,1.39,5.61,-0.3,5.1,14.84,10.78
37,铁路公路,601518,吉林高速,54.0,54.0,11.69,1.0,2.82,-0.7,5.2,4.04,5.2
38,铁路公路,600033,福建高速,99.0,99.0,10.0,0.83,3.57,-0.7,-0.3,0.84,-6.27
39,铁路公路,600035,楚天高速,72.0,72.0,6.49,0.83,4.45,-0.4,2.5,7.73,0.68
40,铁路公路,600368,五洲交通,72.0,72.0,9.21,1.05,4.46,-0.9,4.7,4.67,-3.45
41,铁路公路,000900,现代投资,68.0,68.0,9.67,0.62,4.47,1.0,2.1,17.85,5.4
42,铁路公路,600020,中原高速,111.0,111.0,7.77,0.97,4.88,-0.5,1.7,17.14,21.48
43,铁路公路,600269,赣粤高速,123.0,123.0,7.2,0.66,5.26,0.4,-1.1,8.2,-2.94
44,铁路公路,000828,东莞控股,117.0,117.0,13.32,1.2,11.22,-0.1,6.8,9.67,8.29
45,铁路公路,601107,四川成渝,185.0,131.0,10.15,1.1,6.07,0.3,-1.8,10.99,22.67
46,证券,600864,哈投股份,140.0,140.0,29.46,1.1,6.65,-1.7,15.7,15.46,-7.95
47,证券,600621,华鑫股份,164.0,164.0,29.85,1.94,15.35,-5.2,2.3,17.39,-6.19
48,证券,000686,东北证券,193.0,193.0,23.83,1.01,8.21,-0.9,7.9,8.85,5.37
49,银行,002936,郑州银行,197.0,145.0,4.86,0.44,2.15,-3.4,5.4,18.58,4.33
50,银行,002807,江阴银行,120.0,120.0,8.38,0.65,4.81,-2.1,1.3,17.07,17.35
51,银行,603323,苏农银行,112.0,112.0,6.39,0.62,5.53,-0.7,-1.4,22.42,19.78
52,银行,601860,紫金银行,114.0,111.0,6.77,0.59,3.09,-0.9,4.4,17.74,13.45
53,银行,600908,无锡银行,137.0,125.0,5.55,0.65,6.2,-2.5,2.3,18.6,9.84
54,银行,001227,兰州银行,147.0,109.0,6.58,0.49,2.56,-1.7,4.5,15.7,9.32
55,银行,601528,瑞丰银行,114.0,101.0,6.73,0.62,5.77,-0.7,-2.7,17.1,7.18
56,银行,002839,张家港行,113.0,113.0,5.02,0.64,4.6,-0.6,0.4,16.37,10.79
57,银行,600928,西安银行,178.0,177.0,6.24,0.53,3.98,-0.4,1.5,20.12,13.96
58,银行,601187,厦门银行,198.0,96.0,7.68,0.78,7.51,-1.7,19.4,26.43,37.04
59,医疗服务,688076,ST诺泰,130.0,130.0,21.33,4.66,39.22,-3.4,-2.1,7.24,12.85
60,医疗服务,301033,迈普医学,42.0,35.0,43.44,6.1,61.72,-0.4,9.6,5.54,52.26
61,医疗服务,600721,百花医药,31.0,31.0,37.46,3.98,8.01,-0.7,2.8,15.26,22.61
62,医疗服务,600763,通策医疗,192.0,192.0,26.09,4.79,42.85,-0.9,1.9,9.24,-2.37
63,医疗服务,301267,华厦眼科,166.0,65.0,27.71,2.9,19.73,-0.8,3.6,7.4,4.94
64,医疗服务,688315,诺禾致源,65.0,65.0,47.85,2.58,15.55,-0.2,10.7,13.64,25.14
65,医疗服务,600327,大东方,45.0,45.0,28.03,1.33,5.05,1.4,3.9,5.64,-4.53
66,医疗服务,002172,澳洋健康,30.0,30.0,41.19,19.92,3.99,-0.6,-13.8,13.07,27.16
67,医疗服务,301103,何氏眼科,36.0,19.0,27.64,1.9,22.98,-0.2,1.5,23.16,13.97
68,能源金属,301219,腾远钴业,159.0,93.0,32.27,1.81,53.68,-1.2,7.4,20.9,20.96
69,商业百货,600682,南京新百,102.0,88.0,19.77,0.58,6.86,-0.2,-4.2,19.27,10.7
70,商业百货,000715,中兴商业,33.0,33.0,40.96,1.75,6.13,0.0,9.9,14.21,17.46
71,商业百货,603101,汇嘉时代,38.0,38.0,16.65,2.71,7.94,-1.1,-5.6,4.14,-13.25
72,商业百货,002251,步步高,131.0,74.0,27.5,1.63,4.82,-4.8,-6.6,-27.2,23.29
73,商业百货,600729,重庆百货,125.0,54.0,8.07,1.63,28.07,-0.6,1.2,-8.1,1.65
74,商业百货,002818,富森美,97.0,39.0,16.34,1.77,12.81,-0.1,0.6,-4.58,-9.47
75,商业百货,600693,东百集团,52.0,52.0,32.96,1.48,5.94,-1.3,-2.8,-3.69,-13.92
76,商业百货,002697,红旗连锁,77.0,61.0,12.35,1.73,5.64,-0.3,5.2,-12.06,-1.9
77,商业百货,603708,家家悦,67.0,67.0,11.82,2.83,10.43,-0.4,0.7,-6.99,-7.07
78,商业百货,600694,大商股份,68.0,68.0,6.44,0.79,19.46,-0.0,-1.9,-13.79,-14.87
79,商业百货,000785,居然智家,196.0,186.0,23.17,0.96,3.13,-0.8,0.6,-6.25,-11.76
80,商业百货,600785,新华百货,28.0,28.0,8.6,1.21,12.12,-0.7,0.9,-1.93,-4.84
81,商业百货,600738,丽尚国潮,41.0,41.0,17.59,2.09,5.41,-0.3,-4.9,1.3,9.68
82,商业百货,600827,百联股份,174.0,156.0,22.52,0.87,9.67,0.3,4.7,-0.1,-10.98
83,商业百货,002419,天虹股份,68.0,68.0,11.32,1.64,5.82,-0.2,8.6,12.72,0.86
84,商业百货,002344,海宁皮城,59.0,59.0,24.64,0.7,4.58,-0.6,5.0,9.03,-1.29
85,商业百货,000501,武商集团,74.0,73.0,12.89,0.67,9.53,-0.4,8.5,3.35,-6.82
86,商业百货,601010,文峰股份,50.0,50.0,41.49,1.15,2.66,-2.0,-8.6,-13.78,0.75
87,商业百货,600858,银座股份,30.0,30.0,10.3,1.1,5.7,-0.8,2.5,9.56,3.62
88,商业百货,000417,合百集团,45.0,45.0,14.9,0.96,5.73,-1.3,3.2,-5.27,-8.29
89,商业百货,002416,爱施德,151.0,149.0,29.87,2.68,12.12,-3.0,6.0,9.65,-22.89
90,商业百货,600778,友好集团,21.0,21.0,25.5,8.85,6.7,-0.4,3.2,4.33,-25.85
91,商业百货,600814,杭州解百,58.0,58.0,16.8,1.61,7.9,-0.5,2.3,-2.82,-2.7
92,商业百货,600790,轻纺城,57.0,57.0,48.27,0.94,3.91,-0.3,6.0,3.45,7.14
93,商业百货,601116,三江购物,64.0,64.0,22.77,2.03,11.8,0.2,8.4,11.56,10.21
94,工程建设,603843,*ST正平,22.0,22.0,37.57,5.73,2.98,-3.0,-11.8,4.68,-13.3
95,工程建设,605598,上海港湾,67.0,67.0,47.04,3.73,26.36,-0.1,23.6,36.96,23.14
96,工程建设,002140,东华科技,72.0,55.0,14.9,1.65,9.99,-0.8,10.5,0.59,4.42
97,工程建设,002761,浙江建投,117.0,117.0,12.92,1.73,10.58,0.5,19.4,31.79,23.94
98,工程建设,002062,宏润建设,70.0,64.0,19.18,1.43,5.63,1.6,28.5,15.68,13.37
99,工程建设,600512,腾达建设,40.0,40.0,16.9,0.64,2.46,-0.6,9.3,14.75,5.96
100,工程建设,600502,安徽建工,90.0,90.0,7.23,0.83,5.18,-0.9,11.9,14.16,16.19
101,工程建设,000498,山东路桥,96.0,90.0,9.64,0.65,6.16,-0.7,7.7,8.6,7.09
102,工程建设,600667,太极实业,141.0,141.0,29.87,1.67,6.68,-1.0,7.1,5.69,-2.05
103,工程建设,600284,浦东建设,67.0,67.0,14.0,0.86,6.86,-0.4,0.0,6.16,11.67
104,工程建设,600491,龙元建设,56.0,56.0,7.31,0.55,3.67,-1.0,-6.4,1.1,-1.6
105,工程建设,002061,浙江交科,114.0,111.0,12.92,0.75,4.28,-1.1,8.9,13.83,8.08
106,工程建设,601133,柏诚股份,66.0,19.0,37.48,2.33,12.51,-0.1,9.1,18.28,13.47
107,工程建设,002135,东南网架,51.0,48.0,27.29,0.81,4.59,-0.4,9.5,12.5,9.81
108,工程建设,600846,同济科技,72.0,72.0,20.47,1.72,11.52,0.3,12.1,32.3,33.06
109,工程建设,603098,森特股份,58.0,58.0,42.82,2.11,10.83,-0.3,12.6,12.01,13.3
110,工程建设,603163,圣晖集成,29.0,10.0,25.46,2.78,29.55,-0.1,7.5,9.92,14.18
111,工程建设,600248,陕建股份,156.0,155.0,9.35,0.63,4.17,0.4,11.8,0.72,-5.01
112,工程建设,301098,金埔园林,18.0,14.0,29.15,1.34,9.58,-1.0,-4.0,17.36,20.63
113,工程建设,301058,中粮科工,60.0,60.0,40.64,2.86,11.82,-1.6,5.3,9.63,12.79
114,工程建设,601789,宁波建工,61.0,61.0,20.34,1.38,5.72,-1.2,3.6,11.88,30.18
115,工程建设,300982,苏文电能,42.0,40.0,28.82,1.44,20.78,-0.9,18.7,36.99,9.99
116,工程建设,002051,中工国际,110.0,110.0,21.03,0.97,9.1,-0.9,11.5,11.78,10.95
117,工程建设,836149,旭杰科技,13.0,10.0,35.73,7.53,17.33,0.4,11.2,32.97,47.18
118,工程建设,603815,交建股份,51.0,51.0,38.27,2.19,8.43,-0.9,20.8,1.74,46.68
119,工程建设,000065,北方国际,123.0,112.0,17.35,1.25,11.79,-3.6,17.0,7.3,19.0
120,工程建设,002060,广东建工,149.0,62.0,25.93,1.11,4.12,-0.2,18.1,11.83,12.78
121,多元金融,603093,南华期货,152.0,152.0,44.4,3.71,24.7,-0.7,9.2,103.42,111.17
122,多元金融,600643,爱建集团,101.0,101.0,27.12,0.85,6.29,-6.2,16.1,36.5,22.24
123,多元金融,000563,陕国投Ａ,192.0,192.0,13.21,1.04,3.74,-2.1,8.1,12.61,6.84
124,多元金融,002961,瑞达期货,100.0,100.0,30.77,3.49,22.37,0.0,12.6,50.57,58.22
125,多元金融,002647,*ST仁东,66.0,40.0,3.43,7.57,5.92,-2.9,2.6,18.07,12.43
126,多元金融,000567,海德股份,132.0,132.0,33.99,2.48,7.01,0.8,19.8,18.01,-1.17
127,物流行业,603128,华贸物流,85.0,85.0,17.99,1.44,6.3,-2.3,1.3,0.62,3.19
128,物流行业,603713,密尔克卫,88.0,88.0,12.73,2.04,53.42,-0.2,-4.0,16.81,9.84
129,物流行业,603871,嘉友国际,164.0,164.0,15.71,3.01,11.85,-0.0,16.9,22.78,-11.23
130,物流行业,000927,中国铁物,172.0,172.0,24.4,1.85,2.84,-0.9,11.8,17.28,9.62
131,物流行业,600179,安通控股,132.0,117.0,13.71,1.2,3.12,-1.2,13.9,5.74,10.6
132,物流行业,000906,浙商中拓,48.0,47.0,6.2,1.0,6.67,-1.9,4.7,12.56,5.0
