,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,文化传媒,601900,XD南方传,126.0,126.0,9.86,1.56,14.46,1.3,-3.7,-11.0,-1.65
1,消费电子,002947,恒铭达,88.0,66.0,20.38,2.83,34.95,1.2,-0.1,12.7,5.13
2,装修建材,002372,伟星新材,175.0,162.0,38.47,3.96,11.15,1.5,3.7,-1.96,-9.47
3,煤炭行业,601918,新集能源,174.0,174.0,8.17,1.08,6.89,2.2,4.4,0.0,-6.55
4,美容护理,600315,上海家化,149.0,149.0,17.19,2.18,23.3,1.1,5.4,-7.65,31.34
5,消费电子,300679,电连技术,196.0,165.0,39.66,4.03,45.64,1.4,5.6,0.11,-22.27
6,医疗服务,600327,大东方,44.0,44.0,27.81,1.32,5.05,1.2,7.2,5.02,-5.28
7,医疗器械,688050,爱博医疗,149.0,146.0,40.12,5.57,76.94,1.4,8.1,-1.22,-15.3
8,装修建材,603137,恒尚节能,27.0,11.0,14.16,2.17,14.71,1.5,9.0,16.73,39.92
9,医疗器械,600587,新华医疗,99.0,99.0,15.42,1.28,16.38,1.5,9.1,10.43,-0.55
10,家电行业,002705,新宝股份,121.0,121.0,12.28,1.51,15.06,1.3,9.8,13.97,2.61
11,美容护理,003006,百亚股份,116.0,115.0,22.11,8.56,29.21,1.1,9.8,-18.07,14.72
