,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,44.0,0.13,6.05,1.47
1,铁路公路,-2.4,2.47,7.88,7.22
2,银行,-4.0,6.16,16.64,21.82
3,综合行业,-5.0,10.55,21.0,21.06
4,教育,-5.8,7.06,9.94,9.45
5,能源金属,-6.2,15.13,16.15,14.18
6,汽车服务,-7.8,8.14,10.05,19.37
7,航空机场,-10.0,-0.61,4.05,-1.89
8,公用事业,-10.3,4.28,5.98,8.81
9,玻璃玻纤,-10.6,14.42,20.89,23.9
10,房地产服务,-14.4,3.9,8.72,10.65
11,钢铁行业,-17.2,9.99,14.5,17.27
12,专业服务,-17.3,10.97,12.83,30.41
13,工程咨询服务,-18.0,8.36,19.69,21.74
14,燃气,-18.2,3.44,10.96,7.18
15,医药商业,-19.1,5.13,16.33,16.86
16,装修装饰,-19.2,3.28,14.38,22.86
17,石油行业,-19.5,8.4,15.41,13.78
18,非金属材料,-20.0,13.48,19.19,26.65
19,水泥建材,-20.2,7.69,12.52,17.16
20,煤炭行业,-20.3,3.82,7.14,1.24
21,多元金融,-21.5,15.63,25.35,26.35
22,橡胶制品,-24.7,3.29,13.22,20.33
23,装修建材,-26.1,4.25,13.62,16.51
24,包装材料,-26.2,6.52,19.1,27.27
25,工程机械,-28.5,5.39,11.19,24.28
26,美容护理,-29.1,-9.43,9.01,21.43
27,电机,-29.1,7.63,15.97,29.76
28,化纤行业,-31.9,2.06,13.84,22.47
29,化肥行业,-36.4,5.97,10.59,15.51
30,旅游酒店,-37.0,-0.39,-0.08,3.79
31,航运港口,-37.2,3.11,12.76,13.91
32,房地产开发,-37.5,5.64,6.75,4.6
33,珠宝首饰,-37.9,-0.56,17.61,30.68
34,风电设备,-39.4,9.36,16.04,24.75
35,家电行业,-39.9,4.46,15.29,21.19
36,光伏设备,-44.4,12.01,16.49,5.25
37,造纸印刷,-47.2,6.19,14.97,13.83
38,仪器仪表,-48.0,7.25,15.75,37.35
39,贸易行业,-48.1,8.45,12.3,18.97
40,证券,-48.8,10.06,13.19,8.12
41,工程建设,-49.0,4.14,10.77,15.14
42,家用轻工,-50.2,-1.15,20.9,28.1
43,贵金属,-50.5,4.51,-0.85,46.68
44,消费电子,-51.7,8.45,18.67,14.91
45,电子化学品,-51.9,7.82,8.91,18.56
46,医疗器械,-52.0,6.81,16.66,23.65
47,物流行业,-55.5,3.62,7.62,20.04
48,电源设备,-56.5,10.72,22.15,31.67
49,采掘行业,-57.1,12.63,24.11,30.87
50,医疗服务,-59.1,9.11,24.81,29.42
51,交运设备,-60.0,4.48,15.56,21.87
52,生物制品,-61.8,8.44,27.15,42.72
53,船舶制造,-65.3,17.66,26.12,38.28
54,农牧饲渔,-67.1,1.03,5.76,17.53
55,中药,-69.4,2.44,11.41,9.45
56,纺织服装,-72.4,3.72,19.1,20.96
57,食品饮料,-85.2,-2.53,1.49,12.29
58,电力行业,-85.9,4.84,7.93,13.92
59,通信服务,-87.3,0.31,7.76,10.26
60,商业百货,-92.1,-0.22,-4.02,-4.06
61,塑料制品,-93.2,11.88,24.56,44.32
62,农药兽药,-96.4,-0.17,18.53,36.0
63,酿酒行业,-97.1,0.4,3.15,-1.38
64,环保行业,-102.1,5.33,18.17,25.04
65,化学原料,-106.9,3.99,13.83,25.51
66,航天航空,-115.9,13.58,21.67,28.68
67,有色金属,-116.4,8.21,17.13,26.65
68,游戏,-127.1,6.04,26.43,32.68
69,汽车整车,-127.3,4.44,6.26,8.37
70,计算机设备,-128.1,6.59,20.36,27.4
71,小金属,-132.1,13.34,30.12,44.04
72,电池,-139.9,10.3,23.38,28.41
73,文化传媒,-140.6,1.61,9.35,8.96
74,光学光电子,-153.8,8.65,17.91,16.27
75,化学制品,-175.4,5.96,15.15,28.4
76,电网设备,-182.5,5.64,16.21,22.48
77,化学制药,-196.7,10.03,29.25,40.35
78,电子元件,-207.6,16.1,27.91,35.94
79,通用设备,-227.1,7.4,19.77,39.51
80,汽车零部件,-249.3,7.6,20.96,37.77
81,专用设备,-268.2,8.49,20.6,32.27
82,通信设备,-270.4,10.82,25.0,27.33
83,半导体,-300.5,6.43,3.78,14.19
84,互联网服务,-315.5,9.51,17.78,31.87
85,软件开发,-363.3,12.1,17.18,29.29
