,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,31.3,-2.65,5.69,1.96
1,煤炭行业,11.5,12.44,15.78,9.52
2,能源金属,3.6,15.93,19.63,18.09
3,铁路公路,-5.5,3.83,9.94,9.04
4,玻璃玻纤,-6.5,17.45,24.91,27.19
5,汽车服务,-7.9,8.44,12.46,20.83
6,航空机场,-9.5,1.92,6.63,0.1
7,非金属材料,-9.6,15.0,24.65,30.95
8,综合行业,-10.1,10.96,20.57,21.49
9,教育,-10.2,3.92,10.36,7.99
10,工程机械,-11.2,19.36,26.78,41.69
11,公用事业,-11.5,5.67,7.73,10.0
12,专业服务,-12.0,13.91,18.67,34.99
13,房地产服务,-13.5,3.65,9.63,11.1
14,工程咨询服务,-13.9,15.4,27.97,31.08
15,燃气,-16.9,5.43,12.69,9.85
16,钢铁行业,-17.9,17.37,22.48,25.57
17,装修装饰,-18.5,3.86,18.09,24.59
18,石油行业,-19.1,9.93,17.17,15.83
19,医药商业,-20.1,5.07,17.99,17.37
20,橡胶制品,-21.0,7.13,16.57,24.87
21,水泥建材,-22.4,23.48,30.4,34.52
22,包装材料,-23.3,6.06,19.15,27.68
23,工程建设,-24.1,11.22,19.66,23.2
24,装修建材,-24.3,6.74,18.44,20.02
25,美容护理,-25.3,-9.33,10.02,24.6
26,电机,-27.0,9.16,14.12,33.01
27,光伏设备,-30.4,14.32,20.64,7.68
28,旅游酒店,-31.0,1.23,4.03,5.56
29,化纤行业,-33.2,3.63,14.09,25.12
30,银行,-33.9,3.17,13.91,19.6
31,珠宝首饰,-37.9,-3.62,25.72,31.29
32,房地产开发,-39.1,6.84,10.0,6.55
33,仪器仪表,-39.4,9.51,18.79,41.47
34,多元金融,-39.6,11.76,28.66,25.73
35,化肥行业,-39.9,6.89,14.77,19.61
36,风电设备,-41.2,10.22,16.21,27.21
37,航运港口,-43.3,7.02,16.05,15.75
38,贵金属,-46.4,4.28,11.14,51.07
39,医疗器械,-47.7,7.67,18.96,25.05
40,造纸印刷,-48.8,5.22,16.24,14.41
41,电子化学品,-51.1,7.56,10.1,18.45
42,贸易行业,-51.6,6.75,15.16,18.95
43,证券,-53.0,10.12,15.83,9.99
44,家用轻工,-54.0,-3.41,21.16,28.49
45,家电行业,-54.9,4.35,14.59,21.72
46,物流行业,-57.1,5.02,12.48,21.49
47,农牧饲渔,-58.8,3.85,10.86,21.28
48,电源设备,-58.8,11.85,22.38,32.34
49,船舶制造,-59.5,18.84,28.88,39.95
50,交运设备,-59.8,5.94,16.01,23.97
51,采掘行业,-59.8,12.36,27.31,33.57
52,医疗服务,-61.5,9.17,26.26,30.33
53,中药,-61.8,2.33,13.3,10.19
54,生物制品,-62.9,7.98,28.15,43.32
55,酿酒行业,-65.9,3.72,6.74,0.98
56,消费电子,-66.6,7.94,18.04,15.46
57,食品饮料,-74.1,-1.44,4.43,13.33
58,纺织服装,-74.4,3.06,19.26,21.22
59,商业百货,-83.0,0.81,1.0,-2.94
60,通信服务,-83.5,0.82,10.1,9.75
61,农药兽药,-88.7,0.47,21.43,38.3
62,电力行业,-90.1,7.42,7.66,15.48
63,塑料制品,-93.7,12.55,23.96,47.19
64,化学原料,-102.9,7.81,16.38,30.07
65,环保行业,-105.9,6.68,19.69,26.91
66,电池,-106.8,12.91,26.09,31.45
67,有色金属,-111.8,10.06,22.14,31.36
68,航天航空,-117.7,14.85,25.72,29.64
69,计算机设备,-135.1,4.43,20.62,26.96
70,游戏,-135.5,2.82,28.62,33.32
71,汽车整车,-138.8,4.12,7.42,9.9
72,电网设备,-142.0,11.04,21.29,28.08
73,光学光电子,-155.9,7.79,17.9,16.45
74,化学制品,-157.6,8.84,19.41,32.41
75,文化传媒,-161.7,-1.02,11.44,9.17
76,小金属,-166.4,9.78,32.39,47.49
77,化学制药,-191.2,10.24,29.54,41.59
78,通用设备,-222.6,9.23,21.16,42.97
79,电子元件,-229.8,13.63,27.72,35.95
80,通信设备,-243.2,10.16,25.75,27.82
81,专用设备,-243.6,10.51,23.72,35.93
82,半导体,-266.6,7.11,6.2,14.7
83,汽车零部件,-270.6,4.94,18.37,38.53
84,互联网服务,-373.7,6.68,18.39,30.26
85,软件开发,-420.2,9.83,18.76,28.21
