,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,煤炭行业,601918,新集能源,168.0,168.0,7.92,1.04,6.5,1.7,-3.3,-7.41,-9.47
1,铁路公路,000900,现代投资,67.0,67.0,9.5,0.61,4.41,1.1,6.0,17.6,3.52
2,食品饮料,600073,光明肉业,70.0,70.0,10.51,1.39,7.43,1.1,-11.4,-1.98,8.15
3,家电行业,002705,新宝股份,120.0,120.0,12.16,1.5,14.79,1.4,5.6,19.18,1.65
4,农药兽药,300119,瑞普生物,102.0,73.0,21.89,2.29,21.85,1.3,4.4,33.48,20.85
5,钢铁行业,002756,永兴材料,183.0,132.0,23.94,1.49,34.0,1.1,9.5,14.4,-8.68
6,化学制药,430017,星昊医药,27.0,26.0,26.5,1.72,21.7,1.2,-13.3,11.97,58.97
7,医疗服务,600327,大东方,45.0,45.0,27.97,1.33,5.05,1.4,5.0,3.06,-4.72
8,化学制药,002019,亿帆医药,178.0,123.0,29.01,2.07,14.61,2.4,8.2,35.78,37.57
9,装修建材,002372,伟星新材,167.0,154.0,36.72,3.78,10.49,1.1,-5.6,-11.18,-13.59
10,消费电子,300679,电连技术,190.0,160.0,38.47,3.91,44.65,2.1,-1.0,-4.33,-24.62
11,酿酒行业,600059,古越龙山,97.0,97.0,41.05,1.65,10.63,1.3,-2.3,23.03,20.8
12,化学制药,688799,华纳药厂,73.0,73.0,44.22,4.06,55.51,2.4,6.7,94.57,88.23
13,小金属,300811,铂科新材,138.0,110.0,46.61,5.2,47.61,1.1,9.5,16.49,-11.36
