,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
59,电力行业,000591,太阳能,180.2541378,165.78350044,15.6,0.77,-0.69,6.25,7.23,-1.08
60,电力行业,000600,建投能源,151.61928771,91.34626341,8.54,1.42,-0.96,19.37,30.33,51.54
61,电力行业,000875,吉电股份,194.42170555,179.15265967,7.8,1.12,-1.05,3.88,1.32,2.29
62,电力行业,002616,长青集团,47.78635275,30.28654791,14.74,1.72,-1.08,4.38,16.46,34.73
63,电力行业,600982,宁波能源,54.31669577,54.31669577,32.13,1.29,-1.11,5.65,9.46,22.42
64,电力行业,600780,通宝能源,72.57360971,72.57360971,10.77,0.92,-1.2,5.5,12.23,12.43
65,电力行业,000899,赣能股份,96.88480157,96.88480157,12.55,1.72,-1.31,12.71,-3.5,18.5
66,电力行业,000862,银星能源,54.61830441,37.36404174,18.82,1.26,-1.33,8.59,1.02,20.45
67,电力行业,002039,黔源电力,69.52095129,69.52095129,33.52,1.76,-1.34,2.2,3.37,6.97
68,电力行业,600509,天富能源,91.25998782,91.25998782,12.64,1.21,-1.49,5.9,5.23,3.43
69,电力行业,000531,穗恒运Ａ,72.06497217,62.95438777,18.49,1.09,-1.51,13.3,14.57,21.83
70,电力行业,000537,中绿电,178.96776368,178.96776368,17.6,0.92,-1.84,3.58,6.52,-2.91
71,电力行业,600452,涪陵电力,143.51299048,143.51299048,39.93,2.7,-1.84,-3.11,-1.58,-11.39
72,电力行业,601619,嘉泽新能,92.50579168,92.50579168,9.65,1.39,-1.89,8.29,6.15,18.01
73,电力行业,000155,川能动力,187.57070355,187.57070355,19.8,1.78,-2.36,1.4,-1.84,-4.87
74,电力行业,600101,明星电力,60.26487181,60.26487181,20.7,2.01,-3.17,5.87,-11.79,26.73
75,电力行业,603693,江苏新能,128.46167431,128.46167431,19.62,1.91,-3.3,-0.35,-1.5,48.56
76,造纸印刷,002511,中顺洁柔,100.43160221,98.31699003,37.61,1.83,0.72,6.0,17.91,14.1
77,造纸印刷,603733,仙鹤股份,142.96016309,142.96016309,15.13,1.86,0.15,1.86,-2.08,0.6
78,造纸印刷,603058,永吉股份,37.24461217,37.1514204,24.88,3.18,0.1,8.7,17.64,1.84
79,造纸印刷,301469,恒达新材,26.002888,13.38465386,49.13,1.94,-0.13,13.14,28.3,25.53
80,造纸印刷,002836,新宏泽,22.55616,22.55616,35.23,6.79,-0.16,5.5,24.71,37.5
81,造纸印刷,600966,博汇纸业,61.89589053,61.89589053,28.99,0.91,-0.17,3.59,7.67,-9.75
82,造纸印刷,600356,恒丰纸业,24.7349581,24.7349581,22.06,0.96,-0.23,3.88,13.11,10.25
83,造纸印刷,605377,华旺科技,50.82399547,50.82399547,15.75,1.32,-0.28,3.98,-3.49,-15.07
84,造纸印刷,603165,荣晟环保,32.11496914,32.11496914,11.37,1.48,-0.3,6.23,4.34,0.17
85,造纸印刷,605007,五洲特纸,56.5127307,47.58365462,21.84,1.7,-0.31,4.5,4.13,-5.5
86,造纸印刷,600308,华泰股份,53.69720423,53.69720423,22.44,0.59,-0.38,-0.28,10.28,-2.48
87,造纸印刷,600103,青山纸业,51.82486608,50.88356808,42.22,1.32,-0.45,3.14,11.11,-9.8
88,造纸印刷,600963,岳阳林纸,79.96933736,79.96933736,42.61,1.01,-0.79,2.71,4.36,-9.9
89,造纸印刷,002117,东港股份,60.69925868,60.67998741,35.34,4.56,-0.87,8.33,1.22,1.05
90,造纸印刷,603499,翔港科技,48.77821567,48.77821567,29.61,5.95,-0.92,5.37,-2.54,-12.01
91,造纸印刷,605500,森林包装,54.7008,54.7008,40.36,2.14,-1.28,81.82,103.08,93.83
92,造纸印刷,603607,京华激光,42.844032,42.844032,42.16,4.45,-3.75,-11.78,35.21,52.09
93,造纸印刷,002229,鸿博股份,87.82589338,87.29008128,25.96,6.57,-9.45,6.25,61.64,47.62
94,电网设备,301310,鑫宏业,54.06255851,19.73696015,39.26,2.38,0.94,8.14,38.19,57.5
95,电网设备,000682,东方电子,141.44669924,141.43273631,29.25,2.73,0.77,13.09,12.83,-1.12
96,电网设备,834062,科润智控,23.58828463,16.68875063,49.49,3.24,0.47,20.13,37.82,63.83
97,电网设备,002121,科陆电子,109.28173807,92.11489418,40.5,19.15,0.23,33.47,46.88,51.26
98,电网设备,301439,泓淋电力,66.49749916,31.31689931,32.96,2.33,0.14,16.76,26.78,26.13
99,电网设备,688616,西力科技,22.99629357,22.99629357,27.42,2.88,0.13,14.27,24.47,26.93
100,电网设备,688663,新风光,44.92816349,44.92816349,39.98,3.41,-0.01,19.72,40.56,51.28
101,电网设备,603050,科林电气,68.56426281,68.56426281,23.58,4.07,-0.15,6.43,21.26,23.1
102,电网设备,002112,三变科技,36.455328,36.455328,48.57,4.29,-0.2,10.41,7.75,24.98
103,电网设备,002706,良信股份,102.76593933,83.69416044,24.91,2.67,-0.3,9.2,22.98,22.49
104,电网设备,002441,众业达,51.13264489,37.47358655,12.87,1.14,-0.31,11.36,23.39,25.53
105,电网设备,688330,宏力达,36.806,36.806,44.03,0.97,-0.33,4.08,0.42,0.19
106,电网设备,603312,西典新能,60.56768,19.684496,21.07,3.7,-0.35,7.26,-0.95,18.87
107,电网设备,301031,中熔电气,81.17520026,56.80718594,33.4,6.69,-0.35,7.52,10.8,18.09
108,电网设备,603861,白云电器,50.29037049,49.07114568,34.31,1.47,-0.37,11.79,17.9,14.72
109,电网设备,002953,日丰股份,49.20692904,29.25536209,26.54,2.66,-0.38,4.76,10.01,8.13
110,电网设备,920111,聚星科技,43.58289905,10.36197965,46.37,5.2,-0.39,1.92,2.33,18.42
111,电网设备,688517,金冠电气,20.1914286,20.1914286,26.44,2.66,-0.43,7.49,17.12,13.6
112,电网设备,002270,华明装备,150.65549495,150.6530807,21.98,4.78,-0.44,10.42,22.34,1.14
113,电网设备,605222,起帆电缆,63.17385667,63.17385667,22.57,1.4,-0.44,3.03,4.44,-0.39
114,电网设备,601096,宏盛华源,117.70682387,72.2909678,33.16,2.65,-0.5,4.77,6.02,1.62
115,电网设备,601126,四方股份,143.322096,140.8428364,14.84,3.39,-0.51,8.05,9.55,5.91
116,电网设备,603556,海兴电力,126.4286842,126.4286842,22.42,1.83,-0.51,0.58,-19.2,-28.37
117,电网设备,002346,柘中股份,62.48292136,55.66609349,10.61,2.35,-0.53,3.43,16.94,50.69
118,电网设备,920682,球冠电缆,31.6368,18.36163115,49.2,2.94,-0.54,-3.15,-8.79,52.82
119,电网设备,603097,江苏华辰,36.2250305,35.248,43.82,3.58,-0.54,-3.71,5.21,-5.53
120,电网设备,002546,新联电子,50.79358995,48.79503465,11.84,1.53,-0.58,22.33,41.96,44.66
121,电网设备,002498,汉缆股份,116.7705396,116.7705396,20.42,1.42,-0.58,3.54,8.0,4.78
122,电网设备,300617,安靠智电,51.47998399,43.24598723,29.44,1.78,-0.59,11.68,16.6,7.67
123,电网设备,603829,洛凯股份,30.0975554,30.0975554,26.94,2.86,-0.62,22.31,35.52,40.79
124,电网设备,603897,长城科技,49.5032763,49.5032763,22.53,2.15,-0.82,1.09,15.18,9.0
125,电网设备,600067,冠城新材,42.58506341,42.58506341,30.59,0.72,-0.83,6.21,37.84,15.47
126,电网设备,688676,金盘科技,162.12798342,162.12798342,37.79,3.72,-0.87,12.78,11.78,-13.73
127,电网设备,002692,远程股份,35.9791146,35.96503525,41.56,3.04,-0.88,-2.72,6.14,28.46
128,电网设备,300360,炬华科技,82.78412729,80.53137681,11.84,2.11,-0.88,3.07,2.94,-1.65
129,电网设备,301291,明阳电气,131.31132,73.50876462,29.24,2.88,-0.93,9.88,2.06,-2.64
130,电网设备,002452,长高电新,44.72594333,37.19673536,33.43,1.86,-1.07,4.49,3.0,-1.77
131,电网设备,300882,万胜智能,47.39491673,44.10375584,32.28,4.01,-1.1,12.91,12.73,3.31
132,电网设备,605066,天正电气,38.55362029,38.23516081,28.21,2.25,-1.18,7.32,12.41,31.89
133,电网设备,300286,安科瑞,56.97827362,39.93287625,27.3,2.66,-1.18,4.71,9.97,12.2
134,电网设备,300018,中元股份,40.42845015,32.1184424,38.53,3.12,-1.19,13.8,30.36,24.33
135,电网设备,001208,华菱线缆,59.9089304,30.27515494,46.57,3.69,-1.23,5.55,11.54,24.28
136,电网设备,002358,森源电气,49.09116839,49.09110107,29.13,1.51,-1.3,1.93,3.53,15.28
137,电网设备,603530,神马电力,116.55483525,115.41548898,42.72,7.06,-1.4,3.14,17.04,11.34
138,电网设备,002533,金杯电工,73.17392388,63.57324967,13.41,1.85,-2.05,-1.38,4.95,3.96
139,电网设备,002276,万马股份,147.78202911,146.44064206,45.15,2.57,-5.9,4.73,4.37,73.25
140,电网设备,002298,中电鑫龙,50.91962999,44.97218062,30.15,2.47,-6.19,4.57,41.86,29.32
141,电网设备,600577,精达股份,165.05683692,165.05683692,32.94,2.88,-6.99,3.22,21.33,6.08
142,汽车服务,837242,建邦科技,21.56202688,12.01932369,28.84,3.52,-0.21,-7.45,8.48,38.01
143,汽车服务,601965,中国汽研,194.79325906,193.03413331,27.34,2.78,-0.96,7.5,8.92,12.38
144,汽车服务,600335,国机汽车,96.92710724,96.92710724,18.11,0.85,-1.06,1.25,7.64,5.37
145,生物制品,000403,派林生物,170.12113209,168.38711363,47.74,2.19,1.37,6.75,-2.82,12.02
146,生物制品,688073,毕得医药,57.71976027,27.45802264,47.01,2.95,0.63,38.41,59.89,31.49
147,生物制品,603590,康辰药业,76.96917839,75.94570139,43.24,2.52,0.52,50.19,63.29,110.73
148,生物制品,600867,通化东宝,155.90000919,155.90000919,35.7,2.59,0.07,4.88,12.43,1.92
149,生物制品,300239,东宝生物,35.02286805,34.7959452,45.97,2.09,0.02,5.14,11.74,-5.45
150,生物制品,300294,博雅生物,132.91996734,132.91996734,23.82,1.76,-0.02,-2.8,-6.92,-12.48
151,生物制品,688739,成大生物,117.147385,117.147385,40.55,1.26,-0.06,8.64,16.67,12.57
152,生物制品,002880,卫光生物,65.49984,65.2725544,37.41,2.96,-0.18,-2.83,-3.96,6.92
153,生物制品,300357,我武生物,113.6700864,105.09033891,38.23,4.81,-0.52,3.83,7.26,8.01
154,生物制品,300009,安科生物,151.86493023,110.93037889,18.17,3.96,-0.65,0.22,14.21,8.22
155,生物制品,000534,万泽股份,72.84567466,71.94055195,25.05,4.88,-0.79,0.91,2.26,12.28
156,生物制品,300485,赛升药业,66.37362992,37.73200768,41.51,1.95,-0.86,32.06,74.21,96.58
157,生物制品,600223,福瑞达,85.18846335,85.18846335,42.0,2.05,-0.9,-1.75,6.62,10.85
158,生物制品,301509,金凯生科,48.3954716,22.79850487,25.52,2.25,-1.19,4.14,63.4,57.69
159,生物制品,688253,英诺特,41.48329158,20.91844672,10.88,2.09,-1.2,-6.09,-3.18,-14.87
160,生物制品,002038,双鹭药业,78.0786,64.71692364,42.46,1.39,-1.32,6.89,17.65,2.01
161,生物制品,600211,西藏药业,120.67630698,120.67630698,11.2,3.12,-1.48,-1.14,3.0,4.14
162,生物制品,688687,凯因科技,46.53107167,46.53107167,45.32,2.55,-1.91,-0.76,3.46,27.85
163,生物制品,301393,昊帆生物,59.3352,23.13236339,42.63,2.61,-2.03,-1.26,25.03,38.56
164,通用设备,603279,景津装备,88.4861495,88.4732555,13.26,2.01,0.85,-4.79,-7.53,-12.19
165,通用设备,001268,联合精密,29.22834685,17.04234685,38.06,2.96,0.41,10.38,39.37,59.2
166,通用设备,301029,怡合达,145.04216023,105.63264599,29.78,3.59,0.29,4.77,6.03,-6.35
167,通用设备,301525,儒竞科技,70.4508907,36.90269416,33.32,2.21,0.21,0.96,11.34,26.08
168,通用设备,603617,君禾股份,28.8558318,28.3510948,35.3,1.94,0.18,6.79,10.13,1.93
169,通用设备,605259,绿田机械,41.498688,41.498688,18.07,2.51,0.07,27.64,68.25,65.36
170,通用设备,301309,万得凯,27.49,6.8725,20.3,1.76,0.07,8.97,18.64,15.17
171,通用设备,603109,神驰机电,53.11013795,53.11013795,19.08,2.75,0.06,-0.47,34.05,45.73
172,通用设备,873833,美心翼申,17.00734,12.89938388,39.86,2.79,0.05,0.39,-0.91,82.74
173,通用设备,830896,旺成科技,20.66998981,9.0668496,37.56,5.2,0.03,-8.18,15.96,47.97
174,通用设备,605060,联德股份,49.2732416,49.2732416,26.69,2.08,0.0,9.53,18.04,17.23
175,通用设备,920082,方正阀门,30.23384,6.74594232,23.97,5.93,-0.01,7.86,4.79,41.98
176,通用设备,001380,华纬科技,57.88154425,18.80642339,22.66,3.41,-0.02,5.82,14.16,46.47
177,通用设备,870508,丰安股份,13.107744,8.61344481,31.95,2.87,-0.02,3.1,7.5,72.76
178,通用设备,833943,优机股份,27.46153275,14.01401883,44.27,4.57,-0.03,6.93,45.59,67.49
179,通用设备,836699,海达尔,20.48119717,9.37092217,26.64,6.89,-0.04,-5.68,-6.71,19.55
180,通用设备,301603,乔锋智能,62.61406,19.56430125,20.99,2.94,-0.04,5.34,20.22,21.66
181,通用设备,831855,浙江大农,15.65663326,14.0520891,28.81,2.82,-0.04,1.15,-1.55,27.05
182,通用设备,603325,博隆技术,69.643482,29.7564756,16.69,2.75,-0.06,14.76,18.7,33.05
183,通用设备,601369,陕鼓动力,151.83810275,150.28062645,15.32,1.75,-0.07,4.64,7.44,4.51
184,通用设备,688355,明志科技,22.13855446,22.13855446,41.92,2.13,-0.08,8.02,9.3,9.57
185,通用设备,300885,海昌新材,34.17050286,22.99834762,48.48,4.0,-0.1,11.21,1.55,26.56
186,通用设备,688558,国盛智科,33.6732,33.6732,24.31,2.12,-0.11,3.7,20.56,22.94
187,通用设备,830839,万通液压,36.3724965,20.15456276,26.88,6.51,-0.13,-2.48,6.49,96.08
188,通用设备,603187,海容冷链,46.48585767,46.48585767,11.16,1.15,-0.15,6.17,19.7,12.43
189,通用设备,300257,开山股份,114.36739057,109.86947801,32.38,1.77,-0.18,24.25,36.54,27.61
190,通用设备,301252,同星科技,45.11124,12.68753625,31.42,3.66,-0.19,14.12,28.57,16.41
191,通用设备,301446,福事特,25.0536,7.6538748,25.63,2.19,-0.19,9.72,22.72,9.8
192,通用设备,688028,沃尔德,34.12351239,33.84773748,40.44,1.76,-0.2,6.36,3.89,2.46
193,通用设备,002884,凌霄泵业,57.98033471,44.25818132,13.9,2.81,-0.2,3.06,11.87,-6.14
194,通用设备,603339,四方科技,38.55637041,38.55637041,19.71,1.51,-0.2,7.05,14.1,0.4
195,通用设备,301107,瑜欣电子,29.93681648,17.4142548,30.44,3.32,-0.21,18.05,37.75,63.66
196,通用设备,301353,普莱得,25.27185349,8.20623349,35.57,2.03,-0.23,12.13,27.87,23.39
197,通用设备,601002,晋亿实业,50.29902594,50.29902594,21.85,1.22,-0.28,10.02,18.96,24.0
198,通用设备,603757,大元泵业,37.7766084,37.7766084,24.08,2.36,-0.29,1.96,13.8,15.52
199,通用设备,003025,思进智能,39.32756778,33.03208809,24.5,3.38,-0.29,4.29,4.45,19.81
200,通用设备,430418,苏轴股份,49.00686336,47.04848679,35.09,6.09,-0.32,-4.85,-4.31,60.77
201,通用设备,002438,江苏神通,66.89343736,61.79847191,18.68,1.9,-0.35,14.81,27.96,9.56
202,通用设备,603173,福斯达,61.616,19.077854,13.31,3.7,-0.35,13.08,69.65,70.78
203,通用设备,300263,隆华科技,70.27665692,65.6552819,39.05,2.27,-0.36,12.75,10.06,7.17
204,通用设备,001400,江顺科技,35.328,8.832,26.37,2.84,-0.38,3.88,57.6,57.6
205,通用设备,603269,海鸥股份,28.99179102,28.99179102,38.26,2.88,-0.38,7.67,27.06,26.04
206,通用设备,603331,百达精工,21.45083498,21.45083498,24.96,1.66,-0.44,2.81,23.66,18.81
207,通用设备,603277,银都股份,99.53915075,98.96177986,12.46,3.58,-0.44,2.08,21.3,3.84
208,通用设备,603391,力聚热能,36.218,9.0545,26.93,1.76,-0.46,4.63,0.79,-2.55
209,通用设备,300985,致远新能,34.5048088,34.31951909,38.64,3.49,-0.46,9.59,24.33,0.49
