,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,煤炭行业,601918,新集能源,169.0,169.0,7.95,1.05,6.53,2.1,-2.0,-7.64,-9.05
1,铁路公路,000900,现代投资,67.0,67.0,9.52,0.61,4.42,1.1,5.0,17.55,3.76
2,食品饮料,600073,光明肉业,70.0,70.0,10.51,1.39,7.43,1.3,-10.7,-6.07,8.15
3,化学制药,000915,华特达因,77.0,77.0,10.61,2.95,33.04,2.5,8.7,12.5,26.2
4,家电行业,002705,新宝股份,121.0,120.0,12.22,1.5,14.86,1.5,6.9,17.56,2.13
5,钢铁行业,002756,永兴材料,184.0,133.0,24.04,1.5,34.14,1.3,9.5,15.42,-8.3
6,医疗服务,600327,大东方,44.0,44.0,27.81,1.32,5.02,1.3,5.7,0.8,-5.28
7,化学制药,002019,亿帆医药,178.0,123.0,29.03,2.07,14.62,1.9,9.1,32.07,37.66
8,装修建材,002372,伟星新材,167.0,155.0,36.82,3.79,10.52,1.2,-4.9,-10.54,-13.34
9,消费电子,300679,电连技术,190.0,160.0,38.45,3.91,44.63,1.6,0.7,-3.73,-24.65
10,化学制药,688799,华纳药厂,72.0,72.0,43.54,4.0,54.66,2.2,5.0,78.8,85.35
