,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,证券,31.2,15.22,20.58,14.19
1,保险,26.9,1.42,15.91,5.1
2,能源金属,-0.8,23.87,27.99,23.77
3,煤炭行业,-8.1,9.33,15.18,6.43
4,汽车服务,-8.6,11.49,11.7,20.35
5,玻璃玻纤,-10.1,19.48,26.82,28.21
6,房地产服务,-10.9,7.75,12.38,12.39
7,公用事业,-11.8,7.61,8.19,9.48
8,教育,-12.1,7.97,12.66,9.24
9,美容护理,-12.4,3.95,13.48,29.68
10,专业服务,-13.1,14.54,21.14,35.79
11,铁路公路,-14.8,2.79,8.0,6.98
12,航空机场,-14.9,6.08,8.69,1.13
13,综合行业,-15.7,10.52,22.97,21.91
14,橡胶制品,-17.6,7.38,16.59,24.54
15,装修装饰,-17.8,8.22,17.95,26.24
16,包装材料,-18.2,11.53,23.65,30.09
17,燃气,-21.1,2.09,12.11,9.48
18,医药商业,-23.0,10.55,17.24,18.63
19,旅游酒店,-24.6,6.27,9.25,7.61
20,石油行业,-29.8,4.71,14.15,13.31
21,装修建材,-31.2,10.65,19.97,21.0
22,钢铁行业,-32.5,18.19,21.07,24.55
23,化纤行业,-34.8,5.64,15.74,25.14
24,珠宝首饰,-35.2,-0.17,21.85,30.97
25,非金属材料,-35.3,15.93,26.83,32.79
26,房地产开发,-36.4,9.85,14.01,7.79
27,工程咨询服务,-37.3,14.32,25.11,27.24
28,电机,-37.8,10.81,10.95,32.56
29,医疗器械,-40.1,15.85,23.44,30.64
30,银行,-42.9,1.34,14.12,18.63
31,电子化学品,-43.0,12.67,13.76,23.12
32,多元金融,-43.4,13.37,31.18,26.37
33,贸易行业,-43.8,9.84,15.74,18.41
34,医疗服务,-43.9,19.71,30.49,36.14
35,酿酒行业,-45.1,3.8,6.18,-0.44
36,家用轻工,-46.8,2.39,20.26,29.13
37,物流行业,-47.0,6.81,16.38,22.5
38,中药,-47.1,8.79,15.93,11.4
39,仪器仪表,-47.6,10.6,17.35,41.83
40,化肥行业,-47.7,6.54,17.21,19.86
41,造纸印刷,-49.5,8.82,16.81,15.49
42,工程机械,-55.8,18.76,24.02,39.71
43,家电行业,-56.2,8.3,13.9,23.57
44,光伏设备,-56.2,14.39,20.24,6.91
45,风电设备,-57.0,5.45,16.07,27.5
46,贵金属,-58.1,-2.51,12.51,45.21
47,采掘行业,-59.2,-3.3,25.87,32.61
48,航运港口,-60.4,4.56,18.5,14.69
49,食品饮料,-61.4,3.14,8.82,13.76
50,消费电子,-63.0,9.78,17.51,19.13
51,商业百货,-64.3,6.35,6.42,-1.24
52,纺织服装,-65.9,8.58,19.2,22.91
53,交运设备,-65.9,9.86,17.59,25.8
54,生物制品,-68.6,16.76,32.35,45.84
55,船舶制造,-70.0,13.24,24.47,37.93
56,水泥建材,-76.7,20.35,25.42,28.49
57,农牧饲渔,-77.1,6.03,13.01,21.38
58,农药兽药,-86.5,7.4,24.96,43.03
59,通信服务,-89.7,3.44,10.98,10.76
60,电源设备,-93.4,11.29,23.11,33.5
61,塑料制品,-94.1,17.48,25.57,50.54
62,环保行业,-105.8,9.77,19.5,28.42
63,汽车整车,-111.9,7.36,8.72,10.39
64,航天航空,-118.7,11.61,28.37,31.67
65,计算机设备,-120.4,5.44,20.48,28.78
66,游戏,-122.3,6.38,24.49,35.02
67,文化传媒,-130.2,6.27,12.14,12.39
68,小金属,-133.0,21.03,41.54,57.45
69,有色金属,-135.4,11.12,20.93,30.63
70,电池,-137.0,14.42,27.34,34.06
71,工程建设,-140.9,10.78,17.35,19.94
72,电力行业,-142.2,5.31,7.68,13.22
73,光学光电子,-153.8,8.91,18.04,20.17
74,化学制药,-162.6,18.74,35.99,45.37
75,电子元件,-178.6,15.1,30.26,41.31
76,电网设备,-185.0,9.84,18.85,25.04
77,半导体,-218.4,10.21,8.8,19.29
78,化学制品,-221.9,11.6,19.01,32.7
79,通用设备,-245.6,10.57,19.12,43.45
80,汽车零部件,-256.3,9.62,15.34,40.37
81,通信设备,-264.3,9.73,26.75,30.08
82,专用设备,-295.6,12.54,22.77,37.95
83,互联网服务,-324.4,9.95,17.0,33.46
84,软件开发,-390.7,13.1,19.83,31.93
