,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,43.7,-0.19,6.61,1.54
1,综合行业,7.3,8.99,21.5,20.32
2,教育,-4.2,4.55,9.48,7.97
3,铁路公路,-4.8,2.07,8.39,6.76
4,银行,-5.5,5.94,16.81,20.9
5,汽车服务,-5.9,8.24,13.26,20.33
6,公用事业,-10.1,4.01,6.69,8.99
7,航空机场,-10.4,-0.84,3.36,-2.11
8,玻璃玻纤,-10.6,12.77,21.53,24.14
9,能源金属,-10.8,11.38,13.2,11.31
10,钢铁行业,-12.3,9.05,13.4,16.26
11,房地产服务,-13.9,3.04,9.94,11.41
12,医药商业,-16.8,5.68,17.61,16.94
13,燃气,-17.8,2.6,11.41,7.28
14,专业服务,-18.2,9.97,13.56,30.43
15,水泥建材,-18.6,6.53,14.42,17.46
16,工程咨询服务,-18.9,6.34,19.88,21.54
17,非金属材料,-19.3,11.36,17.93,25.31
18,装修装饰,-19.4,2.45,14.37,22.76
19,煤炭行业,-20.0,2.22,5.85,-0.02
20,石油行业,-20.5,7.03,14.34,12.76
21,光伏设备,-21.0,11.29,17.03,6.04
22,多元金融,-22.6,15.64,29.47,27.49
23,包装材料,-24.6,4.61,21.78,26.12
24,装修建材,-25.1,3.34,14.08,16.1
25,美容护理,-25.3,-6.56,9.43,21.97
26,橡胶制品,-26.0,2.57,12.28,20.27
27,电机,-27.0,6.48,15.29,29.98
28,工程机械,-27.7,4.4,10.3,24.53
29,消费电子,-28.8,7.57,18.77,15.82
30,贸易行业,-29.2,6.25,12.49,17.63
31,化纤行业,-29.9,0.22,12.34,21.24
32,家电行业,-35.5,3.87,15.09,21.26
33,证券,-36.3,8.55,13.05,8.0
34,旅游酒店,-37.0,-0.75,-1.77,3.19
35,珠宝首饰,-37.6,-0.84,19.89,30.9
36,航运港口,-37.8,6.62,13.87,13.35
37,化肥行业,-38.7,4.57,10.68,13.96
38,风电设备,-38.9,6.51,15.03,23.86
39,造纸印刷,-41.1,5.13,15.02,14.2
40,仪器仪表,-43.3,6.3,15.37,37.41
41,房地产开发,-44.5,5.26,7.87,4.58
42,家用轻工,-47.7,-0.21,21.02,28.28
43,医疗器械,-48.0,5.89,16.73,23.15
44,电子化学品,-51.3,5.42,8.96,17.57
45,工程建设,-51.4,2.6,10.89,14.73
46,生物制品,-52.0,8.2,26.17,41.34
47,医疗服务,-52.8,8.96,23.57,29.06
48,贵金属,-55.3,3.83,-0.24,46.04
49,物流行业,-56.2,3.41,11.19,19.42
50,交运设备,-56.5,3.81,14.56,21.32
51,采掘行业,-57.8,10.12,21.36,29.01
52,中药,-62.8,2.87,12.21,9.51
53,电源设备,-63.6,8.44,19.73,30.89
54,纺织服装,-66.6,3.01,19.46,20.86
55,船舶制造,-67.1,15.59,26.03,38.46
56,农牧饲渔,-70.2,1.23,6.08,17.16
57,食品饮料,-77.8,-2.32,2.27,12.72
58,塑料制品,-86.8,9.61,24.21,43.12
59,电力行业,-89.2,4.92,7.01,13.39
60,农药兽药,-92.4,-0.41,22.21,35.74
61,商业百货,-97.7,-1.16,-2.44,-4.24
62,通信服务,-98.5,-0.41,6.77,10.2
63,环保行业,-106.4,3.51,17.46,23.68
64,航天航空,-106.6,10.38,20.35,28.04
65,化学原料,-107.7,2.47,12.96,24.34
66,游戏,-111.3,8.97,27.76,34.73
67,文化传媒,-123.4,1.75,8.38,8.9
68,汽车整车,-124.0,3.36,7.08,8.44
69,计算机设备,-124.0,5.43,20.44,27.33
70,有色金属,-124.1,6.26,15.98,25.23
71,酿酒行业,-124.3,-1.36,2.42,-1.83
72,光学光电子,-143.5,7.26,17.91,16.39
73,小金属,-147.2,10.93,25.59,40.22
74,电池,-158.8,9.76,21.11,27.25
75,电子元件,-168.1,15.52,27.52,36.59
76,化学制品,-169.9,4.65,15.23,27.65
77,电网设备,-178.7,5.63,15.69,22.59
78,化学制药,-179.9,9.74,29.71,39.18
79,通用设备,-211.9,6.36,18.8,39.63
80,汽车零部件,-236.8,6.78,21.36,38.53
81,通信设备,-238.1,9.28,24.57,27.7
82,专用设备,-254.6,6.95,19.66,32.01
83,互联网服务,-288.4,7.38,16.85,31.46
84,半导体,-294.4,4.04,4.02,14.3
85,软件开发,-337.8,9.43,16.46,28.85
