,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),29日平均涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,能源金属,002738,中矿资源,241.6997788,238.26138871,44.83,2.02,-0.25,12.57,0.45,16.48,-4.29
1,能源金属,600711,ST盛屯,228.39619362,228.39619362,19.61,1.47,-0.45,32.29,1.03,33.15,53.32
2,能源金属,301219,腾远钴业,153.78342557,89.71272231,31.14,1.75,-0.82,18.89,0.69,13.98,16.71
3,能源金属,002340,格林美,329.49242937,326.92599967,16.11,1.65,-2.73,7.14,0.26,7.35,-0.46
4,能源金属,603799,华友钴业,646.41812433,640.64616687,12.91,1.79,-3.46,15.5,0.53,24.43,32.05
5,电机,002801,微光股份,78.0978432,39.38449827,22.46,4.7,0.7,9.76,0.37,11.8,41.06
6,电机,603320,迪贝电气,28.0693154,28.0693154,32.39,2.5,0.07,6.49,0.48,18.74,34.62
7,电机,603344,星德胜,49.66375919,13.79410919,29.89,2.48,-0.52,-0.12,0.02,13.22,5.85
8,电机,603350,安乃达,45.145737,17.0632,35.84,3.52,-0.55,0.22,0.01,21.04,9.09
9,电机,000922,佳电股份,78.21187358,66.07335971,35.49,1.77,-0.57,3.44,0.1,10.29,0.63
10,电机,002823,凯中精密,47.44931313,31.60178832,24.18,2.45,-0.88,7.44,0.24,14.77,3.07
11,电机,002576,通达动力,27.75331,27.21585581,36.53,2.2,-1.07,2.43,0.04,25.54,-1.47
12,电机,300907,康平科技,25.6608,25.6608,33.91,3.32,-1.09,4.71,0.29,16.07,27.04
13,电机,002249,大洋电机,166.00553298,124.4626918,14.59,1.79,-2.73,4.53,0.17,10.75,18.47
14,电机,600580,卧龙电驱,323.67074828,323.67074828,30.18,3.19,-9.74,4.08,0.15,6.91,45.81
15,贵金属,000975,山金国际,529.24326371,481.72862325,19.07,4.18,0.47,-7.9,-0.15,-8.93,26.98
16,贵金属,600489,中金黄金,722.73430329,722.73430329,17.4,2.72,-1.48,0.14,0.09,5.15,28.09
17,贵金属,002237,恒邦股份,138.11413612,109.5291238,22.08,1.47,-2.33,6.4,0.36,9.56,20.78
18,贵金属,001337,四川黄金,101.262,69.5467416,26.41,6.97,-2.87,-0.74,0.13,-5.6,16.87
19,贵金属,600547,山东黄金,1397.94672656,1129.51354594,34.06,5.48,-3.99,1.83,0.15,1.56,38.09
20,贵金属,600988,赤峰黄金,462.56008073,404.99602941,23.92,4.35,-7.33,-10.96,-0.23,-11.65,57.54
21,贵金属,002155,湖南黄金,281.90229741,281.87696762,21.21,4.09,-9.23,4.89,0.28,-7.2,51.34
22,电力行业,600795,国电电力,847.1919064,847.1919064,11.7,1.51,1.86,6.05,0.21,6.03,6.26
23,电力行业,600674,川投能源,793.5859916,793.5859916,13.42,1.91,1.64,-3.12,-0.15,-2.34,-5.62
24,电力行业,600863,内蒙华电,280.65617587,280.65617587,9.43,1.63,1.47,5.67,0.21,6.97,-0.69
25,电力行业,600726,华电能源,219.82394664,76.37618639,11.52,5.2,1.14,13.08,0.45,24.66,21.4
26,电力行业,600905,三峡能源,1246.42154619,1246.42154619,12.73,1.4,1.02,1.41,0.03,1.87,-0.23
27,电力行业,600578,京能电力,313.3082635,313.3082635,7.37,1.44,0.88,9.69,0.33,37.24,37.65
28,电力行业,000543,皖能电力,169.78806349,169.78806349,9.57,1.1,0.8,5.71,0.17,5.05,-1.32
29,电力行业,600642,申能股份,417.46627586,416.18215516,10.33,1.21,0.71,0.95,-0.02,-0.81,-5.64
30,电力行业,605580,恒盛能源,40.544,40.544,22.88,4.43,0.37,33.27,1.04,43.08,33.7
31,电力行业,600236,桂冠电力,530.48402607,530.48402607,24.41,3.32,0.27,5.12,0.25,5.16,0.75
32,电力行业,600575,淮河能源,142.23715498,142.23715498,13.36,1.21,0.22,0.83,0.05,7.33,-7.81
33,电力行业,600163,中闽能源,102.38119249,102.38119249,10.19,1.49,0.12,3.65,0.1,2.87,-10.48
34,电力行业,600821,金开新能,114.04374317,114.04374317,23.69,1.24,0.07,6.53,0.23,2.7,7.74
35,电力行业,605028,世茂能源,31.904,31.904,23.86,2.49,-0.36,15.48,0.53,25.49,23.62
36,电力行业,000690,宝新能源,107.92403796,107.8537802,9.01,0.89,-0.4,13.99,0.45,29.5,14.55
37,电力行业,601016,节能风电,198.08573553,182.58541817,12.64,1.15,-0.42,7.02,0.22,8.51,-1.29
38,电力行业,000767,晋控电力,106.15450656,100.47250204,43.7,1.77,-0.5,6.8,0.29,29.7,36.36
39,电力行业,600719,大连热电,28.03875228,28.03875228,11.73,6.04,-0.52,1.96,0.06,9.31,-2.81
40,电力行业,000591,太阳能,179.47042416,165.06270261,15.53,0.76,-0.7,6.29,0.22,6.76,-1.51
41,电力行业,600396,华电辽能,58.761002,58.761002,10.09,3.96,-0.72,16.72,0.62,54.05,44.57
42,电力行业,000883,湖北能源,302.2371407,301.30867511,21.21,0.91,-0.81,1.76,0.05,0.65,-4.71
43,电力行业,600098,广州发展,235.27319084,234.76612258,13.0,0.91,-0.87,4.78,0.14,12.02,9.11
44,电力行业,001289,龙源电力,1394.41733616,840.99461856,18.33,1.85,-0.9,1.09,0.05,-1.59,6.17
45,电力行业,600982,宁波能源,54.31669577,54.31669577,32.13,1.29,-0.9,3.07,0.11,9.46,22.42
46,电力行业,600995,南网储能,321.51818398,111.57562529,21.49,1.49,-0.98,1.1,-0.01,6.34,0.1
47,电力行业,001286,陕西能源,335.25,93.87,11.92,1.38,-0.98,2.78,0.1,2.64,0.79
48,电力行业,000027,深圳能源,321.59955832,321.59955832,5.95,1.01,-0.99,6.74,0.16,12.11,6.79
49,电力行业,600780,通宝能源,72.80291021,72.80291021,10.81,0.92,-1.01,5.05,0.19,12.59,12.79
50,电力行业,601991,大唐发电,644.03352554,431.38390089,7.19,1.99,-1.02,6.21,0.25,20.0,22.11
51,电力行业,000875,吉电股份,194.42170555,179.15265967,7.8,1.12,-1.07,3.5,0.12,1.32,2.29
52,电力行业,002616,长青集团,47.56374552,30.14546151,14.67,1.71,-1.1,0.8,-0.02,15.91,34.1
53,电力行业,600021,上海电力,264.49222827,245.7517181,7.98,1.36,-1.13,3.3,0.1,10.08,5.62
54,电力行业,002039,黔源电力,69.77748616,69.77748616,33.65,1.77,-1.33,3.18,0.09,3.75,7.37
55,电力行业,600886,国投电力,1192.66964504,1110.67278975,14.35,1.82,-1.38,-4.6,-0.21,1.02,-10.35
56,电力行业,000531,穗恒运Ａ,71.75255177,62.68146412,18.41,1.08,-1.45,10.69,0.28,14.07,21.3
57,电力行业,600483,福能股份,267.72727014,267.72727014,8.9,1.06,-1.52,1.06,0.0,2.45,-0.31
58,电力行业,000862,银星能源,54.15932706,37.05005819,18.66,1.25,-1.56,6.41,0.2,0.17,19.43
59,电力行业,600509,天富能源,90.98510834,90.98510834,12.6,1.2,-1.66,4.94,0.14,4.91,3.12
60,电力行业,601619,嘉泽新能,92.26235539,92.26235539,9.63,1.39,-1.68,5.68,0.2,5.87,17.7
61,电力行业,000899,赣能股份,96.49453046,96.49453046,12.5,1.71,-1.69,8.68,0.31,-3.89,18.02
62,电力行业,000600,建投能源,151.61928771,91.34626341,8.54,1.42,-1.7,9.33,0.49,30.33,51.54
63,电力行业,002608,江苏国信,294.31240894,294.31240894,8.51,0.9,-1.89,2.41,0.04,6.42,1.56
64,电力行业,600452,涪陵电力,143.51299048,143.51299048,39.93,2.7,-1.94,-2.72,-0.11,-1.58,-11.39
65,电力行业,000537,中绿电,178.34778298,178.34778298,17.54,0.92,-1.95,2.99,0.1,6.15,-3.25
66,电力行业,600025,华能水电,1710.0,1710.0,28.34,3.0,-2.09,-2.78,-0.14,4.63,2.04
67,电力行业,000155,川能动力,187.75532038,187.75532038,19.82,1.79,-2.52,0.8,-0.0,-1.74,-4.78
68,电力行业,600023,浙能电力,693.23148312,693.23148312,16.13,0.98,-2.66,2.19,0.05,-4.26,-3.72
69,电力行业,600027,XD华电国,596.58141413,465.51491606,7.73,1.25,-2.74,-5.41,-0.18,-0.36,-0.18
70,电力行业,000791,甘肃能源,225.77124604,134.71927631,11.77,1.68,-3.06,9.13,0.37,2.81,18.97
71,电力行业,003816,中国广核,1888.64805514,1471.12848014,15.61,1.59,-3.23,3.36,0.11,5.65,-7.43
72,电力行业,603693,江苏新能,129.17485501,129.17485501,19.73,1.92,-3.4,-1.3,-0.1,-0.96,49.38
73,电力行业,600101,明星电力,60.31965806,60.31965806,20.72,2.01,-3.58,5.36,0.19,-11.71,26.84
74,电力行业,000958,电投产融,377.37763825,377.376061,35.69,1.9,-3.8,-0.28,0.11,-5.01,13.8
75,电力行业,600011,华能国际,1123.9834845,787.4360302,5.65,1.82,-6.21,0.29,0.04,6.07,10.15
76,电力行业,601985,中国核电,1958.07379744,1797.68871934,15.6,1.79,-7.93,-1.26,-0.07,1.28,-8.72
77,电力行业,002015,协鑫能科,209.73354013,209.73354013,20.67,1.77,-14.66,65.31,1.95,86.44,68.67
78,电网设备,301310,鑫宏业,54.33443459,19.83621567,39.45,2.4,1.08,9.02,0.33,38.88,58.3
79,电网设备,000682,东方电子,141.84891734,141.83491471,29.33,2.74,0.87,13.01,0.42,13.16,-0.84
80,电网设备,688616,西力科技,23.24742314,23.24742314,27.72,2.91,0.19,13.72,0.52,25.83,28.32
81,电网设备,002028,思源电气,599.29422661,467.16566622,23.18,4.48,0.08,-1.69,-0.07,7.36,6.63
82,电网设备,688663,新风光,44.52036482,44.52036482,39.62,3.38,-0.12,15.66,0.48,39.29,49.91
83,电网设备,301439,泓淋电力,66.18621771,31.17030177,32.8,2.32,-0.13,15.99,0.57,26.19,25.54
84,电网设备,301361,众智科技,37.8790016,9.4697504,49.74,3.27,-0.15,9.91,0.33,11.97,10.3
85,电网设备,002546,新联电子,50.87699486,48.87515786,11.85,1.53,-0.21,23.78,0.81,42.19,44.89
86,电网设备,301031,中熔电气,82.42344466,57.68071938,33.92,6.79,-0.24,6.85,0.21,12.5,19.9
87,电网设备,002112,三变科技,36.586368,36.586368,48.75,4.31,-0.26,8.94,0.3,8.13,25.43
88,电网设备,688330,宏力达,36.778,36.778,44.0,0.97,-0.3,3.89,0.16,0.34,0.11
89,电网设备,002441,众业达,51.07819052,37.43367858,12.86,1.14,-0.31,10.75,0.35,23.26,25.4
90,电网设备,605222,起帆电缆,63.17385667,63.17385667,22.57,1.4,-0.31,2.55,0.11,4.44,-0.39
91,电网设备,603050,科林电气,68.1206117,68.1206117,23.42,4.04,-0.32,4.33,0.09,20.47,22.3
92,电网设备,603312,西典新能,60.7616,19.74752,21.14,3.71,-0.36,4.59,0.16,-0.63,19.25
93,电网设备,601567,三星医疗,327.9179271,327.90821278,16.75,2.89,-0.4,9.59,0.27,-11.03,-22.22
94,电网设备,601096,宏盛华源,117.97433938,72.45526546,33.24,2.65,-0.42,4.56,0.13,6.27,1.85
95,电网设备,688517,金冠电气,20.123122,20.123122,26.35,2.65,-0.42,6.07,0.28,16.72,13.22
96,电网设备,920111,聚星科技,43.45877545,10.33246885,46.24,5.19,-0.44,3.14,0.13,2.04,18.09
97,电网设备,603097,江苏华辰,36.1592565,35.184,43.74,3.57,-0.48,-3.87,-0.13,5.01,-5.7
98,电网设备,601877,正泰电器,497.27142105,497.27142105,10.69,1.19,-0.49,7.53,0.27,8.69,1.45
99,电网设备,002706,良信股份,102.87825183,83.78562946,24.94,2.67,-0.5,8.28,0.28,23.12,22.62
100,电网设备,002346,柘中股份,61.99718841,55.23335354,10.53,2.33,-0.54,3.12,0.18,16.03,49.52
101,电网设备,002270,华明装备,148.77342155,148.77103745,21.71,4.72,-0.56,8.66,0.3,20.82,-0.12
102,电网设备,603556,海兴电力,126.57456345,126.57456345,22.45,1.83,-0.57,0.35,-0.06,-19.11,-28.29
103,电网设备,920682,球冠电缆,31.571904,18.32396626,49.1,2.93,-0.58,-5.29,-0.16,-8.98,52.51
104,电网设备,603861,白云电器,50.78293043,49.55176415,34.65,1.48,-0.6,8.4,0.27,19.05,15.84
105,电网设备,002498,汉缆股份,117.4358988,117.4358988,20.53,1.43,-0.61,4.49,0.17,8.62,5.37
106,电网设备,300617,安靠智电,51.66408016,43.40063803,29.54,1.79,-0.63,13.09,0.46,17.02,8.05
107,电网设备,002953,日丰股份,49.25261792,29.28252584,26.57,2.66,-0.64,3.23,0.11,10.11,8.23
108,电网设备,601126,四方股份,143.5720764,141.08849251,14.86,3.39,-0.7,6.89,0.26,9.75,6.1
109,电网设备,603829,洛凯股份,29.53752646,29.53752646,26.44,2.8,-0.74,14.66,0.55,33.0,38.17
110,电网设备,603897,长城科技,49.62713771,49.62713771,22.59,2.15,-0.8,0.13,0.03,15.47,9.27
111,电网设备,600067,冠城新材,42.44589654,42.44589654,30.49,0.72,-0.87,6.94,0.21,37.39,15.09
112,电网设备,300360,炬华科技,82.835546,80.5813963,11.84,2.11,-0.91,2.57,0.12,3.01,-1.59
113,电网设备,002692,远程股份,35.8354854,35.82146225,41.39,3.03,-1.02,-2.55,-0.1,5.72,27.95
114,电网设备,300882,万胜智能,47.30905638,44.02385773,32.22,4.0,-1.02,12.47,0.45,12.53,3.12
115,电网设备,301291,明阳电气,128.53274,71.95330098,28.62,2.81,-1.04,9.33,0.35,-0.1,-4.7
116,电网设备,002452,长高电新,44.85000975,37.29991632,33.52,1.87,-1.1,3.33,0.1,3.29,-1.5
117,电网设备,600885,宏发股份,335.59582151,335.59582151,20.41,3.72,-1.16,0.04,-0.03,0.61,2.82
118,电网设备,605066,天正电气,38.70560565,38.38589075,28.32,2.26,-1.21,6.66,0.25,12.85,32.41
119,电网设备,603606,东方电缆,341.51945175,341.51945175,30.39,4.89,-1.23,5.15,0.18,3.61,-4.68
120,电网设备,300286,安科瑞,57.17890134,40.07348497,27.4,2.67,-1.25,4.18,0.12,10.36,12.59
121,电网设备,603530,神马电力,116.42532988,115.28724955,42.67,7.05,-1.3,0.79,0.1,16.91,11.22
122,电网设备,688676,金盘科技,161.57684013,161.57684013,37.67,3.71,-1.3,12.61,0.4,11.4,-14.03
123,电网设备,300018,中元股份,40.23431593,31.96421218,38.35,3.11,-1.34,12.86,0.45,29.73,23.73
124,电网设备,000400,许继电气,226.36609646,224.04916151,27.26,1.99,-1.55,4.65,0.12,-3.1,-18.61
125,电网设备,001208,华菱线缆,59.855488,30.24814766,46.53,3.69,-1.64,3.81,0.15,11.44,24.17
126,电网设备,002358,森源电气,48.99819269,48.9981255,29.07,1.51,-1.66,1.76,0.01,3.33,15.07
127,电网设备,002533,金杯电工,73.24731799,63.63701421,13.42,1.86,-1.82,-2.27,-0.1,5.05,4.07
128,电网设备,002121,科陆电子,107.28875804,90.4349873,39.77,18.8,-2.91,21.79,0.65,44.2,48.51
129,电网设备,600312,平高电气,210.05141863,210.05141863,14.65,1.95,-3.01,0.46,0.03,-11.59,-18.74
130,电网设备,600089,特变电工,622.50404475,622.50404475,9.73,0.97,-3.53,6.74,0.25,10.0,-1.36
131,电网设备,601179,中国西电,331.64458817,331.64458817,28.12,1.49,-6.21,1.13,0.05,3.19,-14.19
132,电网设备,002298,中电鑫龙,50.69759672,44.776081,30.02,2.46,-6.52,13.74,0.54,41.24,28.76
133,电网设备,600577,精达股份,163.33749486,163.33749486,32.6,2.85,-6.58,4.34,0.17,20.06,4.97
134,电网设备,002276,万马股份,146.97059724,145.63657539,44.9,2.56,-6.94,0.36,0.05,3.8,72.29
135,塑料制品,601208,东材科技,111.91872095,111.91872095,30.45,2.59,1.84,26.91,0.92,46.48,67.74
136,塑料制品,301196,唯科科技,86.21404689,85.74653632,27.85,2.69,1.03,9.56,0.51,48.82,109.4
137,塑料制品,688386,泛亚微透,46.7831,46.7831,48.57,6.3,0.69,19.95,0.77,31.58,121.88
138,塑料制品,831834,三维股份,14.95200062,7.8244363,49.45,5.44,0.09,4.31,0.2,13.17,75.0
139,塑料制品,003018,金富科技,31.668,16.1689835,31.0,2.08,-0.04,10.09,0.41,28.08,35.94
140,塑料制品,603221,爱丽家居,28.297906,28.030639,31.91,1.8,-0.04,2.97,0.25,8.54,29.27
141,塑料制品,001378,德冠新材,30.34672736,15.45106959,34.31,1.64,-0.08,5.92,0.23,12.45,1.29
142,塑料制品,301356,天振股份,38.3184,9.723294,34.87,1.29,-0.12,2.31,0.12,22.34,12.56
143,塑料制品,002632,道明光学,56.83851719,52.852801,27.62,2.71,-0.19,11.26,0.38,14.04,3.76
144,塑料制品,300644,南京聚隆,29.90069645,23.90158457,24.49,3.31,-0.2,1.3,0.04,29.48,24.38
145,塑料制品,002825,纳尔股份,36.47595156,27.39890005,13.26,2.36,-0.26,5.91,0.24,19.2,38.7
146,塑料制品,003011,海象新材,19.5803132,14.89152768,19.84,1.39,-0.28,7.61,0.24,36.31,27.99
147,塑料制品,300596,利安隆,65.96973033,64.55300892,15.28,1.47,-0.33,4.9,0.18,5.35,-4.65
148,塑料制品,688026,洁特生物,23.81963843,23.81203214,36.17,2.23,-0.36,3.69,0.22,22.44,32.99
149,塑料制品,301161,唯万密封,28.656,12.7347264,28.92,2.94,-0.36,8.68,0.32,20.18,12.17
150,塑料制品,002324,普利特,129.80964014,90.59140477,29.77,2.97,-0.37,15.88,0.55,28.1,23.1
151,塑料制品,300717,华信新材,18.848935,18.67991356,29.66,2.69,-0.44,6.04,0.27,29.34,33.58
152,塑料制品,300230,永利股份,40.66067205,31.49112495,30.23,1.3,-0.47,10.15,0.4,17.1,13.9
153,塑料制品,301131,聚赛龙,22.25684151,14.34326801,35.21,2.67,-0.48,-0.88,-0.0,33.02,36.61
154,塑料制品,001368,通达创智,26.76306553,7.54344187,23.76,1.95,-0.56,5.12,0.27,13.14,25.65
155,塑料制品,301003,江苏博云,29.33426355,22.53225111,22.8,2.69,-0.64,-0.13,0.07,24.43,48.33
156,塑料制品,688087,英科再生,49.07209448,48.81494293,16.96,1.89,-0.64,9.09,0.34,13.17,-13.36
157,塑料制品,300610,晨化股份,26.76849351,20.07407771,24.77,2.35,-0.67,12.48,0.47,31.89,27.04
158,塑料制品,301019,宁波色母,29.11439913,19.31703371,28.97,2.84,-0.67,4.87,0.21,20.26,4.71
159,塑料制品,603181,皇马科技,76.06004,76.06004,18.68,2.46,-0.68,1.35,0.15,11.38,14.13
160,塑料制品,301538,骏鼎达,40.18784,16.00320335,21.34,3.13,-0.72,-4.12,-0.17,15.84,-6.15
161,塑料制品,300218,安利股份,32.5914474,32.48471438,17.55,2.29,-0.75,1.78,0.16,14.05,-0.86
162,塑料制品,603266,天龙股份,36.1178338,36.1178338,35.3,2.39,-0.85,-0.77,0.02,-3.66,12.8
163,塑料制品,301591,肯特股份,34.354608,13.86465929,39.77,3.95,-0.85,0.5,-0.04,24.06,7.56
164,塑料制品,832089,禾昌聚合,24.9656876,15.49308571,18.44,2.19,-0.86,-0.9,0.02,10.61,48.34
165,塑料制品,002768,国恩股份,83.355125,54.31469881,18.77,1.68,-0.93,19.07,0.68,22.14,34.78
166,塑料制品,301323,新莱福,46.42837883,29.65066963,38.1,2.24,-0.99,13.25,0.48,26.39,12.37
167,塑料制品,603150,万朗磁塑,28.380356,17.76743816,18.88,1.76,-1.57,-3.95,-0.27,12.81,26.04
168,塑料制品,002395,双象股份,52.568964,52.568964,19.3,3.79,-1.64,7.47,0.46,22.12,19.8
169,塑料制品,688219,会通股份,57.07645357,57.07645357,28.78,2.3,-1.72,-3.9,-0.1,3.4,11.37
170,塑料制品,300487,蓝晓科技,259.16325868,156.53301458,33.55,7.12,-2.4,15.42,0.49,15.39,8.0
171,塑料制品,600143,金发科技,280.53559096,276.34480022,28.44,1.56,-2.87,3.47,0.1,4.93,24.59
172,塑料制品,002108,沧州明珠,61.78614144,61.15429349,31.98,1.24,-3.83,9.38,0.18,18.15,6.3
173,塑料制品,300905,宝丽迪,53.38711658,41.47386982,49.62,2.9,-4.34,1.77,0.27,27.0,16.5
174,银行,601009,南京银行,1425.86173162,1425.86173162,5.84,0.84,7.91,2.66,0.1,14.04,11.96
175,银行,601077,渝农商行,858.5892,668.1301392,5.73,0.68,5.95,-3.67,0.12,19.06,31.48
176,银行,601825,沪农商行,961.55111117,928.86338582,6.74,0.78,4.02,2.9,0.47,20.41,19.83
177,银行,002966,苏州银行,409.51264021,402.02859713,6.59,0.86,2.36,5.22,0.23,20.05,15.8
178,银行,600926,杭州银行,1251.90274004,1251.90274004,5.2,1.0,2.22,1.96,0.11,18.69,18.21
179,银行,601997,贵阳银行,259.22444359,259.22444359,4.49,0.42,0.67,15.49,0.58,29.85,24.17
180,银行,601838,成都银行,870.57462212,869.05935387,7.23,1.05,0.21,5.08,0.17,18.05,20.05
181,银行,002948,青岛银行,299.16623281,159.97010808,5.95,0.79,0.13,-0.2,0.19,30.79,38.17
182,银行,600928,西安银行,184.88888891,184.01152915,6.49,0.56,0.1,7.63,0.38,27.61,18.52
183,银行,603323,苏农银行,116.8735492,116.8735492,6.64,0.65,-0.17,5.16,0.26,30.41,24.52
184,银行,601528,瑞丰银行,118.51454826,104.7611749,6.98,0.64,-0.26,2.57,0.22,24.28,11.23
185,银行,601963,重庆银行,385.6787382,208.61331697,5.94,0.73,-0.39,-0.45,0.05,15.26,25.14
186,银行,002839,张家港行,118.30629674,118.24089542,5.26,0.67,-0.43,5.31,0.27,23.16,16.07
187,银行,601860,紫金银行,119.34810393,115.78113202,7.07,0.61,-0.64,10.65,0.43,23.95,18.55
188,银行,601577,长沙银行,421.05667804,420.96557554,4.84,0.63,-0.71,8.05,0.34,20.34,23.61
189,银行,601128,常熟银行,252.71713556,252.71713556,5.83,0.9,-0.73,6.24,0.26,20.95,14.59
190,银行,002958,青农商行,214.4469027,190.6702056,4.54,0.6,-1.11,11.21,0.43,37.37,32.19
191,银行,001227,兰州银行,154.92296297,114.58721934,6.93,0.52,-1.13,9.76,0.4,20.89,12.86
192,银行,600015,华夏银行,1359.13489117,1314.06892815,6.71,0.45,-1.16,12.69,0.51,13.41,12.22
193,银行,601187,厦门银行,204.26849853,99.38516218,7.91,0.81,-1.25,18.75,0.65,37.23,41.24
194,银行,600908,无锡银行,141.55696933,128.95566689,5.73,0.67,-1.67,7.2,0.3,22.39,13.36
195,银行,601229,上海银行,1577.19591886,1577.19591886,6.27,0.67,-1.88,1.02,0.19,13.15,24.3
196,银行,601916,浙商银行,1035.41677581,812.22523581,4.35,0.6,-2.21,17.95,0.65,35.61,37.09
197,银行,002807,江阴银行,123.56191801,123.38907941,8.64,0.67,-2.41,6.42,0.3,23.04,20.96
198,银行,002936,郑州银行,203.66284642,150.09603262,5.01,0.46,-2.67,10.45,0.44,23.08,7.69
199,银行,601169,北京银行,1496.92328646,1496.92328646,4.88,0.56,-3.66,11.2,0.46,20.41,21.44
200,银行,601665,齐鲁银行,329.15577153,329.15577153,6.0,0.77,-3.96,-2.13,-0.04,8.56,21.62
201,银行,002142,宁波银行,1877.40086217,1876.3501104,6.33,0.92,-4.6,3.67,0.2,18.02,16.95
202,通用设备,001268,联合精密,29.18517351,17.01717351,38.01,2.96,0.78,14.29,0.85,39.17,58.97
203,通用设备,603279,景津装备,88.4861495,88.4732555,13.26,2.01,0.68,-5.65,-0.19,-7.53,-12.19
204,通用设备,301029,怡合达,145.48610213,105.9559641,29.87,3.6,0.44,4.25,0.27,6.35,-6.06
205,通用设备,301525,儒竞科技,70.18681775,36.76437081,33.19,2.2,0.21,1.25,0.07,10.93,25.6
206,通用设备,603617,君禾股份,28.69964327,28.19763827,35.11,1.93,0.19,7.5,0.26,9.54,1.38
207,通用设备,601369,陕鼓动力,151.6657553,150.11004686,15.31,1.75,0.09,4.29,0.18,7.32,4.39
208,通用设备,301309,万得凯,27.3,6.825,20.15,1.75,0.08,7.49,0.25,17.82,14.37
209,通用设备,833943,优机股份,27.5021413,14.03474196,44.33,4.58,0.05,-2.32,0.41,45.8,67.74
210,通用设备,605060,联德股份,48.8642352,48.8642352,26.46,2.06,0.04,9.52,0.39,17.06,16.26
211,通用设备,605259,绿田机械,41.498688,41.498688,18.07,2.51,0.01,18.79,0.57,68.25,65.36
212,通用设备,002008,大族激光,251.8409936,234.01469554,38.51,1.59,0.01,6.56,0.23,4.22,-0.81
213,通用设备,920082,方正阀门,30.262911,6.7524288,23.99,5.94,0.0,8.71,0.35,4.89,42.12
214,通用设备,873833,美心翼申,16.92498,12.83691713,39.67,2.77,-0.02,-2.28,-0.04,-1.39,81.86
215,通用设备,870508,丰安股份,13.057952,8.58072517,31.83,2.86,-0.02,2.9,0.19,7.1,72.11
216,通用设备,603325,博隆技术,69.943497,29.8846626,16.76,2.77,-0.04,11.03,0.39,19.22,33.63
217,通用设备,831855,浙江大农,15.76873326,14.15270072,29.01,2.84,-0.05,3.31,0.17,-0.85,27.96
218,通用设备,836699,海达尔,20.54507259,9.40014759,26.72,6.91,-0.05,-4.97,-0.17,-6.42,19.92
219,通用设备,830896,旺成科技,20.92305041,9.17785413,38.02,5.26,-0.06,-10.62,-0.36,17.38,49.78
220,通用设备,688355,明志科技,21.98980717,21.98980717,41.64,2.11,-0.1,7.04,0.24,8.57,8.83
221,通用设备,830839,万通液压,36.2294385,20.07529211,26.78,6.49,-0.12,-3.92,-0.13,6.07,95.31
222,通用设备,300885,海昌新材,34.2449484,23.04845295,48.59,4.01,-0.12,8.73,0.32,1.77,26.84
223,通用设备,688558,国盛智科,33.5808,33.5808,24.24,2.11,-0.15,2.74,0.1,20.23,22.6
224,通用设备,603187,海容冷链,46.48585767,46.48585767,11.16,1.15,-0.15,4.69,0.19,19.7,12.43
225,通用设备,001380,华纬科技,57.71903172,18.75362107,22.6,3.4,-0.15,4.98,0.17,13.84,46.06
226,通用设备,002884,凌霄泵业,58.01610296,44.28548433,13.91,2.81,-0.15,2.24,0.06,11.94,-6.08
227,通用设备,301446,福事特,24.9288,7.6157484,25.5,2.18,-0.18,7.55,0.29,22.11,9.25
228,通用设备,301107,瑜欣电子,30.06996003,17.49170444,30.58,3.33,-0.19,18.91,0.58,38.36,64.39
229,通用设备,301603,乔锋智能,62.67444,19.5831675,21.01,2.95,-0.2,4.56,0.19,20.33,21.77
230,通用设备,301353,普莱得,24.98712787,8.11377787,35.17,2.01,-0.21,9.86,0.34,26.43,22.0
231,通用设备,603339,四方科技,38.33976158,38.33976158,19.6,1.5,-0.26,6.72,0.27,13.46,-0.16
232,通用设备,301279,金道科技,29.24316451,8.36548951,49.87,2.24,-0.28,17.2,0.62,35.29,46.74
233,通用设备,601002,晋亿实业,50.1081378,50.1081378,21.76,1.21,-0.28,7.92,0.28,18.51,23.53
234,通用设备,301252,同星科技,45.414,12.7726875,31.63,3.68,-0.3,10.33,0.35,29.43,17.19
235,通用设备,003025,思进智能,39.41275385,33.10363774,24.55,3.38,-0.33,3.64,0.13,4.68,20.07
236,通用设备,603757,大元泵业,37.7766084,37.7766084,24.08,2.36,-0.33,0.22,0.04,13.8,15.52
237,通用设备,688028,沃尔德,33.94111499,33.66681417,40.22,1.76,-0.35,5.44,0.22,3.33,1.92
238,通用设备,603331,百达精工,21.04648371,21.04648371,24.49,1.63,-0.35,3.19,0.22,21.33,16.57
239,通用设备,300263,隆华科技,70.18621077,65.57078346,39.0,2.27,-0.35,11.22,0.39,9.92,7.03
240,通用设备,603269,海鸥股份,28.83741513,28.83741513,38.05,2.86,-0.38,6.6,0.19,26.39,25.37
241,通用设备,603277,银都股份,99.78447213,99.20567827,12.49,3.59,-0.39,0.37,0.04,21.6,4.09
242,通用设备,300990,同飞股份,84.0768481,38.49940649,33.95,4.46,-0.41,9.76,0.31,26.9,21.4
243,通用设备,300257,开山股份,112.87693804,108.43764294,31.95,1.74,-0.42,20.66,0.68,34.76,25.94
