,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),29日平均涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
1533,综合行业,000009,中国宝安,228.5183573,228.2354132,33.89,2.26,0.29,11.85,0.36,12.87,-3.17
1534,综合行业,000803,山高环能,31.27362372,30.52990859,27.66,2.15,0.01,13.43,0.54,28.19,29.43
1535,综合行业,600051,宁波联合,24.341904,24.341904,43.6,0.73,-0.11,10.65,0.36,24.68,21.96
1536,综合行业,002758,浙农股份,50.52359207,50.2287496,21.6,1.09,-0.14,0.11,0.06,11.38,14.54
1537,综合行业,002053,云南能投,100.91194925,100.90875277,11.41,1.37,-0.85,-3.09,-0.11,2.43,-0.99
1538,综合行业,000532,华金资本,53.74003021,53.5594054,36.34,3.58,-1.35,9.28,0.34,11.28,18.65
1539,综合行业,000833,粤桂股份,96.81132407,54.76183454,20.71,2.71,-1.62,7.56,0.23,1.94,7.29
1540,综合行业,600784,鲁银投资,43.71470232,43.71470232,13.77,1.37,-1.8,5.58,0.22,14.72,11.17
1541,农药兽药,002688,金河生物,52.08532187,50.29181102,25.47,2.34,1.49,10.79,0.45,-5.2,54.46
1542,农药兽药,600195,中牧股份,76.9945788,76.9945788,30.07,1.39,0.23,6.36,0.28,6.65,12.71
1543,农药兽药,301035,润丰股份,164.58794496,164.32223867,16.03,2.41,0.15,7.17,0.23,7.23,21.34
1544,农药兽药,002942,新农股份,27.13486561,23.88805086,16.26,2.33,0.1,4.45,0.22,14.09,25.98
1545,农药兽药,001231,农心科技,20.41,7.27443015,27.76,2.08,-0.04,5.78,0.26,20.84,22.29
1546,农药兽药,002496,*ST辉丰,27.13661419,21.26495806,43.33,2.02,-0.08,15.48,0.57,25.87,-3.23
1547,农药兽药,688526,科前生物,75.13984263,75.13984263,17.36,1.94,-0.18,-6.56,-0.13,5.22,16.31
1548,农药兽药,603810,丰山集团,27.00119575,27.00119575,41.22,1.79,-0.21,6.81,0.23,28.46,80.75
1549,农药兽药,002749,国光股份,71.25958644,64.6050925,22.67,3.74,-0.24,2.28,0.12,-2.61,12.19
1550,农药兽药,600731,湖南海利,40.06183123,40.00735708,17.69,1.29,-0.27,9.08,0.43,10.82,30.36
1551,农药兽药,603585,苏利股份,39.51797356,38.70254356,28.94,1.63,-0.31,33.12,1.15,44.87,76.94
1552,农药兽药,000553,安道麦A,175.2018448,163.71581147,28.98,0.92,-0.31,7.44,0.28,32.86,12.57
1553,农药兽药,600389,江山股份,85.52709,85.52709,13.75,2.23,-0.44,6.61,0.13,33.38,38.4
1554,农药兽药,870656,海昇药业,18.31,4.57752289,34.52,2.83,-0.46,-6.82,-0.13,6.27,49.1
1555,农药兽药,603970,中农立华,37.82017885,37.82017885,17.53,2.6,-0.5,1.23,0.08,8.4,2.33
1556,农药兽药,002004,华邦健康,87.31443632,83.00629908,11.84,0.92,-0.59,3.8,0.19,11.93,-2.43
1557,农药兽药,600201,生物股份,88.39713193,88.39713193,28.9,1.68,-0.72,6.31,0.34,12.39,15.52
1558,农药兽药,603599,广信股份,99.58346634,99.58346634,15.46,1.03,-0.86,0.18,0.06,0.46,-7.13
1559,农药兽药,605033,美邦股份,25.93136,25.93136,21.64,2.27,-0.86,-1.03,-0.05,13.02,60.77
1560,农药兽药,300119,瑞普生物,92.02143179,66.32248016,19.83,2.08,-0.91,-21.55,-0.71,14.12,9.51
1561,农药兽药,301665,泰禾股份,140.805,11.23507783,44.82,4.25,-1.18,9.57,0.35,-8.48,217.02
1562,农药兽药,603566,普莱柯,49.21005522,49.21005522,23.25,1.94,-1.18,-5.12,-0.07,10.66,15.05
1563,农药兽药,603639,海利尔,48.84339088,48.84051688,11.64,1.45,-1.2,0.0,0.04,21.88,15.89
1564,农药兽药,600226,亨通股份,89.23143672,89.23143672,31.82,2.56,-1.62,7.91,0.27,6.76,17.65
1565,农药兽药,600486,扬农化工,240.15829888,239.32287863,13.8,2.19,-2.24,5.26,0.29,19.56,2.37
