,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,美容护理,300740,水羊股份,67.0,61.0,39.78,3.23,17.09,-3.3,-0.5,41.59,29.27
1,美容护理,600315,上海家化,155.0,155.0,17.86,2.26,23.07,-0.8,1.5,5.44,36.43
2,美容护理,603983,丸美生物,162.0,162.0,29.91,4.87,40.29,-1.2,-6.7,-1.59,26.86
3,美容护理,301371,敷尔佳,135.0,20.0,37.04,2.53,26.03,-0.9,-3.7,9.74,-6.77
4,美容护理,001328,登康口腔,77.0,19.0,44.7,5.64,44.81,-0.5,-15.1,0.16,44.5
5,美容护理,003006,百亚股份,114.0,114.0,21.79,8.43,26.5,0.2,-6.5,-17.5,13.05
6,美容护理,001206,依依股份,48.0,28.0,22.14,2.63,25.91,0.0,15.3,37.75,60.33
7,美容护理,300856,科思股份,72.0,70.0,37.72,2.75,15.23,-1.2,-0.2,8.86,-15.81
8,美容护理,605009,豪悦护理,85.0,85.0,23.51,2.61,39.62,-2.0,-19.1,1.59,41.45
9,美容护理,603238,诺邦股份,30.0,30.0,25.0,2.21,17.14,-0.8,-9.8,17.96,35.39
10,医疗服务,301033,迈普医学,45.0,38.0,46.97,6.6,68.25,-0.1,19.7,14.13,64.66
11,医疗服务,688076,ST诺泰,129.0,129.0,21.06,4.6,40.68,-1.9,0.6,5.88,11.42
12,医疗服务,301267,华厦眼科,167.0,66.0,27.96,2.93,19.93,-0.8,7.6,8.37,5.9
13,医疗服务,600721,百花医药,31.0,31.0,37.42,3.98,8.07,-0.8,6.9,15.12,22.46
14,医疗服务,600763,通策医疗,193.0,193.0,26.23,4.82,43.15,-0.2,5.2,9.85,-1.82
15,医疗服务,301103,何氏眼科,36.0,19.0,27.99,1.93,23.05,-0.2,4.8,24.73,15.42
16,医疗服务,688315,诺禾致源,65.0,65.0,47.89,2.58,15.59,-0.4,16.4,13.71,25.22
17,医疗服务,002172,澳洋健康,30.0,30.0,41.08,19.87,3.97,-1.0,-22.0,12.78,26.84
18,医疗服务,600327,大东方,44.0,44.0,27.59,1.31,4.98,1.0,6.2,3.97,-6.04
19,钢铁行业,605158,华达新材,49.0,49.0,31.37,1.97,9.57,-0.4,8.9,25.43,-24.05
20,钢铁行业,300881,盛德鑫泰,46.0,24.0,23.38,4.67,42.01,0.1,38.1,49.29,41.21
21,钢铁行业,601003,柳钢股份,200.0,200.0,19.16,2.31,7.79,2.6,123.9,168.62,182.25
22,钢铁行业,833751,惠同新材,18.0,17.0,41.62,4.88,20.59,0.1,10.6,31.48,73.76
23,钢铁行业,601686,友发集团,92.0,92.0,17.3,1.46,6.38,-0.8,12.5,17.5,23.4
24,钢铁行业,002478,常宝股份,51.0,41.0,11.42,0.92,5.64,-0.6,8.0,5.82,11.24
25,钢铁行业,002756,永兴材料,192.0,139.0,25.09,1.56,35.64,2.0,17.7,19.44,-4.27
26,钢铁行业,603878,武进不锈,32.0,32.0,26.37,1.25,5.7,-0.1,8.6,10.25,1.24
27,钢铁行业,002075,沙钢股份,135.0,135.0,49.29,2.11,6.17,-4.0,9.2,2.49,-1.12
28,钢铁行业,600507,方大特钢,138.0,138.0,13.74,1.45,5.95,-0.4,37.4,34.62,48.01
29,钢铁行业,600382,广东明珠,39.0,39.0,17.91,1.44,5.56,-0.5,3.7,29.6,29.0
30,钢铁行业,603995,甬金股份,66.0,66.0,15.96,1.2,18.09,-0.5,5.4,3.25,1.69
31,钢铁行业,002443,金洲管道,35.0,35.0,33.75,1.04,6.81,-0.1,9.3,20.11,19.89
32,钢铁行业,000778,新兴铸管,156.0,153.0,28.42,0.61,3.93,-0.8,14.2,17.66,2.88
33,钢铁行业,000923,河钢资源,96.0,92.0,19.0,0.99,14.65,-1.6,14.0,11.49,9.33
34,钢铁行业,000655,金岭矿业,50.0,50.0,25.61,1.5,8.45,-3.1,22.5,29.4,39.9
35,钢铁行业,002110,三钢闽光,111.0,111.0,36.69,0.58,4.56,1.5,30.7,20.0,37.35
36,钢铁行业,601969,海南矿业,160.0,158.0,24.9,2.29,7.99,-2.0,9.5,11.44,13.98
37,钢铁行业,001203,大中矿业,175.0,150.0,19.49,2.82,11.62,1.7,18.8,42.23,37.35
38,证券,600864,哈投股份,144.0,144.0,30.25,1.13,6.9,-1.0,23.0,18.56,-5.48
39,证券,000686,东北证券,193.0,193.0,23.86,1.01,8.25,0.4,10.4,8.98,5.5
40,证券,600621,华鑫股份,163.0,163.0,29.75,1.93,15.41,-4.1,4.4,17.01,-6.49
41,半导体,688147,微导纳米,149.0,33.0,44.21,5.52,32.25,-1.1,14.4,12.92,20.11
42,半导体,603324,盛剑科技,40.0,40.0,47.92,2.37,26.51,-0.4,13.6,15.26,2.87
43,半导体,688233,神工股份,55.0,55.0,48.49,3.06,32.47,-0.4,23.0,37.35,38.88
44,半导体,688138,清溢光电,87.0,74.0,42.09,3.26,27.67,-0.6,11.5,4.18,21.73
45,半导体,688508,芯朋微,75.0,75.0,45.57,3.02,57.02,-1.1,14.3,3.17,33.91
46,半导体,688401,路维光电,66.0,39.0,33.56,4.76,34.13,0.8,10.5,-5.06,30.82
47,半导体,300666,江丰电子,184.0,153.0,29.24,3.99,69.31,-3.9,-3.0,-4.9,0.23
48,半导体,688049,炬芯科技,82.0,82.0,49.31,4.25,55.94,-2.9,15.3,13.75,24.67
49,半导体,603290,斯达半导,197.0,197.0,47.51,2.97,82.3,-0.9,4.7,-0.94,-7.71
