,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,水泥建材,000789,万年青,51.0,51.0,36.38,0.79,6.45,0.5,19.7,30.04,32.44
1,水泥建材,000672,上峰水泥,91.0,91.0,28.56,1.08,9.42,-0.2,17.6,22.02,34.0
2,水泥建材,002233,塔牌集团,105.0,105.0,15.87,0.9,8.79,-0.6,17.4,16.58,21.58
3,水泥建材,600668,尖峰集团,55.0,55.0,2.36,0.97,13.3,-0.9,10.8,35.16,58.71
4,水泥建材,003037,三和管桩,57.0,57.0,41.51,2.08,9.59,-1.0,37.0,46.19,31.01
5,水泥建材,000935,四川双马,156.0,156.0,33.37,2.05,20.38,1.4,14.3,27.85,40.75
6,水泥建材,002541,鸿路钢构,127.0,91.0,23.24,1.38,18.4,0.2,5.0,0.66,4.72
7,水泥建材,600496,精工钢构,69.0,69.0,13.99,0.8,3.49,-0.8,12.9,12.58,18.71
8,水泥建材,002743,富煌钢构,27.0,27.0,39.24,0.85,6.28,-1.8,-15.5,-11.17,-4.41
9,水泥建材,600477,杭萧钢构,66.0,66.0,33.39,1.31,2.78,-0.4,8.6,7.75,9.45
10,工程机械,835174,五新隧装,57.0,55.0,43.76,7.15,63.29,1.1,49.8,100.16,119.07
11,工程机械,834599,同力股份,115.0,87.0,15.38,3.94,24.98,-0.0,10.4,22.21,107.13
12,工程机械,000680,山推股份,150.0,131.0,13.74,2.76,9.99,0.8,10.5,7.19,3.95
13,工程机械,603638,艾迪精密,158.0,158.0,38.7,4.78,19.01,-0.1,8.4,3.77,12.89
14,工程机械,001288,运机集团,49.0,32.0,31.65,2.34,20.95,-0.8,0.5,2.75,-3.19
15,工程机械,002204,大连重工,126.0,126.0,17.6,1.7,6.54,-3.7,11.2,7.57,32.66
16,工程机械,600817,宇通重工,66.0,66.0,32.19,2.67,12.51,-0.2,5.5,16.16,8.97
17,工程机械,605389,长龄液压,57.0,53.0,45.83,2.71,39.22,-1.2,13.9,29.1,48.96
18,工程机械,603194,中力股份,166.0,21.0,21.71,3.48,41.48,-1.7,0.3,27.24,17.97
19,工程机械,603611,诺力股份,61.0,61.0,12.43,2.14,23.69,1.0,13.3,41.52,38.94
