,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,煤炭行业,601918,新集能源,181.0,181.0,8.51,1.12,6.99,2.5,5.7,-1.96,-2.65
1,食品饮料,600073,光明肉业,71.0,71.0,10.78,1.43,7.62,1.5,-8.2,-7.64,10.92
2,家电行业,002705,新宝股份,121.0,121.0,12.27,1.51,14.92,1.4,6.6,16.11,2.54
3,通用设备,603279,景津装备,92.0,92.0,13.8,2.09,15.98,1.3,-0.9,-4.88,-8.58
4,医疗器械,600587,新华医疗,99.0,98.0,15.39,1.28,16.28,1.6,6.7,8.24,-0.73
5,医疗服务,600327,大东方,45.0,45.0,27.97,1.33,5.05,1.4,3.9,1.61,-4.72
6,化学制药,002019,亿帆医药,173.0,120.0,28.21,2.02,14.21,1.5,-0.8,26.88,33.8
7,装修建材,002372,伟星新材,180.0,166.0,39.52,4.07,11.29,1.4,3.0,-3.59,-7.0
8,化学制药,688799,华纳药厂,76.0,76.0,46.31,4.25,58.13,1.4,8.9,79.3,97.12
9,生物制品,000403,派林生物,170.0,168.0,47.61,2.19,17.85,1.3,-4.1,7.21,11.7
